TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
7775.9518,112.423,116.876,999.302,-953.75,-3395.0,708.75,-69.92,-167.2,-264.48
7776.0018,113.399,119.621,1002.291,-1741.25,-3640.0,367.5,-66.88,-174.8,-259.92
7776.0518,105.286,116.571,998.936,-2030.0,-3937.5,-560.0,-98.8,-170.24,-258.4
7776.1018,110.166,113.216,1000.034,-2327.5,-4348.75,-1417.5,-76.0,-170.24,-256.88
7776.1518,107.848,111.081,999.851,-2318.75,-5005.0,-2100.0,-71.44,-156.56,-256.88
7776.2018,111.508,116.205,1000.461,-3018.75,-3578.75,-3701.25,-94.24,-167.2,-269.04
7776.2518,106.018,115.961,1001.376,-3893.75,-3692.5,-3815.0,-69.92,-173.28,-256.88
7776.3018,100.162,110.044,1006.317,-4112.5,-4121.25,-3806.25,-65.36,-167.2,-252.32
7776.3518,99.003,108.885,999.973,-3307.5,-4803.75,-3045.0,-89.68,-174.8,-253.84
7776.4018,105.347,103.822,999.18,-1863.75,-5215.0,-1330.0,-74.48,-168.72,-279.68
7776.4518,104.615,113.399,1003.206,-420.0,-2983.75,420.0,-92.72,-161.12,-262.96
7776.5018,88.999,113.765,998.753,-140.0,-4025.0,1190.0,-79.04,-167.2,-267.52
7776.5518,109.678,118.767,995.703,-848.75,-4751.25,822.5,-68.4,-182.4,-252.32
7776.6018,106.14,116.022,996.069,-1653.75,-3447.5,735.0,-74.48,-174.8,-255.36
7776.6518,103.761,113.887,1000.827,-1338.75,-4112.5,1023.75,-94.24,-182.4,-267.52
7776.7018,102.785,116.754,1002.535,-1260.0,-3587.5,1006.25,-79.04,-165.68,-258.4
7776.7518,98.088,117.12,1002.962,-1373.75,-4121.25,910.0,-79.04,-179.36,-256.88
7776.8018,100.833,118.157,999.241,-1618.75,-4086.25,997.5,-72.96,-158.08,-267.52
7776.8518,103.7,115.656,997.655,-1636.25,-4698.75,1207.5,-76.0,-168.72,-258.4
7776.9018,101.382,115.107,996.801,-1767.5,-3911.25,962.5,-80.56,-176.32,-269.04
7776.9518,95.831,114.924,1003.328,-1872.5,-4016.25,673.75,-60.8,-171.76,-259.92
7777.0018,92.232,111.447,1004.243,-2030.0,-4497.5,901.25,-83.6,-167.2,-241.68
7777.0518,96.99,107.055,1004.182,-1566.25,-5127.5,1067.5,-83.6,-177.84,-262.96
7777.1018,102.358,105.225,1001.864,-743.75,-6142.5,883.75,-83.6,-162.64,-256.88
7777.1518,116.205,114.863,998.387,-700.0,-4917.5,201.25,-74.48,-177.84,-269.04
7777.2018,103.212,114.192,1000.339,-1732.5,-3692.5,8.75,-95.76,-155.04,-272.08
7777.2518,98.21,113.399,1001.925,-1461.25,-4515.0,26.25,-65.36,-183.92,-266.0
7777.3018,101.87,115.839,999.119,-1470.0,-4068.75,437.5,-88.16,-168.72,-256.88
7777.3518,96.075,111.691,1002.718,-1470.0,-4672.5,253.75,-83.6,-167.2,-267.52
7777.4018,100.04,113.277,1002.596,-1093.75,-5057.5,210.0,-68.4,-174.8,-258.4
7777.4519,92.842,117.547,1002.047,-1426.25,-4847.5,323.75,-89.68,-177.84,-258.4
7777.5018,92.537,110.776,1004.121,-1461.25,-8181.25,805.0,-79.04,-164.16,-256.88
