TimeStamp,Code
7782.5054,sw_11
7788.5411,sw_20
7792.5742,sw_10
7798.6055,sw_20
7802.6524,sw_11
7808.677,sw_20
7812.73,sw_11
7818.7266,sw_20
7822.7823,sw_11
7828.7777,sw_20
7849.9583,sw_11
7855.9728,sw_20
7860.0256,sw_11
7866.0466,sw_20
7870.1047,sw_10
7876.1106,sw_20
7880.1657,sw_11
7886.1765,sw_20
7890.233,sw_10
7896.2451,sw_20
7901.9332,sw_10
7907.9524,sw_20
7912.0249,sw_10
7918.019,sw_20
7922.093,sw_11
7928.0736,sw_20
7932.1446,sw_11
7938.1379,sw_20
7942.2116,sw_11
7948.2183,sw_20
7954.4866,sw_11
7960.4958,sw_20
7964.5654,sw_10
7970.5629,sw_20
7974.6326,sw_11
7980.6347,sw_20
7984.7009,sw_10
7990.7169,sw_20
7994.7667,sw_11
8000.7861,sw_20
8006.8232,sw_11
8012.8495,sw_20
8016.9047,sw_10
8022.9054,sw_20
8026.9669,sw_11
8032.9762,sw_20
8037.0403,sw_11
8043.0492,sw_20
8047.0921,sw_11
8053.1032,sw_20
