TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5985.0523,22255.33,32627.87,33207.09,24934.91,28822.38,20184.42,35001.95,40318.45
5985.0563,22454.31,32824.95,33395.58,25126.51,29013.59,20376.3,35186.06,40519.15
5985.0603,22465.28,32843.78,33406.07,25135.47,29024.13,20398.09,35207.32,40551.1
5985.0643,22291.57,32664.45,33240.94,24973.54,28857.04,20239.12,35050.83,40387.59
5985.0683,22168.26,32541.28,33123.93,24852.9,28740.46,20114.33,34933.57,40263.94
5985.0723,22268.44,32650.9,33219.44,24945.31,28835.3,20201.54,35018.26,40345.91
5985.0763,22442.87,32830.67,33391.15,25116.49,29010.54,20373.2,35186.15,40520.39
5985.0803,22454.31,32838.3,33403.93,25130.66,29022.36,20386.03,35198.79,40532.64
5985.0843,22307.3,32686.76,33256.92,24987.32,28873.49,20241.69,35058.36,40380.63
5985.0883,22197.3,32572.51,33147.29,24875.83,28762.15,20132.73,34950.93,40272.77
5985.0923,22291.95,32671.41,33240.85,24972.97,28861.38,20231.96,35047.58,40377.48
5985.0963,22474.91,32855.61,33425.43,25158.27,29050.74,20416.36,35228.88,40563.97
5985.1003,22522.5,32896.24,33461.62,25198.51,29082.97,20452.17,35262.4,40600.3
5985.1043,22348.07,32727.63,33297.69,25030.62,28915.31,20294.81,35111.24,40441.99
5985.1083,22227.62,32608.32,33183.24,24916.51,28798.63,20177.84,34998.37,40318.88
5985.1123,22302.53,32685.05,33259.25,24992.66,28877.31,20263.01,35076.05,40410.71
5985.1162,22465.71,32855.56,33421.57,25152.88,29039.58,20421.32,35232.79,40571.89
5985.1202,22476.01,32862.0,33429.44,25162.27,29044.49,20427.37,35240.32,40577.46
5985.1242,22302.82,32682.57,33256.34,24988.56,28867.68,20254.52,35071.14,40401.61
5985.1282,22204.4,32578.28,33151.2,24880.13,28756.0,20138.46,34959.61,40283.02
5985.1322,22296.96,32673.74,33239.8,24969.87,28845.7,20227.24,35043.67,40372.95
5985.1362,22426.99,32811.84,33386.66,25112.06,29003.58,20384.27,35198.12,40539.89
5985.1402,22446.68,32836.01,33407.02,25129.89,29019.69,20396.04,35214.95,40547.9
5985.1442,22275.83,32652.19,33233.6,24964.29,28845.17,20228.2,35051.73,40372.76
5985.1482,22168.59,32539.94,33123.16,24857.29,28734.59,20134.55,34950.69,40286.36
5985.1522,22258.71,32635.36,33214.24,24951.6,28834.06,20231.87,35042.77,40387.59
5985.1562,22434.43,32817.89,33385.95,25111.49,29001.14,20365.91,35186.15,40513.95
5985.1602,22450.83,32835.3,33395.96,25117.45,29009.68,20370.15,35194.31,40515.28
5985.1642,22291.85,32669.26,33235.7,24956.71,28841.5,20201.83,35031.94,40342.15
5985.1682,22175.36,32550.34,33119.73,24843.08,28722.39,20083.0,34913.78,40217.07
5985.1722,22253.75,32637.74,33201.75,24927.57,28814.94,20180.32,35008.24,40316.87
5985.1762,22428.09,32816.51,33376.36,25102.19,28994.28,20359.9,35184.91,40504.08
5985.1802,22452.74,32839.97,33400.02,25126.6,29014.07,20384.74,35207.47,40534.07
5985.1842,22275.45,32653.34,33229.97,24954.75,28839.83,20215.47,35043.58,40363.7
5985.1882,22168.31,32540.71,33110.67,24841.12,28724.48,20100.79,34927.32,40244.06
