TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5985.1329,222.589,51.179,993.141,-1303.75,-3561.25,306.25,15.2,12.16,-326.8
5985.1829,217.77,51.179,990.213,-1522.5,-2625.0,1155.0,28.88,27.36,-334.4
5985.2329,220.637,58.865,994.056,-1225.0,-3290.0,875.0,24.32,18.24,-342.0
5985.2829,220.515,59.048,991.921,-2108.75,-2310.0,1050.0,21.28,18.24,-328.32
5985.3329,224.053,52.46,988.81,-2590.0,-1986.25,1811.25,19.76,24.32,-332.88
5985.3829,223.504,49.349,983.015,-2616.25,-1837.5,2590.0,30.4,27.36,-351.12
5985.4329,223.016,53.436,994.056,-2135.0,533.75,2590.0,21.28,34.96,-346.56
5985.4829,193.492,45.018,993.141,-2773.75,1172.5,2423.75,27.36,21.28,-348.08
5985.5329,200.995,49.288,997.167,-2301.25,-918.75,2878.75,38.0,27.36,-335.92
5985.5829,216.428,52.765,992.836,-3395.0,2135.0,4488.75,16.72,10.64,-326.8
5985.6329,193.37,48.678,992.348,-3771.25,4086.25,6422.5,47.12,24.32,-351.12
5985.6829,212.28,49.166,1002.596,-3622.5,4165.0,8242.5,34.96,24.32,-355.68
5985.7329,248.941,51.362,1002.901,-5390.0,14577.5,13895.0,34.96,24.32,-320.72
5985.7829,228.262,50.02,990.152,-7420.0,26608.75,21201.25,51.68,47.12,-342.0
5985.8329,188.368,26.413,987.224,-9327.5,37817.5,30353.75,80.56,30.4,-325.28
5985.8829,129.076,14.701,992.165,-3727.5,42848.75,36155.0,85.12,28.88,-331.36
5985.9329,111.508,-6.161,984.357,-2485.0,54687.5,35743.75,98.8,38.0,-319.2
5985.9829,-24.339,39.65,979.599,5757.5,58275.0,37108.75,139.84,25.84,-323.76
5986.0329,-91.317,47.092,981.185,1321.25,52106.25,36557.5,150.48,16.72,-323.76
5986.0829,-183.61,55.449,985.516,-52.5,42945.0,30327.5,190.0,24.32,-331.36
5986.1329,-230.946,53.314,984.723,-3447.5,31858.75,18628.75,196.08,22.8,-316.16
5986.183,-246.562,41.663,987.224,-9388.75,22470.0,10858.75,217.36,18.24,-305.52
5986.2329,-271.999,17.507,989.176,-7420.0,11961.25,3403.75,217.36,30.4,-313.12
5986.2829,-277.123,13.115,982.283,-6912.5,8925.0,612.5,223.44,27.36,-304.0
5986.3329,-280.051,-0.061,987.773,-4873.75,-822.5,-1128.75,241.68,22.8,-311.6
5986.3829,-269.803,-0.671,980.392,-3928.75,-6107.5,-1977.5,217.36,12.16,-313.12
5986.4329,-243.329,-1.342,982.466,-3115.0,-9310.0,-1041.25,214.32,15.2,-291.84
5986.4829,-223.016,-1.098,980.453,-2397.5,-9835.0,1102.5,237.12,27.36,-314.64
5986.5329,-207.156,7.503,976.549,-1251.25,-9345.0,3307.5,229.52,30.4,-314.64
5986.5829,-192.516,10.553,978.379,-1426.25,-9695.0,3228.75,209.76,31.92,-305.52
