TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6362.6784,408.517,86.437,925.98,-3018.75,-4917.5,665.0,-42.56,-6.08,-335.92
6362.7284,416.63,75.335,929.213,-2563.75,-5215.0,1548.75,-28.88,25.84,-323.76
6362.7784,419.863,76.799,928.237,-1067.5,-4287.5,1741.25,-39.52,10.64,-325.28
6362.8284,415.288,87.84,929.945,-1321.25,-4243.75,638.75,-39.52,13.68,-319.2
6362.8784,414.129,84.363,927.139,-2257.5,-3517.5,43.75,-31.92,15.2,-313.12
6362.9284,403.393,80.154,931.409,-1732.5,-3395.0,-166.25,-25.84,6.08,-317.68
6362.9784,403.82,83.448,932.08,-1181.25,-4541.25,761.25,-34.96,18.24,-325.28
6363.0284,405.223,80.337,931.043,-1750.0,-6825.0,1093.75,-28.88,9.12,-335.92
6363.0784,415.349,82.594,932.202,-1023.75,-5460.0,1146.25,-33.44,15.2,-325.28
6363.1284,408.7,82.716,926.407,-2257.5,-3745.0,822.5,-38.0,6.08,-332.88
6363.1784,407.785,82.777,928.969,-1951.25,-4375.0,481.25,-39.52,9.12,-325.28
6363.2284,409.92,80.581,929.701,-2187.5,-4515.0,630.0,-48.64,16.72,-322.24
6363.2784,412.177,76.677,932.263,-2380.0,-4515.0,848.75,-48.64,28.88,-328.32
6363.3284,412.97,76.006,931.348,-962.5,-5197.5,1225.0,-38.0,6.08,-323.76
6363.3784,413.58,81.13,930.006,-1260.0,-4418.75,717.5,-42.56,22.8,-322.24
6363.4284,409.798,82.655,929.945,-1522.5,-4243.75,8.75,-31.92,4.56,-331.36
6363.4784,410.408,81.557,931.287,-1898.75,-4795.0,61.25,-33.44,27.36,-326.8
6363.5284,415.044,78.324,929.274,-1435.0,-4357.5,980.0,-34.96,18.24,-332.88
6363.5785,409.249,80.093,930.799,-1338.75,-3762.5,1365.0,-45.6,31.92,-331.36
6363.6284,407.663,82.228,932.873,-1470.0,-3150.0,717.5,-33.44,9.12,-326.8
6363.6784,401.929,83.509,931.043,-1811.25,-2345.0,-70.0,-27.36,10.64,-328.32
6363.7284,395.341,81.069,931.714,-2047.5,-3613.75,43.75,-34.96,27.36,-317.68
6363.7784,396.317,68.686,933.91,218.75,-6833.75,568.75,-41.04,4.56,-325.28
6363.8284,412.787,80.276,934.52,437.5,-5153.75,840.0,-39.52,3.04,-332.88
6363.8784,403.637,91.073,933.239,-140.0,-4025.0,35.0,-27.36,9.12,-322.24
