TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6492.027,499.529,78.019,888.465,-2047.5,-2878.75,2056.25,-59.28,-4.56,-311.6
6492.077,496.784,77.287,888.282,-1347.5,-3692.5,1575.0,-74.48,9.12,-302.48
6492.127,497.394,77.958,889.014,-1750.0,-3683.75,1050.0,-59.28,7.6,-316.16
6492.177,494.832,77.958,888.038,-1330.0,-4112.5,953.75,-62.32,10.64,-314.64
6492.227,497.943,76.982,889.929,-1767.5,-4716.25,962.5,-83.6,-4.56,-319.2
6492.277,497.15,78.629,889.014,-1715.0,-4821.25,708.75,-80.56,25.84,-293.36
6492.327,499.346,73.749,888.831,-1916.25,-4847.5,840.0,-80.56,10.64,-304.0
6492.377,501.298,74.664,890.783,-1662.5,-4882.5,1347.5,-77.52,19.76,-300.96
6492.427,495.991,73.139,886.696,-1785.0,-3955.0,1286.25,-54.72,13.68,-310.08
6492.477,492.88,71.126,888.953,-1470.0,-6982.5,980.0,-65.36,3.04,-314.64
6492.527,507.032,73.566,889.014,-971.25,-7087.5,87.5,-82.08,1.52,-320.72
6492.577,503.372,74.359,885.537,-901.25,-5635.0,-35.0,-72.96,1.52,-311.6
6492.627,505.08,82.289,885.598,-1968.75,-4760.0,-306.25,-65.36,-3.04,-310.08
6492.677,500.261,74.786,886.757,-1610.0,-4523.75,-376.25,-80.56,15.2,-305.52
6492.727,497.76,73.566,888.831,-1793.75,-6457.5,-481.25,-68.4,16.72,-311.6
6492.777,506.91,73.932,886.94,-735.0,-6571.25,-428.75,-60.8,-10.64,-314.64
6492.827,507.886,83.631,883.158,-831.25,-6510.0,157.5,-68.4,9.12,-319.2
6492.877,508.984,80.947,880.962,-1645.0,-5608.75,726.25,-68.4,6.08,-313.12
6492.927,508.374,79.605,880.718,-1172.5,-5643.75,1391.25,-85.12,13.68,-299.44
6492.9771,510.997,79.3,882.731,-1513.75,-5932.5,1277.5,-60.8,3.04,-305.52
6493.027,514.413,79.3,881.938,-1400.0,-5372.5,367.5,-92.72,16.72,-313.12
6493.077,515.267,80.032,881.45,-1391.25,-4375.0,61.25,-62.32,21.28,-314.64
6493.127,510.692,79.727,881.938,-1347.5,-4121.25,323.75,-91.2,24.32,-319.2
6493.177,510.509,78.873,881.511,-1732.5,-5293.75,735.0,-76.0,12.16,-316.16
6493.227,514.962,79.056,886.879,-385.0,-5757.5,761.25,-76.0,13.68,-310.08
6493.277,510.57,82.289,881.145,-1111.25,-3832.5,341.25,-85.12,3.04,-305.52
6493.327,513.376,81.923,881.999,-1277.5,-3220.0,166.25,-62.32,12.16,-316.16
6493.377,508.008,80.764,881.328,-1855.0,-2887.5,43.75,-72.96,7.6,-320.72
6493.427,505.934,78.995,884.256,-1925.0,-3088.75,612.5,-83.6,22.8,-310.08
6493.477,506.178,77.165,884.012,-813.75,-3788.75,1041.25,-76.0,22.8,-316.16
6493.527,503.677,82.167,884.012,-1382.5,-3806.25,358.75,-63.84,3.04,-322.24
6493.577,504.348,84.119,885.171,-1312.5,-3727.5,140.0,-91.2,7.6,-323.76
6493.627,503.128,81.679,887.489,-1557.5,-3771.25,26.25,-77.52,12.16,-319.2
6493.677,499.712,82.289,884.866,-1076.25,-4025.0,420.0,-89.68,16.72,-308.56
6493.727,500.566,82.106,888.282,-1566.25,-3885.0,227.5,-74.48,13.68,-305.52
6493.777,501.969,83.753,887.306,-1828.75,-3657.5,498.75,-69.92,-4.56,-332.88
6493.827,496.052,79.117,888.221,-1960.0,-3123.75,673.75,-86.64,16.72,-308.56
6493.877,490.135,84.668,887.916,-1960.0,-4733.75,901.25,-69.92,7.6,-302.48
6493.927,495.747,83.448,890.661,-192.5,-6545.0,988.75,-83.6,18.24,-304.0
6493.977,499.163,86.254,886.391,-1452.5,-4672.5,262.5,-71.44,18.24,-332.88
6494.027,493.917,84.424,887.062,-2231.25,-4541.25,8.75,-65.36,16.72,-310.08
6494.077,492.392,82.838,884.927,-1951.25,-6011.25,437.5,-80.56,7.6,-317.68
6494.127,498.675,83.204,885.964,-1522.5,-6028.75,1583.75,-76.0,22.8,-308.56
6494.177,502.701,80.825,887.794,-560.0,-6116.25,1583.75,-65.36,3.04,-311.6
6494.227,502.884,85.522,886.208,-1277.5,-6361.25,630.0,-65.36,12.16,-307.04
6494.277,504.714,85.949,884.561,-1575.0,-5495.0,43.75,-76.0,4.56,-308.56
6494.327,506.178,83.814,885.598,-2003.75,-5722.5,35.0,-69.92,6.08,-320.72
6494.377,504.897,80.032,882.487,-1391.25,-5477.5,656.25,-71.44,0.0,-300.96
6494.427,508.13,83.021,883.646,-1732.5,-5705.0,962.5,-77.52,7.6,-310.08
6494.477,507.276,83.082,884.927,-1680.0,-4847.5,743.75,-69.92,10.64,-311.6
6494.527,501.176,81.313,885.232,-2065.0,-4086.25,612.5,-80.56,1.52,-285.76
6494.577,501.359,78.263,884.134,-2520.0,-7043.75,901.25,-80.56,6.08,-313.12
6494.6271,507.581,76.372,884.134,-577.5,-6606.25,743.75,-89.68,21.28,-316.16
6494.677,508.252,82.167,881.084,-1163.75,-5495.0,17.5,-72.96,7.6,-316.16
6494.727,507.154,83.692,879.437,-1470.0,-5398.75,-175.0,-69.92,3.04,-313.12
6494.777,512.644,83.204,880.352,-1373.75,-5871.25,-17.5,-62.32,-9.12,-314.64
6494.827,511.485,83.143,882.548,-1653.75,-5967.5,481.25,-92.72,4.56,-314.64
6494.877,513.62,80.154,880.901,-822.5,-6221.25,708.75,-62.32,10.64,-320.72
6494.927,517.28,87.291,878.461,-1286.25,-5495.0,297.5,-77.52,-7.6,-313.12
6494.977,515.999,85.766,877.485,-1907.5,-4331.25,-131.25,-82.08,34.96,-320.72
6495.027,515.633,86.925,877.424,-1916.25,-4208.75,131.25,-83.6,12.16,-313.12
6495.077,509.655,84.546,881.755,-927.5,-4751.25,568.75,-83.6,4.56,-328.32
6495.127,516.365,87.352,881.511,-1347.5,-4637.5,516.25,-76.0,4.56,-314.64
6495.177,513.071,84.973,881.816,-1671.25,-2730.0,332.5,-76.0,-4.56,-305.52
6495.227,505.202,84.973,881.45,-2222.5,-2756.25,463.75,-82.08,6.08,-328.32
6495.277,501.542,82.045,880.474,-2091.25,-3613.75,1347.5,-76.0,15.2,-293.36
6495.327,508.435,84.363,886.33,-761.25,-4908.75,1513.75,-85.12,-4.56,-307.04
6495.377,504.226,89.243,882.853,-1373.75,-3963.75,621.25,-62.32,10.64,-322.24
6495.427,501.725,85.949,884.256,-1820.0,-3823.75,-52.5,-77.52,1.52,-296.4
6495.477,500.749,84.485,885.415,-1618.75,-4725.0,218.75,-71.44,21.28,-314.64
6495.527,502.701,80.886,883.951,-1487.5,-4672.5,1198.75,-83.6,13.68,-314.64
6495.577,507.703,85.705,883.707,-385.0,-5153.75,1417.5,-71.44,6.08,-317.68
6495.627,505.69,86.742,883.951,-708.75,-4978.75,735.0,-71.44,15.2,-325.28
6495.677,504.897,87.23,884.561,-1356.25,-4515.0,-8.75,-79.04,-7.6,-323.76
6495.727,508.008,85.644,884.073,-1697.5,-4252.5,35.0,-74.48,3.04,-305.52
6495.777,504.653,87.108,884.073,-945.0,-4182.5,542.5,-80.56,12.16,-307.04
6495.827,507.276,88.633,883.158,-2012.5,-3920.0,936.25,-69.92,3.04,-305.52
6495.877,508.313,88.694,885.232,-1680.0,-3928.75,971.25,-56.24,15.2,-310.08
6495.927,502.518,87.047,888.16,-2187.5,-1793.75,376.25,-79.04,9.12,-305.52
6495.977,478.728,84.058,887.062,-1566.25,-5923.75,1461.25,-82.08,10.64,-325.28
6496.027,508.191,84.729,887.611,-1610.0,-7227.5,1881.25,-59.28,13.68,-311.6
6496.077,507.825,76.189,889.563,-1303.75,-3622.5,2021.25,-94.24,4.56,-319.2
6496.127,504.287,83.387,886.696,-796.25,-3412.5,2091.25,-69.92,7.6,-317.68
6496.177,498.004,87.413,885.781,-1680.0,131.25,183.75,-71.44,7.6,-305.52
