TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5067.0594,7255.36,6355.72,4187.78,5212.26,1779.99,-6852.68,7895.71,17120.22
5067.0634,7260.85,6366.92,4191.64,5214.36,1777.84,-6852.72,7897.09,17120.79
5067.0674,7253.31,6355.0,4186.3,5214.17,1782.89,-6851.67,7892.99,17119.84
5067.0714,7238.48,6336.17,4178.76,5209.16,1783.99,-6850.1,7887.7,17118.69
5067.0754,7240.73,6338.26,4177.05,5204.49,1776.41,-6856.87,7885.27,17116.45
5067.0794,7255.17,6353.67,4186.2,5211.54,1776.27,-6853.3,7894.85,17125.04
5067.0834,7259.66,6359.77,4191.59,5214.83,1780.41,-6851.72,7897.57,17131.28
5067.0874,7251.93,6349.33,4186.77,5214.41,1786.52,-6850.82,7892.04,17129.09
5067.0914,7236.43,6334.31,4172.04,5204.77,1781.18,-6860.11,7875.82,17116.6
5067.0954,7230.24,6331.25,4165.17,5194.86,1768.4,-6868.51,7867.43,17108.87
5067.0994,7234.19,6334.26,4164.03,5191.76,1757.77,-6872.7,7869.67,17108.25
5067.1034,7235.15,6334.97,4165.7,5192.66,1758.34,-6873.42,7871.44,17109.73
5067.1074,7234.29,6328.77,4168.22,5197.19,1772.55,-6868.08,7870.82,17112.59
5067.1114,7227.33,6316.47,4164.65,5196.95,1778.08,-6864.07,7865.72,17114.21
5067.1154,7225.23,6331.16,4156.16,5188.51,1763.3,-6878.95,7858.37,17098.38
5067.1194,7226.47,6334.45,4156.07,5182.46,1750.9,-6889.49,7858.9,17092.23
5067.1233,7230.43,6339.93,4160.12,5183.6,1752.19,-6888.77,7862.14,17092.71
5067.1273,7209.97,6314.42,4147.01,5171.06,1749.94,-6895.69,7849.07,17082.26
5067.1313,7203.72,6305.27,4142.86,5172.01,1756.81,-6889.87,7845.69,17085.98
5067.1353,7215.45,6316.47,4153.59,5179.41,1763.06,-6877.71,7856.99,17096.95
5067.1393,7227.99,6329.39,4163.07,5185.32,1762.29,-6875.23,7867.48,17103.29
5067.1433,7231.43,6333.02,4165.36,5184.84,1762.49,-6876.61,7868.29,17101.62
5067.1473,7232.86,6334.35,4169.37,5195.19,1778.51,-6860.64,7874.44,17116.79
5067.1513,7235.62,6338.41,4174.52,5203.63,1792.67,-6850.77,7878.59,17121.84
5067.1553,7249.17,6356.86,4187.3,5209.35,1792.81,-6853.77,7882.02,17115.5
5067.1593,7263.52,6366.02,4200.98,5217.12,1792.53,-6847.81,7894.23,17126.61
5067.1633,7258.46,6356.86,4197.5,5218.46,1791.62,-6844.0,7898.76,17134.33
5067.1673,7260.47,6368.3,4194.93,5220.89,1797.49,-6839.85,7892.7,17133.19
5067.1713,7257.27,6366.21,4195.5,5219.03,1800.92,-6840.8,7885.36,17127.71
5067.1753,7252.98,6357.58,4194.21,5218.36,1797.01,-6841.04,7889.8,17131.52
5067.1793,7260.51,6364.25,4199.08,5220.13,1790.71,-6840.42,7897.57,17136.48
5067.1833,7263.09,6367.35,4199.46,5218.41,1789.47,-6841.95,7896.71,17137.96
5067.1873,7247.35,6346.37,4185.34,5209.21,1787.66,-6849.53,7880.59,17123.27
5067.1913,7241.06,6341.36,4180.81,5208.73,1791.14,-6849.39,7874.78,17121.13
5067.1953,7240.34,6341.84,4179.14,5205.35,1783.8,-6852.34,7874.87,17119.31
5067.1993,7234.76,6337.02,4171.66,5192.76,1764.68,-6868.51,7867.05,17103.39
5067.2033,7230.33,6330.2,4165.03,5186.46,1757.29,-6873.61,7858.71,17097.95
5067.2073,7220.32,6318.19,4157.64,5183.46,1761.63,-6872.08,7850.31,17097.81
5067.2113,7208.16,6306.46,4147.34,5178.45,1761.1,-6877.61,7839.82,17093.14
5067.2153,7202.67,6300.93,4139.66,5168.44,1750.14,-6890.11,7833.0,17084.03
5067.2193,7199.57,6299.35,4134.04,5154.8,1733.35,-6906.84,7827.81,17071.15
5067.2233,7197.05,6296.78,4131.94,5152.75,1728.92,-6909.47,7826.85,17073.35
5067.2273,7192.23,6291.29,4132.22,5157.28,1740.12,-6903.27,7827.0,17079.21
5067.2313,7191.61,6289.34,4131.94,5161.29,1750.42,-6896.12,7827.81,17081.88
5067.2353,7200.86,6297.78,4140.14,5164.86,1752.52,-6890.97,7837.3,17085.94
5067.2393,7213.64,6312.66,4150.87,5169.82,1752.09,-6887.29,7848.17,17092.42
5067.2433,7220.89,6319.57,4156.4,5175.11,1756.33,-6882.05,7853.46,17097.67
5067.2473,7223.65,6320.14,4161.36,5182.89,1770.31,-6870.32,7854.75,17103.82
5067.2512,7230.9,6321.62,4170.94,5193.66,1787.71,-6858.54,7860.33,17111.02
5067.2552,7240.2,6330.49,4184.72,5202.29,1795.15,-6851.77,7871.01,17121.13
5067.2592,7249.4,6351.19,4188.11,5204.34,1788.9,-6854.82,7875.63,17121.13
5067.2632,7248.5,6349.04,4187.63,5201.91,1785.42,-6859.49,7871.82,17117.65
5067.2672,7244.68,6346.27,4187.25,5201.34,1793.19,-6861.74,7864.43,17111.21
5067.2712,7242.87,6340.89,4187.73,5206.25,1805.26,-6852.2,7867.48,17117.31
5067.2752,7241.77,6336.88,4186.25,5206.01,1801.87,-6850.86,7869.86,17118.07
5067.2792,7246.35,6342.22,4184.44,5203.87,1789.0,-6857.11,7871.29,17117.79
5067.2832,7232.86,6331.4,4169.61,5184.36,1768.92,-6883.77,7851.08,17090.04
5067.2872,7238.68,6334.5,4173.57,5195.71,1784.75,-6870.32,7853.03,17100.62
5067.2912,7241.54,6328.49,4180.72,5206.68,1800.97,-6855.63,7861.9,17113.16
5067.2952,7243.3,6346.13,4174.66,5202.34,1790.81,-6861.64,7856.75,17109.54
5067.2992,7235.81,6338.98,4163.22,5189.23,1770.31,-6876.04,7848.5,17102.58
5067.3032,7236.39,6337.07,4163.69,5188.28,1766.25,-6879.38,7848.22,17104.29
5067.3072,7227.66,6327.82,4162.36,5186.7,1771.97,-6878.66,7844.16,17101.81
5067.3112,7207.59,6306.32,4149.87,5173.21,1769.5,-6887.25,7832.53,17090.66
5067.3151,7205.73,6305.36,4147.53,5166.67,1762.2,-6893.87,7832.43,17085.27
5067.3191,7216.36,6319.48,4153.25,5167.53,1756.24,-6896.12,7839.3,17085.27
5067.3231,7209.92,6307.32,4147.01,5161.91,1750.9,-6902.65,7837.92,17083.55
5067.3271,7200.0,6291.1,4141.9,5161.0,1757.29,-6897.97,7836.53,17089.42
5067.3311,7203.25,6292.44,4150.15,5170.35,1773.26,-6884.86,7843.21,17097.38
5067.3351,7213.16,6296.21,4159.59,5177.74,1774.98,-6879.0,7848.17,17101.96
5067.3391,7226.47,6326.15,4167.32,5181.46,1770.78,-6881.86,7855.08,17102.1
5067.3431,7235.15,6334.83,4176.04,5187.18,1776.36,-6874.85,7862.04,17108.63
5067.3471,7241.68,6338.07,4184.96,5198.19,1791.72,-6861.5,7865.24,17119.08
5067.3511,7242.2,6338.93,4189.3,5201.77,1801.2,-6853.68,7864.86,17125.99
5067.3551,7245.35,6344.03,4192.92,5205.63,1801.06,-6849.91,7870.15,17131.9
5067.3591,7245.73,6344.84,4189.49,5198.91,1788.28,-6863.21,7868.67,17118.07
5067.3631,7237.67,6330.3,4182.77,5188.28,1777.7,-6875.85,7860.42,17102.29
5067.3671,7237.91,6330.63,4186.11,5194.24,1788.52,-6866.74,7860.09,17110.06
5067.3711,7228.33,6332.4,4176.57,5190.33,1790.48,-6867.5,7852.6,17107.77
5067.3751,7230.85,6332.06,4178.91,5191.99,1788.76,-6865.12,7856.56,17112.64
5067.379,7231.67,6329.63,4176.38,5188.56,1777.55,-6870.7,7857.18,17109.25
5067.383,7234.53,6332.83,4178.91,5190.75,1777.84,-6869.75,7859.47,17109.35
5067.387,7223.46,6318.47,4170.37,5183.36,1777.17,-6875.09,7846.5,17098.1
5067.391,7215.45,6305.27,4167.13,5179.98,1781.13,-6874.56,7840.97,17094.38
5067.395,7225.85,6329.35,4172.28,5181.07,1781.61,-6873.56,7846.4,17090.51
5067.399,7226.94,6329.49,4173.99,5178.93,1772.83,-6877.04,7852.22,17094.57
5067.403,7221.18,6323.34,4168.18,5171.82,1764.68,-6886.53,7847.74,17089.8
5067.407,7219.22,6321.34,4167.27,5173.06,1774.6,-6881.67,7845.31,17091.28
5067.411,7210.02,6306.84,4162.5,5175.02,1782.85,-6873.56,7845.21,17095.52
5067.415,7207.68,6302.36,4160.21,5173.83,1777.46,-6874.42,7849.27,17100.86
5067.419,7217.69,6318.28,4166.65,5177.55,1770.5,-6876.66,7855.27,17102.39
5067.423,7225.42,6331.06,4172.28,5182.22,1772.36,-6874.04,7856.7,17106.39
5067.427,7230.57,6334.73,4178.67,5191.95,1787.95,-6859.35,7860.47,17119.84
5067.431,7226.52,6327.06,4180.1,5195.05,1798.11,-6853.53,7859.04,17121.56
5067.435,7228.8,6329.01,4181.53,5194.86,1794.29,-6855.58,7861.9,17118.12
5067.439,7237.1,6337.83,4186.2,5195.57,1786.23,-6861.31,7866.77,17118.12
5067.443,7240.82,6340.55,4187.68,5194.95,1783.18,-6865.79,7865.14,17112.54
5067.447,7236.43,6328.44,4189.35,5201.72,1795.44,-6852.58,7867.77,17123.99
5067.451,7241.44,6344.99,4194.45,5211.02,1809.98,-6839.42,7872.49,17133.48
5067.455,7241.06,6349.14,4190.59,5204.01,1801.16,-6846.24,7868.72,17123.84
5067.459,7251.31,6359.53,4198.6,5203.39,1793.86,-6854.82,7871.15,17116.17
5067.463,7254.65,6359.86,4202.37,5208.49,1795.82,-6851.53,7876.44,17125.42
5067.467,7242.25,6345.8,4192.26,5204.11,1796.87,-6855.11,7866.67,17119.74
5067.471,7232.81,6335.74,4186.82,5199.86,1799.25,-6857.73,7858.71,17115.55
5067.475,7235.58,6339.6,4189.78,5199.58,1796.15,-6858.97,7860.95,17113.26
5067.479,7238.87,6347.23,4189.06,5196.0,1782.18,-6867.27,7861.28,17107.73
5067.483,7228.8,6334.4,4178.62,5187.08,1769.92,-6874.85,7854.89,17103.24
5067.487,7223.42,6325.44,4174.38,5187.13,1779.75,-6867.5,7853.8,17111.68
5067.491,7213.4,6318.14,4165.7,5184.03,1782.23,-6867.5,7846.17,17104.34
5067.495,7212.02,6318.57,4162.79,5179.74,1775.36,-6872.51,7845.74,17098.67
5067.499,7222.08,6329.16,4171.13,5180.12,1770.54,-6877.71,7851.94,17100.86
5067.503,7227.18,6329.06,4178.29,5184.27,1774.45,-6873.23,7857.85,17110.54
5067.5069,7227.85,6343.27,4178.24,5185.41,1782.8,-6873.04,7852.94,17102.43
5067.5109,7219.03,6329.25,4173.47,5185.37,1789.24,-6868.17,7850.79,17104.91
5067.5149,7220.46,6331.06,4176.43,5186.51,1787.62,-6868.79,7853.7,17105.68
5067.5189,7227.95,6337.79,4179.62,5187.46,1781.37,-6870.08,7859.56,17107.68
5067.5229,7232.0,6341.03,4179.05,5188.51,1780.56,-6869.36,7860.95,17111.49
