TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5162.8154,7238.53,7505.56,6354.24,5354.31,1930.38,-6882.57,8453.56,17735.63
5162.8194,7239.87,7507.75,6358.53,5362.42,1944.92,-6869.79,8455.71,17747.07
5162.8234,7237.1,7505.85,6355.43,5359.79,1938.96,-6875.47,8453.18,17740.44
5162.8274,7239.87,7510.71,6352.66,5353.02,1927.76,-6882.53,8453.66,17735.34
5162.8314,7236.53,7508.37,6347.32,5347.78,1920.41,-6888.72,8451.94,17731.24
5162.8354,7225.71,7499.31,6340.89,5346.44,1923.61,-6888.82,8447.65,17732.81
5162.8394,7223.99,7497.98,6341.32,5350.26,1931.67,-6883.34,8442.07,17734.77
5162.8434,7234.57,7508.09,6348.04,5355.12,1936.01,-6880.0,8449.46,17738.92
5162.8474,7244.49,7519.01,6353.76,5358.7,1931.95,-6879.43,8458.28,17743.64
5162.8514,7253.89,7531.07,6358.91,5363.46,1930.76,-6875.66,8461.52,17749.22
5162.8554,7235.62,7502.13,6344.13,5356.07,1929.57,-6877.23,8453.32,17746.4
5162.8594,7227.52,7491.64,6340.55,5352.69,1933.86,-6880.9,8445.07,17736.72
5162.8634,7234.67,7501.08,6345.51,5353.12,1931.95,-6883.1,8447.31,17732.19
5162.8674,7234.24,7501.98,6342.41,5348.06,1918.41,-6890.58,8449.46,17729.43
5162.8714,7241.39,7510.85,6346.42,5349.78,1916.22,-6891.68,8450.56,17729.81
5162.8754,7242.25,7508.47,6349.18,5357.12,1928.76,-6879.66,8452.13,17741.49
5162.8794,7235.91,7501.03,6347.04,5357.6,1936.01,-6876.99,8446.17,17737.34
5162.8834,7236.29,7499.55,6345.37,5356.98,1933.0,-6877.14,8447.79,17736.15
5162.8874,7241.15,7507.85,6348.18,5354.02,1924.9,-6882.76,8451.13,17732.43
5162.8914,7251.07,7516.81,6355.81,5359.13,1925.52,-6878.04,8458.42,17739.73
5162.8954,7245.97,7506.9,6352.14,5361.46,1931.33,-6874.66,8455.99,17741.73
5162.8994,7241.44,7502.46,6350.23,5361.18,1938.72,-6874.51,8448.41,17734.82
5162.9034,7239.49,7503.08,6349.04,5357.41,1933.38,-6882.24,8443.26,17726.33
5162.9074,7235.81,7501.79,6344.41,5349.59,1919.75,-6894.88,8442.16,17721.85
5162.9114,7243.2,7508.95,6347.9,5354.21,1920.03,-6890.49,8449.98,17730.1
5162.9154,7248.12,7513.0,6355.19,5362.08,1936.34,-6879.14,8455.42,17737.2
5162.9194,7249.88,7511.52,6358.1,5367.95,1947.5,-6870.89,8454.75,17739.92
5162.9234,7251.5,7512.57,6357.15,5365.9,1942.3,-6874.51,8453.56,17737.68
5162.9274,7251.55,7513.71,6354.29,5358.27,1927.95,-6885.0,8451.03,17730.05
5162.9314,7258.27,7517.29,6358.39,5361.41,1927.04,-6884.96,8455.42,17735.44
5162.9354,7263.04,7524.78,6362.92,5367.99,1936.58,-6878.71,8455.8,17740.54
5162.9394,7240.73,7495.83,6348.09,5358.17,1934.58,-6884.58,8441.64,17733.0
5162.9433,7241.01,7497.26,6345.51,5357.22,1934.29,-6885.29,8443.88,17734.2
5162.9473,7250.88,7512.14,6349.8,5360.99,1930.38,-6887.39,8453.47,17735.58
5162.9513,7252.41,7515.15,6349.37,5357.03,1923.47,-6895.11,8453.27,17730.62
5162.9553,7244.92,7502.75,6344.94,5356.98,1928.38,-6892.25,8448.36,17735.24
5162.9593,7239.96,7496.17,6345.18,5363.7,1941.49,-6878.57,8450.13,17747.6
5162.9633,7235.24,7493.59,6337.55,5355.41,1931.19,-6888.58,8441.64,17733.29
5162.9673,7234.43,7496.74,6334.45,5343.87,1914.07,-6906.27,8435.77,17712.88
5162.9713,7227.76,7487.73,6328.68,5334.52,1902.01,-6917.81,8430.01,17703.58
5162.9753,7228.57,7486.39,6331.97,5340.72,1912.69,-6906.61,8433.72,17716.03
5162.9793,7228.9,7485.63,6335.78,5347.92,1925.75,-6897.16,8434.06,17723.51
5162.9833,7231.71,7487.82,6334.35,5350.5,1926.14,-6892.87,8438.02,17729.81
5162.9873,7234.96,7493.64,6335.26,5346.35,1916.17,-6898.79,8441.74,17726.23
5162.9913,7233.05,7492.78,6333.88,5339.43,1907.97,-6910.13,8438.4,17712.02
5162.9953,7234.96,7492.07,6338.26,5344.87,1919.89,-6903.32,8438.64,17720.99
5162.9993,7234.43,7490.3,6342.36,5351.73,1932.96,-6894.49,8438.02,17729.05
5163.0033,7241.54,7499.5,6349.61,5357.31,1938.15,-6890.06,8446.84,17733.24
5163.0072,7245.21,7506.37,6347.7,5355.5,1926.09,-6897.88,8449.13,17729.19
5163.0112,7239.63,7502.18,6340.84,5344.92,1915.03,-6909.66,8443.4,17719.89
5163.0152,7239.06,7501.27,6340.84,5348.49,1923.66,-6904.51,8439.02,17724.47
5163.0192,7237.15,7497.55,6339.26,5353.88,1934.86,-6892.4,8441.45,17733.05
5163.0232,7244.83,7506.56,6344.37,5358.89,1937.63,-6885.77,8449.03,17740.44
5163.0272,7240.39,7502.18,6336.59,5348.54,1920.46,-6898.17,8444.74,17727.19
5163.0312,7234.15,7493.78,6328.87,5340.62,1910.31,-6905.79,8439.59,17717.98
5163.0352,7237.34,7491.45,6330.78,5347.4,1919.32,-6893.92,8441.74,17728.71
5163.0392,7232.57,7484.63,6327.92,5345.77,1924.71,-6895.35,8434.92,17725.57
5163.0432,7229.47,7484.34,6325.15,5339.43,1918.13,-6904.7,8432.25,17715.84
5163.0472,7234.91,7489.01,6325.63,5338.0,1907.54,-6907.94,8436.11,17715.79
5163.0512,7240.82,7496.07,6330.4,5342.44,1908.02,-6906.7,8440.26,17719.84
5163.0552,7238.72,7494.36,6333.07,5345.44,1915.84,-6903.03,8437.21,17721.89
5163.0592,7237.1,7489.78,6334.59,5352.4,1926.85,-6890.39,8439.64,17733.29
5163.0632,7231.62,7486.63,6327.39,5343.15,1917.74,-6900.36,8430.77,17718.79
5163.0672,7231.9,7489.01,6326.39,5334.66,1905.2,-6909.09,8430.43,17709.54
5163.0711,7232.57,7487.82,6326.29,5333.33,1901.58,-6912.28,8431.2,17708.59
5163.0751,7236.2,7491.68,6331.02,5341.39,1913.02,-6905.84,8434.92,17713.6
5163.0791,7237.72,7493.64,6334.11,5348.64,1927.76,-6894.92,8436.63,17723.47
5163.0831,7232.81,7490.73,6329.68,5341.96,1923.28,-6900.74,8433.87,17717.79
5163.0871,7243.63,7502.51,6336.98,5349.3,1920.75,-6894.78,8447.41,17731.33
5163.0911,7240.58,7499.89,6333.97,5342.67,1908.73,-6904.41,8440.88,17722.08
5163.0951,7234.43,7492.02,6331.02,5340.15,1912.74,-6905.6,8434.15,17717.32
5163.0991,7232.57,7488.44,6332.11,5345.06,1926.47,-6897.5,8433.49,17721.61
5163.1031,7242.44,7498.55,6337.98,5351.35,1931.81,-6890.25,8439.16,17725.61
5163.1071,7259.75,7516.34,6350.61,5359.6,1931.38,-6884.62,8453.56,17735.24
5163.1111,7253.84,7504.65,6341.65,5355.74,1921.46,-6890.11,8452.61,17734.01
5163.1151,7247.83,7498.07,6335.88,5354.12,1923.28,-6893.92,8443.12,17730.43
5163.1191,7241.68,7490.78,6331.68,5351.97,1929.33,-6895.26,8434.96,17728.47
5163.1231,7241.92,7491.92,6331.11,5349.35,1926.57,-6897.69,8433.63,17722.99
5163.1271,7249.45,7504.85,6335.55,5348.16,1918.41,-6901.41,8438.4,17722.7
5163.1311,7244.49,7497.88,6333.4,5345.25,1910.73,-6903.55,8440.88,17724.18
5163.1351,7238.77,7491.06,6331.49,5345.35,1914.93,-6899.6,8439.11,17725.95
5163.1391,7240.15,7494.59,6332.68,5351.11,1926.9,-6892.16,8438.3,17727.42
5163.1431,7247.4,7505.13,6338.74,5354.98,1930.0,-6887.39,8443.88,17731.81
5163.1471,7247.59,7501.27,6337.83,5353.12,1922.56,-6889.58,8450.7,17737.01
5163.1511,7247.31,7500.89,6337.12,5348.35,1913.5,-6897.64,8449.75,17728.86
5163.1551,7243.25,7495.02,6334.97,5348.49,1917.74,-6897.74,8444.12,17728.66
5163.1591,7243.16,7491.54,6335.93,5354.93,1932.38,-6888.34,8445.98,17735.86
5163.1631,7241.77,7490.92,6335.02,5349.59,1928.23,-6895.64,8441.88,17727.9
5163.1671,7245.3,7494.12,6334.26,5346.01,1917.27,-6899.55,8446.12,17728.0
5163.1711,7240.82,7491.21,6332.02,5340.15,1907.68,-6907.65,8442.36,17719.56
5163.1751,7237.15,7489.21,6333.88,5339.29,1913.98,-6909.85,8436.49,17714.41
5163.1791,7240.3,7490.59,6336.98,5347.3,1927.14,-6899.93,8437.78,17721.32
5163.1831,7243.11,7492.02,6339.46,5351.88,1930.43,-6894.21,8443.88,17731.29
5163.1871,7235.96,7483.53,6329.49,5342.72,1914.36,-6907.94,8440.78,17723.94
5163.1911,7235.72,7483.53,6328.15,5337.05,1908.25,-6914.85,8440.88,17720.13
5163.1951,7240.49,7484.82,6331.97,5343.49,1919.41,-6907.51,8443.02,17724.85
5163.199,7235.58,7480.48,6330.44,5345.35,1929.52,-6900.41,8440.35,17731.14
5163.203,7234.0,7480.77,6326.06,5341.01,1924.09,-6902.74,8437.44,17726.8
5163.207,7241.77,7490.54,6328.87,5339.34,1914.02,-6909.13,8440.88,17721.8
5163.211,7248.12,7497.26,6332.78,5341.24,1911.12,-6910.66,8443.59,17721.23
5163.215,7236.29,7482.43,6323.82,5334.76,1911.12,-6916.19,8433.01,17714.22
5163.219,7233.05,7475.09,6324.34,5341.48,1925.33,-6905.75,8435.49,17723.28
5163.223,7230.28,7473.8,6321.96,5338.86,1923.32,-6908.04,8436.49,17724.23
5163.227,7238.82,7487.82,6326.15,5336.57,1914.07,-6915.24,8440.4,17721.32
5163.231,7237.72,7487.01,6326.49,5332.14,1904.44,-6923.29,8436.25,17716.12
5163.235,7242.01,7487.58,6332.26,5341.63,1917.74,-6913.23,8441.16,17725.33
5163.239,7246.45,7490.21,6335.83,5352.45,1933.96,-6895.5,8446.89,17741.59
5163.243,7248.12,7493.74,6335.16,5348.49,1931.33,-6901.93,8445.88,17734.29
5163.247,7241.77,7489.49,6327.3,5333.76,1914.36,-6920.67,8439.54,17716.27
5163.251,7238.68,7486.39,6323.05,5328.89,1905.44,-6924.92,8437.21,17714.26
5163.255,7251.79,7497.45,6335.93,5346.3,1924.47,-6906.37,8447.31,17733.05
5163.259,7258.85,7501.65,6340.93,5358.36,1943.16,-6893.73,8450.99,17741.49
5163.2629,7257.94,7505.13,6343.46,5354.93,1943.64,-6896.31,8450.41,17737.1
5163.2669,7256.41,7505.7,6338.74,5349.35,1929.24,-6906.27,8450.84,17732.15
5163.2709,7251.31,7500.84,6334.69,5342.67,1918.7,-6914.43,8448.89,17724.95
5163.2749,7248.74,7498.31,6336.26,5345.82,1927.19,-6907.65,8448.36,17729.71
5163.2789,7244.44,7494.36,6336.74,5351.54,1937.58,-6899.79,8445.45,17735.15
5163.2829,7239.87,7491.02,6331.16,5345.97,1931.1,-6905.94,8439.07,17725.28
5163.2869,7241.39,7492.26,6328.06,5340.2,1918.7,-6912.33,8440.92,17721.42
5163.2909,7249.02,7499.79,6335.64,5344.15,1917.36,-6911.18,8448.7,17726.9
5163.2949,7243.92,7492.02,6330.35,5342.87,1918.94,-6910.56,8440.4,17726.95
5163.2989,7245.11,7493.31,6334.11,5350.02,1932.81,-6899.74,8439.97,17732.34
5163.3029,7245.26,7495.31,6335.93,5349.11,1934.29,-6899.21,8442.36,17733.58
5163.3069,7243.06,7492.4,6331.06,5342.15,1919.56,-6906.94,8443.55,17730.05
5163.3109,7249.55,7499.27,6333.02,5343.58,1913.69,-6908.66,8443.55,17728.52
5163.3149,7254.36,7507.42,6338.26,5347.06,1922.27,-6908.61,8440.83,17725.42
5163.3189,7234.72,7480.34,6325.77,5339.1,1923.94,-6913.42,8431.34,17717.84
5163.3229,7228.66,7472.42,6320.81,5334.43,1919.22,-6916.14,8429.19,17719.89
5163.3268,7234.91,7482.15,6323.48,5332.28,1911.35,-6920.53,8433.01,17717.84
5163.3308,7240.49,7486.15,6325.25,5333.42,1908.35,-6921.86,8439.59,17718.84
5163.3348,7242.54,7488.49,6328.96,5336.38,1916.12,-6918.05,8435.63,17719.89
5163.3388,7241.2,7483.39,6329.92,5343.49,1930.14,-6906.56,8437.4,17729.81
5163.3428,7243.06,7485.34,6331.25,5344.2,1930.9,-6907.18,8440.69,17728.19
5163.3468,7244.83,7491.4,6331.59,5338.81,1920.84,-6911.95,8443.07,17724.47
5163.3508,7247.07,7494.31,6334.02,5336.09,1914.5,-6916.19,8442.45,17721.94
5163.3548,7241.39,7487.01,6331.44,5332.18,1919.27,-6915.86,8435.15,17718.98
5163.3588,7243.06,7484.58,6333.3,5341.67,1934.0,-6902.55,8438.3,17728.95
5163.3628,7244.16,7486.06,6334.64,5341.29,1932.14,-6903.65,8436.78,17727.33
5163.3668,7247.02,7492.78,6331.59,5336.76,1919.79,-6913.9,8437.06,17721.27
5163.3708,7248.5,7496.31,6331.97,5334.28,1913.6,-6918.05,8440.3,17721.13
5163.3748,7248.78,7494.26,6336.59,5342.06,1924.47,-6906.37,8442.78,17731.81
5163.3788,7250.21,7494.5,6340.46,5349.06,1939.82,-6894.88,8443.79,17738.54
5163.3828,7247.88,7491.49,6336.79,5346.49,1937.44,-6898.74,8441.78,17732.38
5163.3868,7252.65,7499.36,6338.07,5345.68,1926.71,-6904.89,8446.41,17729.19
5163.3908,7250.02,7496.31,6334.5,5340.96,1917.03,-6911.9,8445.17,17726.57
5163.3948,7244.06,7488.11,6327.77,5338.81,1916.84,-6915.09,8438.21,17722.99
5163.3988,7239.06,7480.81,6323.72,5339.81,1924.23,-6910.37,8432.77,17725.14
5163.4028,7243.16,7484.96,6325.63,5342.87,1926.33,-6907.42,8432.91,17727.04
5163.4068,7255.7,7500.6,6334.16,5346.01,1921.8,-6908.66,8439.3,17728.33
5163.4108,7266.19,7513.48,6341.89,5353.31,1923.85,-6900.22,8452.18,17743.3
5163.4148,7245.49,7486.34,6326.82,5340.86,1917.7,-6907.08,8440.16,17735.63
5163.4188,7248.35,7492.64,6331.97,5349.21,1931.19,-6899.93,8437.78,17732.1
5163.4228,7244.44,7490.68,6329.11,5346.2,1930.62,-6901.6,8433.92,17728.47
5163.4268,7241.82,7491.45,6328.87,5336.19,1919.17,-6916.29,8434.06,17716.7
5163.4308,7248.12,7501.03,6332.54,5336.95,1914.41,-6920.15,8437.78,17717.79
5163.4348,7249.55,7499.22,6332.83,5343.49,1921.32,-6913.9,8436.49,17723.75
5163.4388,7241.92,7489.59,6329.2,5343.82,1928.33,-6910.13,8431.39,17725.04
5163.4428,7237.48,7483.77,6324.91,5340.29,1923.7,-6910.9,8429.1,17723.75
5163.4468,7248.4,7498.07,6330.01,5341.34,1917.74,-6913.23,8435.58,17724.9
5163.4508,7246.45,7497.45,6326.1,5336.48,1909.45,-6918.57,8436.35,17725.47
5163.4547,7230.66,7477.48,6314.66,5328.61,1907.78,-6925.92,8424.57,17716.03
5163.4587,7225.66,7470.7,6311.56,5329.04,1914.55,-6924.82,8416.99,17710.45
5163.4627,7226.94,7471.47,6312.8,5329.28,1915.74,-6924.77,8419.56,17708.97
5163.4667,7232.62,7479.81,6316.81,5331.52,1910.88,-6923.06,8431.48,17714.41
5163.4707,7235.34,7484.39,6319.62,5330.32,1906.06,-6924.68,8433.77,17715.55
5163.4747,7233.19,7481.05,6318.71,5330.61,1910.21,-6924.2,8428.05,17712.88
5163.4787,7230.66,7477.05,6318.47,5336.91,1921.75,-6915.14,8428.53,17720.03
5163.4827,7225.28,7472.13,6316.23,5334.81,1920.65,-6915.9,8429.67,17717.65
5163.4867,7230.71,7479.1,6319.09,5332.47,1913.69,-6920.53,8434.92,17714.36
5163.4907,7237.1,7485.63,6322.58,5333.0,1909.78,-6920.67,8438.3,17716.89
5163.4947,7237.1,7483.34,6322.77,5335.05,1915.5,-6917.43,8436.25,17719.18
5163.4987,7229.14,7474.23,6318.0,5335.52,1922.42,-6912.28,8429.24,17717.89
5163.5027,7224.18,7471.61,6313.71,5331.9,1920.03,-6913.38,8427.91,17717.41
5163.5067,7226.66,7479.48,6314.09,5326.18,1908.49,-6919.91,8428.62,17710.16
5163.5107,7224.27,7478.62,6311.47,5321.93,1901.1,-6926.44,8428.72,17707.3
5163.5147,7222.89,7474.57,6311.61,5323.03,1905.01,-6923.77,8424.43,17708.11
5163.5186,7233.38,7487.15,6319.95,5336.95,1923.94,-6908.56,8428.48,17719.75
5163.5226,7219.17,7468.61,6311.27,5330.18,1918.84,-6915.43,8422.9,17713.6
5163.5266,7224.04,7474.52,6313.75,5327.27,1910.5,-6919.77,8428.53,17711.31
5163.5306,7230.47,7482.58,6316.61,5324.36,1904.06,-6923.87,8430.39,17708.11
5163.5346,7225.99,7473.47,6315.66,5324.84,1909.88,-6921.29,8427.43,17706.83
5163.5386,7226.28,7473.95,6318.76,5328.94,1923.37,-6912.76,8427.05,17710.59
5163.5426,7222.13,7469.99,6315.66,5327.75,1922.51,-6914.52,8427.53,17712.4
5163.5466,7225.9,7474.61,6314.76,5326.08,1911.83,-6919.96,8431.24,17711.36
5163.5506,7233.57,7481.58,6317.66,5326.27,1907.02,-6922.68,8434.44,17709.92
5163.5546,7246.35,7492.54,6327.68,5340.48,1923.37,-6909.56,8442.36,17722.85
5163.5586,7252.88,7499.98,6336.07,5355.22,1940.87,-6895.3,8444.36,17732.91
5163.5626,7247.54,7493.16,6332.68,5354.79,1940.11,-6895.11,8444.5,17735.34
5163.5666,7254.32,7501.75,6333.59,5351.35,1930.43,-6902.6,8446.65,17729.0
5163.5706,7257.18,7506.09,6334.11,5350.4,1925.52,-6904.41,8451.51,17731.86
5163.5746,7253.17,7499.74,6333.21,5350.92,1930.52,-6901.22,8449.36,17734.15
5163.5786,7240.49,7482.96,6324.67,5345.15,1932.53,-6902.41,8439.64,17730.91
5163.5825,7237.05,7478.86,6323.58,5343.72,1932.57,-6901.74,8442.16,17736.1
5163.5865,7240.68,7483.67,6323.39,5335.0,1920.65,-6915.95,8440.45,17722.08
5163.5905,7243.2,7483.48,6323.05,5334.04,1913.98,-6921.24,8441.5,17719.13
5163.5945,7242.87,7484.48,6325.01,5338.72,1920.32,-6917.57,8438.78,17722.27
5163.5985,7221.7,7462.79,6309.32,5324.27,1916.07,-6929.59,8419.18,17705.25
5163.6025,7219.84,7460.02,6305.98,5323.27,1914.79,-6928.54,8419.61,17707.92
5163.6065,7232.76,7474.38,6315.28,5329.04,1913.69,-6925.3,8431.39,17711.78
