TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5162.8862,345.138,-53.802,963.861,-1041.25,-7630.0,1627.5,1.52,54.72,-308.56
5162.9362,343.613,-56.608,960.384,-1172.5,-4777.5,1303.75,-6.08,57.76,-319.2
5162.9862,343.552,-51.484,960.079,-1496.25,-5153.75,778.75,-12.16,79.04,-332.88
5163.0362,341.722,-58.255,959.652,-1890.0,-4891.25,-17.5,-4.56,71.44,-308.56
5163.0862,344.833,-65.392,957.029,-1548.75,-5022.5,61.25,-21.28,76.0,-314.64
5163.1362,349.53,-63.196,957.822,665.0,-5731.25,953.75,10.64,59.28,-313.12
5163.1862,354.227,-47.153,957.822,-17.5,-4541.25,1041.25,-13.68,76.0,-317.68
5163.2362,347.151,-47.824,961.482,-420.0,-3736.25,411.25,4.56,69.92,-325.28
5163.2862,343.491,-46.116,959.896,-1382.5,-4733.75,-455.0,-18.24,77.52,-314.64
5163.3362,344.65,-53.314,960.506,-1400.0,-5057.5,-411.25,-4.56,71.44,-326.8
5163.3862,345.931,-48.434,960.811,-918.75,-4418.75,140.0,-15.2,51.68,-335.92
5163.4362,345.87,-50.63,963.312,-1356.25,-3762.5,437.5,-22.8,71.44,-310.08
5163.4862,339.892,-50.935,962.58,-875.0,-2773.75,533.75,-10.64,59.28,-332.88
5163.5362,337.269,-49.166,958.615,-1505.0,-4138.75,271.25,-18.24,82.08,-323.76
5163.5862,338.123,-49.349,962.153,-1828.75,-3963.75,227.5,1.52,68.4,-325.28
5163.6362,332.755,-51.179,963.129,-2205.0,-3517.5,498.75,-18.24,53.2,-323.76
5163.6862,320.616,-52.46,956.968,-1785.0,-6562.5,1102.5,-1.52,80.56,-319.2
5163.7362,331.718,-53.497,963.739,-1837.5,-9327.5,997.5,-13.68,62.32,-323.76
5163.7862,347.822,-49.532,958.554,-1128.75,-7726.25,481.25,1.52,79.04,-323.76
5163.8362,348.249,-47.214,956.602,-1408.75,-7288.75,-402.5,-13.68,59.28,-326.8
5163.8863,350.994,-45.811,956.236,-1872.5,-7533.75,-472.5,-18.24,71.44,-328.32
5163.9362,357.399,-46.787,957.639,-2406.25,-6536.25,-630.0,-13.68,63.84,-320.72
5163.9862,360.449,-49.898,954.711,-2248.75,-6055.0,-621.25,-10.64,71.44,-316.16
5164.0362,357.399,-49.654,957.395,-1653.75,-5442.5,-157.5,-9.12,51.68,-314.64
5164.0862,360.632,-50.081,955.87,-1575.0,-5565.0,700.0,-21.28,68.4,-326.8
5164.1362,360.266,-49.715,953.857,-1767.5,-4541.25,1478.75,4.56,65.36,-323.76
5164.1862,354.288,-48.129,955.809,-2012.5,-5258.75,1496.25,-18.24,65.36,-322.24
5164.2362,358.192,-51.789,956.968,-2310.0,-4611.25,1268.75,-13.68,62.32,-313.12
5164.2862,357.399,-53.497,953.125,-2231.25,-3657.5,936.25,-39.52,59.28,-328.32
5164.3362,354.776,-53.619,957.639,-2126.25,-3535.0,1338.75,-7.6,72.96,-302.48
5164.3862,351.604,-52.521,958.676,-1671.25,-2957.5,1863.75,-15.2,66.88,-326.8
5164.4362,345.931,-52.948,957.578,-2301.25,-3395.0,1312.5,-16.72,69.92,-317.68
5164.4862,339.892,-57.706,954.955,-2686.25,-3342.5,236.25,-25.84,66.88,-326.8
5164.5362,331.169,-62.769,955.931,-2765.0,-5040.0,-61.25,-24.32,59.28,-328.32
5164.5862,341.966,-63.013,960.079,-1487.5,-7507.5,743.75,-10.64,51.68,-304.0
5164.6362,351.848,-59.475,960.628,-1548.75,-6938.75,1137.5,-12.16,72.96,-322.24
5164.6862,349.286,-54.046,955.138,-1207.5,-5950.0,997.5,1.52,45.6,-307.04
5164.7362,351.665,-56.059,957.029,-2493.75,-7000.0,262.5,-12.16,56.24,-322.24
5164.7862,357.399,-58.926,957.212,-2257.5,-6168.75,105.0,-4.56,59.28,-313.12
