TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6311.9918,9232.81,5131.39,1829.34,7590.63,-5506.56,-6127.36,2807.9,22608.09
6311.9958,9238.96,5139.26,1833.92,7600.31,-5490.83,-6114.15,2812.77,22614.77
6311.9998,9231.43,5127.1,1828.62,7599.02,-5497.98,-6113.58,2814.96,22625.64
6312.0038,9230.28,5125.48,1827.96,7590.1,-5514.19,-6126.02,2810.05,22615.34
6312.0078,9241.77,5138.06,1838.16,7598.73,-5507.8,-6120.21,2819.3,22620.59
6312.0118,9236.53,5135.44,1833.15,7597.59,-5500.89,-6117.44,2815.77,22622.35
6312.0158,9229.47,5129.48,1829.53,7590.25,-5497.65,-6123.73,2807.19,22608.33
6312.0198,9189.23,5082.56,1795.91,7554.2,-5528.98,-6153.77,2782.97,22578.58
6312.0238,9212.88,5107.31,1815.51,7571.27,-5519.58,-6138.09,2803.99,22603.51
6312.0278,9209.68,5110.55,1812.89,7564.12,-5529.12,-6149.48,2794.46,22589.35
6312.0318,9207.01,5103.73,1811.89,7568.65,-5520.2,-6142.0,2793.46,22593.69
6312.0358,9222.32,5118.13,1828.1,7589.25,-5495.26,-6117.39,2810.1,22618.2
6312.0398,9225.18,5124.43,1828.48,7585.91,-5501.6,-6123.59,2807.28,22614.1
6312.0438,9206.34,5106.69,1811.93,7562.92,-5528.5,-6149.67,2791.31,22591.64
6312.0478,9208.87,5108.07,1812.89,7562.02,-5532.41,-6151.77,2787.69,22587.83
6312.0518,9220.22,5120.04,1822.23,7579.28,-5511.52,-6132.65,2798.99,22605.61
6312.0558,9208.39,5109.55,1811.93,7572.6,-5511.43,-6135.46,2790.4,22598.56
6312.0598,9199.81,5097.29,1804.4,7564.31,-5520.73,-6140.9,2789.69,22597.94
6312.0638,9215.21,5116.22,1815.18,7569.79,-5523.44,-6139.33,2797.37,22599.89
6312.0678,9212.16,5113.17,1813.7,7567.79,-5527.93,-6143.43,2794.36,22597.65
6312.0718,9203.05,5100.97,1807.69,7565.26,-5522.16,-6144.14,2788.11,22590.54
6312.0758,9210.73,5113.13,1814.46,7573.84,-5507.04,-6131.17,2794.7,22599.37
