TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6312.0362,283.772,-28.792,973.987,-1680.0,-2030.0,-131.25,28.88,36.48,-351.12
6312.0862,287.31,-29.646,976.183,-2397.5,-5923.75,350.0,31.92,68.4,-338.96
6312.1362,294.142,-33.916,975.817,-2861.25,-6037.5,1505.0,15.2,38.0,-345.04
6312.1862,296.46,-44.042,968.497,-1408.75,-6352.5,2598.75,18.24,51.68,-338.96
6312.2362,294.935,-45.323,973.621,-1312.5,-5582.5,1846.25,25.84,44.08,-317.68
6312.2862,312.015,-39.345,969.351,-533.75,-7455.0,1951.25,30.4,56.24,-337.44
6312.3362,315.065,-39.406,978.257,-1881.25,-3727.5,-813.75,18.24,42.56,-349.6
6312.3862,302.804,-39.65,976.732,-437.5,-3718.75,-743.75,16.72,34.96,-323.76
6312.4362,293.227,-34.404,976.305,-2397.5,-3535.0,-315.0,3.04,39.52,-329.84
6312.4862,305.122,-39.65,982.161,-2686.25,-5416.25,-542.5,31.92,38.0,-332.88
6312.5362,301.706,-37.698,970.144,-1968.75,-1671.25,-700.0,28.88,39.52,-331.36
6312.5862,286.212,-40.504,968.131,-2721.25,-4252.5,910.0,25.84,39.52,-334.4
6312.6362,287.127,-40.748,970.693,-3150.0,-6081.25,1146.25,18.24,51.68,-338.96
6312.6862,294.264,-44.774,971.364,-2537.5,-7078.75,1207.5,19.76,42.56,-329.84
6312.7362,308.05,-51.057,969.9,-2572.5,-6702.5,271.25,22.8,57.76,-332.88
6312.7862,311.161,-51.545,971.852,-1478.75,-4751.25,472.5,25.84,33.44,-337.44
6312.8362,308.538,-45.872,973.621,-1426.25,-4891.25,542.5,28.88,41.04,-326.8
6312.8862,306.464,-42.822,974.048,-1155.0,-3106.25,43.75,-1.52,51.68,-331.36
6312.9362,290.665,-41.48,971.303,-1688.75,-3386.25,-428.75,33.44,44.08,-343.52
6312.9862,299.51,-42.151,973.621,-1820.0,-3876.25,840.0,21.28,45.6,-334.4
6313.0362,296.521,-40.748,973.621,-1225.0,-4418.75,1846.25,21.28,56.24,-348.08
6313.0862,306.098,-46.482,976.732,-866.25,-5040.0,2502.5,34.96,50.16,-332.88
6313.1362,300.791,-43.31,973.499,-1260.0,-3736.25,1268.75,24.32,41.04,-331.36
6313.1862,301.218,-43.493,973.682,-1487.5,-3867.5,-192.5,41.04,51.68,-334.4
6313.2362,303.841,-46.116,977.22,-787.5,-2432.5,-1286.25,24.32,44.08,-337.44
6313.2862,302.316,-44.347,976.244,-227.5,-1802.5,-848.75,36.48,59.28,-342.0
6313.3362,281.393,-35.807,974.841,-1198.75,-2598.75,-271.25,15.2,30.4,-334.4
6313.3862,288.957,-37.881,977.159,-1461.25,-5267.5,1137.5,42.56,34.96,-340.48
6313.4362,297.375,-39.772,980.026,-1006.25,-4987.5,1198.75,28.88,39.52,-332.88
6313.4862,286.761,-34.343,976.854,-2318.75,-3185.0,428.75,30.4,39.52,-329.84
6313.5362,283.955,-39.162,973.987,-3053.75,-4252.5,245.0,31.92,45.6,-348.08
6313.5862,292.983,-48.739,976.061,-2248.75,-5162.5,813.75,27.36,63.84,-338.96
6313.6362,288.774,-47.946,972.645,-1023.75,-5118.75,1032.5,28.88,54.72,-323.76
6313.6863,293.044,-41.358,977.83,-1050.0,-5871.25,253.75,36.48,48.64,-329.84
6313.7362,295.179,-39.406,974.841,-1548.75,-3631.25,-673.75,27.36,44.08,-329.84
6313.7862,289.689,-41.907,977.769,-1636.25,-3482.5,-297.5,31.92,50.16,-346.56
6313.8362,288.042,-39.406,978.196,-1995.0,-4410.0,437.5,25.84,44.08,-317.68
6313.8862,286.7,-39.711,976.854,-1478.75,-3990.0,997.5,13.68,39.52,-345.04
6313.9362,287.066,-39.223,975.756,-1268.75,-4812.5,437.5,39.52,59.28,-340.48
6313.9862,287.249,-37.149,973.377,-1907.5,-3858.75,376.25,13.68,24.32,-335.92
6314.0362,286.09,-45.14,977.098,-1916.25,-5241.25,586.25,33.44,47.12,-346.56
6314.0862,295.301,-42.944,983.442,-516.25,-4865.0,1181.25,18.24,54.72,-323.76
6314.1362,282.552,-33.489,976.244,-962.5,-2537.5,175.0,30.4,63.84,-355.68
6314.1862,278.404,-36.905,971.486,-1680.0,-4025.0,-463.75,36.48,47.12,-342.0
6314.2362,277.672,-42.517,978.318,-1960.0,-5057.5,498.75,36.48,31.92,-332.88
6314.2862,278.831,-40.199,975.085,-1557.5,-5145.0,1050.0,30.4,39.52,-319.2
6314.3362,284.931,-37.576,978.196,-1645.0,-6965.0,1382.5,24.32,59.28,-338.96
6314.3862,297.131,-39.65,978.013,-2143.75,-4418.75,428.75,19.76,45.6,-342.0
6314.4362,288.591,-43.859,978.257,-2572.5,-2660.0,105.0,34.96,33.44,-328.32
6314.4862,282.552,-44.286,978.623,-1531.25,-3657.5,621.25,25.84,44.08,-325.28
6314.5362,280.661,-43.432,976.061,-1618.75,-3832.5,901.25,39.52,57.76,-340.48
6314.5862,277.916,-40.931,978.623,-1163.75,-3893.75,717.5,36.48,38.0,-337.44
6314.6362,274.988,-38.918,980.514,-1846.25,-5748.75,218.75,10.64,45.6,-335.92
6314.6862,284.26,-41.785,979.843,-1636.25,-6002.5,78.75,41.04,45.6,-332.88
6314.7362,279.075,-40.992,981.368,-1671.25,-4882.5,96.25,15.2,41.04,-319.2
6314.7862,282.43,-45.933,978.745,-1540.0,-6676.25,595.0,34.96,34.96,-337.44
6314.8362,287.066,-37.149,977.159,-1102.5,-5652.5,446.25,18.24,38.0,-338.96
6314.8862,289.079,-41.236,975.939,-2476.25,-5652.5,70.0,36.48,56.24,-332.88
6314.9362,288.652,-44.347,971.181,-2353.75,-5608.75,306.25,30.4,36.48,-334.4
6314.9862,294.325,-49.654,979.416,-936.25,-5582.5,971.25,31.92,41.04,-328.32
6315.0362,294.264,-36.661,978.989,-1146.25,-2668.75,787.5,34.96,69.92,-319.2
6315.0862,276.025,-31.537,973.804,-1697.5,-3202.5,-43.75,30.4,44.08,-331.36
6315.1362,279.014,-47.58,976.549,-3325.0,-5582.5,-385.0,30.4,45.6,-342.0
6315.1862,281.82,-45.384,978.684,-647.5,-4926.25,726.25,36.48,30.4,-322.24
6315.2362,283.406,-40.87,976.305,-1216.25,-5871.25,1426.25,36.48,53.2,-340.48
6315.2862,294.813,-39.894,977.708,-1785.0,-5792.5,586.25,16.72,41.04,-337.44
6315.3362,293.898,-45.689,976.488,-1750.0,-4593.75,315.0,25.84,39.52,-329.84
6315.3862,291.336,-44.042,975.207,-1128.75,-3561.25,-105.0,31.92,60.8,-332.88
6315.4362,280.6,-41.297,976.0,-1470.0,-4007.5,140.0,48.64,50.16,-331.36
6315.4862,280.417,-41.236,978.257,-1295.0,-4926.25,428.75,36.48,62.32,-352.64
6315.5362,285.358,-37.088,977.22,-1382.5,-5276.25,472.5,42.56,34.96,-328.32
6315.5862,284.87,-40.26,978.135,-2152.5,-4532.5,682.5,47.12,56.24,-345.04
6315.6364,279.319,-42.029,978.196,-1942.5,-5101.25,341.25,42.56,47.12,-323.76
6315.6862,285.114,-42.639,975.756,-1426.25,-5005.0,393.75,19.76,30.4,-332.88
6315.7362,287.249,-39.528,976.671,-1295.0,-5521.25,831.25,22.8,57.76,-332.88
6315.7862,287.127,-41.236,980.636,-1802.5,-4593.75,717.5,36.48,50.16,-323.76
6315.8362,281.454,-38.857,975.085,-1881.25,-5083.75,691.25,25.84,50.16,-342.0
6315.8862,286.456,-47.58,972.767,-2345.0,-5731.25,498.75,25.84,44.08,-332.88
6315.9362,297.68,-47.946,983.076,-953.75,-6081.25,411.25,36.48,50.16,-329.84
6315.9862,284.199,-39.223,976.244,-988.75,-2362.5,-96.25,33.44,56.24,-332.88
6316.0362,276.452,-37.637,973.987,-1601.25,-4532.5,-70.0,33.44,48.64,-320.72
6316.0862,283.65,-45.628,977.952,-1540.0,-4865.0,463.75,31.92,39.52,-329.84
6316.1362,283.894,-46.787,978.501,-621.25,-4803.75,918.75,30.4,48.64,-343.52
6316.1862,287.31,-40.809,976.976,-805.0,-5687.5,1076.25,4.56,50.16,-337.44
6316.2362,288.225,-34.709,978.928,-1785.0,-4926.25,288.75,33.44,44.08,-340.48
6316.2862,288.164,-39.162,978.013,-1723.75,-4952.5,175.0,33.44,47.12,-343.52
6316.3362,288.347,-42.151,979.965,-1680.0,-4322.5,551.25,36.48,48.64,-331.36
6316.3862,284.565,-41.907,975.878,-1242.5,-4541.25,796.25,31.92,59.28,-328.32
6316.4362,286.944,-41.663,977.159,-1960.0,-4707.5,673.75,34.96,44.08,-338.96
6316.4862,285.236,-38.247,978.257,-1986.25,-5057.5,840.0,38.0,54.72,-338.96
6316.5362,284.931,-42.761,978.867,-2423.75,-5346.25,796.25,27.36,31.92,-323.76
6316.5862,282.857,-43.493,978.562,-1566.25,-4620.0,962.5,36.48,51.68,-352.64
6316.6362,282.857,-42.273,978.074,-1645.0,-5311.25,813.75,19.76,45.6,-332.88
6316.6862,288.042,-43.676,977.891,-1505.0,-5845.0,358.75,47.12,54.72,-328.32
6316.7362,291.458,-42.456,977.281,-1785.0,-4821.25,218.75,33.44,51.68,-338.96
6316.7862,287.31,-41.724,973.926,-1540.0,-4847.5,131.25,38.0,63.84,-331.36
6316.8362,279.38,-45.994,974.353,-1706.25,-5048.75,472.5,13.68,48.64,-345.04
6316.8862,292.007,-44.103,982.1,-350.0,-6203.75,656.25,39.52,41.04,-340.48
6316.9362,293.837,-34.77,978.135,-831.25,-3605.0,420.0,24.32,42.56,-337.44
6316.9862,281.149,-37.576,976.549,-1645.0,-4628.75,-43.75,27.36,41.04,-335.92
6317.0362,283.589,-39.528,977.586,-2065.0,-5591.25,-201.25,15.2,44.08,-337.44
6317.0862,290.848,-44.408,975.756,-1277.5,-4278.75,787.5,27.36,39.52,-331.36
6317.1362,288.225,-38.552,975.512,-1706.25,-5670.0,962.5,30.4,45.6,-326.8
6317.1862,295.057,-35.746,974.78,-1443.75,-5433.75,980.0,27.36,28.88,-337.44
6317.2362,290.543,-43.981,978.806,-2625.0,-3823.75,428.75,27.36,41.04,-322.24
6317.2862,283.711,-45.933,975.512,-1898.75,-3963.75,428.75,36.48,42.56,-358.72
6317.3362,281.515,-44.164,977.22,-1417.5,-4340.0,735.0,41.04,51.68,-319.2
6317.3862,279.99,-38.735,974.841,-1382.5,-5180.0,402.5,24.32,39.52,-348.08
6317.4362,284.443,-40.931,978.867,-2187.5,-5521.25,393.75,25.84,57.76,-348.08
6317.4862,284.809,-45.933,976.793,-1942.5,-5215.0,630.0,19.76,42.56,-329.84
6317.5362,287.371,-43.554,977.708,-1505.0,-5118.75,910.0,53.2,31.92,-331.36
6317.5864,285.663,-42.761,974.597,-1277.5,-5206.25,647.5,42.56,50.16,-328.32
6317.6362,293.41,-38.918,977.769,-2003.75,-6098.75,26.25,22.8,45.6,-334.4
6317.6863,298.961,-42.273,979.294,-2625.0,-4838.75,148.75,36.48,24.32,-346.56
6317.7362,289.018,-47.458,973.072,-1540.0,-3928.75,840.0,21.28,51.68,-335.92
6317.7862,284.382,-46.787,974.292,-1128.75,-6055.0,1286.25,25.84,54.72,-346.56
6317.8362,293.959,-48.373,981.063,-796.25,-5687.5,586.25,31.92,51.68,-342.0
6317.8862,283.833,-38.979,975.268,-1058.75,-2642.5,-78.75,39.52,45.6,-334.4
6317.9362,277.123,-38.43,976.793,-1898.75,-4497.5,280.0,27.36,30.4,-345.04
6317.9862,283.345,-50.874,978.562,-2091.25,-5477.5,936.25,25.84,41.04,-343.52
6318.0362,281.942,-45.018,978.989,-323.75,-5241.25,1330.0,21.28,50.16,-338.96
6318.0862,286.883,-38.979,978.074,-1303.75,-6492.5,691.25,41.04,62.32,-343.52
6318.1362,296.948,-38.552,975.512,-2441.25,-5661.25,-43.75,28.88,39.52,-337.44
6318.1862,294.63,-52.155,974.536,-2021.25,-4278.75,700.0,41.04,47.12,-325.28
6318.2362,289.201,-47.702,975.268,-1163.75,-4445.0,1295.0,13.68,44.08,-328.32
6318.2862,293.593,-43.432,974.048,-743.75,-5022.5,691.25,48.64,34.96,-323.76
6318.3362,291.641,-39.711,973.438,-1522.5,-4051.25,341.25,36.48,59.28,-338.96
6318.3862,288.713,-42.212,980.636,-1741.25,-3946.25,-70.0,30.4,45.6,-338.96
6318.4362,286.578,-44.408,978.745,-770.0,-2992.5,708.75,33.44,56.24,-343.52
6318.4862,277.428,-40.26,978.501,-1443.75,-3963.75,603.75,21.28,45.6,-334.4
6318.5362,282.857,-43.31,976.854,-1715.0,-5547.5,586.25,28.88,47.12,-329.84
6318.5862,285.968,-42.761,976.305,-1758.75,-5460.0,927.5,36.48,27.36,-338.96
6318.6362,286.395,-42.517,978.501,-2100.0,-5346.25,770.0,25.84,47.12,-328.32
6318.6862,286.273,-45.567,973.804,-2275.0,-4707.5,752.5,30.4,39.52,-338.96
6318.7362,287.432,-46.604,975.207,-2336.25,-6431.25,647.5,41.04,57.76,-343.52
6318.7862,292.8,-49.105,979.477,-1260.0,-4882.5,551.25,24.32,60.8,-334.4
6318.8362,289.567,-43.493,979.355,-1338.75,-3788.75,218.75,27.36,56.24,-328.32
6318.8862,281.759,-41.724,975.573,-1881.25,-4882.5,122.5,38.0,54.72,-331.36
6318.9362,285.602,-47.946,977.952,-2257.5,-6457.5,980.0,38.0,41.04,-334.4
6318.9862,288.591,-47.763,975.085,-2231.25,-6063.75,866.25,38.0,59.28,-329.84
6319.0362,295.118,-48.983,977.708,-927.5,-6020.0,1041.25,24.32,39.52,-332.88
6319.0862,298.107,-38.613,973.743,-1470.0,-4453.75,-70.0,34.96,39.52,-332.88
6319.1362,295.545,-43.859,976.0,-2467.5,-4550.0,8.75,22.8,45.6,-329.84
6319.1862,289.323,-51.667,976.366,-1277.5,-3631.25,507.5,24.32,44.08,-345.04
6319.2362,290.726,-47.519,976.915,-787.5,-4147.5,560.0,25.84,59.28,-342.0
6319.2862,289.079,-39.406,975.939,-805.0,-4541.25,507.5,39.52,54.72,-335.92
6319.3362,285.846,-43.554,974.109,-2073.75,-4698.75,26.25,30.4,54.72,-338.96
6319.3862,287.493,-46.604,976.061,-1408.75,-4830.0,717.5,16.72,51.68,-320.72
6319.4362,288.408,-46.36,977.525,-1872.5,-5267.5,953.75,25.84,54.72,-334.4
6319.4862,291.031,-43.615,975.207,-1373.75,-5083.75,647.5,27.36,31.92,-326.8
6319.5362,286.517,-42.395,976.0,-2196.25,-4655.0,498.75,22.8,38.0,-325.28
6319.5862,284.626,-46.116,975.878,-2310.0,-5398.75,481.25,36.48,31.92,-335.92
6319.6364,288.53,-47.824,977.83,-2318.75,-6177.5,962.5,41.04,62.32,-340.48
6319.6862,301.767,-47.824,980.758,-551.25,-5040.0,1120.0,22.8,33.44,-334.4
6319.7363,284.565,-39.955,973.987,-1601.25,-3858.75,201.25,44.08,63.84,-328.32
6319.7862,284.809,-45.75,975.451,-2301.25,-4908.75,-8.75,25.84,41.04,-334.4
6319.8362,286.639,-49.532,976.061,-2012.5,-4917.5,560.0,44.08,38.0,-342.0
6319.8862,284.626,-48.983,976.0,-1216.25,-5433.75,1172.5,24.32,39.52,-349.6
6319.9362,290.848,-44.896,975.268,-988.75,-5897.5,778.75,18.24,30.4,-329.84
