TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6391.2089,10911.08,6328.73,3398.18,9112.41,-2887.82,-4698.61,4636.62,24749.0
6391.2129,10905.79,6324.44,3389.5,9102.58,-2903.65,-4709.53,4630.42,24742.08
6391.2169,10906.51,6324.2,3388.93,9103.01,-2908.42,-4706.81,4634.86,24750.09
6391.2209,10904.98,6324.05,3388.6,9099.63,-2906.66,-4713.63,4627.56,24730.88
6391.2249,10908.13,6327.58,3392.84,9109.78,-2892.92,-4699.9,4633.47,24744.99
6391.2289,10908.75,6329.54,3393.79,9110.79,-2891.49,-4692.65,4639.15,24755.05
6391.2329,10904.74,6326.63,3390.22,9095.38,-2906.42,-4714.92,4629.66,24726.58
6391.2369,10899.45,6318.52,3383.02,9088.95,-2918.43,-4723.02,4622.56,24724.44
6391.2409,10906.65,6328.2,3390.31,9102.39,-2904.61,-4705.38,4632.28,24745.85
6391.2449,10910.75,6338.07,3398.94,9111.31,-2889.2,-4698.04,4635.43,24749.47
6391.2489,10902.02,6325.63,3390.12,9104.87,-2893.16,-4704.29,4629.99,24740.84
6391.2529,10901.98,6323.96,3385.5,9097.24,-2903.84,-4712.77,4626.08,24734.74
6391.2569,10906.98,6329.16,3387.79,9097.62,-2910.47,-4717.02,4625.46,24733.93
6391.2609,10906.13,6329.35,3388.26,9100.58,-2904.56,-4711.91,4625.46,24737.65
6391.2649,10905.17,6328.39,3389.07,9107.54,-2892.07,-4701.81,4627.99,24744.7
6391.2689,10911.13,6335.02,3393.22,9115.17,-2887.68,-4692.84,4635.76,24754.1
6391.2729,10912.47,6335.78,3393.6,9109.45,-2897.79,-4698.71,4637.96,24748.76
6391.2769,10909.42,6332.35,3391.65,9104.4,-2908.23,-4705.14,4638.39,24744.75
6391.2809,10906.27,6329.92,3390.12,9105.59,-2904.99,-4702.52,4635.72,24745.51
6391.2849,10904.5,6326.63,3391.7,9106.97,-2895.45,-4699.23,4631.42,24746.56
6391.2889,10907.13,6328.25,3393.6,9107.59,-2892.83,-4697.56,4632.9,24745.61
6391.2929,10907.32,6327.63,3390.93,9102.11,-2904.51,-4706.43,4631.19,24738.84
6391.2969,10911.51,6330.4,3390.17,9104.16,-2909.85,-4707.15,4632.47,24745.71
6391.3009,10910.46,6330.25,3388.98,9106.3,-2902.03,-4699.42,4635.38,24753.43
6391.3049,10904.79,6326.96,3388.45,9109.55,-2890.06,-4689.88,4638.05,24760.54
6391.3089,10896.54,6317.66,3381.06,9099.01,-2900.46,-4706.43,4626.47,24735.31
6391.3129,10896.45,6316.9,3379.39,9093.38,-2911.85,-4713.15,4628.13,24735.69
6391.3169,10897.3,6317.43,3377.63,9092.05,-2919.77,-4714.78,4626.99,24740.27
6391.3209,10889.72,6312.66,3374.1,9085.8,-2919.01,-4723.17,4618.12,24724.06
6391.3249,10890.63,6313.04,3377.49,9091.71,-2904.84,-4717.4,4619.17,24726.82
6391.3289,10892.82,6314.56,3378.77,9093.24,-2901.89,-4715.25,4622.13,24731.07
6391.3329,10894.97,6314.95,3378.25,9091.86,-2910.09,-4718.4,4624.8,24730.97
6391.3368,10907.94,6329.01,3390.74,9103.01,-2903.65,-4710.91,4636.43,24740.99
6391.3408,10907.46,6330.11,3391.55,9105.16,-2899.93,-4707.43,4634.05,24745.28
6391.3448,10902.93,6323.29,3387.31,9105.21,-2893.59,-4702.28,4631.09,24749.62
6391.3488,10901.98,6320.1,3387.98,9105.35,-2891.73,-4697.8,4633.09,24755.72
6391.3528,10907.56,6324.01,3389.5,9100.68,-2901.36,-4708.24,4631.04,24745.9
6391.3568,10904.03,6320.67,3384.69,9092.33,-2912.04,-4719.4,4626.66,24731.83
6391.3608,10909.51,6328.15,3390.6,9103.01,-2899.98,-4706.34,4635.24,24746.04
6391.3648,10914.42,6334.21,3397.51,9114.12,-2883.43,-4692.27,4641.2,24761.92
6391.3688,10904.36,6322.53,3386.45,9101.11,-2892.07,-4708.77,4629.8,24738.51
6391.3728,10900.31,6316.19,3379.49,9094.57,-2904.89,-4711.68,4629.42,24741.46
6391.3768,10913.9,6326.01,3390.46,9107.88,-2898.07,-4694.18,4645.78,24766.02
6391.3808,10916.62,6330.78,3396.23,9111.83,-2891.4,-4695.46,4645.59,24756.01
6391.3848,10895.35,6312.47,3381.49,9095.05,-2898.03,-4714.16,4626.56,24733.07
6391.3888,10904.27,6321.43,3388.31,9104.83,-2890.63,-4702.81,4633.71,24744.9
6391.3928,10895.87,6313.47,3378.92,9090.33,-2908.33,-4718.02,4623.75,24732.02
6391.3968,10903.36,6321.62,3384.07,9090.47,-2910.95,-4723.07,4627.13,24725.3
6391.4007,10898.02,6313.09,3380.01,9091.19,-2908.33,-4720.02,4624.75,24728.21
6391.4047,10886.81,6300.26,3373.86,9092.05,-2903.65,-4713.87,4621.32,24737.22
6391.4087,10886.24,6301.79,3375.2,9093.38,-2901.51,-4712.44,4622.79,24738.12
6391.4127,10896.25,6314.04,3380.49,9092.76,-2905.89,-4720.16,4624.7,24727.49
6391.4167,10896.3,6312.9,3375.44,9089.95,-2914.29,-4724.26,4623.46,24730.97
6391.4207,10903.36,6318.52,3381.06,9101.34,-2900.51,-4710.39,4631.95,24744.08
6391.4247,10903.41,6317.76,3384.21,9106.92,-2886.92,-4700.52,4634.57,24748.9
6391.4287,10902.12,6318.9,3383.59,9105.78,-2886.68,-4701.61,4632.95,24744.23
