TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4044.7392,6385.55,2721.8017,15642.86,22656.2683,18337.3717,10632.0,4548.385,9244.3633
4044.7421,6386.4067,2721.725,15640.2133,22660.64,18340.2083,10630.8317,4549.5767,9243.9833
4044.7461,6379.5717,2716.3033,15636.43,22651.8017,18332.835,10627.5183,4544.4167,9240.1517
4044.7501,6377.9783,2716.5333,15638.815,22644.5867,18328.9967,10630.775,4544.0667,9242.925
4044.754,6382.6967,2720.3417,15642.47,22650.8333,18334.3417,10634.5833,4547.6033,9245.8267
4044.758,6384.1167,2721.0967,15643.425,22655.84,18337.9033,10635.48,4549.8367,9246.8917
4044.762,6384.7317,2720.8033,15642.0183,22657.1183,18338.07,10631.8483,4548.385,9245.635
4044.766,6387.0517,2724.0117,15646.5217,22660.0183,18340.9233,10640.7567,4552.16,9251.9933
4044.7701,6384.8033,2722.4067,15644.3867,22655.9433,18338.9117,10638.3417,4551.035,9249.02
4044.774,6382.1867,2718.91,15639.855,22651.6033,18334.1217,10632.2367,4545.9517,9243.6333
4044.778,6384.5867,2720.825,15641.73,22656.945,18336.87,10634.13,4548.065,9245.9133
4044.782,6386.08,2722.0033,15641.4533,22660.5383,18338.8417,10634.8117,4549.6333,9246.5333
4044.786,6385.2733,2721.8583,15641.955,22658.505,18338.2,10634.645,4549.3933,9246.31
4044.79,6387.2667,2723.5033,15643.9883,22660.885,18341.2267,10632.8817,4550.895,9246.35
4044.7941,6391.5183,2727.1033,15648.7067,22667.2283,18346.87,10638.5883,4554.8283,9250.435
4044.798,6390.5883,2726.865,15648.82,22663.4367,18344.83,10641.99,4555.4817,9252.985
4044.802,6389.6983,2726.0717,15648.6067,22660.4967,18343.785,10644.585,4556.085,9255.8017
4044.806,6390.2167,2725.1783,15646.9933,22662.5883,18344.9117,10639.8517,4555.8617,9252.31
4044.81,6387.985,2724.115,15647.2783,22657.1967,18340.4717,10638.8417,4554.0733,9251.61
4044.814,6384.7233,2720.29,15642.805,22655.7517,18337.6417,10632.2767,4549.9867,9246.2467
4044.818,6389.0933,2724.1933,15646.405,22662.6583,18344.42,10638.7933,4555.385,9252.5967
4044.822,6388.5767,2723.885,15645.9817,22662.2917,18343.8967,10638.1833,4555.22,9251.81
4044.826,6385.35,2720.7533,15643.2083,22657.1017,18339.51,10634.6933,4551.5617,9247.725
4044.83,6382.63,2718.9967,15642.9483,22653.0733,18335.5033,10636.2833,4548.7017,9246.3683
4044.834,6382.4667,2718.2483,15642.0883,22653.3667,18335.5983,10635.3933,4548.1933,9245.2767
4044.838,6381.4983,2718.5583,15642.9783,22651.2867,18335.6683,10635.06,4547.1283,9244.8883
4044.842,6382.7133,2719.27,15643.465,22653.4467,18335.76,10636.1067,4547.985,9245.3633
4044.846,6381.1383,2716.4633,15640.34,22655.2433,18334.5183,10633.6917,4545.745,9243.1317
4044.85,6381.56,2716.3283,15640.5783,22656.355,18334.6,10634.93,4545.4433,9243.9433
4044.854,6382.6033,2717.4783,15642.9933,22655.285,18334.7183,10633.7567,4545.815,9242.9417
4044.858,6381.52,2716.9633,15643.2717,22651.955,18333.5333,10633.9533,4545.3783,9243.0517
4044.862,6382.5867,2717.05,15642.9067,22654.6483,18335.895,10635.0033,4546.1983,9243.1483
4044.866,6384.1567,2718.6867,15643.9717,22657.5067,18338.3517,10634.9883,4547.9617,9243.6
4044.87,6385.7783,2720.3083,15644.7967,22659.7967,18340.0317,10638.07,4549.9317,9247.2317
4044.874,6386.1683,2720.1967,15643.47,22658.04,18339.8917,10634.6633,4549.545,9245.96
4044.878,6388.75,2723.4633,15647.8267,22659.9017,18341.3217,10641.0433,4551.0867,9250.735
4044.8819,6385.575,2720.6667,15644.6867,22657.1583,18338.34,10634.7417,4547.0483,9244.1417
4044.8859,6386.3917,2721.7383,15646.04,22657.3017,18339.2467,10636.1317,4549.2183,9245.135
4044.8899,6388.8867,2724.3283,15648.4633,22660.6233,18341.7583,10641.4433,4552.4133,9249.06
4044.8939,6387.2283,2722.525,15647.0317,22660.6567,18340.5517,10640.3217,4551.2517,9247.305
4044.8979,6391.3517,2725.045,15648.375,22665.9867,18346.105,10644.1683,4556.7183,9252.635
4044.9019,6389.1333,2725.5233,15651.0683,22659.9383,18343.825,10645.5283,4557.1333,9252.7883
4044.9059,6387.5283,2724.48,15649.8917,22659.915,18344.5233,10643.5483,4555.1067,9250.0367
4044.9099,6384.3,2720.7033,15645.5467,22657.3817,18342.245,10640.94,4550.4967,9247.47
4044.9139,6386.63,2722.295,15648.08,22659.5033,18344.0133,10642.1967,4550.9583,9247.7183
4044.9179,6391.2967,2725.3167,15649.2167,22666.115,18348.7933,10643.1,4553.5717,9250.5717
4044.9219,6390.5433,2725.2183,15649.615,22664.6683,18348.9617,10642.9617,4554.2317,9250.6183
4044.9259,6386.25,2721.5883,15646.4917,22657.905,18343.905,10640.0433,4550.5917,9246.4533
4044.9299,6389.9383,2723.2833,15648.2717,22663.3117,18348.1333,10641.8533,4553.8017,9248.86
4044.9339,6390.175,2723.21,15648.32,22664.055,18348.9733,10643.5867,4553.66,9249.815
4044.9379,6387.5767,2721.9783,15646.8583,22660.695,18345.34,10641.2517,4551.4433,9246.6833
4044.9419,6389.06,2725.0133,15652.11,22661.26,18347.6783,10651.3267,4556.315,9254.7017
4044.9459,6388.6817,2724.5683,15650.5417,22661.03,18347.1617,10651.5583,4555.7183,9254.8383
4044.9499,6384.5333,2720.1817,15645.3867,22656.485,18342.7917,10640.7483,4550.1967,9245.9283
4044.9539,6383.7617,2719.53,15645.2867,22655.6633,18340.5583,10640.8867,4547.71,9245.495
4044.9579,6383.6433,2717.0017,15641.15,22657.2067,18340.3833,10631.5717,4545.14,9238.905
4044.9619,6386.8283,2720.1117,15644.5517,22662.1317,18344.8667,10636.15,4549.4417,9242.7183
4044.9659,6385.1433,2721.0567,15646.8733,22657.4683,18343.5233,10639.2717,4551.0833,9244.945
4044.9699,6384.5,2720.2367,15646.9517,22657.525,18344.8333,10645.4933,4551.68,9248.2417
4044.9739,6385.6833,2719.34,15644.6,22660.3283,18345.12,10638.9767,4549.4867,9242.7167
4044.9779,6388.1717,2721.8417,15647.5017,22663.3567,18347.1233,10642.3383,4552.42,9246.3183
4044.9819,6385.685,2719.7617,15645.6017,22660.82,18345.3033,10643.5383,4551.7683,9247.5333
4044.9859,6383.5067,2718.8217,15645.8867,22657.2067,18343.3617,10642.9217,4551.2283,9246.5717
4044.9899,6381.7733,2717.105,15644.3867,22654.615,18340.83,10642.7283,4548.9167,9244.9433
4044.9939,6382.3883,2716.715,15642.39,22656.0933,18340.8183,10636.2517,4546.9667,9241.0333
4044.9978,6385.185,2720.4033,15649.2017,22656.825,18342.7917,10644.82,4550.9417,9247.4867
4045.0018,6386.5983,2721.4,15650.3917,22660.6567,18344.9933,10646.52,4552.3083,9249.085
4045.0058,6385.525,2721.6667,15650.3867,22658.7083,18343.8733,10648.07,4552.2383,9249.9733
4045.0098,6381.1467,2718.1067,15647.325,22652.3017,18338.7783,10640.52,4547.1033,9243.7133
4045.0138,6384.93,2720.15,15651.3567,22657.9133,18342.6417,10642.8633,4549.1783,9244.2683
4045.0178,6388.9033,2723.8283,15655.6133,22664.47,18347.585,10650.4767,4553.5667,9250.4033
4045.0218,6386.6383,2722.245,15652.6983,22660.18,18345.0083,10651.36,4552.2683,9251.0467
4045.0258,6382.9833,2717.43,15645.5867,22657.6517,18341.9733,10639.63,4547.565,9242.59
4045.0298,6384.7383,2718.7833,15647.27,22662.0717,18345.2717,10642.6733,4550.1567,9244.7683
4045.0338,6384.4667,2721.2067,15651.7383,22656.2617,18343.6,10648.87,4551.9417,9248.3133
4045.0378,6383.5233,2720.395,15650.885,22652.7017,18339.9633,10651.3033,4550.8817,9250.045
4045.0418,6382.61,2717.56,15647.595,22655.475,18339.7233,10644.595,4547.58,9244.4567
4045.0458,6381.0217,2714.5467,15645.8467,22656.1667,18339.205,10640.5133,4545.8567,9240.8767
4045.0498,6382.8633,2717.525,15649.4717,22656.7133,18341.7983,10646.7817,4549.2717,9245.9933
4045.0538,6384.7217,2720.7533,15651.585,22658.28,18343.72,10649.8417,4551.5083,9249.2533
4045.0578,6384.095,2719.275,15649.615,22657.5267,18342.1383,10645.1533,4549.035,9244.8233
4045.0618,6383.3567,2718.7283,15647.5067,22657.93,18342.2917,10643.62,4549.71,9245.2133
4045.0658,6379.8983,2715.1083,15643.8033,22651.8033,18337.3867,10638.0317,4545.0867,9239.2867
