TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4589.998,7477.0,2720.74,15967.37,22920.9,18541.53,10769.42,4065.18,9269.91
4590.002,7484.29,2724.6,15970.76,22929.81,18548.44,10767.51,4064.23,9270.38
4590.006,7482.2,2726.56,15977.43,22925.05,18545.77,10777.05,4066.47,9278.35
4590.01,7476.33,2724.17,15975.76,22916.27,18540.96,10783.53,4067.23,9279.87
4590.014,7480.53,2724.12,15968.71,22924.04,18551.07,10767.65,4069.95,9270.34
4590.018,7481.81,2725.32,15971.85,22931.29,18550.35,10769.42,4065.8,9272.24
4590.022,7477.19,2725.89,15977.72,22915.27,18540.67,10777.24,4063.51,9275.82
4590.026,7484.39,2731.85,15986.25,22923.81,18546.06,10785.96,4066.8,9281.49
4590.03,7474.85,2727.41,15983.25,22920.99,18537.09,10793.73,4065.9,9287.55
4590.034,7461.55,2718.93,15975.14,22901.06,18524.17,10793.26,4061.41,9283.5
4590.038,7456.69,2712.06,15966.94,22893.72,18520.64,10779.14,4051.64,9269.91
4590.042,7470.51,2721.17,15978.24,22912.31,18535.09,10788.49,4058.93,9279.16
4590.046,7478.76,2721.64,15973.47,22925.28,18544.72,10773.47,4056.84,9269.29
4590.05,7474.85,2718.74,15968.52,22922.57,18540.81,10769.32,4058.31,9267.0
4590.054,7460.79,2712.44,15963.17,22904.59,18523.22,10771.8,4051.16,9265.38
4590.058,7471.71,2720.98,15972.81,22916.27,18539.24,10782.67,4062.61,9276.82
4590.0619,7480.34,2725.41,15978.77,22926.86,18545.96,10786.2,4063.61,9281.02
4590.0659,7487.15,2731.23,15985.06,22932.87,18551.54,10792.69,4070.66,9287.07
4590.0699,7488.92,2732.56,15987.35,22934.53,18557.74,10798.36,4077.01,9291.17
4590.0739,7480.86,2727.99,15981.06,22928.77,18552.5,10787.73,4074.62,9283.35
4590.0779,7480.53,2725.74,15980.1,22926.38,18549.49,10786.96,4069.61,9281.97
4590.0819,7484.06,2727.13,15983.68,22927.24,18548.73,10791.26,4066.52,9282.45
4590.0859,7484.53,2727.18,15983.68,22929.43,18547.35,10790.06,4064.7,9281.68
4590.0899,7476.86,2720.98,15976.14,22919.42,18538.91,10784.53,4059.36,9275.2
4590.0939,7469.85,2718.74,15971.47,22910.41,18534.14,10786.15,4054.88,9271.34
4590.0979,7479.14,2722.88,15975.14,22921.52,18549.21,10787.63,4061.89,9274.53
4590.1019,7485.25,2722.41,15973.0,22931.48,18551.3,10777.86,4056.6,9267.05
4590.1059,7479.67,2721.69,15974.76,22918.13,18539.19,10783.58,4050.21,9269.76
4590.1099,7465.13,2711.96,15963.99,22902.63,18523.03,10772.23,4040.91,9261.23
4590.1139,7465.51,2711.34,15962.7,22906.4,18527.32,10768.65,4044.44,9259.84
4590.1179,7466.27,2716.73,15970.99,22901.97,18524.7,10783.96,4047.11,9270.24
4590.1219,7474.23,2724.7,15981.34,22905.69,18530.75,10794.97,4053.07,9280.35
4590.1259,7477.19,2723.12,15976.29,22911.93,18534.33,10781.38,4049.21,9271.91
4590.1299,7468.18,2717.73,15972.9,22905.64,18526.32,10781.96,4046.39,9269.76
4590.1339,7470.66,2717.78,15971.85,22913.74,18535.47,10781.15,4053.26,9271.1
4590.1379,7481.77,2725.22,15980.44,22923.81,18548.3,10791.26,4064.66,9278.97
4590.1419,7475.42,2721.6,15977.81,22916.37,18537.48,10783.48,4056.88,9271.1
4590.1459,7476.38,2721.69,15977.1,22918.75,18538.43,10785.15,4051.64,9272.86
4590.1499,7475.14,2723.17,15977.15,22914.7,18536.38,10790.06,4055.17,9277.96
4590.1539,7470.61,2722.26,15975.14,22909.79,18535.28,10787.44,4056.98,9273.34
4590.1579,7477.38,2726.7,15978.77,22916.61,18542.43,10785.39,4060.13,9274.77
4590.1619,7480.38,2726.22,15975.38,22921.61,18540.72,10783.34,4051.97,9272.05
4590.1659,7487.82,2731.8,15982.25,22930.58,18550.02,10791.59,4060.41,9278.87
4590.1699,7481.72,2728.03,15976.14,22923.62,18544.01,10787.92,4057.46,9273.05
4590.1739,7474.71,2723.27,15973.38,22913.84,18535.38,10787.63,4054.74,9272.48
4590.1779,7483.82,2732.18,15981.58,22924.14,18544.15,10796.83,4063.27,9280.87
4590.1819,7492.59,2739.67,15991.4,22933.06,18553.4,10806.47,4068.42,9288.84
4590.1859,7493.64,2738.38,15990.45,22934.73,18554.4,10800.6,4066.66,9287.07
4590.1898,7509.33,2747.73,15995.36,22952.85,18577.67,10806.04,4079.87,9292.6
4590.1938,7498.65,2738.71,15985.87,22938.92,18564.37,10796.55,4068.71,9279.87
4590.1978,7475.81,2726.36,15980.91,22911.12,18530.9,10791.26,4055.07,9275.63
4590.2018,7483.53,2734.57,15989.64,22918.89,18539.0,10803.41,4060.32,9285.98
4590.2058,7493.78,2741.05,15993.84,22935.49,18555.21,10803.41,4067.71,9287.17
4590.2098,7488.3,2737.71,15989.16,22930.67,18551.07,10800.79,4064.47,9282.54
4590.2138,7482.01,2734.71,15986.54,22921.9,18546.54,10803.08,4062.08,9282.4
4590.2178,7480.38,2732.28,15984.97,22920.18,18543.39,10802.51,4060.08,9282.59
4590.2218,7478.86,2729.61,15981.96,22917.23,18538.05,10792.16,4052.78,9274.44
4590.2258,7484.48,2731.18,15984.92,22925.09,18543.1,10796.07,4053.74,9279.63
4590.2298,7480.0,2728.56,15979.82,22918.61,18537.81,10790.87,4050.3,9274.01
4590.2338,7477.81,2727.08,15976.05,22915.75,18536.14,10786.49,4050.73,9267.71
4590.2378,7482.58,2728.94,15974.24,22922.28,18540.62,10782.05,4051.97,9267.62
4590.2418,7491.06,2733.66,15979.1,22931.48,18548.87,10785.72,4055.41,9271.62
4590.2458,7493.78,2737.62,15982.53,22934.3,18552.35,10789.87,4057.93,9274.63
4590.2498,7493.07,2737.52,15981.44,22934.44,18554.12,10791.68,4061.75,9274.87
4590.2537,7488.54,2735.57,15980.91,22929.15,18548.4,10796.21,4064.56,9277.96
4590.2577,7486.92,2736.57,15983.15,22926.14,18545.73,10795.93,4065.47,9280.73
4590.2617,7504.03,2750.92,15994.93,22942.12,18565.75,10805.42,4075.43,9288.36
4590.2657,7506.99,2752.02,15994.88,22949.94,18568.8,10806.61,4073.14,9287.22
4590.2697,7501.56,2752.88,15997.79,22946.93,18562.94,10815.43,4075.48,9295.27
4590.2737,7500.84,2752.16,15993.64,22945.07,18565.9,10805.04,4075.67,9286.79
4590.2777,7500.65,2755.17,16000.8,22941.74,18562.22,10816.91,4078.87,9296.8
4590.2817,7499.12,2754.55,16002.8,22939.16,18553.59,10819.01,4074.0,9297.56
4590.2857,7508.47,2759.03,16006.38,22947.5,18563.56,10810.61,4078.53,9293.99
4590.2897,7501.46,2753.64,16001.27,22937.01,18556.6,10815.0,4075.72,9295.75
4590.2937,7498.89,2750.21,15993.79,22940.78,18556.02,10809.61,4071.19,9291.36
4590.2977,7508.33,2757.93,16001.04,22948.36,18565.61,10816.19,4080.15,9297.56
4590.3017,7502.75,2755.21,16004.04,22936.97,18555.36,10820.77,4075.34,9299.76
4590.3057,7506.66,2756.5,16005.28,22943.55,18562.99,10820.77,4075.81,9301.14
4590.3097,7511.66,2763.13,16013.62,22948.22,18571.05,10841.32,4085.49,9315.16
4590.3137,7496.26,2748.63,15995.31,22932.58,18556.12,10809.47,4073.0,9289.98
4590.3177,7491.3,2741.05,15982.11,22929.19,18553.31,10780.86,4065.18,9269.62
4590.3217,7505.8,2749.49,15993.5,22944.26,18564.18,10800.41,4068.04,9283.35
4590.3257,7499.98,2746.01,15992.21,22938.59,18556.6,10798.17,4065.18,9281.64
4590.3297,7489.4,2744.48,15992.74,22926.05,18544.1,10806.61,4068.57,9288.03
4590.3337,7487.77,2744.29,15989.73,22925.57,18544.01,10803.94,4069.76,9284.88
4590.3377,7494.88,2747.25,15992.36,22934.68,18551.88,10805.85,4072.71,9287.74
4590.3417,7501.89,2751.02,15998.65,22939.73,18556.64,10812.09,4072.67,9294.27
4590.3457,7495.93,2744.15,15989.35,22934.34,18549.44,10798.88,4060.36,9283.54
4590.3497,7486.39,2734.57,15979.82,22926.71,18542.48,10788.87,4053.4,9272.81
4590.3537,7488.01,2733.28,15974.81,22923.14,18546.82,10783.86,4057.79,9265.81
4590.3577,7494.74,2737.67,15980.58,22934.49,18553.55,10788.97,4059.36,9270.67
4590.3617,7492.45,2740.19,15986.87,22932.72,18546.01,10795.07,4058.27,9278.2
4590.3657,7490.92,2740.62,15986.87,22928.48,18545.34,10795.79,4056.55,9275.96
4590.3697,7486.01,2735.81,15984.87,22923.52,18543.72,10794.93,4054.93,9272.77
4590.3737,7479.91,2732.47,15983.92,22916.51,18537.67,10802.89,4057.69,9277.01
4590.3777,7487.35,2738.09,15988.26,22924.57,18546.73,10811.28,4064.89,9284.93
4590.3816,7496.31,2739.72,15987.21,22934.39,18556.69,10800.46,4061.75,9278.25
4590.3856,7495.59,2741.77,15994.17,22935.73,18551.02,10812.57,4060.89,9286.07
4590.3896,7477.76,2731.99,15983.06,22915.56,18531.04,10800.65,4051.54,9277.01
4590.3936,7472.04,2722.79,15968.37,22911.03,18528.99,10776.28,4045.63,9260.32
4590.3976,7475.0,2724.84,15970.9,22915.22,18533.28,10782.77,4048.4,9264.95
4590.4016,7486.2,2734.71,15982.44,22926.0,18542.96,10798.26,4055.55,9277.15
4590.4056,7488.25,2735.14,15984.58,22925.9,18543.25,10803.27,4053.31,9278.16
4590.4096,7485.68,2732.42,15980.01,22922.61,18542.91,10800.22,4051.54,9272.1
4590.4136,7487.58,2734.8,15982.2,22926.67,18548.3,10809.04,4059.84,9277.3
4590.4176,7480.05,2728.46,15975.14,22917.46,18540.19,10792.5,4056.64,9267.62
4590.4216,7479.19,2727.37,15977.53,22917.46,18535.47,10793.26,4049.25,9266.47
4590.4256,7477.19,2723.6,15974.19,22918.13,18532.47,10785.25,4043.48,9260.32
4590.4296,7481.43,2725.51,15974.48,22922.66,18543.29,10781.62,4053.5,9260.32
4590.4336,7473.14,2722.31,15973.67,22913.7,18534.71,10787.73,4051.02,9262.47
4590.4376,7468.84,2720.31,15974.62,22907.88,18528.89,10786.11,4046.92,9260.18
4590.4416,7485.44,2731.94,15985.35,22927.24,18549.02,10802.17,4060.55,9274.63
4590.4456,7486.96,2730.32,15983.54,22931.72,18548.25,10800.27,4053.97,9271.91
4590.4496,7476.38,2718.54,15969.09,22916.32,18535.28,10782.72,4040.58,9254.84
4590.4536,7466.46,2713.16,15962.89,22905.45,18526.13,10776.19,4037.48,9249.02
4590.4576,7467.65,2720.07,15971.19,22906.45,18525.32,10790.21,4045.82,9263.18
4590.4616,7472.66,2724.36,15974.95,22907.55,18528.61,10793.16,4049.21,9266.04
4590.4656,7477.24,2724.6,15976.53,22912.17,18530.85,10792.3,4043.1,9264.66
4590.4696,7474.57,2723.07,15973.86,22911.27,18529.75,10787.3,4042.29,9260.56
4590.4736,7471.47,2722.93,15971.57,22907.64,18527.22,10791.59,4046.87,9261.7
4590.4776,7479.53,2728.46,15976.48,22912.55,18536.57,10795.93,4055.02,9266.47
4590.4816,7484.58,2729.89,15979.67,22918.13,18538.91,10798.03,4049.16,9267.57
4590.4856,7497.5,2741.05,15992.26,22930.62,18550.49,10815.91,4059.36,9281.59
4590.4896,7499.65,2746.01,15998.51,22937.44,18556.88,10826.73,4069.0,9287.5
4590.4936,7478.91,2727.7,15976.14,22916.32,18532.95,10794.12,4047.06,9262.23
4590.4976,7468.89,2721.45,15970.18,22904.83,18520.02,10787.87,4041.0,9258.51
4590.5016,7487.01,2733.42,15981.44,22925.81,18539.96,10797.64,4054.83,9269.29
4590.5056,7493.07,2737.9,15985.97,22932.58,18546.73,10800.65,4058.41,9274.29
4590.5095,7487.25,2739.43,15990.69,22920.95,18540.53,10816.48,4063.18,9283.73
4590.5135,7478.48,2728.61,15975.38,22913.27,18533.99,10793.31,4054.93,9260.13
4590.5175,7482.77,2731.23,15979.72,22918.99,18540.24,10796.55,4058.08,9261.8
4590.5215,7489.11,2733.76,15983.96,22930.91,18546.77,10801.36,4055.31,9267.86
4590.5255,7487.68,2732.66,15983.39,22926.48,18544.68,10800.65,4054.55,9270.48
4590.5295,7493.88,2734.85,15986.35,22933.92,18555.83,10805.89,4059.51,9273.34
4590.5335,7487.77,2729.65,15976.72,22929.72,18551.3,10796.83,4054.12,9263.8
4590.5375,7478.05,2724.41,15974.71,22915.03,18537.57,10798.03,4051.16,9265.85
4590.5415,7486.49,2732.18,15984.82,22921.09,18545.92,10812.38,4058.41,9278.44
4590.5455,7487.39,2734.95,15990.35,22922.71,18542.34,10820.53,4059.27,9285.5
4590.5495,7480.38,2731.23,15985.63,22915.75,18535.33,10814.81,4056.64,9279.63
4590.5535,7474.23,2723.46,15977.58,22911.6,18530.23,10797.6,4047.2,9262.71
4590.5575,7472.23,2718.16,15969.52,22912.55,18530.13,10782.77,4042.91,9254.31
4590.5615,7477.76,2723.74,15977.53,22917.89,18537.0,10793.73,4049.16,9264.14
