TimeStamp,Code
1680877732.739588,start
1680877732.739645,pause
1680877737.909722,resume
1680877739.445867,pause
1680877745.383192,resume
1680877747.427283,pause
1680877753.6788712,resume
1680877755.271595,pause
1680877761.35924,resume
1680877762.4854069,pause
1680877768.3228312,resume
1680877770.166477,pause
1680877775.898746,resume
1680877777.43648,pause
1680877783.478621,resume
1680877784.704736,pause
1680877790.639741,resume
1680877794.6398149,pause
1680877800.659877,resume
1680877802.0118022,pause
1680877808.054175,resume
1680877809.1797912,pause
1680877815.1190138,resume
1680877817.0646248,pause
1680877823.001801,resume
1680877824.540471,pause
1680877830.683563,resume
1680877832.6306298,pause
1680877838.363244,resume
1680877840.308971,pause
1680877846.248822,resume
1680877848.393656,pause
1680877854.4406898,resume
1680877855.669433,pause
1680877861.7108648,resume
1680877863.314573,pause
1680877869.391186,resume
1680877871.336758,pause
1680877877.279041,resume
1680877879.631629,pause
1680877885.570812,resume
1680877887.949735,pause
1680877893.961183,resume
1680877895.812652,pause
1680877901.749417,resume
1680877903.900343,pause
1680877909.839852,resume
1680877911.168031,pause
1680877917.111477,end
