TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4590.0602,-269.437,-97.6,960.567,-2082.5,-6107.5,2310.0,183.92,-153.52,-360.24
4590.1102,-264.496,-96.99,962.214,-2038.75,-5748.75,2038.75,161.12,-150.48,-355.68
4590.1602,-267.18,-95.648,957.517,-1706.25,-5372.5,1505.0,171.76,-150.48,-354.16
4590.2102,-273.829,-92.415,962.336,-1548.75,-3972.5,1951.25,161.12,-153.52,-360.24
4590.2602,-276.452,-89.243,961.177,-2563.75,-4278.75,1890.0,174.8,-136.8,-348.08
4590.3102,-270.84,-99.918,958.981,-3088.75,-5600.0,1601.25,173.28,-133.76,-361.76
4590.3602,-265.472,-105.469,960.628,-2161.25,-4987.5,1050.0,171.76,-144.4,-338.96
4590.4102,-271.877,-97.722,958.005,-1662.5,-4707.5,1015.0,174.8,-153.52,-357.2
4590.4602,-276.513,-95.709,959.652,-1575.0,-5013.75,1618.75,168.72,-156.56,-363.28
4590.5102,-273.89,-94.672,962.153,-2651.25,-5232.5,1960.0,183.92,-152.0,-355.68
4590.5602,-269.437,-105.225,959.286,-2248.75,-4453.75,455.0,158.08,-136.8,-343.52
4590.6102,-276.574,-101.748,957.639,-1400.0,-4200.0,-1067.5,170.24,-136.8,-354.16
4590.6602,-277.977,-100.589,958.92,-1321.25,-4611.25,-1505.0,165.68,-144.4,-355.68
4590.7102,-280.051,-97.905,959.652,-1942.5,-4795.0,-586.25,176.32,-142.88,-357.2
4590.7602,-278.831,-101.382,957.517,-1942.5,-5250.0,455.0,158.08,-136.8,-358.72
4590.8102,-273.28,-100.65,957.09,-1653.75,-5783.75,761.25,168.72,-156.56,-361.76
4590.8602,-271.328,-103.944,960.384,-1426.25,-6037.5,411.25,165.68,-142.88,-348.08
4590.9102,-266.265,-100.772,962.336,-1601.25,-5355.0,-210.0,167.2,-156.56,-360.24
4590.9602,-268.583,-100.528,961.604,-1592.5,-4786.25,-35.0,188.48,-139.84,-348.08
4591.0102,-267.119,-101.321,961.482,-1680.0,-4690.0,288.75,164.16,-155.04,-352.64
4591.0602,-266.936,-100.04,957.761,-980.0,-4042.5,385.0,167.2,-147.44,-357.2
4591.1102,-278.892,-93.757,960.323,-1041.25,-3491.25,708.75,168.72,-138.32,-367.84
4591.1602,-285.968,-99.735,960.14,-2152.5,-4882.5,-8.75,171.76,-147.44,-354.16
4591.2102,-272.487,-101.809,960.079,-2397.5,-5993.75,43.75,177.84,-141.36,-346.56
4591.2602,-263.886,-106.994,958.493,-1496.25,-4812.5,-105.0,155.04,-156.56,-360.24
4591.3102,-266.57,-103.273,959.957,-1128.75,-4506.25,577.5,182.4,-156.56,-340.48
4591.3602,-271.633,-102.053,962.214,-1636.25,-4138.75,1172.5,173.28,-145.92,-369.36
4591.4102,-271.755,-100.772,963.007,-1802.5,-3657.5,840.0,174.8,-148.96,-361.76
4591.4602,-277.733,-103.7,957.822,-1583.75,-3377.5,463.75,171.76,-130.72,-340.48
4591.5102,-278.343,-101.077,955.748,-1846.25,-4567.5,-253.75,153.52,-161.12,-345.04
4591.5602,-281.271,-102.175,956.053,-1312.5,-4698.75,-61.25,156.56,-139.84,-361.76
4591.6102,-279.258,-100.345,958.981,-2073.75,-5276.25,122.5,174.8,-144.4,-361.76
4591.6602,-276.147,-105.042,956.846,-1968.75,-5153.75,8.75,174.8,-139.84,-351.12
4591.7102,-274.988,-103.883,960.262,-1408.75,-5363.75,17.5,182.4,-141.36,-355.68
4591.7602,-275.415,-101.565,958.92,-1846.25,-4908.75,262.5,165.68,-142.88,-357.2
4591.8102,-271.877,-105.042,959.774,-1986.25,-4646.25,875.0,173.28,-136.8,-357.2
4591.8602,-274.134,-104.005,957.395,-1776.25,-4917.5,490.0,165.68,-148.96,-352.64
4591.9102,-274.195,-104.188,961.177,-1627.5,-5040.0,175.0,164.16,-142.88,-360.24
4591.9602,-270.779,-102.968,957.761,-1137.5,-4838.75,848.75,165.68,-150.48,-346.56
4592.0102,-275.476,-93.208,957.456,-1898.75,-3640.0,1137.5,177.84,-138.32,-360.24
4592.0602,-283.833,-102.48,960.689,-2231.25,-4681.25,743.75,168.72,-138.32,-349.6
4592.1102,-269.803,-104.005,956.358,-2187.5,-5171.25,-245.0,182.4,-133.76,-366.32
4592.1604,-273.524,-106.994,958.615,-1277.5,-3753.75,-245.0,159.6,-150.48,-351.12
4592.2102,-276.757,-102.907,956.785,-1225.0,-4488.75,218.75,177.84,-148.96,-355.68
4592.2603,-270.474,-105.774,957.395,-822.5,-3911.25,1050.0,167.2,-144.4,-363.28
4592.3102,-280.356,-99.613,958.005,-945.0,-2940.0,8.75,174.8,-153.52,-361.76
4592.3603,-283.65,-96.563,960.384,-1260.0,-5066.25,-822.5,168.72,-153.52,-348.08
4592.4102,-279.807,-102.968,955.687,-2362.5,-4506.25,-805.0,180.88,-144.4,-351.12
4592.4602,-280.539,-105.835,957.761,-1977.5,-5241.25,-131.25,176.32,-152.0,-349.6
4592.5102,-271.511,-103.578,957.639,-2126.25,-2852.5,297.5,176.32,-147.44,-361.76
4592.5602,-283.955,-105.408,958.737,-1986.25,-2887.5,-201.25,199.12,-147.44,-378.48
4592.6102,-291.336,-102.175,956.541,-1627.5,-5363.75,-568.75,180.88,-138.32,-369.36
4592.6602,-281.271,-105.896,957.883,-1163.75,-6352.5,236.25,179.36,-147.44,-354.16
4592.7102,-272.731,-101.504,959.042,-1426.25,-6028.75,1041.25,148.96,-132.24,-345.04
4592.7602,-273.219,-106.872,958.493,-1067.5,-4996.25,1706.25,171.76,-152.0,-351.12
4592.8102,-276.94,-101.565,955.87,-1461.25,-3403.75,1688.75,177.84,-155.04,-373.92
4592.8602,-288.713,-99.918,962.519,-1111.25,-4313.75,1023.75,180.88,-139.84,-351.12
4592.9102,-280.661,-98.942,956.663,-2082.5,-5363.75,122.5,170.24,-142.88,-366.32
4592.9602,-275.842,-105.774,960.079,-2563.75,-5171.25,43.75,182.4,-142.88,-346.56
4593.0102,-275.659,-108.763,958.066,-1645.0,-4576.25,-227.5,182.4,-139.84,-360.24
4593.0602,-280.966,-107.177,956.602,-1216.25,-4121.25,315.0,183.92,-150.48,-351.12
4593.1102,-284.26,-104.859,957.395,-892.5,-4768.75,498.75,167.2,-136.8,-349.6
4593.1602,-281.454,-102.236,953.552,-1548.75,-4681.25,1015.0,182.4,-138.32,-357.2
4593.2102,-282.857,-101.382,954.833,-1330.0,-4777.5,1382.5,176.32,-153.52,-352.64
4593.2602,-281.759,-104.615,956.175,-1662.5,-4908.75,463.75,162.64,-142.88,-366.32
4593.3102,-282.613,-102.419,955.443,-1496.25,-4830.0,61.25,182.4,-164.16,-348.08
4593.3602,-284.687,-102.236,953.43,-1697.5,-4480.0,-638.75,173.28,-133.76,-355.68
4593.4102,-277.916,-104.676,960.079,-1557.5,-5425.0,-717.5,180.88,-148.96,-338.96
4593.4602,-280.661,-111.874,955.809,-875.0,-4558.75,-1303.75,188.48,-139.84,-358.72
4593.5102,-284.87,-114.131,955.016,-498.75,-5285.0,-1505.0,185.44,-158.08,-345.04
4593.5602,-282.369,-103.639,956.846,595.0,-6693.75,358.75,191.52,-153.52,-355.68
4593.6102,-274.134,-94.733,953.796,-918.75,-6090.0,1697.5,168.72,-139.84,-348.08
4593.6602,-280.051,-92.659,960.262,-962.5,-5608.75,2458.75,177.84,-141.36,-357.2
4593.7102,-278.526,-98.088,960.933,-2616.25,-6011.25,980.0,180.88,-139.84,-351.12
4593.7602,-269.132,-104.249,959.164,-2791.25,-6431.25,-332.5,173.28,-144.4,-355.68
4593.8102,-268.339,-114.07,958.554,-280.0,-4366.25,-2012.5,171.76,-141.36,-352.64
4593.8602,-275.842,-98.454,958.31,673.75,-4217.5,-1557.5,173.28,-138.32,-358.72
4593.9102,-279.624,-96.868,958.371,-2213.75,-4322.5,1531.25,177.84,-147.44,-358.72
4593.9602,-274.988,-105.469,959.225,-2336.25,-4786.25,2747.5,171.76,-142.88,-342.0
4594.0102,-275.171,-110.349,958.615,-1566.25,-3491.25,2327.5,188.48,-155.04,-366.32
4594.0602,-277.733,-100.101,957.09,-726.25,-4322.5,1111.25,168.72,-144.4,-367.84
4594.1102,-281.82,-96.075,956.602,-1391.25,-3517.5,630.0,171.76,-145.92,-351.12
4594.1602,-285.541,-98.759,957.761,-1452.5,-5223.75,595.0,171.76,-135.28,-354.16
4594.2102,-283.162,-98.393,955.748,-1566.25,-5075.0,218.75,185.44,-150.48,-355.68
4594.2602,-282.369,-97.112,959.652,-1706.25,-5608.75,-52.5,176.32,-139.84,-364.8
4594.3102,-275.476,-100.467,956.602,-1986.25,-5617.5,-245.0,182.4,-155.04,-357.2
4594.3602,-274.988,-104.188,961.299,-2056.25,-5390.0,-385.0,185.44,-141.36,-357.2
4594.4102,-274.927,-106.384,957.883,-1557.5,-4698.75,-96.25,176.32,-156.56,-369.36
4594.4602,-277.367,-107.543,957.151,-70.0,-4795.0,472.5,168.72,-144.4,-351.12
4594.5102,-278.953,-97.234,958.554,315.0,-4173.75,603.75,177.84,-138.32,-358.72
4594.5602,-284.687,-94.001,957.883,-1365.0,-6361.25,236.25,176.32,-147.44,-355.68
4594.6104,-271.145,-101.138,961.116,-2581.25,-5241.25,96.25,194.56,-148.96,-354.16
4594.6602,-269.986,-105.408,959.774,-1802.5,-4961.25,665.0,190.0,-148.96,-343.52
4594.7103,-270.474,-97.6,956.541,-1618.75,-4226.25,883.75,182.4,-148.96,-357.2
4594.7602,-280.356,-102.663,958.371,-1671.25,-4086.25,577.5,171.76,-153.52,-354.16
4594.8102,-279.624,-95.404,960.14,-1338.75,-4488.75,-315.0,170.24,-156.56,-361.76
4594.8602,-280.661,-97.844,955.138,-1006.25,-4305.0,-490.0,183.92,-132.24,-357.2
4594.9102,-279.502,-96.38,957.029,-1435.0,-3946.25,52.5,183.92,-144.4,-346.56
