TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
8053.3112,18150.19,16373.87,24076.32,19942.38,15968.8,24942.31,21888.26,21750.55
8053.3152,18148.42,16373.3,24082.66,19951.73,15969.61,24945.07,21886.49,21753.84
8053.3192,18166.45,16387.13,24115.57,19968.23,15989.83,24961.86,21903.18,21779.11
8053.3232,18177.8,16398.19,24123.96,19980.77,16001.46,24975.88,21916.25,21791.08
8053.3272,18168.02,16389.94,24101.26,19968.27,15988.69,24964.24,21905.57,21775.44
8053.3312,18153.24,16377.83,24074.46,19948.15,15970.28,24947.31,21889.74,21752.79
8053.3352,18165.21,16389.94,24095.59,19964.84,15982.11,24961.52,21901.28,21767.57
8053.3392,18175.65,16398.96,24100.12,19984.1,15992.64,24981.79,21913.34,21776.63
8053.3432,18184.19,16404.87,24108.17,19984.96,16002.99,24986.89,21922.88,21785.45
8053.3472,18177.03,16403.25,24102.31,19980.48,15993.36,24980.02,21917.11,21778.11
8053.3512,18163.49,16393.0,24092.96,19968.27,15980.15,24964.67,21903.33,21765.09
8053.3552,18163.64,16392.14,24098.26,19967.13,15981.96,24964.96,21902.61,21770.96
8053.3592,18175.32,16402.06,24106.31,19986.06,15993.41,24984.41,21915.06,21782.45
8053.3632,18183.71,16410.73,24113.71,20000.17,16003.8,24999.53,21924.21,21791.22
8053.3672,18178.04,16405.25,24107.51,19988.3,15997.98,24988.03,21916.68,21784.07
8053.3712,18173.65,16399.0,24114.23,19977.62,15994.93,24978.35,21912.2,21783.88
8053.3751,18174.79,16396.95,24125.48,19976.19,15998.13,24976.49,21910.96,21786.84
8053.3791,18180.09,16401.15,24114.9,19982.86,16002.85,24984.27,21917.49,21783.69
8053.3831,18192.96,16415.74,24115.85,19999.55,16015.1,25000.24,21932.65,21793.18
8053.3871,18188.67,16412.98,24111.94,19995.12,16009.48,24995.04,21925.07,21788.03
8053.3911,18176.27,16401.34,24103.88,19979.24,15996.17,24980.17,21912.24,21779.54
8053.3951,18174.6,16399.1,24112.66,19973.71,15997.08,24974.49,21908.95,21780.49
8053.3991,18185.43,16409.78,24112.7,19994.79,16007.23,24997.71,21922.69,21789.12
8053.4031,18194.06,16418.51,24120.67,20009.57,16015.01,25010.4,21932.27,21799.57
8053.4071,18181.61,16408.06,24109.51,19992.69,16001.66,24993.37,21918.73,21785.88
8053.4111,18160.87,16382.65,24088.48,19957.5,15979.34,24961.76,21895.84,21764.57
8053.4151,18164.64,16383.79,24099.4,19958.88,15984.2,24964.57,21899.75,21773.29
8053.4191,18174.27,16392.04,24107.7,19972.57,15993.88,24974.59,21908.86,21780.35
8053.4231,18181.61,16402.2,24103.88,19985.87,15997.65,24988.27,21918.44,21782.54
8053.4271,18176.61,16401.25,24095.35,19979.34,15989.54,24982.31,21912.05,21773.77
8053.4311,18155.48,16377.26,24076.37,19948.2,15968.47,24949.65,21886.26,21754.17
8053.4351,18153.72,16374.11,24074.75,19947.01,15967.42,24946.55,21882.68,21752.74
8053.439,18166.07,16385.84,24090.48,19967.8,15983.63,24966.67,21898.32,21768.72
8053.443,18178.08,16396.52,24117.66,19975.09,15999.32,24979.26,21916.58,21791.46
8053.447,18171.36,16395.95,24094.01,19970.51,15987.59,24972.73,21909.57,21773.29
8053.451,18162.92,16387.61,24096.3,19956.11,15981.44,24959.14,21898.56,21768.95
8053.455,18163.59,16386.65,24096.54,19954.64,15982.3,24959.66,21899.23,21768.0
8053.459,18169.31,16394.52,24064.88,19975.71,15980.48,24976.92,21907.19,21761.85
8053.463,18179.28,16397.67,24092.2,19973.47,15995.7,24977.4,21915.39,21781.16
8053.467,18174.32,16397.1,24089.53,19973.33,15990.64,24973.3,21911.24,21777.39
8053.471,18173.36,16401.1,24089.63,19975.71,15987.78,24973.44,21910.15,21773.77
8053.475,18166.31,16395.05,24083.09,19969.08,15981.72,24968.72,21904.61,21766.33
8053.479,18174.46,16396.91,24099.88,19972.71,15994.26,24974.92,21913.63,21781.11
8053.483,18179.9,16400.77,24112.51,19975.52,16001.13,24973.87,21918.44,21791.51
8053.487,18179.18,16404.92,24115.23,19981.82,16000.27,24980.79,21919.35,21792.32
8053.491,18167.69,16392.61,24101.93,19961.84,15986.68,24963.43,21906.04,21778.3
