TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12435.5313,-17085.74,-29121.64,-30696.2,-34656.0,-20612.58,-17717.65,-17585.61,-3681.61
12435.5353,-17082.6,-29121.83,-30687.67,-34657.96,-20614.05,-17718.36,-17587.04,-3679.51
12435.5393,-17093.14,-29122.83,-30702.79,-34653.05,-20606.85,-17714.22,-17582.13,-3673.12
12435.5433,-17104.58,-29126.5,-30720.95,-34651.76,-20606.47,-17714.17,-17582.08,-3670.5
12435.5473,-17100.29,-29127.08,-30717.9,-34653.24,-20609.67,-17716.98,-17584.66,-3673.27
12435.5513,-17082.26,-29118.73,-30692.1,-34646.61,-20605.14,-17712.17,-17580.08,-3674.36
12435.5553,-17079.5,-29117.25,-30684.0,-34648.14,-20604.57,-17712.93,-17580.18,-3675.89
12435.5593,-17094.95,-29126.17,-30705.65,-34654.19,-20608.9,-17716.51,-17584.23,-3677.99
12435.5633,-17110.83,-29131.99,-30726.77,-34658.01,-20612.24,-17718.27,-17586.95,-3676.75
12435.5673,-17104.68,-29126.46,-30719.71,-34654.91,-20610.48,-17716.03,-17584.66,-3674.27
12435.5713,-17087.03,-29117.83,-30695.54,-34654.43,-20607.57,-17712.64,-17580.56,-3672.17
12435.5753,-17079.59,-29116.68,-30681.71,-34651.47,-20605.71,-17709.26,-17575.65,-3668.64
12435.5793,-17092.56,-29120.73,-30699.11,-34652.19,-20605.76,-17708.73,-17576.22,-3666.4
12435.5833,-17104.91,-29125.69,-30720.19,-34651.52,-20604.47,-17710.78,-17580.37,-3670.17
12435.5873,-17098.95,-29124.45,-30715.61,-34648.76,-20603.71,-17711.69,-17579.56,-3671.6
12435.5913,-17083.98,-29120.4,-30696.44,-34648.66,-20606.09,-17713.26,-17579.65,-3673.6
12435.5952,-17080.17,-29119.78,-30689.1,-34652.38,-20607.66,-17716.55,-17583.18,-3676.46
12435.5992,-17093.8,-29123.64,-30705.65,-34656.86,-20609.76,-17716.74,-17586.09,-3676.65
12435.6032,-17107.06,-29127.94,-30726.25,-34659.91,-20612.05,-17718.36,-17588.24,-3677.8
12435.6072,-17101.24,-29124.6,-30720.33,-34657.82,-20611.86,-17718.17,-17587.28,-3679.13
12435.6112,-17083.17,-29117.06,-30694.77,-34654.0,-20610.91,-17715.65,-17582.85,-3676.51
12435.6152,-17077.3,-29112.68,-30681.38,-34651.24,-20608.9,-17712.98,-17579.61,-3674.6
12435.6192,-17091.47,-29117.44,-30698.97,-34652.05,-20606.52,-17711.21,-17578.84,-3669.83
12435.6232,-17102.96,-29120.64,-30720.29,-34649.9,-20605.14,-17710.16,-17578.51,-3667.21
12435.6272,-17091.13,-29114.35,-30713.42,-34641.37,-20597.89,-17703.49,-17572.41,-3667.55
12435.6312,-17071.3,-29106.14,-30687.38,-34637.17,-20593.79,-17698.86,-17567.45,-3664.68
12435.6352,-17065.96,-29103.57,-30674.08,-34637.55,-20592.45,-17697.67,-17565.25,-3663.25
12435.6392,-17081.93,-29109.2,-30692.96,-34640.41,-20592.41,-17698.39,-17566.3,-3662.44
12435.6432,-17095.66,-29115.3,-30714.75,-34640.03,-20592.17,-17699.29,-17567.88,-3661.82
12435.6472,-17093.47,-29117.54,-30714.37,-34641.79,-20595.51,-17702.77,-17570.69,-3666.74
12435.6512,-17082.26,-29116.35,-30694.49,-34644.8,-20599.7,-17707.16,-17572.88,-3671.12
12435.6552,-17080.17,-29118.16,-30688.38,-34649.81,-20603.99,-17710.93,-17576.22,-3672.7
12435.659,-17096.09,-29125.41,-30707.79,-34654.57,-20607.71,-17715.03,-17580.37,-3671.6
12435.663,-17112.83,-29132.08,-30728.96,-34658.05,-20610.76,-17719.22,-17586.42,-3673.51
12435.667,-17103.77,-29128.51,-30724.15,-34655.58,-20609.91,-17716.46,-17583.71,-3673.89
12435.671,-17084.84,-29121.02,-30701.02,-34651.33,-20606.81,-17712.31,-17578.89,-3672.17
12435.675,-17077.73,-29118.83,-30688.0,-34648.99,-20603.52,-17711.5,-17577.13,-3668.26
12435.679,-17087.8,-29119.3,-30702.79,-34645.75,-20598.22,-17707.16,-17574.46,-3664.06
12435.683,-17103.05,-29122.59,-30720.05,-34647.99,-20602.23,-17706.21,-17573.69,-3660.97
12435.687,-17097.28,-29120.69,-30715.28,-34646.28,-20601.7,-17707.54,-17574.74,-3661.87
12435.691,-17081.69,-29117.21,-30692.68,-34647.9,-20604.14,-17710.78,-17574.79,-3664.3
12435.695,-17081.6,-29119.35,-30683.52,-34654.34,-20610.19,-17713.88,-17578.22,-3666.35
12435.699,-17097.43,-29124.07,-30699.97,-34656.34,-20611.91,-17714.93,-17579.89,-3665.16
12435.703,-17111.59,-29128.46,-30722.24,-34657.63,-20612.24,-17717.55,-17583.42,-3664.68
12435.707,-17103.53,-29123.83,-30717.81,-34654.57,-20609.19,-17714.84,-17583.37,-3667.93
12435.711,-17087.18,-29119.21,-30697.49,-34652.52,-20608.14,-17713.41,-17582.13,-3673.22
12435.715,-17082.65,-29119.26,-30686.95,-34656.0,-20609.95,-17715.17,-17582.61,-3674.36
12435.719,-17095.85,-29123.26,-30704.22,-34657.01,-20609.67,-17716.17,-17584.76,-3674.79
12435.7229,-17108.3,-29129.79,-30727.25,-34655.96,-20609.48,-17717.7,-17586.95,-3677.03
12435.7269,-17100.62,-29126.6,-30722.48,-34652.86,-20608.57,-17716.98,-17584.8,-3680.28
12435.7309,-17085.46,-29119.64,-30699.3,-34649.95,-20607.71,-17716.27,-17582.75,-3681.85
12435.7349,-17079.88,-29115.78,-30685.62,-34649.23,-20606.57,-17714.45,-17581.08,-3679.56
12435.7389,-17096.66,-29123.98,-30704.45,-34657.53,-20613.15,-17717.98,-17585.33,-3677.61
12435.7429,-17114.4,-29132.89,-30729.82,-34660.96,-20615.96,-17720.8,-17589.71,-3680.09
