TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
12435.5982,168.238,-1.83,1002.596,-1828.75,-5670.0,-131.25,66.88,-246.24,-262.96
12435.6482,162.809,-1.891,1003.206,-1863.75,-5661.25,61.25,59.28,-253.84,-250.8
12435.6982,167.689,-6.832,1000.583,-1662.5,-5915.0,630.0,68.4,-237.12,-256.88
12435.7482,167.506,-6.771,1000.644,-166.25,-4786.25,1006.25,53.2,-246.24,-264.48
12435.7982,163.785,-8.357,1007.659,-2301.25,-6571.25,1093.75,51.68,-226.48,-253.84
12435.8482,176.046,-13.237,997.96,-682.5,-6781.25,656.25,66.88,-252.32,-266.0
12435.8982,171.898,-3.233,1002.596,385.0,-4515.0,708.75,63.84,-237.12,-250.8
12435.9482,170.129,3.538,1003.694,-1478.75,-5565.0,2266.25,66.88,-247.76,-269.04
12435.9982,173.972,1.952,999.058,-1470.0,-4086.25,1461.25,66.88,-240.16,-249.28
12436.0482,161.101,0.183,1000.461,-1321.25,-4795.0,-656.25,63.84,-237.12,-249.28
12436.0982,163.907,2.44,1001.742,-2222.5,-5276.25,-411.25,69.92,-249.28,-250.8
12436.1482,163.541,-4.331,1004.487,-1986.25,-5136.25,665.0,68.4,-252.32,-259.92
12436.1982,167.14,-6.283,1003.45,-1435.0,-5136.25,997.5,62.32,-240.16,-261.44
12436.2482,166.591,-3.843,1001.864,-1093.75,-5582.5,105.0,53.2,-243.2,-256.88
12436.2982,163.663,0.244,1002.657,-1408.75,-5153.75,367.5,71.44,-232.56,-267.52
12436.3482,165.798,-0.854,1003.999,-1828.75,-5320.0,980.0,59.28,-246.24,-238.64
12436.3982,166.957,-1.342,1000.095,-1575.0,-5722.5,595.0,65.36,-237.12,-250.8
12436.4482,164.151,-1.037,1004.365,-1995.0,-5267.5,245.0,69.92,-231.04,-244.72
12436.4982,165.737,-6.283,1002.962,-2047.5,-5696.25,-87.5,65.36,-246.24,-253.84
12436.5482,171.959,-9.577,1006.561,-586.25,-4637.5,385.0,51.68,-247.76,-249.28
12436.5982,154.574,3.477,1011.075,-3386.25,-5600.0,1216.25,74.48,-243.2,-262.96
12436.6482,170.678,-14.518,998.143,-1627.5,-7542.5,1618.75,65.36,-232.56,-246.24
12436.6982,173.606,-7.259,1001.498,-402.5,-4418.75,271.25,63.84,-246.24,-255.36
12436.7482,167.567,3.66,1010.099,-1277.5,-5188.75,463.75,59.28,-246.24,-266.0
12436.7982,173.057,-2.44,999.668,-936.25,-4348.75,1618.75,69.92,-247.76,-262.96
12436.8482,166.408,-6.1,1003.328,-1391.25,-4033.75,411.25,71.44,-231.04,-264.48
12436.8982,171.349,-10.797,1000.217,-2047.5,-4278.75,-1995.0,74.48,-232.56,-270.56
12436.9482,154.879,-10.187,1004.121,-472.5,-3771.25,-10543.75,79.04,-246.24,-264.48
12436.9982,157.868,2.379,1001.986,-1032.5,-5398.75,-13685.0,69.92,-238.64,-237.12
12437.0482,162.077,6.344,1001.62,-2485.0,-5643.75,-15268.75,76.0,-243.2,-253.84
12437.0982,160.186,14.945,1005.951,-5635.0,-5276.25,-20090.0,83.6,-244.72,-256.88
12437.1482,149.389,13.603,1001.803,-6265.0,-6545.0,-20422.5,76.0,-247.76,-243.2
12437.1982,153.354,-0.915,1004.182,-5757.5,-9003.75,-14717.5,85.12,-226.48,-256.88
12437.2483,168.543,-12.2,1003.023,-2257.5,-8575.0,-7035.0,79.04,-234.08,-253.84
12437.2982,169.275,-8.784,1002.352,-393.75,-8268.75,-2450.0,82.08,-241.68,-250.8
12437.3482,178.486,0.183,1000.095,927.5,-8093.75,1986.25,85.12,-221.92,-235.6
12437.3982,184.525,2.379,1002.413,507.5,-7192.5,3325.0,83.6,-237.12,-258.4
12437.4482,184.342,0.976,1001.01,1942.5,-3657.5,1592.5,104.88,-234.08,-255.36
12437.4982,176.046,4.087,1002.596,1671.25,-5696.25,-3771.25,89.68,-246.24,-252.32
12437.5482,186.904,13.969,992.104,1216.25,-6492.5,-7682.5,76.0,-231.04,-253.84
12437.5982,166.835,25.864,1004.853,-927.5,-6475.0,-14813.75,66.88,-240.16,-262.96
12437.6482,165.371,16.775,1003.206,-1688.75,-9668.75,-16345.0,79.04,-229.52,-264.48
12437.6982,184.281,22.692,997.533,-201.25,-9275.0,-11803.75,86.64,-244.72,-256.88
12437.7482,194.773,40.382,1000.949,-1627.5,-7708.75,-3736.25,85.12,-249.28,-255.36
12437.7982,200.873,26.596,999.485,-1347.5,-4812.5,253.75,95.76,-228.0,-262.96
12437.8482,177.632,27.206,1002.108,-1557.5,-3202.5,2677.5,91.2,-240.16,-261.44
12437.8982,177.876,22.204,999.119,-901.25,-3718.75,3867.5,91.2,-252.32,-247.76
12437.9482,178.181,23.546,1000.4,-525.0,-4593.75,3403.75,85.12,-229.52,-259.92
12437.9982,194.407,27.877,998.997,-1111.25,-5512.5,4480.0,97.28,-243.2,-255.36
12438.0482,196.42,19.093,994.239,-1443.75,-3281.25,3955.0,101.84,-234.08,-258.4
12438.0982,180.011,22.509,1001.071,-568.75,-3963.75,1452.5,80.56,-240.16,-258.4
12438.1482,184.647,25.132,994.178,-910.0,-2878.75,2493.75,92.72,-241.68,-253.84
12438.1982,170.129,21.533,998.936,-927.5,-3666.25,1785.0,88.16,-229.52,-249.28
12438.2482,176.839,23.241,998.936,-1076.25,-5223.75,1750.0,101.84,-249.28,-252.32
12438.2982,175.253,25.803,1003.938,-61.25,-3718.75,1505.0,80.56,-249.28,-244.72
12438.3482,166.896,27.877,1007.171,-2607.5,-5617.5,1478.75,95.76,-253.84,-258.4
