TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13890.9354,6985.62,-15623.05,-24189.52,-20035.46,-6692.12,-7005.31,-1712.18,7330.13
13890.9394,6986.57,-15619.52,-24189.19,-20031.74,-6687.69,-7001.07,-1708.56,7333.52
13890.9434,6984.57,-15621.28,-24193.58,-20032.31,-6688.31,-7001.69,-1709.03,7331.8
13890.9474,6986.76,-15622.33,-24192.86,-20032.17,-6687.83,-7001.02,-1708.79,7331.9
13890.9514,6989.86,-15624.24,-24192.67,-20032.84,-6690.69,-7002.97,-1710.51,7329.04
13890.9554,6988.34,-15624.62,-24192.38,-20032.74,-6691.08,-7003.74,-1710.51,7327.56
13890.9594,6983.61,-15624.76,-24196.06,-20031.45,-6689.88,-7005.64,-1713.47,7327.51
13890.9634,6979.42,-15624.38,-24198.58,-20032.55,-6689.98,-7006.65,-1714.33,7325.7
13890.9674,6979.42,-15623.67,-24197.06,-20033.12,-6691.74,-7005.88,-1713.56,7326.99
13890.9714,6981.09,-15627.62,-24195.29,-20035.17,-6695.94,-7009.98,-1716.04,7327.99
13890.9754,6977.94,-15634.11,-24200.11,-20040.23,-6700.85,-7017.47,-1722.15,7321.41
13890.9794,6971.41,-15634.73,-24203.88,-20048.1,-6703.76,-7020.09,-1726.34,7322.65
13890.9834,6970.22,-15633.16,-24205.02,-20048.19,-6702.14,-7018.95,-1724.77,7323.22
13890.9874,6974.51,-15634.63,-24205.54,-20045.52,-6701.61,-7018.66,-1724.96,7320.31
13890.9914,6977.7,-15636.3,-24204.21,-20044.9,-6704.57,-7019.09,-1726.06,7317.45
13890.9954,6976.56,-15637.78,-24206.16,-20048.48,-6706.48,-7021.62,-1727.01,7313.82
13890.9993,6974.17,-15635.49,-24205.74,-20048.33,-6703.43,-7018.66,-1726.72,7319.45
13891.0033,6974.89,-15632.11,-24205.69,-20043.14,-6698.94,-7014.8,-1722.34,7327.13
13891.0073,6977.61,-15632.68,-24202.11,-20038.61,-6698.13,-7013.18,-1719.47,7325.22
13891.0113,6980.8,-15633.16,-24198.49,-20035.03,-6696.99,-7014.7,-1721.0,7322.79
13891.0153,6977.23,-15637.78,-24201.97,-20042.9,-6701.52,-7018.23,-1724.91,7321.74
13891.0193,6968.4,-15642.69,-24210.12,-20049.19,-6705.81,-7023.53,-1729.58,7317.16
13891.0233,6963.64,-15643.74,-24213.89,-20050.29,-6709.05,-7024.86,-1731.73,7317.5
13891.0273,6968.59,-15640.31,-24208.5,-20050.29,-6706.14,-7021.9,-1728.34,7320.93
13891.0313,6972.55,-15638.78,-24203.88,-20050.39,-6706.24,-7021.24,-1727.25,7320.07
13891.0353,6971.26,-15638.45,-24203.64,-20047.91,-6705.05,-7020.19,-1727.39,7320.17
13891.0393,6969.26,-15636.49,-24205.45,-20044.23,-6702.19,-7019.38,-1726.48,7320.12
13891.0433,6968.02,-15637.83,-24210.98,-20042.04,-6700.14,-7020.52,-1727.92,7320.6
13891.0473,6973.08,-15636.97,-24208.88,-20037.46,-6697.75,-7016.75,-1724.05,7324.36
13891.0513,6983.23,-15631.49,-24199.54,-20029.17,-6694.84,-7013.94,-1719.57,7331.56
13891.0553,6986.76,-15630.06,-24198.3,-20029.59,-6692.84,-7012.56,-1718.38,7327.61
13891.0593,6983.9,-15627.82,-24199.58,-20036.65,-6691.27,-7010.84,-1717.42,7326.65
13891.0632,6984.85,-15628.29,-24203.97,-20031.98,-6689.02,-7009.03,-1717.14,7322.93
13891.0672,6987.24,-15630.53,-24203.59,-20029.17,-6689.88,-7009.75,-1717.66,7321.22
13891.0712,6990.0,-15628.91,-24199.3,-20029.98,-6691.08,-7008.79,-1716.9,7321.5
13891.0752,6992.72,-15623.67,-24192.86,-20029.79,-6689.02,-7003.26,-1711.99,7326.89
