TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5472.15,12591.7,-4081.54,17229.23,6488.32,20793.2,11797.0,5284.12,-16074.13
5472.154,12599.09,-4053.31,17288.26,6488.04,20790.96,11790.47,5282.69,-16073.9
5472.158,12602.86,-4038.29,17327.41,6483.94,20783.0,11772.25,5269.67,-16093.35
5472.162,12590.03,-4059.12,17313.15,6490.28,20786.96,11779.17,5287.41,-16081.0
5472.166,12600.23,-4083.59,17243.29,6492.52,20805.55,11799.77,5287.03,-16076.42
5472.17,12582.73,-4102.18,17209.01,6476.21,20783.09,11769.49,5245.07,-16131.12
5472.174,12572.34,-4089.98,17219.74,6450.08,20758.87,11780.02,5258.47,-16084.15
5472.178,12576.77,-4072.76,17261.55,6450.51,20761.4,11781.41,5270.62,-16059.07
5472.182,12571.72,-4086.97,17236.43,6452.7,20759.16,11771.16,5261.47,-16084.34
5472.186,12581.97,-4099.56,17204.67,6462.05,20770.79,11778.31,5267.67,-16089.39
5472.19,12588.88,-4093.27,17209.72,6465.91,20774.27,11781.03,5271.05,-16090.97
5472.194,12570.76,-4093.22,17239.38,6452.23,20756.87,11757.38,5248.45,-16108.71
5472.198,12562.56,-4087.88,17264.27,6443.69,20751.43,11757.61,5256.51,-16095.35
5472.202,12572.34,-4093.03,17247.3,6453.18,20762.64,11774.68,5269.15,-16077.85
5472.206,12598.71,-4096.56,17237.67,6475.4,20786.76,11790.52,5278.78,-16075.61
5472.21,12589.89,-4104.61,17221.02,6471.06,20777.42,11775.35,5260.8,-16103.08
5472.214,12562.23,-4107.05,17237.24,6451.42,20751.76,11749.75,5246.78,-16117.1
5472.218,12554.79,-4100.66,17270.33,6443.64,20743.32,11745.03,5247.59,-16101.65
5472.222,12556.17,-4110.86,17243.77,6445.6,20750.33,11756.71,5252.74,-16096.55
5472.226,12569.24,-4121.45,17202.0,6455.57,20761.59,11766.34,5256.22,-16098.36
5472.23,12596.56,-4100.61,17225.03,6470.87,20775.27,11780.93,5272.34,-16085.1
5472.234,12583.92,-4089.93,17254.74,6463.53,20766.64,11769.68,5260.9,-16089.01
5472.238,12563.28,-4102.76,17270.71,6451.94,20753.48,11758.38,5237.25,-16091.68
5472.242,12577.92,-4100.61,17258.84,6457.81,20761.64,11766.34,5255.6,-16089.87
5472.246,12594.8,-4099.89,17222.55,6472.78,20778.18,11783.51,5277.3,-16084.53
5472.25,12583.73,-4114.44,17201.52,6470.11,20773.7,11783.7,5279.06,-16077.52
5472.254,12587.5,-4095.79,17264.08,6468.11,20768.84,11767.58,5256.08,-16101.36
5472.258,12587.22,-4078.96,17298.75,6466.1,20767.02,11769.34,5260.52,-16073.71
5472.262,12598.8,-4078.48,17287.59,6474.64,20776.7,11785.08,5278.97,-16054.2
5472.266,12596.85,-4106.28,17236.33,6479.22,20780.04,11782.98,5273.72,-16073.99
5472.27,12592.51,-4115.44,17222.55,6480.79,20782.85,11789.7,5275.92,-16072.9
5472.274,12596.47,-4094.55,17286.35,6481.74,20780.66,11779.21,5272.34,-16074.99
5472.2779,12583.78,-4087.31,17304.28,6468.92,20768.69,11773.97,5278.21,-16057.97
5472.2819,12592.6,-4086.45,17280.63,6473.78,20776.7,11783.89,5285.45,-16057.45
5472.2859,12611.53,-4091.79,17253.83,6493.38,20797.64,11803.44,5301.14,-16052.58
5472.2899,12617.07,-4089.55,17255.59,6504.44,20804.12,11805.01,5305.0,-16062.31
5472.2939,12611.77,-4074.19,17293.84,6498.81,20798.64,11804.15,5298.95,-16051.34
5472.2979,12582.92,-4085.73,17296.13,6477.4,20772.36,11779.93,5281.45,-16065.41
5472.3019,12595.99,-4083.44,17290.07,6486.08,20784.33,11794.95,5289.22,-16049.82
5472.3059,12591.79,-4117.25,17229.56,6485.27,20785.33,11792.85,5278.54,-16067.6
5472.3099,12604.24,-4111.05,17249.44,6497.53,20797.92,11805.39,5296.95,-16049.53
5472.3139,12621.64,-4066.66,17320.83,6506.59,20809.46,11815.69,5310.58,-16025.55
