TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5472.1877,822.524,-150.731,682.468,437.5,12005.0,-7717.5,-171.76,88.16,-199.12
5472.2377,787.449,-92.293,672.708,-2231.25,14087.5,-10167.5,-182.4,82.08,-211.28
5472.2877,771.101,-101.748,663.009,-7481.25,13361.25,-8890.0,-185.44,71.44,-221.92
5472.3377,773.785,-98.149,644.709,-6475.0,9835.0,-9651.25,-174.8,83.6,-203.68
5472.3877,770.491,-100.528,644.282,-7035.0,5145.0,-4462.5,-180.88,82.08,-211.28
5472.4377,711.931,-147.071,639.28,-630.0,-5048.75,11313.75,-158.08,85.12,-231.04
5472.4877,784.399,-147.803,639.036,10832.5,-7463.75,1391.25,-159.6,100.32,-220.4
5472.5379,821.426,-112.789,626.287,3911.25,2091.25,-3211.25,-162.64,77.52,-214.32
5472.5877,810.08,-130.723,645.99,761.25,262.5,-9826.25,-167.2,80.56,-206.72
5472.6378,816.424,-96.136,650.748,2301.25,3272.5,-6186.25,-177.84,82.08,-220.4
5472.6877,741.516,-93.025,659.044,2983.75,4410.0,-1758.75,-165.68,74.48,-228.0
5472.7377,741.089,-78.568,695.034,700.0,-1268.75,1216.25,-168.72,89.68,-214.32
5472.7877,748.348,-82.716,685.64,-5215.0,-7910.0,-3823.75,-158.08,59.28,-234.08
5472.8377,779.824,-116.51,683.566,-26.25,-5775.0,-393.75,-145.92,77.52,-228.0
5472.8877,784.216,-111.142,684.786,4340.0,-2511.25,-1382.5,-170.24,63.84,-214.32
5472.9377,773.297,-69.052,671.183,3220.0,-1750.0,-1566.25,-161.12,65.36,-235.6
5472.9877,756.339,-99.857,677.771,4121.25,-2196.25,5215.0,-165.68,79.04,-223.44
5473.0377,778.299,-38.186,681.919,-2248.75,-2948.75,796.25,-168.72,60.8,-237.12
5473.0877,749.507,-65.209,700.707,-10307.5,-813.75,-6606.25,-152.0,76.0,-234.08
5473.1377,739.503,-96.624,696.193,-7796.25,-3018.75,-3657.5,-167.2,59.28,-217.36
5473.1877,737.612,-119.255,692.228,612.5,-6431.25,3325.0,-159.6,68.4,-243.2
5473.2377,758.352,-94.062,689.483,6973.75,-7525.0,7498.75,-168.72,66.88,-228.0
5473.2877,770.064,-85.705,686.25,5372.5,-7175.0,6090.0,-164.16,56.24,-232.56
5473.3377,762.012,-69.235,685.518,1181.25,-5381.25,3325.0,-158.08,69.92,-246.24
5473.3877,764.757,-97.783,689.239,4462.5,-4908.75,4655.0,-161.12,77.52,-229.52
5473.4377,757.803,-81.069,691.984,2213.75,-3858.75,2187.5,-155.04,63.84,-226.48
5473.4877,749.69,-77.226,682.224,2651.25,-5740.0,5337.5,-148.96,54.72,-244.72
5473.5377,756.949,-78.995,694.79,2152.5,-5845.0,918.75,-152.0,69.92,-237.12
5473.5877,769.454,-58.316,691.679,-1601.25,-3990.0,-2896.25,-161.12,72.96,-229.52
5473.6377,744.505,-71.309,699.548,-3727.5,-3027.5,-1741.25,-164.16,66.88,-238.64
5473.6877,734.684,-77.165,691.679,-5311.25,-6125.0,-1102.5,-139.84,74.48,-241.68
5473.7377,758.352,-77.47,691.557,-3071.25,-4978.75,-2012.5,-156.56,72.96,-228.0
5473.7877,747.067,-89.731,691.557,-2861.25,-6562.5,-813.75,-158.08,60.8,-211.28
5473.8377,761.829,-92.171,687.897,-761.25,-7262.5,-437.5,-139.84,79.04,-240.16
5473.8877,754.875,-75.884,689.056,-3955.0,-6020.0,-183.75,-147.44,66.88,-231.04
5473.9377,744.871,-81.923,692.045,-3946.25,-8330.0,-131.25,-158.08,62.32,-237.12
5473.9877,777.445,-84.668,678.381,-1268.75,-8671.25,-910.0,-177.84,68.4,-229.52
5474.0377,772.382,-86.01,677.527,-297.5,-7840.0,1557.5,-170.24,56.24,-234.08
5474.0877,744.078,-86.925,687.226,3421.25,-7997.5,4130.0,-161.12,65.36,-218.88
5474.1377,776.896,-76.86,682.529,3342.5,-10946.25,1321.25,-155.04,50.16,-217.36
5474.1877,781.654,-60.207,666.791,-1566.25,-9327.5,-218.75,-162.64,60.8,-228.0
5474.2377,795.745,-68.564,666.059,-3955.0,-6877.5,-2135.0,-176.32,62.32,-228.0
5474.2877,788.486,-84.119,672.83,-4182.5,-5372.5,-2703.75,-168.72,66.88,-231.04
5474.3377,768.417,-79.483,673.562,-2765.0,-4243.75,-1750.0,-177.84,68.4,-215.84
5474.3877,775.249,-101.077,679.235,1548.75,-7673.75,3508.75,-164.16,47.12,-226.48
5474.4377,784.399,-67.161,670.939,2598.75,-6842.5,-708.75,-164.16,71.44,-224.96
5474.4877,792.634,-35.441,653.798,-6623.75,-7227.5,-4130.0,-173.28,56.24,-211.28
5474.5377,760.121,-88.511,662.46,-6396.25,-9458.75,61.25,-162.64,69.92,-217.36
5474.5877,772.382,-112.301,654.896,2152.5,-13116.25,6378.75,-167.2,51.68,-221.92
5474.6377,762.561,-62.647,625.311,8093.75,-24027.5,5608.75,-164.16,54.72,-220.4
5474.6877,837.53,-44.896,624.396,4243.75,-24001.25,4340.0,-185.44,68.4,-212.8
5474.7377,774.639,-48.129,582.733,52.5,-26582.5,4698.75,-202.16,62.32,-224.96
5474.7877,814.045,-70.882,574.01,-1575.0,-24395.0,1548.75,-179.36,69.92,-221.92
5474.8377,837.042,-79.422,589.687,-2590.0,-32138.75,4663.75,-188.48,76.0,-211.28
5474.8877,854.488,-75.274,566.202,1837.5,-16651.25,2380.0,-197.6,54.72,-208.24
5474.9377,914.695,-61.061,593.286,-1032.5,-15163.75,-840.0,-208.24,53.2,-209.76
5474.9877,857.599,-70.333,586.332,-2012.5,-1662.5,4821.25,-205.2,65.36,-202.16
5475.0377,834.419,-85.217,582.672,-1872.5,3211.25,3386.25,-199.12,62.32,-203.68
5475.0879,825.391,-57.767,566.934,-4130.0,-2161.25,936.25,-208.24,60.8,-211.28
5475.1377,876.387,-82.106,581.696,-9590.0,-2423.75,-525.0,-188.48,79.04,-211.28
5475.1878,861.381,-102.236,584.624,-7490.0,4672.5,-1960.0,-199.12,77.52,-226.48
5475.2377,823.5,-102.297,583.404,-6860.0,5337.5,-1102.5,-197.6,65.36,-203.68
5475.2877,832.284,-102.358,625.128,-5888.75,4978.75,-717.5,-188.48,80.56,-218.88
5475.3377,826.672,-94.977,652.273,-5250.0,10508.75,1015.0,-190.0,66.88,-224.96
5475.3877,754.875,-94.672,655.567,-5057.5,11812.5,463.75,-193.04,82.08,-223.44
5475.4377,765.306,-104.981,676.612,-5232.5,5853.75,1933.75,-190.0,80.56,-231.04
5475.4877,752.862,-118.828,662.948,-5005.0,3631.25,1977.5,-183.92,85.12,-237.12
5475.5377,756.522,-125.904,652.883,-2178.75,-3613.75,-1618.75,-167.2,76.0,-235.6
5475.5877,775.92,-116.571,647.698,-1513.75,-6002.5,-1723.75,-185.44,63.84,-217.36
5475.6377,806.115,-122.915,638.304,-2135.0,-9668.75,-183.75,-190.0,85.12,-214.32
5475.6877,838.811,-109.678,637.633,280.0,-6475.0,-2388.75,-180.88,86.64,-237.12
5475.7377,841.434,-105.896,630.313,122.5,-2493.75,-542.5,-176.32,88.16,-234.08
5475.7877,817.034,-104.249,634.705,945.0,1977.5,805.0,-176.32,74.48,-244.72
5475.8377,759.084,-102.907,647.454,2441.25,1190.0,-883.75,-182.4,62.32,-234.08
5475.8877,759.755,-95.587,654.164,1636.25,-5398.75,-743.75,-174.8,86.64,-231.04
5475.9377,797.819,-94.672,659.166,1767.5,-8286.25,-3552.5,-179.36,72.96,-240.16
5475.9877,804.712,-82.289,657.092,813.75,-6396.25,-3368.75,-168.72,68.4,-224.96
5476.0377,804.773,-75.64,642.574,-455.0,-4462.5,-1758.75,-185.44,59.28,-228.0
5476.0877,809.47,-83.509,646.6,-43.75,-2817.5,-498.75,-185.44,62.32,-221.92
5476.1377,787.388,-73.017,648.735,927.5,-988.75,-1190.0,-186.96,82.08,-220.4
5476.1877,762.805,-66.246,657.153,350.0,-5372.5,-1251.25,-183.92,63.84,-240.16
5476.2377,783.85,-64.233,661.606,-70.0,-7271.25,-691.25,-170.24,74.48,-229.52
5476.2877,796.965,-62.22,655.689,-367.5,-6737.5,-131.25,-200.64,57.76,-237.12
5476.3377,802.699,-60.268,647.82,-516.25,-5407.5,131.25,-197.6,57.76,-221.92
5476.3877,810.385,-61.0,648.796,-980.0,-3517.5,-192.5,-179.36,69.92,-237.12
5476.4377,787.266,-56.425,650.077,-1128.75,-1802.5,-840.0,-197.6,68.4,-235.6
5476.4877,774.212,-60.939,654.896,-2572.5,-4795.0,350.0,-174.8,60.8,-231.04
5476.5377,788.364,-71.614,657.885,-1653.75,-6650.0,236.25,-177.84,74.48,-234.08
5476.5877,806.908,-66.795,658.556,-831.25,-4698.75,525.0,-188.48,63.84,-240.16
5476.6377,794.952,-64.294,649.162,-848.75,-3710.0,236.25,-188.48,65.36,-249.28
5476.6877,795.806,-69.906,650.931,-1286.25,-3780.0,472.5,-190.0,42.56,-232.56
5476.7377,783.545,-62.891,660.63,-1242.5,-1986.25,-595.0,-171.76,76.0,-235.6
5476.7877,768.112,-66.002,657.214,-1715.0,-4313.75,192.5,-177.84,54.72,-243.2
5476.8377,785.619,-73.261,662.704,-656.25,-6737.5,1435.0,-174.8,72.96,-238.64
5476.8877,790.194,-64.721,656.055,131.25,-6413.75,726.25,-179.36,74.48,-243.2
5476.9377,795.44,-55.388,651.297,-962.5,-6186.25,953.75,-186.96,56.24,-246.24
5476.9877,798.795,-58.987,650.626,-1837.5,-4926.25,210.0,-165.68,71.44,-240.16
5477.0377,791.719,-59.78,656.177,-2380.0,-4165.0,1312.5,-170.24,54.72,-226.48
5477.0877,787.815,-75.213,659.593,-1618.75,-3955.0,1260.0,-177.84,59.28,-240.16
5477.1377,780.922,-71.736,656.116,-708.75,-4418.75,61.25,-180.88,63.84,-243.2
5477.1877,790.377,-59.231,660.874,-1356.25,-4681.25,-280.0,-185.44,54.72,-226.48
5477.2377,788.12,-62.769,656.848,-2108.75,-4795.0,52.5,-199.12,62.32,-228.0
5477.2877,784.826,-65.758,657.397,-1898.75,-5276.25,542.5,-179.36,57.76,-226.48
5477.3377,789.279,-69.784,656.238,-1688.75,-4970.0,997.5,-168.72,54.72,-247.76
5477.3877,787.327,-67.954,659.105,-848.75,-5145.0,367.5,-180.88,57.76,-238.64
5477.4377,786.412,-59.963,657.031,-1400.0,-5153.75,-332.5,-180.88,63.84,-223.44
5477.4877,787.144,-62.647,654.835,-2555.0,-4112.5,341.25,-185.44,79.04,-243.2
5477.5377,785.619,-72.407,653.432,-2528.75,-5092.5,1610.0,-185.44,63.84,-232.56
5477.5877,796.599,-66.978,666.303,-595.0,-4025.0,26.25,-168.72,48.64,-250.8
5477.6377,776.53,-62.464,659.654,-2021.25,-2581.25,-157.5,-180.88,57.76,-235.6
5477.6877,767.563,-65.087,656.238,-2756.25,-4436.25,-437.5,-186.96,60.8,-250.8
5477.7378,783.545,-73.993,660.691,-2205.0,-6020.0,-297.5,-194.56,65.36,-234.08
5477.7877,784.582,-66.429,660.264,-1618.75,-5993.75,472.5,-188.48,66.88,-237.12
5477.8378,787.144,-64.05,656.177,-936.25,-6413.75,525.0,-182.4,63.84,-231.04
5477.8877,793.427,-60.268,658.068,-1890.0,-5372.5,411.25,-186.96,62.32,-228.0
5477.9377,786.839,-66.795,653.554,-2108.75,-4908.75,-245.0,-190.0,53.2,-221.92
