TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6024.9377,869.006,-38.003,540.216,-1146.25,-17543.75,157.5,-205.2,54.72,-191.52
6024.9877,869.311,-34.099,531.737,-1015.0,-18655.0,52.5,-208.24,51.68,-199.12
6025.0377,864.919,-38.125,516.06,-1076.25,-21927.5,822.5,-209.76,54.72,-202.16
6025.0877,874.13,-42.7,504.592,8.75,-26538.75,1338.75,-224.96,51.68,-194.56
6025.1377,885.476,-38.796,490.806,1531.25,-29076.25,3211.25,-229.52,62.32,-185.44
6025.1877,901.885,-41.785,465.308,2870.0,-32322.5,6527.5,-231.04,39.52,-188.48
6025.2377,922.93,-40.687,431.88,4541.25,-33433.75,8977.5,-244.72,57.76,-165.68
6025.2877,947.147,-49.532,408.761,5792.5,-32628.75,9187.5,-228.0,50.16,-156.56
6025.3377,972.401,-60.939,376.431,7901.25,-29793.75,11733.75,-229.52,44.08,-168.72
6025.3877,987.773,-58.682,359.778,10640.0,-25777.5,12188.75,-252.32,60.8,-147.44
6025.4377,987.285,-62.952,337.208,10465.0,-22076.25,12215.0,-266.0,51.68,-142.88
6025.4877,990.518,-56.791,326.167,9091.25,-18138.75,9773.75,-244.72,56.24,-139.84
6025.5377,990.823,-56.669,324.764,6947.5,-14962.5,8793.75,-249.28,53.2,-135.28
6025.5877,981.124,-62.769,312.198,4156.25,-12722.5,7376.25,-253.84,56.24,-142.88
6025.6377,987.346,-65.575,312.137,726.25,-11515.0,6238.75,-244.72,59.28,-144.4
6025.6877,991.311,-87.596,308.294,-2082.5,-9030.0,4252.5,-249.28,57.76,-139.84
6025.7377,987.102,-94.611,305.854,-2030.0,-6895.0,1347.5,-258.4,57.76,-121.6
6025.7877,982.832,-95.221,304.756,-2108.75,-6212.5,332.5,-259.92,57.76,-130.72
6025.8377,983.625,-100.162,304.573,-1102.5,-5127.5,280.0,-253.84,63.84,-144.4
6025.8877,985.15,-99.064,307.684,-323.75,-4103.75,315.0,-249.28,68.4,-148.96
6025.9377,975.146,-87.535,311.71,17.5,-3648.75,-875.0,-246.24,66.88,-133.76
6025.9879,976.183,-78.69,316.712,-1601.25,-3508.75,-953.75,-253.84,66.88,-147.44
6026.0377,977.281,-79.239,317.688,-2476.25,-2695.0,-358.75,-266.0,51.68,-142.88
6026.0878,982.039,-84.485,322.446,-1785.0,-1181.25,-481.25,-258.4,57.76,-126.16
6026.1377,972.645,-85.156,326.228,-1251.25,-682.5,-691.25,-255.36,63.84,-147.44
6026.1877,971.242,-81.374,332.389,-577.5,-1347.5,-192.5,-253.84,51.68,-127.68
6026.2377,963.19,-77.653,335.073,-1137.5,-2100.0,542.5,-253.84,50.16,-133.76
6026.2877,968.802,-80.398,335.134,-1478.75,-3080.0,-402.5,-250.8,66.88,-147.44
6026.3377,973.011,-72.102,338.428,-2283.75,-3071.25,-367.5,-253.84,62.32,-150.48
6026.3877,955.748,-80.215,337.513,-2117.5,-3018.75,665.0,-261.44,59.28,-144.4
6026.4377,964.593,-83.875,343.613,-1146.25,-3657.5,1583.75,-252.32,56.24,-130.72
6026.4877,961.177,-79.666,347.273,-927.5,-3981.25,1303.75,-259.92,53.2,-139.84
6026.5377,958.493,-80.459,344.162,-866.25,-4698.75,971.25,-255.36,51.68,-152.0
6026.5877,963.861,-78.812,345.87,-2082.5,-6125.0,1216.25,-256.88,56.24,-124.64
6026.6377,968.253,-79.605,336.537,-2126.25,-5748.75,463.75,-247.76,63.84,-144.4
6026.6877,967.521,-84.424,336.415,-2511.25,-6125.0,568.75,-234.08,56.24,-141.36
6026.7377,977.342,-83.631,335.5,-1837.5,-4698.75,-402.5,-237.12,54.72,-144.4
6026.7877,972.584,-79.178,336.903,-2590.0,-3473.75,166.25,-237.12,59.28,-152.0
6026.8377,963.373,-85.705,332.694,-2703.75,-3823.75,612.5,-250.8,50.16,-141.36
6026.8877,966.606,-87.23,335.012,-1470.0,-4961.25,463.75,-244.72,71.44,-138.32
6026.9377,969.412,-83.082,340.136,-1233.75,-4725.0,402.5,-238.64,47.12,-142.88
6026.9877,968.009,-78.751,338.001,-1653.75,-4690.0,-96.25,-235.6,65.36,-155.04
