TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12673.5504,8019.88,4585.46,-3636.07,21445.23,16851.0,-1009.89,2269.79,-7294.37
12673.5544,8020.69,4585.79,-3636.36,21444.51,16850.9,-1011.28,2269.79,-7288.98
12673.5584,8055.16,4619.17,-3600.03,21483.09,16887.48,-979.61,2303.7,-7256.84
12673.5624,8079.34,4639.15,-3580.09,21503.88,16909.79,-960.4,2322.72,-7240.06
12673.5664,8053.92,4617.26,-3604.6,21478.8,16885.57,-979.76,2300.98,-7262.42
12673.5704,8018.88,4585.84,-3637.03,21443.13,16847.66,-1010.37,2268.84,-7291.75
12673.5744,8025.27,4590.94,-3629.73,21451.86,16854.24,-1005.94,2274.42,-7286.6
12673.5784,8067.66,4628.61,-3591.82,21497.06,16898.92,-970.94,2310.37,-7254.41
12673.5824,8085.68,4646.97,-3575.04,21513.42,16915.85,-954.68,2326.06,-7237.05
12673.5864,8056.78,4621.32,-3600.88,21482.04,16884.52,-977.71,2302.93,-7261.42
12673.5904,8022.74,4589.27,-3634.45,21446.52,16849.47,-1008.22,2271.84,-7294.75
12673.5944,8032.13,4598.05,-3625.82,21457.87,16860.58,-1002.22,2278.81,-7289.79
12673.5984,8075.52,4636.15,-3586.2,21502.93,16906.84,-966.31,2317.52,-7252.41
12673.6024,8095.93,4656.41,-3565.65,21524.96,16925.53,-946.86,2336.98,-7233.62
12673.6064,8067.7,4631.81,-3592.68,21486.05,16891.67,-969.55,2312.14,-7256.56
12673.6104,8028.7,4596.04,-3627.83,21448.57,16854.34,-1002.31,2278.09,-7289.17
12673.6143,8034.23,4599.38,-3621.91,21456.48,16861.97,-999.74,2282.95,-7287.6
12673.6183,8075.05,4635.53,-3585.48,21500.3,16904.02,-965.79,2317.33,-7255.13
12673.6223,8096.27,4657.08,-3564.55,21521.09,16926.1,-943.8,2339.79,-7233.48
12673.6263,8069.8,4635.19,-3587.58,21493.87,16898.49,-963.97,2319.24,-7251.69
12673.6303,8029.84,4600.0,-3622.34,21449.85,16856.24,-999.16,2283.38,-7285.36
12673.6343,8031.8,4599.52,-3618.81,21454.77,16859.63,-997.16,2285.67,-7282.73
12673.6383,8072.95,4634.43,-3585.48,21500.49,16903.21,-965.83,2319.34,-7250.31
12673.6423,8091.45,4651.74,-3570.37,21514.47,16919.66,-949.76,2334.07,-7237.86
12673.6463,8058.84,4626.47,-3594.69,21482.14,16888.05,-972.13,2311.28,-7258.27
12673.6503,8027.41,4594.95,-3627.73,21450.14,16856.24,-1000.26,2279.85,-7287.07
12673.6543,8033.42,4597.95,-3624.44,21459.39,16863.21,-998.59,2282.52,-7285.31
12673.6583,8068.71,4631.23,-3592.11,21495.39,16898.78,-969.12,2314.57,-7256.6
12673.6623,8085.49,4648.83,-3573.56,21511.46,16914.89,-952.15,2331.54,-7240.87
12673.6663,8063.7,4627.37,-3596.12,21487.43,16892.1,-970.79,2310.09,-7260.28
12673.6703,8032.32,4596.28,-3627.68,21456.29,16859.29,-999.12,2280.47,-7290.89
12673.6743,8035.61,4599.48,-3623.06,21460.82,16863.54,-997.88,2284.05,-7285.69
12673.6783,8072.09,4632.76,-3588.72,21497.49,16902.07,-966.84,2317.57,-7253.41
12673.6823,8094.26,4652.93,-3568.94,21523.34,16925.24,-945.28,2339.12,-7232.95
12673.6863,8071.85,4632.33,-3589.92,21499.78,16900.78,-964.21,2319.53,-7251.88
12673.6903,8036.38,4599.62,-3624.96,21460.96,16864.02,-996.07,2285.29,-7279.97
12673.6943,8040.72,4603.05,-3619.53,21468.21,16871.07,-992.44,2287.67,-7278.44
12673.6983,8079.24,4636.57,-3584.29,21509.41,16910.6,-962.07,2321.53,-7246.59
12673.7023,8089.54,4651.5,-3568.41,21519.38,16922.52,-946.33,2339.65,-7230.04
12673.7063,8064.22,4629.14,-3591.49,21491.24,16895.3,-966.12,2317.24,-7252.6
12673.7103,8027.36,4593.66,-3629.73,21455.86,16858.01,-1000.69,2279.09,-7285.41
12673.7143,8031.51,4594.52,-3626.63,21461.06,16861.15,-1000.36,2281.57,-7283.02
12673.7183,8068.37,4628.71,-3590.63,21498.87,16899.59,-968.74,2316.19,-7250.26
12673.7223,8092.93,4650.78,-3571.13,21525.67,16925.38,-947.09,2335.74,-7233.24
12673.7263,8066.61,4626.66,-3595.83,21495.87,16897.82,-967.22,2312.71,-7257.08
12673.7303,8029.41,4592.99,-3628.21,21456.86,16859.72,-998.64,2281.0,-7287.5
12673.7343,8030.8,4593.9,-3627.21,21455.39,16857.34,-999.64,2283.48,-7284.5
12673.7383,8067.28,4627.75,-3590.77,21490.86,16894.77,-967.03,2319.43,-7252.26
12673.7422,8091.26,4650.26,-3568.22,21519.09,16921.33,-943.37,2341.56,-7223.8
12673.7462,8063.98,4627.04,-3593.83,21493.96,16894.87,-965.4,2318.14,-7247.64
12673.7502,8026.03,4590.08,-3630.26,21456.53,16856.1,-1000.26,2281.0,-7280.92
12673.7542,8029.37,4590.56,-3629.78,21459.39,16859.68,-1000.93,2281.19,-7281.64
12673.7582,8067.23,4627.47,-3593.87,21495.25,16898.78,-968.27,2316.62,-7250.88
12673.7622,8092.07,4651.83,-3569.32,21520.76,16924.43,-946.05,2339.79,-7229.9
12673.7662,8067.99,4630.09,-3592.06,21501.97,16899.54,-963.64,2318.1,-7249.93
12673.7702,8032.37,4598.43,-3625.82,21462.82,16862.3,-993.3,2287.72,-7280.02
12673.7742,8035.14,4600.72,-3619.86,21461.82,16864.68,-990.72,2291.82,-7274.87
12673.7782,8079.34,4637.86,-3581.62,21508.65,16909.41,-956.49,2327.92,-7243.11
12673.7822,8102.08,4658.51,-3563.26,21532.78,16933.59,-937.8,2345.66,-7223.89
12673.7862,8073.04,4633.62,-3590.49,21505.17,16904.02,-959.68,2321.58,-7245.02
12673.7902,8033.85,4599.19,-3623.1,21466.4,16867.02,-991.77,2289.44,-7275.39
12673.7942,8039.67,4602.05,-3618.43,21471.12,16872.46,-989.63,2292.35,-7274.1
12673.7982,8078.29,4638.43,-3580.81,21508.12,16910.94,-954.72,2327.49,-7242.06
12673.8022,8101.99,4661.08,-3559.88,21534.73,16935.49,-933.46,2348.66,-7218.93
12673.8062,8075.05,4638.39,-3583.86,21505.69,16905.36,-954.72,2326.77,-7238.68
12673.8102,8042.86,4607.53,-3615.09,21474.08,16873.03,-984.24,2296.97,-7267.95
12673.8142,8046.48,4608.82,-3612.61,21474.46,16873.65,-982.14,2298.4,-7266.47
12673.8182,8081.87,4640.87,-3577.52,21509.32,16911.51,-952.34,2329.4,-7236.43
12673.8222,8100.51,4660.89,-3557.92,21529.96,16930.77,-933.6,2349.66,-7220.08
12673.8262,8076.72,4639.2,-3584.72,21508.12,16907.03,-954.91,2325.68,-7244.78
12673.8302,8048.49,4610.73,-3615.43,21479.75,16878.65,-980.95,2298.74,-7267.14
12673.8342,8056.31,4617.45,-3607.08,21491.24,16889.1,-973.32,2307.13,-7260.09
12673.8382,8095.46,4653.5,-3569.56,21530.68,16930.3,-937.8,2344.75,-7224.37
12673.8422,8115.44,4674.39,-3547.43,21547.94,16949.37,-918.48,2366.35,-7200.77
12673.8462,8089.02,4650.16,-3571.56,21517.42,16920.14,-940.51,2341.03,-7226.09
