TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
12673.6244,-668.194,-83.265,720.227,-2178.75,-3430.0,682.5,396.72,-168.72,-278.16
12673.6745,-668.194,-85.888,720.044,-1715.0,-3701.25,498.75,383.04,-167.2,-302.48
12673.7244,-673.623,-83.57,719.861,-1496.25,-4191.25,490.0,372.4,-173.28,-305.52
12673.7744,-668.926,-86.864,719.007,-1636.25,-4690.0,306.25,381.52,-161.12,-307.04
12673.8244,-671.61,-86.681,721.325,-1286.25,-4340.0,516.25,369.36,-162.64,-297.92
12673.8744,-668.987,-84.119,719.251,-1373.75,-4401.25,700.0,386.08,-173.28,-291.84
12673.9244,-666.974,-87.23,719.068,-1382.5,-4068.75,883.75,370.88,-162.64,-300.96
12673.9744,-674.904,-79.91,721.874,-1163.75,-3928.75,971.25,386.08,-174.8,-300.96
12674.0244,-675.209,-80.947,722.179,-2135.0,-5048.75,87.5,386.08,-158.08,-311.6
12674.0744,-664.778,-83.204,717.482,-1706.25,-5626.25,341.25,386.08,-168.72,-308.56
12674.1244,-664.351,-85.583,719.129,-1846.25,-5311.25,376.25,387.6,-161.12,-300.96
12674.1744,-666.425,-80.276,720.532,-1391.25,-4383.75,752.5,360.24,-153.52,-311.6
12674.2244,-668.865,-79.971,718.153,-2537.5,-4366.25,656.25,387.6,-159.6,-320.72
12674.2744,-667.95,-88.877,716.323,-2257.5,-4217.5,428.75,386.08,-167.2,-307.04
12674.3244,-675.819,-86.742,718.031,-1732.5,-5005.0,61.25,363.28,-152.0,-291.84
12674.3744,-673.745,-84.241,720.105,-1680.0,-5460.0,367.5,395.2,-153.52,-296.4
12674.4244,-667.889,-86.071,716.872,-1898.75,-5687.5,463.75,378.48,-161.12,-294.88
12674.4744,-668.316,-90.219,722.301,-1321.25,-5276.25,367.5,395.2,-161.12,-299.44
12674.5244,-669.597,-90.036,720.471,-1120.0,-5092.5,0.0,384.56,-158.08,-314.64
12674.5744,-666.486,-84.729,720.349,-1023.75,-5425.0,358.75,373.92,-168.72,-310.08
12674.6244,-666.791,-82.716,720.654,-1321.25,-4786.25,796.25,378.48,-152.0,-305.52
12674.6744,-669.719,-80.398,721.691,-1636.25,-5153.75,1076.25,372.4,-159.6,-308.56
12674.7244,-661.057,-88.938,722.545,-1793.75,-5372.5,708.75,384.56,-152.0,-305.52
12674.7744,-662.826,-86.864,717.36,-1478.75,-4838.75,131.25,364.8,-158.08,-296.4
12674.8244,-666.669,-83.936,720.105,-1155.0,-4305.0,463.75,381.52,-155.04,-300.96
12674.8744,-669.658,-84.18,724.741,-1907.5,-4698.75,603.75,378.48,-152.0,-313.12
12674.9244,-662.765,-88.084,720.837,-2353.75,-4138.75,533.75,378.48,-158.08,-304.0
12674.9744,-667.34,-88.816,721.447,-988.75,-3657.5,682.5,386.08,-153.52,-314.64
12675.0244,-667.767,-81.74,719.251,-1365.0,-4042.5,297.5,381.52,-167.2,-299.44
12675.0744,-676.307,-83.021,719.922,-2135.0,-4637.5,875.0,390.64,-142.88,-302.48
12675.1244,-668.743,-87.535,720.41,-1767.5,-5171.25,988.75,373.92,-156.56,-304.0
12675.1744,-664.29,-88.145,720.227,-1391.25,-4698.75,831.25,387.6,-176.32,-316.16
12675.2244,-671.183,-82.106,719.8,-1426.25,-4077.5,507.5,389.12,-158.08,-317.68
12675.2744,-665.144,-83.387,719.068,-1653.75,-4392.5,297.5,383.04,-168.72,-299.44
12675.3244,-667.157,-84.79,716.994,-1636.25,-3876.25,315.0,393.68,-152.0,-284.24
12675.3744,-678.747,-82.228,722.972,-1933.75,-4987.5,577.5,373.92,-167.2,-313.12
12675.4244,-665.083,-85.522,719.617,-1662.5,-5328.75,787.5,387.6,-167.2,-316.16
12675.4744,-662.643,-80.825,719.129,-1715.0,-3998.75,332.5,378.48,-161.12,-294.88
12675.5244,-670.817,-80.581,722.85,-2231.25,-3403.75,201.25,378.48,-164.16,-297.92
12675.5744,-667.767,-81.618,714.92,-2283.75,-2616.25,-192.5,387.6,-141.36,-294.88
12675.6244,-677.1,-93.635,714.981,-2432.5,-2458.75,-1198.75,383.04,-155.04,-300.96
12675.6744,-677.039,-92.537,712.419,-778.75,-3053.75,-1382.5,396.72,-158.08,-293.36
12675.7244,-680.76,-86.742,712.358,-1382.5,-3762.5,-1522.5,393.68,-165.68,-305.52
12675.7744,-674.843,-87.718,709.552,-2143.75,-4051.25,-1111.25,372.4,-165.68,-302.48
12675.8244,-674.721,-92.049,712.114,-1750.0,-3972.5,-630.0,383.04,-159.6,-302.48
12675.8744,-677.283,-93.879,712.48,-1233.75,-4033.75,-656.25,378.48,-167.2,-293.36
12675.9244,-676.551,-92.11,713.273,-1015.0,-4672.5,-945.0,381.52,-161.12,-294.88
12675.9744,-674.233,-92.903,713.822,-1155.0,-4523.75,-1330.0,376.96,-141.36,-293.36
12676.0244,-676.612,-88.694,713.151,-1242.5,-4077.5,-1338.75,398.24,-147.44,-291.84
12676.0744,-679.235,-92.415,717.36,-1671.25,-4235.0,-1330.0,398.24,-155.04,-300.96
12676.1245,-671.793,-96.807,711.016,-1645.0,-4418.75,-980.0,375.44,-155.04,-311.6
12676.1744,-678.686,-95.404,713.761,-1085.0,-4768.75,-245.0,389.12,-145.92,-276.64
12676.2244,-690.886,-99.125,712.175,-1006.25,-5381.25,1732.5,380.0,-170.24,-297.92
12676.2744,-690.764,-91.012,702.354,-1802.5,-7612.5,4208.75,405.84,-168.72,-291.84
12676.3244,-680.699,-97.783,706.319,-2318.75,-7988.75,3622.5,401.28,-164.16,-310.08
