TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12521.2229,6404.45,2882.53,-5350.21,19678.5,15137.96,-2902.79,275.23,-9172.58
12521.2269,6364.54,2845.38,-5392.5,19637.97,15096.57,-2938.65,235.13,-9209.68
12521.2309,6346.99,2827.84,-5411.82,19620.8,15079.74,-2955.63,216.58,-9228.42
12521.2349,6374.65,2852.25,-5386.07,19649.94,15109.3,-2932.69,242.14,-9207.11
12521.2389,6407.31,2880.86,-5354.55,19682.79,15140.92,-2903.08,271.13,-9177.5
12521.2429,6400.2,2874.14,-5361.08,19674.21,15132.86,-2906.66,265.07,-9180.45
12521.2469,6365.54,2841.71,-5396.51,19639.3,15097.29,-2938.7,230.93,-9213.5
12521.2509,6350.57,2825.45,-5414.11,19626.1,15082.08,-2954.34,215.2,-9230.57
12521.2549,6378.32,2849.63,-5390.22,19653.99,15110.64,-2933.22,238.08,-9208.68
12521.2589,6411.22,2880.34,-5358.32,19689.18,15145.02,-2904.03,269.13,-9178.83
12521.2629,6402.4,2875.52,-5366.37,19681.46,15137.29,-2907.9,264.88,-9183.12
12521.2669,6364.63,2840.61,-5402.04,19642.98,15099.19,-2940.04,231.31,-9214.59
12521.2709,6348.8,2823.31,-5416.97,19627.76,15083.31,-2955.48,216.58,-9228.28
12521.2749,6371.36,2843.76,-5392.22,19651.13,15106.78,-2936.75,238.32,-9206.73
12521.2789,6401.92,2872.28,-5359.75,19681.84,15138.53,-2908.04,268.13,-9174.92
12521.2829,6396.2,2868.18,-5362.32,19672.87,15130.09,-2911.19,265.88,-9165.57
12521.2868,6360.58,2837.56,-5392.65,19636.3,15093.38,-2941.7,235.99,-9193.66
12521.2908,6348.23,2823.16,-5405.28,19622.85,15079.83,-2954.58,223.35,-9207.54
12521.2948,6379.13,2851.58,-5374.77,19653.18,15110.3,-2928.54,250.39,-9182.41
12521.2988,6412.75,2884.58,-5340.24,19687.75,15145.21,-2897.55,282.91,-9153.41
12521.3028,6405.26,2878.71,-5346.82,19678.4,15137.25,-2902.27,276.95,-9158.42
12521.3068,6366.97,2842.0,-5383.78,19638.45,15096.62,-2935.89,242.23,-9192.8
12521.3108,6347.51,2823.73,-5401.95,19618.56,15076.59,-2954.1,223.59,-9211.64
12521.3148,6370.26,2846.05,-5380.2,19643.17,15101.05,-2935.98,242.42,-9195.28
12521.3188,6400.01,2873.71,-5354.02,19674.26,15131.9,-2909.99,269.13,-9171.3
12521.3228,6392.1,2867.03,-5362.37,19667.29,15124.42,-2914.76,262.45,-9178.54
12521.3268,6353.67,2831.89,-5402.28,19628.1,15086.56,-2949.24,226.16,-9214.45
12521.3308,6335.64,2811.58,-5425.02,19609.64,15068.34,-2970.31,204.37,-9235.62
12521.3348,6363.54,2834.13,-5403.47,19638.35,15095.43,-2949.24,225.78,-9215.07
12521.3388,6398.15,2866.08,-5372.38,19673.4,15130.09,-2919.05,256.87,-9186.7
12521.3428,6394.29,2864.84,-5375.58,19670.87,15127.85,-2918.77,254.77,-9187.17
12521.3468,6358.29,2832.7,-5411.48,19634.87,15091.52,-2949.19,223.16,-9215.45
12521.3508,6339.98,2813.2,-5428.17,19617.37,15072.87,-2965.98,206.28,-9231.66
12521.3548,6365.35,2835.32,-5401.56,19642.88,15098.72,-2946.0,230.84,-9209.49
12521.3588,6396.49,2867.27,-5367.61,19675.88,15133.34,-2915.14,264.45,-9176.78
12521.3628,6391.81,2865.74,-5367.99,19671.35,15128.71,-2914.95,263.69,-9176.35
12521.3668,6356.53,2834.46,-5397.13,19635.54,15092.76,-2941.51,235.51,-9204.72
