TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13012.8742,11746.6,8170.99,-117.45,25466.87,20454.5,2755.12,6089.64,-3473.52
13012.8782,11702.4,8127.5,-162.7,25434.64,20417.88,2713.01,6044.53,-3518.87
13012.8822,11692.24,8114.29,-178.34,25416.81,20399.0,2697.47,6031.32,-3535.37
13012.8862,11723.66,8146.0,-145.24,25448.56,20431.38,2728.89,6064.51,-3503.99
13012.8902,11758.38,8181.67,-110.34,25478.27,20468.38,2763.51,6098.94,-3470.76
13012.8942,11752.23,8175.9,-114.73,25474.31,20460.32,2758.79,6095.89,-3473.85
13012.8982,11713.27,8137.13,-153.54,25427.44,20417.88,2722.17,6056.02,-3510.05
13012.9022,11701.39,8120.25,-172.85,25419.86,20408.78,2699.9,6035.47,-3528.4
13012.9062,11732.48,8149.82,-143.1,25456.57,20438.34,2726.17,6066.04,-3500.51
13012.9102,11756.85,8182.91,-104.57,25485.28,20463.99,2762.94,6107.71,-3464.03
13012.9142,11750.32,8176.95,-113.82,25474.98,20459.32,2758.46,6096.79,-3472.66
13012.9182,11706.31,8131.7,-163.03,25432.83,20418.46,2716.68,6047.15,-3515.2
13012.9222,11687.95,8112.24,-180.29,25413.04,20399.0,2696.8,6028.75,-3536.22
13012.9262,11718.08,8140.85,-152.35,25441.46,20425.18,2720.59,6054.45,-3511.48
13012.9302,11750.51,8175.42,-118.54,25470.59,20456.98,2752.92,6089.31,-3478.34
13012.9342,11741.83,8168.75,-123.45,25463.44,20449.69,2747.2,6082.96,-3483.63
13012.9381,11703.68,8128.69,-163.08,25422.86,20408.92,2709.06,6043.39,-3520.78
13012.9421,11688.28,8110.91,-180.2,25404.55,20393.28,2692.03,6025.22,-3537.7
13012.9461,11724.38,8146.57,-147.1,25438.74,20426.37,2724.41,6058.98,-3507.42
13012.9501,11758.23,8184.39,-108.67,25477.36,20464.18,2763.61,6098.56,-3471.33
13012.9541,11748.74,8175.47,-117.4,25469.69,20454.6,2755.02,6088.88,-3479.24
13012.9581,11703.83,8132.12,-158.93,25423.72,20410.44,2712.54,6046.68,-3518.77
13012.9621,11690.28,8116.2,-175.48,25407.37,20395.33,2696.32,6031.47,-3533.84
13012.9661,11725.14,8148.29,-144.67,25438.93,20427.52,2724.84,6060.46,-3505.52
13012.9701,11759.9,8183.29,-112.58,25480.51,20465.76,2759.84,6092.74,-3477.38
13012.9741,11748.7,8169.18,-127.12,25467.59,20453.6,2748.82,6077.96,-3489.64
13012.9781,11700.25,8123.3,-170.61,25411.8,20400.67,2704.0,6034.76,-3528.31
13012.9821,11678.89,8106.9,-186.44,25397.11,20386.51,2689.79,6021.64,-3543.52
13012.9861,11718.04,8142.42,-153.26,25438.07,20428.09,2721.83,6054.21,-3516.01
13012.9901,11756.56,8179.86,-114.2,25472.12,20457.56,2756.64,6093.79,-3476.1
13012.9941,11744.36,8171.99,-119.16,25467.78,20452.55,2751.92,6087.02,-3477.24
13012.9981,11709.12,8134.84,-156.69,25423.24,20412.5,2715.49,6048.11,-3515.15
13013.0021,11691.05,8115.72,-175.52,25403.93,20393.33,2694.32,6031.28,-3531.07
13013.0061,11719.8,8146.91,-143.91,25435.59,20425.37,2726.65,6065.04,-3499.46
13013.0101,11763.1,8187.58,-107.1,25484.85,20471.34,2764.75,6098.8,-3467.99
13013.0141,11762.24,8183.48,-114.2,25489.38,20474.01,2762.79,6093.65,-3475.9
13013.0181,11723.9,8143.38,-150.97,25438.22,20426.18,2722.55,6057.22,-3508.62
