TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
12251.4945,2858.78,-327.01,-8147.24,16346.27,11919.69,-6579.16,-3290.08,-11888.79
12251.4985,2785.92,-398.35,-8217.43,16273.64,11845.64,-6644.25,-3358.7,-11953.16
12251.5025,2744.53,-439.21,-8256.2,16229.73,11802.87,-6683.02,-3398.61,-11991.22
12251.5065,2795.27,-390.1,-8209.52,16281.99,11855.32,-6639.43,-3352.26,-11947.2
12251.5105,2866.75,-320.39,-8140.52,16354.13,11929.47,-6571.34,-3282.26,-11880.64
12251.5145,2864.08,-321.34,-8141.38,16351.42,11925.22,-6572.34,-3284.74,-11882.26
12251.5185,2793.69,-389.67,-8208.75,16277.89,11849.79,-6637.67,-3352.69,-11947.68
12251.5225,2753.88,-427.87,-8245.14,16234.11,11808.06,-6674.39,-3389.88,-11984.87
12251.5265,2803.76,-380.09,-8198.74,16289.09,11862.66,-6630.47,-3344.25,-11943.53
12251.5305,2875.23,-310.75,-8130.74,16361.67,11936.86,-6564.33,-3276.68,-11879.02
12251.5345,2871.8,-311.18,-8132.17,16360.24,11934.23,-6564.52,-3277.45,-11878.3
12251.5385,2797.75,-382.8,-8202.51,16284.28,11856.03,-6632.19,-3347.35,-11943.77
12251.5425,2755.21,-425.58,-8244.61,16241.65,11812.4,-6673.53,-3388.69,-11984.4
12251.5465,2804.09,-381.52,-8201.46,16291.76,11862.9,-6632.14,-3346.25,-11944.39
12251.5505,2876.71,-310.61,-8131.55,16366.48,11938.38,-6564.28,-3276.21,-11876.68
12251.5545,2874.66,-310.99,-8133.03,16365.86,11935.43,-6563.52,-3275.97,-11877.63
12251.5584,2798.75,-383.14,-8201.74,16285.66,11858.66,-6630.23,-3344.49,-11940.81
12251.5624,2760.32,-419.95,-8238.41,16247.7,11821.46,-6666.38,-3380.54,-11976.34
12251.5664,2814.25,-370.36,-8188.68,16303.68,11877.73,-6618.26,-3330.8,-11930.28
12251.5704,2884.77,-303.98,-8121.78,16375.88,11950.16,-6552.41,-3263.71,-11865.71
12251.5744,2876.28,-310.66,-8128.45,16362.53,11938.14,-6559.56,-3270.72,-11869.62
12251.5784,2802.28,-381.71,-8201.65,16286.23,11860.18,-6629.13,-3344.63,-11938.76
12251.5824,2762.41,-422.43,-8243.42,16241.08,11813.5,-6671.0,-3387.21,-11980.82
12251.5864,2801.32,-381.76,-8201.55,16286.76,11859.85,-6635.62,-3344.82,-11941.43
12251.5904,2869.32,-316.86,-8135.7,16355.66,11929.32,-6573.06,-3281.36,-11879.54
12251.5944,2864.41,-320.39,-8139.75,16347.93,11921.88,-6574.35,-3285.31,-11882.12
12251.5984,2794.41,-388.29,-8206.7,16277.74,11850.79,-6637.67,-3352.74,-11944.68
12251.6024,2758.17,-425.58,-8243.56,16241.7,11814.74,-6672.86,-3389.69,-11980.68
12251.6064,2805.66,-379.28,-8200.31,16292.53,11864.71,-6630.42,-3346.73,-11940.81
12251.6104,2871.99,-314.76,-8137.32,16359.28,11932.14,-6570.05,-3284.12,-11880.97
12251.6144,2868.51,-316.38,-8139.28,16354.47,11926.65,-6569.77,-3284.98,-11880.45
12251.6184,2794.55,-385.48,-8208.85,16280.08,11850.41,-6635.76,-3352.83,-11946.63
12251.6224,2754.83,-427.25,-8249.0,16240.88,11809.78,-6675.05,-3393.56,-11988.02
12251.6264,2802.66,-382.8,-8203.56,16290.0,11860.66,-6633.38,-3350.93,-11945.44
12251.6304,2874.04,-312.9,-8135.42,16364.24,11934.33,-6566.72,-3281.93,-11879.87
12251.6344,2868.7,-317.14,-8139.8,16358.52,11928.61,-6567.91,-3284.22,-11881.31
12251.6384,2792.5,-389.67,-8211.8,16279.27,11849.36,-6637.14,-3355.22,-11946.97
12251.6424,2751.16,-430.2,-8252.38,16238.79,11808.11,-6676.67,-3396.32,-11986.35
12251.6464,2798.18,-385.62,-8207.27,16285.85,11858.13,-6635.33,-3351.88,-11945.11
12251.6504,2868.61,-316.0,-8137.08,16357.61,11931.37,-6569.72,-3283.64,-11879.73
12251.6544,2867.75,-318.0,-8137.32,16356.37,11929.18,-6567.34,-3282.74,-11877.54
12251.6584,2795.6,-386.48,-8206.46,16283.9,11855.41,-6632.09,-3351.4,-11943.2
12251.6624,2751.06,-429.63,-8247.71,16239.65,11809.78,-6674.96,-3393.22,-11985.16
12251.6664,2799.46,-386.95,-8205.84,16286.52,11859.13,-6635.14,-3351.93,-11946.82
12251.6704,2871.9,-317.14,-8137.89,16360.86,11932.9,-6568.58,-3285.03,-11881.88
12251.6744,2869.27,-317.38,-8138.61,16358.09,11928.51,-6568.24,-3283.79,-11880.45
12251.6784,2793.41,-388.19,-8207.18,16284.09,11854.94,-6633.38,-3351.26,-11946.01
12251.6824,2749.92,-431.49,-8250.48,16239.93,11809.64,-6676.25,-3395.22,-11987.78
12251.6863,2799.56,-386.43,-8205.37,16290.57,11859.94,-6634.43,-3350.78,-11947.54
12251.6903,2870.13,-318.86,-8136.42,16360.43,11931.33,-6567.81,-3282.02,-11882.59
12251.6943,2870.61,-315.48,-8134.27,16361.1,11930.8,-6564.28,-3280.59,-11879.02
12251.6983,2799.42,-381.42,-8200.26,16289.0,11858.42,-6628.8,-3347.25,-11942.05
12251.7023,2754.4,-424.58,-8241.7,16238.88,11811.26,-6671.19,-3389.41,-11983.06
12251.7063,2802.66,-380.42,-8198.69,16288.9,11861.52,-6629.28,-3345.92,-11942.86
12251.7103,2875.38,-312.66,-8131.79,16363.81,11936.14,-6563.62,-3279.4,-11879.73
12251.7143,2871.7,-313.57,-8134.7,16358.43,11930.99,-6564.19,-3281.02,-11881.21
12251.7183,2798.7,-382.52,-8204.75,16282.23,11855.37,-6630.85,-3349.78,-11946.87
12251.7223,2756.88,-425.15,-8246.38,16240.46,11813.45,-6673.43,-3391.6,-11986.5
12251.7263,2804.95,-380.13,-8198.07,16287.61,11862.76,-6629.42,-3347.35,-11946.87
12251.7303,2876.81,-310.75,-8129.41,16360.48,11937.24,-6564.09,-3279.02,-11884.4
12251.7343,2876.0,-310.33,-8130.12,16360.76,11935.09,-6566.24,-3278.78,-11883.4
12251.7383,2806.66,-376.51,-8196.93,16288.95,11862.23,-6627.94,-3344.82,-11944.44
12251.7423,2763.37,-416.52,-8238.27,16246.32,11820.13,-6668.23,-3386.07,-11984.4
12251.7463,2810.86,-373.84,-8194.59,16296.25,11868.76,-6626.89,-3343.49,-11945.82
12251.7503,2879.0,-309.18,-8129.41,16363.43,11937.52,-6564.71,-3278.92,-11885.22
12251.7543,2873.23,-311.37,-8132.41,16354.52,11931.33,-6566.86,-3280.26,-11885.26
12251.7583,2803.9,-378.32,-8198.31,16285.85,11860.56,-6629.42,-3345.87,-11947.73
12251.7623,2761.79,-421.05,-8238.75,16243.13,11817.36,-6669.62,-3387.93,-11988.21
12251.7663,2803.95,-381.61,-8197.88,16286.66,11862.14,-6631.47,-3348.02,-11950.59
12251.7703,2872.32,-315.76,-8133.08,16357.85,11934.57,-6568.91,-3283.21,-11887.5
12251.7743,2871.18,-315.33,-8134.08,16355.23,11931.13,-6568.29,-3283.31,-11886.74
12251.7783,2799.27,-382.8,-8203.56,16282.99,11858.42,-6631.9,-3349.83,-11950.49
12251.7823,2754.31,-427.48,-8246.47,16235.64,11812.07,-6675.34,-3394.17,-11992.84
12251.7863,2798.08,-387.14,-8204.7,16283.7,11859.37,-6637.53,-3354.84,-11956.31
12251.7903,2869.22,-318.57,-8137.66,16354.09,11931.71,-6572.49,-3286.7,-11891.7
12251.7943,2871.28,-314.9,-8134.41,16355.66,11931.8,-6567.53,-3282.07,-11884.88
12251.7983,2802.42,-380.8,-8200.41,16287.71,11862.14,-6628.75,-3346.35,-11946.63
12251.8023,2759.6,-423.15,-8241.7,16245.51,11818.6,-6670.05,-3388.74,-11988.16
12251.8063,2805.42,-382.28,-8199.36,16289.9,11865.33,-6628.8,-3347.68,-11948.25
12251.8103,2877.19,-313.33,-8131.46,16359.38,11937.43,-6563.81,-3280.97,-11884.02
12251.8142,2878.0,-309.8,-8128.6,16361.29,11938.76,-6560.47,-3277.16,-11878.73
12251.8182,2801.47,-380.71,-8198.26,16285.33,11862.23,-6628.32,-3346.97,-11944.25
12251.8222,2754.93,-426.34,-8242.7,16233.64,11811.97,-6672.81,-3392.27,-11988.12
12251.8262,2799.18,-385.57,-8201.93,16279.89,11856.84,-6635.33,-3353.31,-11951.92
12251.8302,2871.47,-317.05,-8133.65,16353.42,11931.61,-6569.67,-3283.02,-11886.36
12251.8342,2874.52,-310.42,-8129.36,16354.61,11933.85,-6563.47,-3278.69,-11878.73
12251.8382,2803.42,-377.56,-8196.07,16283.42,11860.42,-6627.27,-3344.2,-11941.82
12251.8422,2755.69,-425.43,-8242.66,16236.4,11812.59,-6673.72,-3390.88,-11988.07
12251.8462,2801.08,-385.0,-8201.08,16283.32,11860.28,-6635.57,-3351.07,-11949.59
12251.8502,2871.9,-319.05,-8134.6,16354.52,11932.9,-6569.43,-3284.65,-11886.69
12251.8542,2866.55,-322.15,-8138.09,16347.6,11924.94,-6572.06,-3288.13,-11889.27
12251.8582,2791.36,-394.49,-8209.75,16272.64,11847.88,-6640.63,-3358.32,-11956.5
12251.8622,2746.53,-438.98,-8253.86,16226.87,11802.39,-6683.97,-3402.04,-11998.03
12251.8662,2789.78,-397.78,-8213.43,16271.21,11848.17,-6646.4,-3362.94,-11961.94
12251.8702,2864.74,-325.87,-8141.04,16348.27,11926.46,-6576.4,-3291.42,-11892.61
12251.8742,2867.27,-320.86,-8137.18,16346.89,11927.42,-6571.58,-3285.84,-11886.22
12251.8782,2796.89,-386.76,-8203.6,16275.6,11853.84,-6634.24,-3350.54,-11946.49
12251.8822,2748.78,-433.3,-8249.67,16228.77,11805.68,-6677.91,-3397.56,-11991.69
12251.8862,2789.83,-395.11,-8211.33,16272.69,11849.36,-6644.06,-3359.84,-11955.93
12251.8902,2857.4,-330.07,-8147.0,16344.31,11920.5,-6582.74,-3295.61,-11895.32
12251.8942,2860.45,-327.49,-8144.52,16346.41,11923.03,-6578.54,-3293.13,-11891.7
12251.8982,2787.02,-396.82,-8212.85,16269.16,11845.64,-6643.92,-3361.56,-11957.36
12251.9022,2739.81,-443.41,-8257.01,16217.85,11795.24,-6689.26,-3407.43,-12001.09
12251.9062,2784.11,-401.45,-8214.67,16264.2,11841.73,-6650.07,-3366.28,-11961.75
12251.9102,2856.68,-330.26,-8144.38,16340.88,11918.45,-6582.45,-3296.09,-11894.37
12251.9142,2863.12,-324.68,-8139.23,16346.79,11923.12,-6575.3,-3290.03,-11887.27
12251.9182,2794.41,-389.05,-8204.41,16276.79,11852.12,-6636.72,-3354.45,-11946.49
12251.9222,2748.78,-432.54,-8248.76,16231.49,11806.78,-6679.34,-3399.66,-11989.4
12251.9262,2789.97,-394.01,-8211.28,16274.41,11851.03,-6642.44,-3361.46,-11954.79
12251.9302,2861.98,-325.92,-8141.71,16348.22,11924.98,-6576.78,-3292.61,-11890.08
12251.9342,2867.37,-318.67,-8135.51,16353.23,11929.18,-6570.05,-3285.55,-11882.78
12251.9382,2795.79,-385.09,-8201.27,16276.79,11854.36,-6633.38,-3351.5,-11944.25
12251.9421,2748.59,-432.21,-8247.04,16229.44,11806.3,-6678.68,-3397.66,-11988.78
12251.9461,2790.5,-393.92,-8208.18,16271.69,11849.83,-6643.58,-3359.99,-11955.12
12251.9501,2861.88,-323.77,-8140.52,16345.03,11923.22,-6577.3,-3292.04,-11890.65
12251.9541,2866.79,-316.48,-8133.27,16348.98,11927.42,-6568.62,-3285.6,-11881.93
12251.9581,2797.99,-381.57,-8196.88,16279.17,11857.08,-6630.95,-3348.92,-11941.53
12251.9621,2749.54,-431.06,-8245.61,16230.16,11808.02,-6678.87,-3397.08,-11987.59
12251.9661,2790.98,-392.44,-8207.04,16275.07,11851.69,-6641.87,-3358.46,-11952.31
12251.9701,2863.17,-323.06,-8138.51,16347.12,11924.41,-6576.49,-3290.7,-11889.65
12251.9741,2868.8,-314.66,-8130.89,16353.85,11930.66,-6567.67,-3283.21,-11882.64
12251.9781,2800.89,-377.8,-8195.97,16284.28,11860.8,-6628.18,-3346.01,-11941.82
12251.9821,2752.78,-424.72,-8241.03,16234.11,11811.31,-6673.43,-3390.88,-11986.3
12251.9861,2792.45,-390.1,-8205.99,16274.79,11852.93,-6641.77,-3357.7,-11955.26
12251.9901,2862.22,-326.01,-8141.66,16343.79,11921.69,-6580.5,-3294.13,-11894.7
12251.9941,2866.22,-320.24,-8136.85,16349.22,11924.89,-6573.68,-3288.7,-11888.41
12251.9981,2793.5,-388.15,-8204.32,16274.6,11849.36,-6638.24,-3355.84,-11950.69
12252.0021,2742.58,-437.31,-8253.81,16222.57,11799.1,-6686.74,-3405.91,-11999.85
12252.006,2781.3,-401.35,-8218.05,16263.15,11839.82,-6654.17,-3371.1,-11968.42
12252.01,2852.11,-334.07,-8150.48,16334.11,11912.16,-6588.98,-3302.67,-11902.62
12252.014,2858.45,-327.01,-8144.05,16341.26,11918.21,-6580.88,-3296.47,-11896.28
12252.018,2791.79,-391.24,-8207.75,16272.45,11848.98,-6642.29,-3360.41,-11956.03
12252.022,2743.77,-435.78,-8252.43,16223.62,11800.0,-6686.16,-3405.24,-11999.27
12252.026,2784.11,-397.78,-8213.95,16265.25,11841.87,-6650.78,-3366.66,-11965.13
12252.03,2857.97,-326.82,-8142.09,16341.45,11918.55,-6582.07,-3295.47,-11898.57
12252.034,2863.69,-318.96,-8135.42,16346.65,11924.41,-6572.72,-3287.27,-11887.12
12252.038,2791.83,-388.57,-8203.46,16274.41,11850.31,-6637.96,-3354.74,-11949.64
12252.042,2741.19,-438.4,-8252.24,16222.15,11798.43,-6687.21,-3403.38,-11996.13
12252.046,2783.2,-399.88,-8214.09,16265.97,11842.06,-6650.31,-3366.04,-11962.7
12252.05,2855.35,-330.31,-8144.0,16337.02,11916.35,-6582.98,-3296.71,-11895.85
12252.054,2862.64,-321.29,-8134.99,16346.03,11923.51,-6575.2,-3287.41,-11883.69
12252.058,2799.08,-382.76,-8195.74,16282.85,11856.7,-6631.8,-3348.11,-11941.15
12252.062,2752.16,-429.34,-8242.75,16232.11,11807.25,-6676.87,-3395.03,-11986.73
12252.066,2789.88,-395.01,-8208.8,16268.92,11847.31,-6643.68,-3359.51,-11956.55
12252.07,2863.69,-325.25,-8138.37,16346.41,11924.55,-6575.63,-3290.42,-11890.13
12252.074,2870.04,-317.05,-8130.98,16355.09,11931.42,-6565.86,-3282.07,-11880.35
12252.078,2801.61,-382.28,-8196.16,16285.85,11860.09,-6628.08,-3346.4,-11941.58
12252.082,2750.83,-431.92,-8244.61,16233.45,11807.87,-6677.39,-3395.61,-11988.93
12252.086,2791.21,-394.87,-8207.94,16276.93,11850.17,-6642.72,-3360.22,-11956.74
12252.09,2865.51,-324.2,-8137.75,16351.13,11926.37,-6575.82,-3290.27,-11889.08
12252.094,2873.61,-314.62,-8130.17,16358.57,11934.42,-6563.86,-3280.69,-11878.68
12252.098,2805.76,-377.27,-8193.21,16291.19,11864.81,-6624.46,-3344.01,-11938.1
12252.102,2759.5,-424.43,-8237.84,16245.27,11818.46,-6672.43,-3387.98,-11979.63
12252.106,2799.8,-386.76,-8200.36,16286.57,11860.99,-6634.71,-3350.02,-11945.44
12252.11,2873.13,-314.76,-8129.07,16362.1,11935.76,-6565.33,-3279.5,-11877.25
12252.114,2880.76,-306.75,-8120.82,16365.82,11941.82,-6557.94,-3270.86,-11867.38
12252.118,2814.44,-370.93,-8184.2,16297.87,11873.44,-6617.88,-3333.52,-11926.84
12252.122,2761.56,-421.19,-8233.83,16244.22,11819.32,-6664.94,-3383.11,-11974.72
12252.126,2797.03,-388.24,-8200.84,16282.75,11856.61,-6635.38,-3352.55,-11947.44
12252.13,2867.51,-320.34,-8134.32,16354.61,11929.08,-6571.87,-3286.36,-11884.98
12252.1339,2878.57,-307.46,-8124.26,16364.53,11939.43,-6560.66,-3276.3,-11873.2
12252.1379,2812.82,-369.12,-8188.34,16297.53,11872.58,-6620.46,-3338.53,-11931.75
12252.1419,2763.37,-417.66,-8235.41,16247.08,11821.65,-6667.85,-3386.35,-11977.44
12252.1459,2800.18,-384.14,-8199.6,16284.23,11858.99,-6636.33,-3352.31,-11947.68
12252.1499,2871.51,-317.24,-8131.03,16355.04,11930.42,-6571.01,-3285.27,-11884.31
12252.1539,2877.47,-310.75,-8125.74,16360.71,11934.57,-6562.28,-3279.26,-11877.82
12252.1579,2807.28,-377.32,-8191.73,16292.62,11862.8,-6627.42,-3343.39,-11936.76
12252.1619,2755.12,-428.72,-8241.56,16239.07,11810.97,-6675.72,-3393.22,-11981.49
12252.1659,2792.26,-394.63,-8206.23,16275.98,11850.26,-6641.96,-3358.94,-11950.16
12252.1699,2865.98,-324.11,-8136.32,16350.8,11925.46,-6574.58,-3289.32,-11885.93
12252.1739,2877.19,-310.85,-8125.31,16363.05,11936.14,-6562.85,-3278.45,-11875.11
12252.1779,2811.86,-371.65,-8185.86,16294.15,11867.33,-6620.46,-3339.82,-11931.66
12252.1819,2761.03,-420.33,-8233.12,16241.6,11815.22,-6668.28,-3387.83,-11976.62
12252.1859,2795.12,-388.43,-8201.22,16276.27,11853.03,-6638.29,-3355.6,-11947.78
12252.1899,2866.55,-321.58,-8136.13,16352.32,11928.27,-6573.58,-3289.46,-11886.03
12252.1939,2875.28,-311.71,-8126.21,16361.91,11935.57,-6563.14,-3279.02,-11874.3
12252.1979,2807.71,-375.22,-8189.68,16292.14,11865.38,-6624.22,-3341.25,-11931.85
12252.2019,2755.21,-426.1,-8238.89,16238.74,11812.12,-6673.38,-3390.84,-11979.68
12252.2059,2794.79,-390.39,-8203.32,16278.84,11854.46,-6639.1,-3354.88,-11945.87
12252.2099,2870.42,-320.15,-8131.55,16354.42,11930.04,-6570.1,-3283.6,-11879.3
12252.2139,2881.48,-307.51,-8118.82,16367.34,11941.86,-6557.51,-3272.25,-11866.95
12252.2179,2813.48,-370.45,-8182.96,16298.58,11871.2,-6619.55,-3336.48,-11927.32
12252.2219,2758.03,-424.19,-8234.79,16241.36,11814.79,-6670.86,-3388.55,-11977.29
12252.2259,2789.45,-395.73,-8203.22,16274.69,11847.26,-6643.25,-3359.65,-11950.54
12252.2299,2861.4,-327.3,-8135.46,16348.51,11922.07,-6576.82,-3290.84,-11885.5
12252.2339,2873.75,-314.9,-8124.45,16360.48,11934.81,-6564.19,-3279.02,-11873.58
12252.2379,2807.9,-376.32,-8187.34,16293.38,11865.9,-6622.08,-3341.29,-11929.94
12252.2419,2755.4,-426.01,-8236.27,16238.83,11812.69,-6668.76,-3390.41,-11976.53
12252.2459,2794.93,-388.34,-8199.26,16281.03,11855.27,-6634.67,-3352.69,-11943.68
12252.2499,2871.75,-314.47,-8126.55,16360.48,11934.28,-6565.05,-3279.3,-11874.53
12252.2539,2884.58,-300.69,-8112.05,16371.92,11946.11,-6550.41,-3265.48,-11860.13
12252.2579,2818.25,-361.92,-8173.66,16304.21,11877.11,-6609.25,-3326.94,-11917.21
12252.2618,2760.7,-416.09,-8227.78,16239.98,11815.74,-6662.99,-3381.44,-11966.66
12252.2658,2795.89,-386.24,-8197.26,16274.84,11850.55,-6636.86,-3353.41,-11940.43
12252.2698,2867.6,-318.38,-8130.17,16347.6,11922.27,-6573.06,-3286.7,-11880.02
12252.2738,2877.28,-307.23,-8119.68,16356.9,11932.42,-6559.56,-3277.02,-11870.43
12252.2778,2810.19,-369.98,-8183.48,16290.09,11864.9,-6618.88,-3339.82,-11928.27
12252.2818,2756.88,-425.58,-8237.89,16237.88,11809.35,-6677.49,-3393.08,-11978.01
12252.2858,2795.17,-392.25,-8203.56,16271.88,11845.64,-6642.29,-3359.7,-11948.44
12252.2898,2866.22,-321.1,-8133.17,16349.99,11924.46,-6571.96,-3286.89,-11879.3
12252.2938,2879.24,-306.8,-8120.59,16366.1,11940.0,-6557.51,-3273.39,-11865.9
12252.2978,2814.25,-369.41,-8182.24,16300.06,11872.63,-6616.12,-3334.9,-11923.51
12252.3018,2761.41,-421.05,-8232.31,16244.32,11817.27,-6665.76,-3386.4,-11971.43
12252.3058,2795.46,-390.43,-8202.65,16278.79,11851.46,-6637.86,-3356.55,-11943.48
12252.3098,2867.41,-319.81,-8132.51,16353.18,11926.56,-6570.96,-3287.6,-11878.68
12252.3138,2879.24,-306.22,-8119.15,16365.72,11939.19,-6557.32,-3274.77,-11865.19
12252.3178,2816.11,-365.54,-8178.52,16302.06,11875.06,-6613.35,-3332.47,-11920.79
12252.3218,2763.13,-418.47,-8230.69,16247.27,11821.22,-6664.23,-3382.97,-11970.47
12252.3258,2794.79,-389.19,-8201.03,16281.27,11854.41,-6636.91,-3355.27,-11945.87
12252.3298,2870.23,-315.9,-8130.6,16358.04,11930.66,-6568.96,-3285.55,-11879.83
12252.3338,2884.1,-302.27,-8118.06,16369.92,11942.39,-6555.22,-3272.92,-11866.86
12252.3378,2816.2,-364.92,-8182.05,16301.59,11873.15,-6615.16,-3335.43,-11925.56
12252.3418,2760.27,-419.43,-8235.31,16245.18,11817.03,-6667.38,-3389.26,-11977.67
12252.3458,2793.98,-390.34,-8205.56,16279.03,11850.98,-6639.86,-3362.61,-11951.73
