TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13536.7582,15983.01,12247.95,4098.61,29769.38,24851.85,7229.9,10861.59,1609.37
13536.7622,16019.06,12282.56,4132.32,29806.09,24888.95,7262.37,10894.54,1638.98
13536.7662,15997.55,12263.59,4113.72,29785.35,24868.49,7245.49,10876.37,1623.54
13536.7702,15950.82,12220.43,4070.57,29737.14,24821.33,7205.2,10834.03,1584.91
13536.7742,15948.25,12215.85,4067.47,29735.28,24819.62,7201.1,10830.21,1580.57
13536.7782,15995.36,12260.44,4110.05,29785.54,24868.97,7242.44,10872.56,1621.39
13536.7822,16026.78,12289.76,4139.38,29816.34,24901.3,7271.2,10902.45,1650.48
13536.7862,15998.6,12263.35,4114.68,29788.02,24871.88,7248.21,10879.09,1629.88
13536.7902,15949.11,12217.62,4069.42,29737.76,24821.71,7205.15,10834.65,1589.11
13536.7942,15944.39,12213.18,4066.37,29734.85,24819.0,7200.62,10831.26,1583.48
13536.7982,15991.93,12256.86,4110.62,29783.87,24867.97,7243.2,10873.08,1621.58
13536.8022,16024.73,12288.62,4142.81,29815.15,24899.49,7274.44,10904.31,1651.62
13536.8062,16002.61,12271.21,4124.36,29793.08,24876.26,7256.7,10886.19,1635.46
13536.8102,15958.88,12230.11,4084.06,29747.35,24831.92,7217.07,10846.66,1598.79
13536.8142,15958.26,12226.15,4081.3,29747.3,24830.39,7212.35,10843.56,1594.97
13536.8182,16002.75,12268.07,4122.69,29794.65,24878.65,7251.93,10883.67,1630.78
13536.8222,16033.08,12298.3,4151.44,29827.03,24910.45,7280.49,10912.28,1657.06
13536.8262,16005.14,12272.5,4125.74,29798.32,24880.89,7256.75,10887.19,1635.17
13536.8302,15952.64,12222.1,4076.34,29743.96,24827.05,7210.4,10840.37,1591.54
13536.8342,15943.29,12211.99,4067.23,29734.66,24817.04,7200.81,10831.6,1581.72
13536.8382,15984.68,12252.62,4106.52,29776.86,24861.62,7236.15,10869.36,1614.95
13536.8422,16015.87,12281.37,4134.32,29808.57,24892.52,7264.66,10897.11,1640.84
13536.8462,15992.6,12258.58,4111.0,29783.92,24867.2,7245.45,10876.56,1622.06
13536.8502,15945.77,12215.0,4068.76,29735.76,24820.24,7204.2,10833.26,1583.0
13536.8542,15943.53,12212.33,4065.7,29733.9,24818.28,7201.15,10829.59,1578.76
13536.8582,15987.68,12253.57,4107.43,29778.63,24864.58,7238.96,10869.36,1615.05
13536.8622,16018.11,12283.47,4137.95,29810.0,24895.62,7268.1,10898.97,1643.71
13536.8662,15993.93,12261.25,4115.73,29786.78,24870.49,7248.59,10878.23,1625.54
13536.8702,15949.63,12220.43,4074.29,29743.34,24826.29,7209.59,10838.46,1588.63
13536.8742,15946.63,12216.24,4070.14,29740.0,24823.38,7205.11,10833.74,1583.96
13536.8782,15989.5,12255.15,4108.0,29783.3,24867.39,7240.11,10869.74,1616.05
13536.8822,16020.92,12284.71,4135.51,29813.44,24897.91,7268.19,10898.16,1641.66
13536.8861,15995.08,12263.39,4113.96,29785.54,24871.16,7246.97,10876.7,1622.72
13536.8901,15947.01,12218.81,4072.29,29735.23,24821.9,7205.53,10835.08,1581.96
13536.8941,15942.15,12213.71,4068.38,29730.61,24817.66,7199.72,10831.21,1577.28
13536.8981,15988.78,12257.53,4112.53,29778.48,24866.58,7240.2,10873.32,1615.62
13536.9021,16023.35,12290.77,4144.38,29815.82,24901.77,7273.25,10905.6,1646.09
13536.9061,16001.85,12273.36,4125.07,29794.08,24878.36,7256.56,10888.48,1631.64
13536.9101,15956.31,12229.83,4081.96,29746.01,24831.06,7215.26,10846.28,1592.3
13536.9141,15954.21,12225.2,4076.96,29743.87,24829.82,7211.59,10841.42,1586.87
13536.9181,16000.03,12266.59,4118.35,29789.45,24876.22,7249.07,10881.23,1622.06
13536.9221,16029.65,12295.15,4145.34,29816.11,24904.4,7276.54,10908.32,1645.42
13536.9261,16005.33,12273.74,4122.78,29794.41,24881.89,7257.18,10888.15,1628.21
13536.9301,15955.64,12227.25,4075.72,29744.34,24831.73,7212.64,10841.66,1586.68
13536.9341,15950.49,12219.29,4068.42,29737.52,24824.1,7203.48,10833.03,1578.38
13536.9381,15992.69,12258.63,4108.62,29781.44,24867.59,7240.82,10871.6,1613.04
13536.9421,16021.11,12286.19,4136.99,29810.34,24896.24,7266.9,10898.45,1638.17
13536.9461,15994.36,12263.59,4113.34,29781.06,24869.87,7245.02,10875.56,1618.43
