TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
13536.8244,-657.031,-129.442,723.46,-2231.25,-3412.5,577.5,337.44,-83.6,-363.28
13536.8744,-664.534,-119.499,722.057,-1531.25,-3307.5,446.25,346.56,-76.0,-345.04
13536.9244,-665.083,-133.651,725.107,-2537.5,-4340.0,-402.5,313.12,-86.64,-352.64
13536.9744,-659.593,-132.98,721.569,-717.5,-5285.0,0.0,334.4,-83.6,-360.24
13537.0244,-657.153,-122.732,718.763,-87.5,-5582.5,743.75,331.36,-71.44,-361.76
13537.0744,-663.68,-121.146,726.876,-1400.0,-5398.75,1487.5,332.88,-68.4,-354.16
13537.1244,-658.068,-120.963,723.643,-2257.5,-4926.25,840.0,332.88,-82.08,-352.64
13537.1744,-656.848,-127.856,721.63,-1338.75,-3963.75,717.5,320.72,-71.44,-361.76
13537.2244,-662.094,-121.573,722.789,-901.25,-3902.5,533.75,326.8,-72.96,-348.08
13537.2744,-664.412,-119.316,724.497,-1741.25,-4847.5,43.75,332.88,-88.16,-351.12
13537.3244,-660.203,-129.32,721.569,-1750.0,-5276.25,-288.75,332.88,-79.04,-354.16
13537.3744,-657.702,-127.856,724.009,-1155.0,-5451.25,-113.75,325.28,-83.6,-361.76
13537.4244,-661.179,-124.806,725.107,-1120.0,-5512.5,455.0,335.92,-74.48,-355.68
13537.4744,-658.495,-120.597,726.815,-1653.75,-5302.5,647.5,338.96,-76.0,-355.68
13537.5244,-655.506,-125.294,725.473,-2012.5,-4873.75,638.75,335.92,-82.08,-363.28
13537.5744,-657.336,-125.66,723.338,-1137.5,-4051.25,875.0,334.4,-76.0,-351.12
13537.6244,-667.218,-119.926,727.364,-2992.5,-4375.0,-96.25,334.4,-68.4,-355.68
13537.6744,-658.19,-136.335,722.545,-752.5,-5293.75,358.75,329.84,-76.0,-355.68
13537.7244,-654.225,-123.891,723.155,-253.75,-5512.5,770.0,342.0,-69.92,-366.32
13537.7744,-657.702,-117.547,726.51,-1365.0,-5031.25,1242.5,338.96,-85.12,-357.2
13537.8244,-656.543,-122.732,726.449,-2292.5,-5206.25,1295.0,319.2,-74.48,-349.6
13537.8744,-656.116,-127.002,726.266,-2231.25,-4462.5,1032.5,342.0,-77.52,-361.76
13537.9244,-657.153,-123.22,723.033,-1198.75,-3990.0,717.5,332.88,-82.08,-355.68
