TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
14459.2997,21074.63,17885.16,9103.59,34377.63,30015.09,12461.81,16095.02,7294.23
14459.3037,21155.41,17963.89,9180.26,34458.21,30098.06,12536.72,16171.27,7366.52
14459.3077,21209.53,18018.3,9234.33,34513.19,30154.04,12589.36,16224.15,7418.11
14459.3117,21163.75,17972.09,9188.51,34465.98,30105.64,12547.21,16180.56,7377.77
14459.3157,21074.87,17886.12,9103.11,34375.15,30014.18,12463.95,16094.64,7295.04
14459.3197,21065.24,17876.82,9095.96,34365.18,30005.03,12454.65,16086.06,7285.07
14459.3237,21147.44,17956.59,9173.87,34448.1,30088.19,12531.0,16164.26,7358.22
14459.3277,21206.76,18015.72,9231.04,34509.09,30148.8,12586.79,16221.95,7411.62
14459.3317,21168.43,17978.24,9192.8,34468.42,30107.64,12550.98,16183.09,7375.62
14459.3357,21085.79,17899.32,9114.7,34385.64,30023.67,12473.78,16103.65,7299.38
14459.3397,21081.4,17893.94,9110.31,34382.49,30021.77,12470.39,16100.55,7295.18
14459.3437,21161.61,17971.52,9186.84,34463.7,30104.07,12545.87,16178.42,7369.76
14459.3477,21216.82,18026.5,9243.16,34519.25,30160.14,12600.18,16234.16,7424.26
14459.3517,21173.19,17984.82,9202.15,34478.38,30117.18,12561.61,16193.49,7387.88
14459.3557,21089.51,17903.0,9119.42,34391.31,30029.97,12479.83,16111.09,7309.49
14459.3597,21081.21,17893.75,9110.5,34382.4,30022.29,12470.06,16101.08,7298.52
14459.3637,21160.8,17969.94,9187.22,34465.75,30105.79,12544.35,16176.99,7371.38
14459.3677,21217.97,18026.07,9243.39,34521.39,30162.19,12598.8,16232.68,7426.17
14459.3717,21175.34,17986.73,9205.49,34480.1,30119.85,12561.89,16195.35,7392.03
14459.3757,21090.89,17904.67,9124.09,34395.17,30033.64,12482.55,16114.95,7314.87
14459.3797,21083.31,17896.8,9114.93,34387.54,30025.72,12473.68,16105.75,7305.24
14459.3837,21160.32,17969.66,9189.23,34465.08,30104.16,12546.21,16179.04,7376.1
14459.3877,21215.44,18022.83,9243.73,34519.82,30160.29,12599.66,16234.11,7429.79
14459.3917,21172.53,17981.63,9201.81,34480.39,30117.09,12560.99,16193.68,7391.12
14459.3957,21086.31,17898.47,9118.65,34391.17,30028.54,12479.74,16109.95,7311.77
14459.3997,21079.5,17889.64,9110.98,34385.11,30022.82,12470.72,16102.6,7303.19
14459.4037,21160.08,17967.99,9187.65,34468.89,30105.98,12545.83,16179.61,7376.24
14459.4077,21216.44,18023.49,9242.49,34523.06,30162.15,12600.38,16234.35,7428.79
14459.4117,21169.81,17980.43,9199.14,34472.66,30113.99,12558.51,16192.68,7389.88
14459.4157,21081.26,17894.56,9113.65,34384.87,30024.2,12474.25,16105.94,7308.39
14459.4197,21072.68,17885.11,9102.44,34381.54,30017.28,12463.76,16094.26,7295.28
14459.4237,21152.83,17961.93,9178.83,34460.5,30098.01,12537.86,16170.27,7367.95
14459.4276,21210.39,18019.63,9235.43,34513.86,30156.09,12594.18,16228.01,7425.5
14459.4316,21167.76,17979.58,9196.0,34468.61,30110.93,12556.41,16189.15,7389.55
14459.4356,21080.54,17894.17,9113.69,34382.3,30022.05,12473.63,16104.41,7307.67
14459.4396,21068.15,17881.97,9100.2,34370.14,30010.75,12461.43,16090.92,7294.13
14459.4436,21147.54,17957.45,9175.21,34450.49,30091.15,12533.57,16165.78,7364.46
14459.4476,21205.52,18012.91,9229.8,34510.09,30150.08,12586.79,16221.24,7416.92
14459.4516,21165.47,17975.67,9191.28,34473.42,30110.32,12552.22,16185.0,7385.4
14459.4556,21077.83,17890.98,9108.12,34384.92,30022.2,12471.06,16103.27,7307.72
14459.4596,21068.0,17879.15,9097.24,34375.1,30013.28,12460.76,16093.59,7297.95
14459.4636,21148.26,17957.93,9175.11,34456.69,30096.49,12535.05,16170.31,7369.66
14459.4676,21211.1,18020.3,9237.96,34519.77,30159.76,12594.75,16231.06,7427.98
14459.4716,21170.95,17983.96,9201.43,34481.01,30118.76,12560.04,16194.63,7395.75
14459.4756,21081.4,17896.85,9115.46,34389.74,30028.25,12477.54,16109.66,7315.54
14459.4796,21067.62,17881.06,9100.82,34373.57,30013.37,12463.05,16095.5,7299.81
14459.4836,21146.68,17955.69,9174.25,34456.5,30094.39,12534.76,16169.26,7368.23
14459.4876,21204.9,18011.05,9230.57,34513.62,30151.8,12588.69,16224.34,7422.64
14459.4916,21163.18,17971.99,9191.42,34471.23,30108.88,12551.02,16184.33,7386.35
14459.4956,21075.06,17887.02,9105.49,34381.63,30019.0,12468.53,16099.07,7304.1
14459.4996,21063.28,17874.2,9093.09,34369.66,30007.99,12455.85,16086.1,7290.32
14459.5036,21141.72,17949.49,9168.82,34449.15,30088.05,12528.13,16160.63,7360.98
14459.5076,21205.0,18013.19,9229.85,34513.29,30151.9,12588.98,16222.48,7419.63
14459.5116,21170.81,17980.82,9196.85,34479.96,30117.71,12558.46,16189.34,7390.45
14459.5156,21085.88,17899.56,9117.32,34396.46,30034.45,12480.78,16110.95,7314.4
14459.5196,21072.77,17885.5,9105.11,34383.44,30021.62,12467.91,16100.36,7303.95
14459.5236,21151.31,17960.31,9179.55,34459.36,30100.44,12540.15,16175.51,7376.1
14459.5276,21209.58,18017.48,9238.2,34520.06,30159.67,12596.04,16233.78,7431.27
14459.5316,21167.38,17977.53,9198.57,34473.52,30113.75,12558.6,16194.68,7396.75
14459.5356,21079.4,17892.32,9113.27,34383.73,30023.39,12474.78,16108.42,7315.4
14459.5396,21061.95,17875.72,9096.58,34368.66,30007.32,12458.14,16091.21,7296.99
14459.5436,21137.53,17948.3,9166.62,34443.76,30082.75,12527.42,16161.49,7362.89
14459.5476,21199.18,18008.85,9226.08,34505.9,30145.36,12584.83,16220.38,7418.92
14459.5516,21159.56,17971.42,9188.56,34465.98,30104.74,12549.07,16183.71,7385.78
14459.5555,21069.72,17883.73,9101.06,34375.43,30012.33,12463.57,16095.45,7302.52
14459.5595,21058.42,17871.48,9089.04,34364.66,30001.83,12451.17,16082.24,7289.98
14459.5635,21142.63,17952.54,9170.72,34448.53,30087.71,12530.23,16163.02,7366.42
14459.5675,21208.0,18016.77,9235.91,34513.72,30152.85,12593.89,16226.1,7427.41
14459.5715,21169.47,17981.96,9199.91,34475.81,30114.08,12558.56,16190.63,7394.51
14459.5755,21077.02,17893.03,9110.26,34383.59,30020.91,12471.73,16103.36,7310.25
14459.5795,21049.88,17864.42,9082.41,34357.22,29993.44,12445.17,16076.19,7283.45
14459.5835,21130.76,17943.53,9160.42,34436.85,30077.6,12520.74,16153.53,7355.55
14459.5875,21248.34,18058.59,9271.86,34558.68,30198.96,12631.89,16264.97,7460.88
14459.5915,21235.52,18048.96,9261.42,34542.99,30183.13,12621.93,16254.0,7453.35
14459.5955,21075.78,17891.79,9108.93,34383.25,30020.86,12471.53,16101.27,7307.91
14459.5995,20984.8,17802.24,9022.19,34291.22,29931.22,12385.51,16014.29,7223.18
14459.6035,21111.63,17925.31,9143.54,34419.21,30060.53,12503.91,16136.84,7338.0
14459.6075,21287.44,18097.21,9312.68,34597.83,30239.11,12671.62,16307.93,7501.51
14459.6115,21261.74,18075.04,9290.98,34573.08,30212.55,12650.16,16285.37,7482.91
14459.6155,21050.31,17866.42,9085.37,34359.17,29995.92,12448.69,16079.09,7287.93
14459.6194,20951.32,17766.86,8986.33,34259.47,29895.4,12352.37,15982.11,7193.04
14459.6234,21111.54,17923.26,9139.01,34420.21,30058.91,12502.19,16135.65,7335.81
14459.6274,21312.0,18122.15,9335.57,34622.91,30264.29,12694.88,16331.44,7523.68
14459.6314,21274.0,18084.48,9300.14,34586.62,30224.9,12660.89,16295.96,7493.4
14459.6354,21036.53,17851.26,9069.4,34347.68,29982.43,12435.2,16064.93,7273.82
14459.6394,20937.49,17751.31,8969.59,34244.35,29880.1,12338.26,15965.61,7176.07
