TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
14459.3244,-663.314,-145.241,716.079,-3482.5,-4226.25,1277.5,370.88,-130.72,-308.56
14459.3744,-663.192,-158.417,714.005,-2992.5,-4628.75,1540.0,380.0,-138.32,-300.96
14459.4244,-667.828,-160.796,716.628,-1592.5,-5363.75,1242.5,387.6,-138.32,-302.48
14459.4744,-659.471,-151.219,716.079,-621.25,-4970.0,227.5,387.6,-117.04,-308.56
14459.5244,-663.253,-146.827,716.933,-2082.5,-4322.5,-26.25,375.44,-142.88,-310.08
14459.5744,-662.948,-150.06,714.31,-2537.5,-4165.0,385.0,376.96,-130.72,-305.52
14459.6244,-660.325,-158.417,713.944,-2336.25,-4033.75,656.25,383.04,-127.68,-307.04
14459.6744,-669.353,-154.879,715.53,-2108.75,-4208.75,8.75,373.92,-124.64,-307.04
14459.7244,-668.377,-160.857,716.445,-1041.25,-5416.25,-140.0,395.2,-136.8,-308.56
14459.7744,-655.018,-145.424,713.395,-717.5,-5565.0,192.5,390.64,-135.28,-300.96
14459.8244,-663.192,-145.851,714.92,-1758.75,-4716.25,1207.5,378.48,-133.76,-310.08
14459.8744,-667.767,-153.354,718.275,-2397.5,-4585.0,1636.25,380.0,-136.8,-294.88
14459.9244,-660.447,-159.576,714.371,-2065.0,-4121.25,936.25,376.96,-121.6,-300.96
14459.9744,-666.425,-158.417,712.48,-1207.5,-3753.75,-17.5,384.56,-133.76,-307.04
14460.0244,-669.17,-149.633,713.517,-647.5,-5005.0,17.5,395.2,-127.68,-310.08
14460.0744,-667.157,-149.084,715.347,-1233.75,-5425.0,918.75,389.12,-133.76,-305.52
14460.1244,-664.29,-151.402,718.763,-1767.5,-5556.25,1487.5,376.96,-118.56,-314.64
14460.1744,-662.155,-149.45,715.713,-1680.0,-4908.75,1391.25,383.04,-142.88,-299.44
14460.2244,-663.314,-152.134,716.079,-1776.25,-4523.75,420.0,390.64,-129.2,-310.08
14460.2744,-664.595,-154.757,715.591,-1443.75,-4882.5,52.5,373.92,-132.24,-311.6
14460.3244,-663.436,-152.012,713.761,-1163.75,-5092.5,227.5,398.24,-124.64,-300.96
14460.3744,-667.157,-140.117,716.201,-2003.75,-5153.75,507.5,393.68,-123.12,-300.96
14460.4244,-660.203,-160.003,717.909,-1828.75,-5652.5,910.0,375.44,-161.12,-282.72
14460.4744,-656.604,-152.927,715.469,-813.75,-5495.0,490.0,390.64,-139.84,-307.04
14460.5244,-664.717,-145.729,718.397,-1522.5,-4803.75,612.5,380.0,-138.32,-305.52
14460.5744,-663.07,-150.243,719.068,-2292.5,-5468.75,717.5,393.68,-115.52,-311.6
14460.6244,-657.153,-154.757,717.909,-2248.75,-5066.25,288.75,383.04,-138.32,-310.08
14460.6744,-662.521,-156.77,719.312,-1076.25,-4550.0,-87.5,380.0,-142.88,-299.44
14460.7244,-664.046,-152.561,716.689,-1382.5,-4690.0,-113.75,380.0,-133.76,-310.08
14460.7744,-660.752,-155.428,718.214,-1933.75,-5101.25,262.5,399.76,-141.36,-293.36
14460.8244,-658.556,-154.879,722.484,-1268.75,-5372.5,743.75,378.48,-127.68,-297.92
14460.8744,-660.02,-151.28,718.824,-1347.5,-5145.0,892.5,387.6,-144.4,-302.48
14460.9244,-662.399,-150.853,719.434,-2511.25,-5363.75,665.0,390.64,-135.28,-305.52
14460.9745,-660.203,-154.513,720.532,-2231.25,-4847.5,105.0,376.96,-138.32,-307.04
14461.0244,-659.227,-154.208,718.397,-1583.75,-4786.25,17.5,387.6,-132.24,-310.08
14461.0744,-657.885,-154.696,719.068,-1426.25,-4655.0,393.75,358.72,-141.36,-308.56
14461.1244,-663.802,-151.341,720.837,-2668.75,-4847.5,-332.5,370.88,-121.6,-299.44
14461.1744,-653.249,-159.393,719.251,-420.0,-5696.25,472.5,380.0,-130.72,-296.4
14461.2244,-654.103,-152.561,717.482,-1330.0,-4436.25,140.0,380.0,-126.16,-299.44
14461.2744,-661.24,-152.561,721.264,-1872.5,-3963.75,595.0,395.2,-121.6,-300.96
14461.3244,-656.604,-154.696,719.678,-2030.0,-4130.0,945.0,373.92,-127.68,-311.6
14461.3744,-658.922,-157.929,719.007,-2012.5,-3710.0,673.75,389.12,-150.48,-302.48
14461.4244,-663.375,-153.354,716.262,-1400.0,-4016.25,315.0,383.04,-139.84,-304.0
14461.4744,-666.12,-153.964,718.153,-1487.5,-3955.0,717.5,376.96,-129.2,-290.32
14461.5244,-664.473,-154.025,716.018,-1785.0,-4558.75,1032.5,389.12,-126.16,-307.04
14461.5744,-659.776,-155.001,717.543,-1312.5,-4313.75,936.25,392.16,-127.68,-293.36
14461.6244,-663.497,-154.147,712.968,-1286.25,-4375.0,638.75,387.6,-129.2,-316.16
14461.6744,-664.839,-150.67,716.079,-1338.75,-4068.75,280.0,387.6,-117.04,-304.0
14461.7244,-665.876,-151.036,713.7,-2266.25,-4576.25,70.0,373.92,-148.96,-311.6
14461.7744,-668.011,-155.916,715.408,-2283.75,-4961.25,245.0,383.04,-114.0,-296.4
14461.8244,-663.863,-159.515,715.408,-743.75,-5608.75,402.5,376.96,-138.32,-310.08
14461.8744,-658.922,-153.964,717.909,-630.0,-5048.75,796.25,387.6,-126.16,-307.04
14461.9244,-666.242,-145.607,719.251,-2143.75,-4410.0,-17.5,370.88,-121.6,-313.12
14461.9744,-661.362,-160.552,715.957,-1548.75,-5565.0,962.5,370.88,-136.8,-294.88
14462.0244,-654.591,-154.391,717.482,-1058.75,-5775.0,1277.5,373.92,-129.2,-310.08
14462.0744,-661.423,-148.901,720.654,-822.5,-5337.5,1190.0,370.88,-121.6,-291.84
14462.1244,-658.373,-148.291,720.654,-1776.25,-5643.75,848.75,399.76,-132.24,-317.68
14462.1744,-652.517,-150.548,722.179,-1933.75,-4873.75,-385.0,383.04,-144.4,-308.56
