TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
13232.4855,13640.79,9964.8,1725.91,27478.22,22436.38,4768.13,8216.53,-1237.77
13232.4895,13664.2,9986.93,1753.52,27503.78,22458.84,4786.78,8244.71,-1215.51
13232.4935,13701.01,10021.4,1786.52,27537.25,22494.46,4817.06,8274.7,-1182.99
13232.4975,13703.06,10024.26,1787.28,27546.31,22500.47,4823.21,8277.23,-1182.27
13232.5015,13666.82,9988.74,1748.9,27507.98,22458.32,4787.92,8240.61,-1216.89
13232.5055,13644.17,9968.71,1728.25,27475.74,22434.95,4768.56,8220.2,-1236.96
13232.5095,13669.16,9994.7,1757.86,27504.54,22465.37,4793.17,8249.67,-1211.07
13232.5135,13707.54,10028.32,1790.29,27549.17,22502.71,4822.21,8279.75,-1181.03
13232.5175,13708.97,10029.94,1789.86,27549.46,22505.48,4826.12,8280.95,-1183.32
13232.5215,13671.92,9994.65,1754.71,27515.99,22467.09,4793.02,8248.62,-1213.88
13232.5255,13647.7,9970.05,1733.26,27484.8,22439.15,4770.57,8226.87,-1233.67
13232.5295,13669.4,9993.98,1758.1,27498.06,22463.23,4790.5,8248.52,-1212.74
13232.5335,13712.6,10031.61,1794.24,27543.07,22504.38,4822.68,8283.62,-1182.99
13232.5375,13705.73,10026.93,1790.48,27536.73,22491.55,4817.77,8280.33,-1184.32
13232.5415,13660.29,9986.12,1751.71,27496.06,22452.17,4783.34,8242.18,-1216.08
13232.5455,13637.4,9961.42,1725.15,27476.5,22429.8,4757.5,8214.52,-1243.02
13232.5494,13662.53,9986.31,1750.99,27505.11,22458.75,4780.25,8240.99,-1221.04
13232.5534,13698.67,10023.07,1791.05,27546.27,22499.56,4820.16,8283.57,-1184.32
13232.5574,13690.76,10018.92,1786.9,27532.39,22490.36,4817.25,8277.89,-1184.32
13232.5614,13650.71,9979.15,1745.61,27494.62,22449.69,4778.96,8234.69,-1224.28
13232.5654,13634.02,9959.41,1726.15,27470.35,22426.13,4760.31,8215.91,-1244.07
13232.5694,13662.44,9984.3,1750.18,27493.77,22453.45,4782.39,8239.37,-1223.18
13232.5734,13706.26,10022.83,1784.94,27540.83,22499.95,4814.1,8270.98,-1191.76
13232.5774,13698.15,10020.92,1785.33,27536.06,22490.22,4814.2,8272.74,-1190.71
