TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
13232.5744,-659.044,-138.958,710.406,-1942.5,-5276.25,-105.0,396.72,-115.52,-305.52
13232.6244,-668.194,-148.047,718.336,-1277.5,-5363.75,-262.5,380.0,-136.8,-320.72
13232.6744,-664.046,-145.668,716.079,-1505.0,-4943.75,-446.25,390.64,-121.6,-294.88
13232.7244,-666.425,-150.792,714.432,-1400.0,-4795.0,638.75,384.56,-120.08,-305.52
13232.7744,-663.802,-147.681,708.881,-1653.75,-4952.5,1295.0,414.96,-129.2,-320.72
13232.8244,-671.549,-145.79,710.833,-2257.5,-5083.75,787.5,393.68,-123.12,-317.68
13232.8744,-667.462,-152.439,717.177,-2100.0,-6142.5,446.25,384.56,-106.4,-310.08
13232.9244,-659.349,-145.607,712.419,-752.5,-5188.75,560.0,386.08,-106.4,-313.12
13232.9744,-664.29,-142.923,713.883,-1128.75,-4891.25,621.25,389.12,-129.2,-314.64
13233.0244,-661.545,-146.034,715.957,-2091.25,-5066.25,385.0,398.24,-124.64,-307.04
13233.0744,-660.508,-151.158,716.384,-1487.5,-5040.0,428.75,376.96,-121.6,-307.04
13233.1244,-663.619,-147.315,714.371,-1373.75,-4803.75,341.25,399.76,-129.2,-307.04
13233.1744,-669.292,-139.019,716.079,-1242.5,-5022.5,717.5,408.88,-136.8,-307.04
13233.2244,-668.682,-145.668,720.227,-1960.0,-5705.0,201.25,401.28,-124.64,-308.56
13233.2744,-652.761,-151.402,717.726,-1085.0,-5748.75,542.5,414.96,-124.64,-316.16
13233.3244,-659.471,-141.947,716.018,-1408.75,-4278.75,393.75,390.64,-126.16,-323.76
13233.3744,-665.449,-143.655,719.983,-1706.25,-4436.25,315.0,410.4,-142.88,-311.6
13233.4244,-663.619,-148.23,717.848,-2458.75,-4488.75,-297.5,396.72,-135.28,-319.2
13233.4744,-660.508,-151.402,718.031,-1680.0,-4620.0,472.5,393.68,-132.24,-311.6
13233.5244,-660.752,-145.79,714.981,-1207.5,-3395.0,306.25,387.6,-132.24,-314.64
13233.5744,-668.621,-147.376,715.469,-2222.5,-4226.25,52.5,384.56,-130.72,-310.08
13233.6244,-667.523,-150.182,715.53,-2476.25,-4523.75,175.0,387.6,-129.2,-300.96
13233.6744,-666.913,-151.646,714.127,-1373.75,-4943.75,962.5,390.64,-132.24,-304.0
13233.7244,-660.691,-145.607,716.445,-1820.0,-4970.0,831.25,392.16,-121.6,-317.68
13233.7744,-663.802,-148.169,716.994,-2380.0,-4900.0,490.0,398.24,-129.2,-316.16
13233.8244,-662.521,-151.036,719.739,-1951.25,-5223.75,-26.25,387.6,-126.16,-297.92
13233.8744,-661.423,-152.866,710.04,-1338.75,-4926.25,105.0,396.72,-121.6,-310.08
13233.9244,-674.477,-144.753,720.349,-2038.75,-5530.0,87.5,398.24,-123.12,-305.52
13233.9744,-662.033,-155.062,720.044,-1592.5,-6151.25,280.0,393.68,-120.08,-310.08
13234.0245,-652.151,-152.5,713.151,-1128.75,-5705.0,481.25,399.76,-142.88,-307.04
13234.0744,-659.41,-148.047,715.652,-1776.25,-4480.0,481.25,404.32,-117.04,-310.08
13234.1244,-668.255,-150.792,719.861,-1461.25,-4987.5,1058.75,401.28,-142.88,-311.6
13234.1744,-658.495,-154.208,719.129,-1898.75,-5687.5,210.0,396.72,-124.64,-294.88
13234.2244,-656.177,-150.365,717.787,-857.5,-5075.0,595.0,389.12,-112.48,-293.36
13234.2744,-660.325,-149.145,714.31,-1505.0,-4725.0,218.75,396.72,-135.28,-316.16
13234.3244,-664.839,-153.354,720.532,-1653.75,-5110.0,148.75,387.6,-129.2,-296.4
13234.3744,-662.704,-152.622,719.129,-1487.5,-5267.5,752.5,395.2,-133.76,-310.08
13234.4244,-661.362,-151.341,718.702,-1382.5,-5407.5,1356.25,389.12,-123.12,-317.68
13234.4744,-657.275,-148.901,719.312,-1583.75,-5915.0,1181.25,384.56,-120.08,-314.64
13234.5244,-654.774,-151.524,721.203,-1662.5,-5486.25,542.5,393.68,-142.88,-317.68
13234.5744,-653.371,-152.805,719.739,-1286.25,-4943.75,402.5,384.56,-118.56,-291.84
13234.6244,-666.303,-142.435,720.959,-1811.25,-4497.5,560.0,384.56,-126.16,-296.4
13234.6744,-662.826,-150.548,723.643,-1872.5,-5285.0,586.25,390.64,-124.64,-307.04
13234.7244,-652.578,-147.925,720.898,-1653.75,-5521.25,1181.25,402.8,-138.32,-322.24
13234.7744,-654.835,-146.217,719.861,-1995.0,-4663.75,1032.5,378.48,-139.84,-308.56
13234.8244,-662.155,-148.169,723.765,-1881.25,-5328.75,997.5,378.48,-129.2,-311.6
13234.8744,-655.018,-150.548,724.558,-1802.5,-5311.25,-70.0,372.4,-115.52,-316.16
13234.9244,-653.31,-151.036,723.155,-1058.75,-5075.0,455.0,384.56,-126.16,-320.72
13234.9744,-655.14,-145.058,721.142,-1277.5,-4016.25,481.25,393.68,-124.64,-307.04
13235.0244,-662.216,-145.424,722.24,-1793.75,-4130.0,393.75,389.12,-118.56,-317.68
13235.0744,-661.057,-151.463,720.654,-2082.5,-4742.5,866.25,381.52,-124.64,-313.12
13235.1244,-656.787,-149.206,723.155,-1522.5,-5040.0,1111.25,387.6,-114.0,-304.0
13235.1744,-654.713,-147.376,720.227,-1443.75,-4908.75,1198.75,378.48,-126.16,-322.24
13235.2244,-657.031,-151.158,722.423,-1618.75,-4900.0,472.5,390.64,-130.72,-316.16
13235.2744,-658.434,-149.389,720.959,-1216.25,-4156.25,385.0,367.84,-133.76,-313.12
