TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5404.3622,11418.39,-4749.39,15531.83,5871.11,20150.28,10917.28,4143.81,-13026.72
5404.3662,11404.94,-4752.45,15539.5,5856.99,20133.02,10903.88,4128.93,-12959.05
5404.3702,11386.59,-4769.14,15528.73,5840.25,20113.95,10888.39,4115.2,-12959.53
5404.3742,11386.35,-4781.34,15497.64,5841.92,20119.0,10887.86,4111.2,-13063.77
5404.3782,11395.22,-4782.01,15486.24,5855.23,20131.78,10898.07,4121.07,-13125.37
5404.3822,11404.23,-4774.28,15504.41,5858.04,20136.31,10899.5,4121.92,-13082.84
5404.3862,11389.45,-4781.72,15511.71,5847.22,20122.91,10889.34,4109.53,-13008.88
5404.3902,11383.49,-4780.82,15518.43,5840.54,20115.57,10885.38,4108.72,-12978.75
5404.3942,11396.74,-4777.19,15507.65,5852.51,20128.01,10897.3,4119.49,-13065.96
5404.3982,11416.01,-4766.42,15505.79,5870.44,20149.28,10915.33,4135.99,-13121.18
5404.4022,11419.11,-4758.31,15515.66,5870.92,20149.66,10918.24,4138.85,-13069.25
5404.4062,11402.99,-4764.41,15528.01,5856.71,20133.69,10902.84,4127.26,-12994.62
5404.4102,11393.45,-4767.7,15530.4,5847.41,20123.15,10892.44,4119.35,-12982.47
5404.4142,11402.32,-4767.13,15516.19,5855.08,20133.12,10899.07,4124.36,-13081.36
5404.4182,11414.15,-4764.7,15502.65,5865.91,20146.09,10907.6,4130.84,-13145.4
5404.4222,11403.9,-4772.23,15500.12,5858.85,20136.07,10904.79,4125.64,-13098.15
5404.4261,11386.35,-4780.25,15510.61,5842.07,20117.57,10891.87,4113.39,-13029.43
5404.4301,11369.23,-4795.36,15512.85,5829.62,20103.41,10876.75,4101.61,-13029.96
5404.4341,11384.49,-4784.87,15500.83,5838.01,20116.52,10888.24,4107.76,-13110.83
5404.4381,11405.09,-4771.71,15502.84,5856.09,20136.5,10902.45,4122.21,-13166.91
5404.4421,11404.85,-4769.28,15511.66,5856.85,20133.97,10899.97,4120.26,-13125.61
5404.4461,11392.79,-4770.85,15519.86,5844.02,20120.43,10892.2,4117.11,-13036.54
5404.4501,11385.39,-4774.71,15526.01,5838.54,20114.23,10887.81,4114.2,-13013.41
5404.4541,11402.13,-4767.99,15519.43,5853.51,20130.35,10899.88,4124.93,-13107.59
5404.4581,11423.97,-4752.4,15518.86,5872.15,20150.38,10916.71,4139.85,-13162.61
5404.4621,11418.3,-4756.98,15523.96,5868.63,20147.99,10916.38,4135.08,-13112.4
5404.4661,11401.37,-4764.89,15535.64,5853.8,20131.07,10897.83,4119.06,-13045.26
5404.4701,11385.25,-4776.67,15532.78,5839.01,20116.62,10885.19,4110.15,-13028.91
5404.4741,11391.78,-4782.96,15516.52,5846.12,20125.68,10892.92,4117.06,-13117.84
5404.4781,11406.09,-4773.76,15511.18,5860.66,20138.22,10905.65,4120.97,-13174.2
5404.4821,11396.46,-4783.11,15509.46,5856.85,20132.88,10902.22,4120.06,-13135.48
5404.4861,11385.35,-4784.39,15510.47,5840.59,20117.81,10888.24,4106.76,-13058.71
5404.4901,11380.44,-4783.49,15521.77,5832.77,20110.56,10876.8,4098.03,-13050.75
5404.4941,11391.5,-4779.96,15510.42,5842.5,20123.58,10888.29,4106.38,-13137.58
5404.4981,11407.33,-4771.85,15501.5,5857.28,20139.74,10904.22,4117.3,-13187.51
5404.5021,11408.85,-4769.04,15513.57,5859.95,20139.32,10908.08,4122.97,-13134.34
5404.5061,11397.89,-4771.19,15523.48,5845.93,20125.92,10902.07,4117.44,-13048.94
5404.5101,11386.92,-4775.38,15529.16,5835.53,20114.95,10883.81,4106.62,-13039.26
5404.5141,11391.35,-4779.43,15515.28,5844.16,20125.92,10894.78,4112.91,-13122.32
5404.5181,11409.71,-4772.28,15505.12,5858.9,20144.42,10908.46,4121.45,-13198.19
5404.5221,11407.28,-4775.43,15499.69,5855.51,20138.36,10899.97,4119.16,-13176.4
5404.5261,11382.3,-4790.31,15500.12,5833.82,20113.42,10882.09,4103.99,-13099.96
5404.5301,11368.32,-4799.08,15507.37,5820.32,20100.45,10870.17,4095.13,-13079.02
5404.5341,11373.66,-4800.32,15490.1,5825.81,20108.18,10871.55,4094.32,-13175.73
5404.5381,11401.61,-4780.63,15491.82,5845.4,20132.11,10890.39,4106.0,-13233.28
5404.5421,11401.85,-4776.1,15502.84,5848.31,20132.59,10895.44,4116.92,-13176.49
5404.5461,11379.96,-4787.49,15510.85,5833.44,20113.18,10882.57,4104.14,-13095.9
5404.5501,11373.24,-4785.82,15521.91,5829.29,20107.65,10876.99,4101.52,-13077.83
5404.554,11390.93,-4779.39,15522.39,5846.88,20126.2,10894.59,4116.25,-13140.78
5404.558,11403.61,-4776.19,15518.62,5859.95,20139.32,10905.93,4126.6,-13189.51
5404.562,11400.51,-4769.37,15529.59,5856.71,20133.21,10898.4,4120.35,-13142.54
5404.566,11392.26,-4764.13,15552.0,5842.73,20118.91,10888.15,4114.34,-13044.17
5404.57,11375.71,-4771.28,15556.43,5826.86,20102.88,10876.08,4102.18,-13015.37
5404.574,11387.87,-4769.95,15547.71,5838.73,20117.33,10884.76,4108.33,-13113.31
5404.578,11400.37,-4768.42,15533.69,5854.27,20132.97,10896.3,4122.07,-13189.6
5404.582,11392.26,-4782.82,15516.33,5852.27,20127.92,10892.2,4124.74,-13165.76
5404.586,11380.39,-4789.26,15517.14,5837.68,20113.66,10880.66,4112.39,-13097.24
