TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5404.4377,764.696,-67.893,685.884,-1863.75,-5092.5,-148.75,-234.08,94.24,-272.08
5404.4877,764.696,-72.956,690.154,-1592.5,-4357.5,105.0,-226.48,85.12,-261.44
5404.5377,761.219,-72.163,683.566,-1216.25,-4200.0,612.5,-228.0,83.6,-247.76
5404.5877,762.744,-70.455,688.263,-857.5,-4471.25,997.5,-232.56,94.24,-267.52
5404.6377,760.182,-68.32,690.093,-1050.0,-3727.5,586.25,-247.76,97.28,-255.36
5404.6877,754.509,-62.83,691.374,-1758.75,-4357.5,-271.25,-250.8,82.08,-262.96
5404.7377,758.474,-67.649,693.997,-2773.75,-5311.25,-1076.25,-211.28,83.6,-256.88
5404.7877,758.718,-75.64,689.605,-2572.5,-5897.5,-393.75,-228.0,98.8,-252.32
5404.8377,771.101,-71.919,693.448,-892.5,-5757.5,-490.0,-247.76,82.08,-267.52
5404.8877,758.047,-64.538,690.886,-1461.25,-3998.75,848.75,-224.96,85.12,-266.0
5404.9377,748.226,-67.039,687.47,-1706.25,-4760.0,446.25,-226.48,101.84,-264.48
5404.9877,760.365,-72.102,691.069,-1636.25,-5748.75,866.25,-232.56,94.24,-246.24
5405.0378,758.535,-72.834,688.568,-1723.75,-5670.0,1548.75,-234.08,97.28,-249.28
5405.0877,758.047,-75.823,687.47,-857.5,-6405.0,1583.75,-231.04,89.68,-259.92
5405.1377,761.707,-68.991,687.531,-857.5,-6571.25,1697.5,-235.6,79.04,-255.36
5405.1877,758.413,-68.869,684.542,-1216.25,-6772.5,507.5,-238.64,85.12,-255.36
5405.2377,767.502,-67.527,685.091,-1636.25,-7061.25,-157.5,-229.52,89.68,-253.84
5405.2877,769.088,-65.209,682.346,-1618.75,-6658.75,-1120.0,-246.24,86.64,-266.0
5405.3377,768.295,-64.721,683.81,-2397.5,-5845.0,-183.75,-243.2,86.64,-247.76
5405.3877,766.404,-70.394,683.627,-2161.25,-4970.0,463.75,-243.2,91.2,-264.48
5405.4377,767.746,-71.797,682.407,-1846.25,-4891.25,1015.0,-234.08,86.64,-252.32
5405.4877,764.025,-72.895,682.285,-1321.25,-5206.25,612.5,-226.48,89.68,-253.84
5405.5377,767.502,-68.564,680.699,-1295.0,-5617.5,691.25,-221.92,83.6,-258.4
5405.5877,767.441,-69.967,682.651,-1277.5,-5783.75,1041.25,-232.56,89.68,-266.0
5405.6377,769.637,-70.15,678.93,-1697.5,-5635.0,1058.75,-235.6,76.0,-249.28
5405.6877,773.175,-72.346,680.272,-1811.25,-4987.5,1032.5,-211.28,100.32,-252.32
5405.7377,769.698,-72.773,681.126,-1785.0,-3893.75,367.5,-232.56,77.52,-273.6
5405.7877,766.953,-71.248,682.102,-1758.75,-3657.5,428.75,-234.08,91.2,-252.32
5405.8377,764.086,-73.566,682.529,-1627.5,-3788.75,980.0,-244.72,83.6,-256.88
5405.8877,766.709,-70.272,690.886,-787.5,-3832.5,-70.0,-224.96,97.28,-259.92
5405.9377,757.437,-66.49,687.714,-1968.75,-3298.75,341.25,-238.64,94.24,-262.96
