TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5608.7377,796.782,-66.978,647.332,-1093.75,-8505.0,1995.0,-185.44,68.4,-249.28
5608.7878,803.492,-72.163,644.221,-945.0,-9126.25,2310.0,-159.6,53.2,-247.76
5608.8377,814.045,-66.673,636.474,-533.75,-7883.75,787.5,-164.16,60.8,-243.2
5608.8877,809.714,-62.342,634.644,-840.0,-4803.75,507.5,-161.12,51.68,-250.8
5608.9377,795.623,-63.806,635.559,-1496.25,-5311.25,831.25,-170.24,63.84,-246.24
5608.9877,801.845,-69.54,638.975,-980.0,-6667.5,297.5,-164.16,63.84,-237.12
5609.0377,799.893,-64.05,643.306,-953.75,-7218.75,568.75,-186.96,54.72,-234.08
5609.0877,804.346,-67.771,639.829,-1435.0,-6991.25,647.5,-156.56,74.48,-250.8
5609.1377,807.091,-64.965,635.437,-1723.75,-7315.0,-96.25,-170.24,50.16,-249.28
5609.1877,809.043,-63.44,633.058,-2371.25,-6510.0,-210.0,-168.72,56.24,-243.2
5609.2377,817.522,-71.126,634.583,-2073.75,-4882.5,-962.5,-177.84,45.6,-234.08
5609.2877,811.239,-66.49,636.352,-1680.0,-3850.0,-551.25,-158.08,53.2,-237.12
5609.3377,792.878,-66.978,629.825,-1968.75,-5416.25,-140.0,-179.36,68.4,-249.28
5609.3877,808.677,-70.394,635.254,-1435.0,-6256.25,927.5,-162.64,69.92,-226.48
5609.4377,813.252,-72.712,634.949,-656.25,-5783.75,1137.5,-167.2,65.36,-240.16
5609.4877,804.041,-62.464,632.265,-700.0,-5530.0,595.0,-176.32,54.72,-231.04
5609.5377,807.701,-58.011,632.753,-1268.75,-6020.0,78.75,-174.8,54.72,-224.96
5609.5877,806.237,-61.549,630.435,-2108.75,-6650.0,-630.0,-176.32,45.6,-231.04
5609.6377,813.618,-66.307,630.191,-1697.5,-6562.5,-481.25,-167.2,68.4,-240.16
5609.6877,816.607,-65.087,628.666,-1190.0,-5661.25,17.5,-182.4,60.8,-226.48
5609.7377,820.023,-61.366,632.082,-1198.75,-4077.5,1233.75,-162.64,54.72,-238.64
5609.7877,806.603,-63.562,627.69,-1233.75,-4068.75,1470.0,-182.4,59.28,-228.0
5609.8377,798.368,-61.488,625.555,-1951.25,-4523.75,953.75,-167.2,57.76,-235.6
5609.8877,816.546,-69.54,635.376,-1365.0,-5320.0,-568.75,-171.76,45.6,-235.6
