TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5720.0853,12957.96,-2769.09,19840.15,8137.27,22846.37,13551.28,8236.5,-12023.64
5720.0893,12957.72,-2765.94,19846.01,8134.99,22845.08,13550.9,8238.94,-12014.72
5720.0933,12943.13,-2755.98,19888.93,8121.01,22828.96,13536.26,8229.45,-11991.88
5720.0973,12937.02,-2748.44,19912.1,8112.86,22820.38,13523.77,8224.01,-11987.88
5720.1013,12945.75,-2756.64,19881.54,8120.25,22830.44,13533.88,8228.02,-12011.24
5720.1053,12956.19,-2769.04,19836.67,8130.17,22841.98,13542.61,8233.5,-12032.46
5720.1093,12956.86,-2765.37,19840.39,8130.5,22841.65,13545.28,8234.26,-12016.49
5720.1133,12937.93,-2756.5,19877.25,8113.91,22820.86,13527.78,8226.11,-11999.32
5720.1173,12928.63,-2751.78,19898.99,8104.8,22811.94,13521.72,8223.15,-11984.73
5720.1213,12940.36,-2757.5,19871.86,8113.91,22825.01,13533.31,8227.02,-12000.9
5720.1253,12951.09,-2773.95,19828.04,8123.07,22837.07,13541.37,8231.64,-12022.31
5720.1293,12946.75,-2777.29,19827.08,8122.16,22834.16,13538.65,8229.92,-12023.07
5720.1333,12926.1,-2770.19,19861.75,8107.33,22815.42,13521.72,8218.77,-12009.29
5720.1373,12925.82,-2757.45,19891.65,8103.04,22810.65,13516.71,8222.1,-11996.41
5720.1413,12937.69,-2764.42,19867.33,8113.43,22824.0,13526.25,8228.11,-12015.63
5720.1453,12953.19,-2772.67,19828.94,8129.03,22840.07,13541.46,8235.03,-12030.51
5720.1492,12955.0,-2769.23,19836.38,8131.22,22841.5,13545.47,8238.08,-12021.73
5720.1532,12941.89,-2755.98,19880.39,8117.96,22827.44,13534.02,8230.59,-11995.36
5720.1572,12929.82,-2753.21,19901.33,8108.76,22814.61,13522.82,8224.2,-11994.74
5720.1612,12935.54,-2762.08,19869.9,8112.34,22819.24,13523.53,8223.01,-12019.11
5720.1652,12953.33,-2773.33,19835.71,8126.93,22839.93,13543.66,8236.17,-12023.07
5720.1692,12955.09,-2771.62,19844.15,8131.46,22844.36,13548.04,8241.65,-12019.59
5720.1732,12940.93,-2757.12,19886.59,8118.49,22828.06,13531.59,8232.88,-12005.62
5720.1772,12937.31,-2746.2,19914.25,8116.63,22825.15,13530.07,8233.93,-11994.36
5720.1812,12940.65,-2760.27,19881.16,8120.59,22831.11,13538.17,8234.55,-12010.43
5720.1852,12956.33,-2773.24,19844.49,8132.89,22845.41,13549.71,8241.46,-12032.46
5720.1892,12955.48,-2770.14,19846.25,8131.7,22842.41,13543.46,8240.99,-12035.56
5720.1932,12942.55,-2753.21,19883.83,8119.92,22829.96,13539.84,8239.89,-11994.12
