TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
5753.7377,903.837,-63.684,499.651,-787.5,-3867.5,717.5,-209.76,50.16,-185.44
5753.7877,900.177,-60.634,494.466,-525.0,-4235.0,-43.75,-218.88,50.16,-190.0
5753.8377,901.031,-56.059,493.368,-1391.25,-4226.25,-192.5,-211.28,42.56,-194.56
5753.8877,900.543,-56.425,494.71,-1461.25,-3963.75,43.75,-228.0,50.16,-197.6
5753.9377,902.251,-61.427,494.771,-1330.0,-3631.25,350.0,-197.6,41.04,-202.16
5753.9877,904.996,-59.048,492.88,-1093.75,-2642.5,-831.25,-211.28,51.68,-209.76
5754.0377,903.227,-57.828,497.272,-1583.75,-1382.5,8.75,-202.16,63.84,-196.08
5754.0877,901.397,-54.229,500.444,-1435.0,-761.25,-385.0,-229.52,53.2,-214.32
5754.1377,896.517,-50.386,498.98,-2047.5,-796.25,26.25,-218.88,66.88,-211.28
5754.1877,908.717,-56.73,495.198,-2511.25,560.0,472.5,-220.4,45.6,-209.76
5754.2377,908.961,-54.961,497.028,-2380.0,2826.25,113.75,-214.32,39.52,-205.2
5754.2877,912.987,-59.109,512.4,-2371.25,6685.0,201.25,-191.52,47.12,-208.24
5754.3377,869.738,-56.242,522.709,-910.0,9038.75,1776.25,-193.04,45.6,-220.4
5754.3877,849.73,-50.325,534.909,-1006.25,6842.5,2528.75,-202.16,38.0,-223.44
5754.4377,844.301,-57.157,559.37,-2668.75,2047.5,1741.25,-209.76,31.92,-229.52
5754.4877,844.484,-65.941,562.542,-2502.5,-2625.0,936.25,-197.6,27.36,-220.4
5754.5377,855.281,-63.989,567.178,-1758.75,-4287.5,341.25,-202.16,54.72,-226.48
5754.5877,865.651,-63.196,559.797,-1750.0,-3981.25,1015.0,-191.52,50.16,-206.72
5754.6377,853.207,-65.575,553.087,-1400.0,-4768.75,1067.5,-186.96,45.6,-212.8
5754.6877,868.152,-67.1,559.309,-1400.0,-5670.0,691.25,-205.2,54.72,-221.92
5754.7377,867.054,-62.769,560.956,-1023.75,-3885.0,87.5,-177.84,48.64,-215.84
5754.7877,865.468,-61.061,561.017,-1820.0,-2362.5,210.0,-188.48,42.56,-208.24
5754.8377,859.978,-62.83,561.261,-2476.25,-1452.5,-420.0,-182.4,36.48,-214.32
5754.8877,860.649,-63.989,566.446,-3132.5,-1820.0,-927.5,-182.4,56.24,-232.56
5754.9377,853.39,-66.124,567.178,-3412.5,-2283.75,-805.0,-194.56,45.6,-224.96
5754.9877,840.031,-67.161,565.775,-2870.0,-4060.0,542.5,-174.8,50.16,-214.32
5755.0377,847.595,-73.871,569.679,-1811.25,-5766.25,393.75,-191.52,47.12,-206.72
5755.0877,861.686,-59.231,572.668,-682.5,-5285.0,227.5,-209.76,47.12,-214.32
5755.1377,850.95,-55.449,567.178,-2065.0,-5048.75,603.75,-191.52,62.32,-244.72
5755.1877,857.538,-66.673,564.067,-1653.75,-5775.0,927.5,-196.08,45.6,-205.2
5755.2377,865.468,-62.769,564.006,-1356.25,-5145.0,1155.0,-190.0,63.84,-226.48
5755.2877,854.427,-59.536,559.492,-1426.25,-5346.25,787.5,-196.08,51.68,-211.28
5755.3377,859.917,-63.928,560.773,-1793.75,-5486.25,892.5,-174.8,56.24,-218.88
5755.3877,858.575,-63.684,559.797,-1881.25,-5880.0,1251.25,-197.6,54.72,-231.04
5755.4377,863.394,-69.113,561.078,-1697.5,-5976.25,630.0,-194.56,36.48,-220.4
5755.4877,861.686,-64.599,562.176,-1671.25,-5416.25,315.0,-183.92,65.36,-221.92
5755.5377,860.71,-67.649,562.481,-1338.75,-5022.5,927.5,-209.76,41.04,-209.76
5755.5877,858.697,-63.562,561.444,-1496.25,-5267.5,1032.5,-193.04,53.2,-208.24
5755.6377,860.1,-66.856,560.163,-1986.25,-5293.75,612.5,-208.24,54.72,-217.36
5755.6877,860.039,-67.222,562.176,-2038.75,-5363.75,-402.5,-183.92,60.8,-199.12
5755.7377,859.734,-66.185,562.664,-1837.5,-4943.75,192.5,-203.68,56.24,-206.72
5755.7877,855.708,-67.466,564.067,-1435.0,-5608.75,1216.25,-180.88,63.84,-217.36
5755.8377,855.403,-70.15,558.76,-1347.5,-6527.5,1898.75,-183.92,54.72,-217.36
5755.8879,872.178,-64.294,564.372,-717.5,-6282.5,-218.75,-183.92,41.04,-224.96
5755.9377,871.324,-57.462,561.871,-1610.0,-4305.0,-691.25,-190.0,60.8,-220.4
5755.9878,845.826,-63.44,557.357,-3263.75,-4646.25,525.0,-194.56,59.28,-217.36
