TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5902.5914,14025.79,-1640.13,22255.14,9381.96,24495.89,15080.41,10104.85,-10261.87
5902.5954,14009.91,-1630.83,22286.61,9369.04,24479.11,15066.1,10095.74,-10254.24
5902.5994,14004.95,-1643.37,22272.02,9368.99,24476.24,15062.38,10092.16,-10269.36
5902.6034,14019.25,-1654.2,22229.82,9381.68,24491.46,15076.4,10101.7,-10283.23
5902.6074,14033.46,-1654.01,22222.47,9390.4,24503.76,15087.08,10104.09,-10282.09
5902.6114,14024.26,-1640.61,22255.23,9380.72,24493.03,15075.35,10097.17,-10268.69
5902.6154,14007.14,-1636.89,22286.37,9369.66,24478.15,15064.15,10095.36,-10248.38
5902.6194,14007.52,-1642.32,22271.21,9367.13,24476.77,15062.33,10089.3,-10263.02
5902.6234,14019.49,-1654.82,22222.43,9376.77,24488.64,15072.11,10095.03,-10279.75
5902.6274,14025.64,-1657.87,22208.17,9384.25,24497.75,15078.83,10100.8,-10287.1
5902.6314,14018.78,-1644.09,22245.36,9377.53,24488.98,15071.16,10095.55,-10272.22
5902.6354,14001.42,-1641.13,22277.6,9362.36,24471.0,15053.7,10085.68,-10266.69
5902.6394,13999.03,-1651.1,22265.29,9362.51,24470.76,15054.04,10085.25,-10275.94
5902.6434,14012.72,-1666.16,22219.66,9374.52,24485.45,15068.01,10091.69,-10293.91
5902.6474,14026.31,-1662.11,22210.55,9385.4,24496.56,15075.4,10096.84,-10302.35
5902.6514,14020.54,-1647.23,22243.07,9377.72,24489.79,15069.68,10088.35,-10283.52
5902.6553,14003.23,-1640.99,22276.02,9361.6,24472.29,15055.71,10084.3,-10258.39
5902.6593,14005.28,-1647.14,22263.96,9359.89,24473.34,15058.38,10082.91,-10266.26
5902.6633,14020.97,-1659.44,22225.62,9374.76,24491.12,15074.4,10095.88,-10280.47
5902.6673,14029.22,-1660.63,22214.22,9383.58,24499.61,15082.69,10102.13,-10283.61
5902.6713,14017.3,-1648.76,22240.21,9375.24,24485.78,15072.73,10095.31,-10268.4
5902.6753,14002.47,-1641.18,22272.64,9363.27,24470.71,15056.33,10083.1,-10262.35
5902.6793,13998.7,-1654.86,22256.19,9360.22,24469.86,15052.03,10078.57,-10279.99
5902.6833,14013.01,-1670.55,22210.17,9369.76,24484.07,15066.34,10088.11,-10297.01
5902.6873,14026.64,-1667.36,22200.78,9381.44,24496.84,15077.55,10095.12,-10300.73
5902.6913,14011.53,-1660.39,22227.96,9368.9,24480.54,15060.14,10084.01,-10292.63
5902.6953,14001.75,-1649.05,22270.59,9359.84,24470.57,15054.13,10081.39,-10269.64
5902.6993,14010.0,-1645.37,22265.87,9365.94,24479.01,15065.72,10092.21,-10263.97
5902.7033,14028.55,-1655.67,22224.43,9383.54,24499.04,15084.22,10102.8,-10274.22
5902.7073,14036.51,-1660.2,22210.41,9391.83,24507.43,15089.04,10107.28,-10282.66
5902.7113,14026.93,-1647.42,22243.55,9382.63,24496.08,15076.4,10101.37,-10271.46
5902.7153,14013.24,-1637.41,22279.07,9368.18,24480.82,15063.34,10089.88,-10257.39
5902.7193,14013.72,-1644.28,22270.49,9368.13,24481.68,15064.05,10091.31,-10264.49
5902.7233,14024.31,-1660.49,22226.0,9380.1,24494.94,15074.97,10096.03,-10284.14
5902.7273,14035.27,-1659.82,22210.89,9390.93,24506.52,15088.46,10104.8,-10281.66
5902.7313,14025.69,-1650.33,22244.31,9381.39,24493.98,15079.55,10101.89,-10267.31
5902.7353,14010.34,-1642.08,22279.98,9365.51,24474.58,15060.86,10088.21,-10265.64
5902.7393,14011.19,-1647.19,22266.1,9365.94,24476.86,15059.76,10086.25,-10279.61
