TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
621420.5373,975.99,16967.44,9716.65,4486.42,-188.16,5092.29,-9621.91,9401.89
621420.5413,976.51,16964.53,9733.49,4426.91,-316.67,5054.9,-9702.49,9365.99
621420.5453,966.31,16951.37,9686.76,4475.78,-123.74,5061.44,-9702.92,9366.56
621420.5493,984.81,16973.59,9703.21,4533.91,4.82,5133.63,-9603.26,9436.89
621420.5533,984.24,16973.83,9704.3,4544.21,25.08,5145.31,-9560.44,9447.39
621420.5573,984.53,16973.64,9724.95,4495.86,-179.72,5108.17,-9608.7,9418.68
621420.5613,975.37,16962.48,9730.24,4426.91,-320.82,5064.68,-9702.4,9378.1
621420.5653,959.83,16943.31,9674.12,4469.68,-126.98,5056.1,-9716.46,9361.65
621420.5693,976.94,16965.11,9692.38,4524.18,-6.72,5125.86,-9615.95,9429.07
621420.5733,978.99,16971.02,9701.16,4538.58,9.97,5143.36,-9567.21,9449.01
621420.5773,988.1,16981.37,9730.96,4503.39,-172.09,5116.42,-9603.22,9428.41
621420.5813,986.24,16976.26,9741.83,4439.64,-306.89,5079.94,-9688.09,9392.5
621420.5853,973.99,16958.57,9694.15,4478.65,-125.5,5059.05,-9710.27,9363.08
621420.5893,987.72,16976.74,9707.74,4527.09,-6.01,5113.46,-9624.05,9412.43
621420.5933,984.24,16976.26,9708.74,4536.01,12.87,5129.77,-9583.0,9431.89
621420.5973,1000.6,16990.33,9747.55,4503.68,-165.56,5106.59,-9619.52,9415.34
621420.6013,995.83,16984.08,9756.85,4439.16,-310.95,5068.54,-9706.59,9379.77
621420.6053,978.28,16961.96,9706.4,4474.26,-123.93,5047.23,-9730.58,9349.92
621420.6093,984.24,16971.54,9710.5,4520.94,-5.77,5092.91,-9646.51,9392.26
621420.6133,987.2,16974.69,9719.04,4530.05,7.92,5121.52,-9593.77,9423.26
621420.6173,998.16,16985.61,9752.61,4493.33,-174.05,5098.44,-9624.1,9407.47
621420.6213,998.69,16984.75,9768.53,4435.83,-305.27,5070.4,-9698.49,9383.01
621420.6253,976.13,16959.62,9708.12,4478.41,-117.87,5065.01,-9709.79,9369.28
621420.6293,988.39,16976.74,9715.27,4527.52,-5.2,5133.44,-9613.23,9435.56
621420.6333,990.2,16979.74,9717.13,4540.21,21.84,5149.75,-9568.36,9453.15
621420.6373,1000.98,16991.67,9746.7,4510.83,-152.73,5122.09,-9601.4,9432.7
621420.6413,1003.6,16991.33,9766.53,4446.17,-305.94,5083.85,-9684.47,9394.93
621420.6453,988.77,16972.69,9713.6,4488.23,-112.1,5079.41,-9698.68,9383.87
621420.6493,988.15,16978.46,9708.31,4531.81,1.14,5139.69,-9610.51,9441.81
621420.6533,979.09,16971.16,9705.59,4535.77,12.3,5139.3,-9573.41,9442.24
621420.6573,993.63,16983.61,9736.35,4505.44,-163.36,5124.24,-9600.21,9433.94
621420.6613,982.28,16970.83,9742.07,4437.69,-314.24,5089.57,-9685.33,9402.32
621420.6652,957.35,16941.98,9681.85,4475.31,-128.08,5064.44,-9708.41,9369.52
621420.6692,958.68,16949.13,9671.45,4519.13,-18.31,5126.91,-9617.28,9430.84
621420.6732,954.2,16945.98,9669.73,4523.9,-3.77,5131.82,-9577.61,9435.94
621420.6772,976.37,16965.82,9716.75,4498.29,-167.27,5105.83,-9610.51,9416.39
621420.6812,979.28,16967.68,9740.12,4435.25,-318.81,5065.39,-9696.29,9377.39
621420.6852,962.69,16949.18,9688.57,4470.02,-139.43,5051.52,-9721.38,9356.64
621420.6892,979.38,16969.4,9699.87,4522.85,-10.35,5109.79,-9634.78,9411.34
621420.6932,988.48,16979.65,9713.17,4536.58,14.73,5120.99,-9590.58,9422.92
621420.6972,1004.22,16994.43,9748.22,4504.87,-158.64,5096.58,-9620.81,9406.14
621420.7012,1005.13,16995.0,9765.01,4443.41,-306.94,5068.16,-9695.77,9379.44
621420.7052,992.2,16977.03,9712.27,4488.75,-110.82,5071.26,-9702.35,9375.72
621420.7092,1003.46,16991.24,9720.47,4539.01,14.26,5132.58,-9610.37,9434.42
621420.7132,999.88,16988.33,9723.19,4543.59,23.37,5146.65,-9565.4,9450.48
