TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4679.8649,616.344,57.889,811.544,-980.0,-4882.5,-87.5,-110.96,-256.88,-203.68
4679.9149,617.259,54.107,809.287,-1601.25,-5197.5,-358.75,-107.92,-224.96,-183.92
4679.9649,625.128,54.717,813.435,-1233.75,-5241.25,-183.75,-97.28,-246.24,-203.68
4680.0149,621.651,56.974,812.154,-1391.25,-4865.0,595.0,-91.2,-249.28,-206.72
4680.0649,619.089,53.985,812.337,-1400.0,-5223.75,752.5,-106.4,-253.84,-202.16
4680.1149,620.004,53.924,811.3,-1548.75,-5967.5,498.75,-95.76,-244.72,-203.68
4680.1649,625.86,53.192,810.873,-1373.75,-5766.25,96.25,-97.28,-244.72,-211.28
4680.2149,623.237,54.29,806.42,-1172.5,-5713.75,280.0,-100.32,-243.2,-217.36
4680.2649,632.631,52.216,809.409,-2616.25,-5022.5,1085.0,-114.0,-264.48,-194.56
4680.3149,635.01,51.911,813.496,-306.25,-4217.5,-183.75,-100.32,-252.32,-200.64
4680.3649,613.233,58.987,806.603,-2607.5,-3675.0,1102.5,-104.88,-253.84,-202.16
4680.4149,614.819,48.983,809.226,-2572.5,-5328.75,1627.5,-94.24,-249.28,-206.72
4680.4649,626.897,48.739,816.241,-918.75,-5328.75,1618.75,-112.48,-241.68,-206.72
4680.5149,620.37,52.033,810.995,-997.5,-4348.75,673.75,-94.24,-244.72,-211.28
4680.5649,615.795,55.876,807.762,-1697.5,-4926.25,560.0,-101.84,-249.28,-209.76
4680.6149,622.566,50.935,811.483,-2240.0,-5512.5,201.25,-94.24,-247.76,-203.68
4680.6649,626.897,44.774,815.57,-2003.75,-4961.25,271.25,-112.48,-238.64,-194.56
4680.7149,619.394,48.556,810.751,-1207.5,-5127.5,796.25,-95.76,-253.84,-203.68
4680.7649,623.237,55.205,808.616,-1391.25,-6107.5,717.5,-98.8,-250.8,-199.12
4680.8149,626.714,50.691,810.934,-1837.5,-5862.5,201.25,-106.4,-235.6,-209.76
4680.8649,622.078,51.423,806.786,-1898.75,-5442.5,-411.25,-101.84,-243.2,-214.32
4680.9149,628.91,53.619,810.263,-1452.5,-6413.75,-166.25,-110.96,-243.2,-206.72
4680.9649,639.585,46.604,810.812,-1111.25,-4523.75,-87.5,-109.44,-247.76,-203.68
4681.0149,622.261,60.878,807.823,-1566.25,-3955.0,8.75,-95.76,-255.36,-208.24
4681.0649,617.198,55.937,807.274,-2362.5,-4340.0,525.0,-97.28,-240.16,-191.52
4681.1149,625.677,44.469,810.873,-1925.0,-4628.75,1216.25,-100.32,-240.16,-209.76
4681.1649,627.202,48.678,811.178,-1032.5,-3981.25,691.25,-92.72,-243.2,-193.04
4681.2149,621.346,56.669,810.141,-1067.5,-4130.0,428.75,-85.12,-246.24,-203.68
4681.2649,619.638,52.643,811.056,-2213.75,-5810.0,446.25,-94.24,-237.12,-215.84
4681.3149,624.457,46.848,811.056,-1741.25,-5600.0,122.5,-101.84,-250.8,-209.76
4681.3649,622.2,50.081,812.52,-1172.5,-5057.5,665.0,-95.76,-255.36,-202.16
4681.4149,622.749,49.898,813.862,-831.25,-5652.5,1242.5,-95.76,-252.32,-205.2
4681.4649,624.335,54.168,811.788,-1120.0,-5932.5,1776.25,-94.24,-235.6,-196.08
4681.5149,622.139,48.251,809.104,-805.0,-6790.0,778.75,-94.24,-252.32,-200.64
4681.5649,619.638,50.264,810.202,-717.5,-7831.25,752.5,-103.36,-258.4,-190.0
4681.6149,632.082,50.508,807.274,-1111.25,-8251.25,936.25,-88.16,-250.8,-203.68
4681.6649,633.058,51.728,808.555,1277.5,-6020.0,402.5,-98.8,-255.36,-209.76
4681.7149,625.067,57.157,803.309,306.25,-6685.0,1977.5,-118.56,-244.72,-196.08
4681.7649,628.117,52.887,799.771,26.25,-8496.25,3438.75,-97.28,-249.28,-208.24
4681.8149,642.513,46.97,804.773,2143.75,-8190.0,3797.5,-98.8,-247.76,-211.28
4681.8651,642.33,53.436,800.442,2380.0,-6702.5,3447.5,-120.08,-259.92,-196.08
4681.9149,638.731,64.355,795.684,1391.25,-6650.0,3123.75,-121.6,-237.12,-203.68
4681.965,640.195,63.074,794.708,8.75,-7192.5,2931.25,-112.48,-247.76,-199.12
4682.0149,645.258,60.817,796.721,-1531.25,-6623.75,1268.75,-110.96,-240.16,-191.52
4682.0649,645.258,53.619,792.39,-2030.0,-6081.25,577.5,-109.44,-235.6,-199.12
4682.1149,647.82,54.168,793.427,-2108.75,-5617.5,148.75,-103.36,-235.6,-196.08
4682.1649,645.624,51.24,791.963,-1828.75,-5950.0,-166.25,-115.52,-246.24,-197.6
4682.2149,649.833,52.338,791.902,-1741.25,-5521.25,236.25,-115.52,-247.76,-194.56
4682.2649,648.43,56.364,792.146,-1531.25,-4926.25,87.5,-114.0,-246.24,-200.64
4682.3149,656.543,44.591,796.172,-1041.25,-3552.5,-402.5,-109.44,-244.72,-193.04
4682.3649,644.831,65.026,798.063,-1015.0,-3036.25,-980.0,-118.56,-252.32,-208.24
4682.4149,631.289,56.608,788.852,-2896.25,-3596.25,166.25,-103.36,-241.68,-197.6
4682.4649,642.879,47.641,798.917,-1706.25,-4305.0,140.0,-115.52,-241.68,-194.56
4682.5149,648.064,51.667,799.039,-1435.0,-3780.0,-140.0,-112.48,-235.6,-206.72
4682.5649,633.607,59.475,797.392,-1330.0,-3788.75,-253.75,-91.2,-244.72,-208.24
4682.6149,634.583,56.364,796.294,-1837.5,-4838.75,17.5,-117.04,-255.36,-200.64
4682.6649,641.598,54.534,795.928,-1251.25,-5538.75,490.0,-91.2,-240.16,-206.72
4682.7149,639.646,57.584,796.538,-1391.25,-4567.5,936.25,-114.0,-246.24,-196.08
4682.7649,639.097,58.865,797.88,-1688.75,-4480.0,691.25,-104.88,-243.2,-200.64
4682.8149,640.378,51.423,798.917,-1776.25,-5145.0,175.0,-94.24,-253.84,-202.16
4682.8649,639.646,52.887,796.477,-1338.75,-4926.25,157.5,-112.48,-244.72,-193.04
4682.9149,638.487,58.56,796.05,-1181.25,-4795.0,-8.75,-135.28,-250.8,-196.08
4682.9649,651.785,49.41,800.93,-1373.75,-4987.5,122.5,-114.0,-240.16,-208.24
4683.0149,645.685,60.817,801.357,-936.25,-3106.25,-962.5,-115.52,-250.8,-202.16
4683.0649,626.531,57.462,792.573,-2187.5,-4252.5,341.25,-92.72,-246.24,-203.68
4683.1149,642.574,52.277,800.503,-1452.5,-4900.0,280.0,-94.24,-249.28,-186.96
4683.1649,641.049,58.743,803.37,-1356.25,-4725.0,420.0,-118.56,-240.16,-179.36
4683.2149,634.705,64.843,796.355,-1207.5,-5136.25,-236.25,-94.24,-238.64,-197.6
4683.2649,637.938,62.22,797.026,-2231.25,-5477.5,-481.25,-109.44,-249.28,-197.6
4683.3149,638.731,57.584,798.063,-1968.75,-5197.5,-297.5,-132.24,-250.8,-205.2
4683.3649,638.914,56.73,797.27,-1951.25,-4410.0,393.75,-92.72,-264.48,-193.04
4683.4149,635.559,54.107,796.294,-1522.5,-4821.25,1242.5,-103.36,-252.32,-211.28
4683.4649,638.06,56.974,798.551,-927.5,-5748.75,945.0,-103.36,-255.36,-190.0
