TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4860.9649,438.407,18.971,919.697,-1102.5,-3596.25,-2038.75,-45.6,-244.72,-244.72
4861.0149,435.235,13.664,919.575,-1653.75,-6072.5,-1137.5,-38.0,-252.32,-234.08
4861.0649,449.875,9.272,925.492,-1111.25,-4961.25,-245.0,-39.52,-246.24,-238.64
4861.1149,440.115,12.444,924.089,210.0,-4646.25,-586.25,-59.28,-252.32,-247.76
4861.1649,437.98,20.618,918.294,-70.0,-6343.75,-481.25,-38.0,-246.24,-253.84
4861.2149,447.496,25.132,920.612,-385.0,-7367.5,-1137.5,-39.52,-231.04,-247.76
4861.2649,448.96,27.45,918.355,-822.5,-6492.5,-910.0,-45.6,-249.28,-241.68
4861.3149,443.775,23.973,919.026,-1067.5,-6571.25,-586.25,-59.28,-220.4,-241.68
4861.3649,447.374,25.925,918.416,-1216.25,-7376.25,-498.75,-48.64,-235.6,-253.84
4861.4149,455.731,27.938,919.636,-2362.5,-7962.5,1041.25,-47.12,-235.6,-229.52
4861.4649,460.367,23.363,917.928,-367.5,-6842.5,1443.75,-50.16,-246.24,-235.6
4861.5149,446.581,26.413,910.425,-682.5,-6203.75,1863.75,-60.8,-237.12,-238.64
4861.5649,456.951,22.387,909.754,-1181.25,-8933.75,1898.75,-69.92,-235.6,-226.48
4861.6149,469.883,20.557,919.209,-1303.75,-8041.25,1181.25,-56.24,-235.6,-229.52
4861.6649,466.955,20.862,910.486,-1303.75,-5433.75,201.25,-44.08,-231.04,-240.16
4861.7149,460.001,18.605,907.802,-1303.75,-6545.0,262.5,-69.92,-240.16,-238.64
4861.7649,468.663,20.496,909.876,-1242.5,-7113.75,201.25,-44.08,-234.08,-232.56
4861.8149,469.517,22.021,905.484,-1085.0,-6125.0,-148.75,-57.76,-226.48,-243.2
4861.8649,466.772,26.169,904.996,-1575.0,-5950.0,-560.0,-53.2,-240.16,-244.72
4861.9149,468.724,20.557,904.264,-1942.5,-6597.5,-332.5,-60.8,-237.12,-243.2
4861.9649,479.094,15.311,910.913,-2126.25,-5495.0,-17.5,-44.08,-231.04,-226.48
4862.0149,473.299,22.021,907.924,-8.75,-3885.0,-892.5,-50.16,-241.68,-232.56
4862.0649,458.415,26.535,905.301,-2117.5,-4410.0,-78.75,-59.28,-241.68,-241.68
4862.1149,467.138,20.191,908.107,-1732.5,-5801.25,717.5,-63.84,-253.84,-240.16
4862.1649,473.604,21.289,912.194,-1391.25,-4768.75,1277.5,-50.16,-231.04,-229.52
4862.2149,464.698,30.866,907.863,-962.5,-4602.5,665.0,-60.8,-244.72,-238.64
4862.2649,463.051,28.426,906.521,-2003.75,-5608.75,516.25,-63.84,-223.44,-244.72
4862.3149,472.506,22.57,905.911,-1505.0,-5950.0,-332.5,-60.8,-252.32,-229.52
4862.3649,467.504,29.219,906.887,-1540.0,-4716.25,-411.25,-53.2,-244.72,-237.12
4862.4149,465.796,26.84,909.937,-1732.5,-5031.25,568.75,-45.6,-252.32,-232.56
4862.4649,473.055,20.313,906.643,-1680.0,-5608.75,1242.5,-54.72,-253.84,-243.2
4862.5149,476.898,14.152,909.083,-1443.75,-4830.0,1575.0,-74.48,-252.32,-235.6
4862.5649,466.772,28.06,908.595,26.25,-3815.0,-122.5,-60.8,-231.04,-240.16
4862.6149,459.696,26.901,902.251,-2380.0,-4830.0,-8.75,-59.28,-241.68,-231.04
4862.6649,467.687,18.971,903.776,-1986.25,-5853.75,752.5,-62.32,-240.16,-234.08
4862.715,474.397,16.897,910.791,-1496.25,-4445.0,980.0,-59.28,-246.24,-231.04
4862.7649,461.831,27.084,909.571,-1190.0,-4690.0,735.0,-54.72,-231.04,-232.56
4862.815,462.502,22.326,905.545,-1452.5,-5906.25,131.25,-47.12,-232.56,-246.24
4862.8649,476.715,26.596,908.473,-1058.75,-5451.25,-743.75,-56.24,-249.28,-241.68
4862.9149,474.214,29.341,904.63,-1557.5,-4392.5,-323.75,-63.84,-223.44,-224.96
4862.9649,470.554,26.413,905.972,-1741.25,-4935.0,218.75,-48.64,-231.04,-243.2
4863.0149,470.981,21.228,906.582,-1505.0,-4987.5,927.5,-44.08,-234.08,-223.44
4863.0649,474.641,26.535,907.985,-1907.5,-4690.0,761.25,-59.28,-249.28,-228.0
4863.1149,467.931,30.195,908.29,78.75,-2887.5,-621.25,-60.8,-246.24,-218.88
4863.1649,460.123,19.032,904.752,-2913.75,-4296.25,122.5,-53.2,-240.16,-244.72
4863.2149,463.539,18.788,903.105,-2423.75,-5442.5,1023.75,-47.12,-235.6,-232.56
4863.2649,468.114,17.019,911.584,-1338.75,-3815.0,1312.5,-59.28,-240.16,-252.32
4863.3149,461.221,23.912,913.963,-420.0,-4235.0,358.75,-41.04,-246.24,-238.64
4863.3649,459.452,24.522,908.778,-1688.75,-6335.0,210.0,-65.36,-252.32,-234.08
4863.4149,469.09,23.485,905.728,-1338.75,-6072.5,-490.0,-56.24,-238.64,-255.36
4863.4649,470.432,24.705,905.423,-1321.25,-5162.5,-280.0,-51.68,-241.68,-237.12
4863.5149,465.247,24.705,909.205,-1303.75,-5118.75,743.75,-56.24,-249.28,-232.56
4863.5649,468.236,23.18,903.715,-1347.5,-5328.75,1085.0,-63.84,-234.08,-232.56
4863.6149,473.726,28.243,902.434,-463.75,-5906.25,883.75,-48.64,-228.0,-234.08
4863.6649,479.46,25.315,911.584,-61.25,-4033.75,-665.0,-66.88,-244.72,-249.28
4863.7149,463.295,35.99,902.8,-1461.25,-3753.75,-883.75,-31.92,-231.04,-238.64
4863.7649,464.027,25.498,905.057,-2511.25,-6055.0,105.0,-47.12,-262.96,-246.24
4863.8149,474.58,20.069,908.229,-1408.75,-5136.25,568.75,-59.28,-243.2,-235.6
4863.8649,468.724,21.96,909.083,0.0,-4147.5,656.25,-57.76,-231.04,-238.64
4863.9149,461.587,32.513,906.399,-770.0,-5573.75,376.25,-48.64,-241.68,-232.56
4863.9649,469.334,28.792,902.129,-1417.5,-6352.5,-490.0,-60.8,-238.64,-240.16
4864.0149,474.946,30.439,905.789,-1435.0,-4742.5,-1207.5,-47.12,-229.52,-234.08
4864.0649,468.785,27.816,904.447,-1741.25,-4733.75,-402.5,-57.76,-249.28,-234.08
4864.1149,468.724,28.914,904.813,-1653.75,-5031.25,560.0,-39.52,-247.76,-235.6
4864.1649,469.395,35.929,902.922,-866.25,-5993.75,1233.75,-60.8,-247.76,-226.48
4864.2149,483.486,22.082,912.316,-1286.25,-4812.5,647.5,-45.6,-240.16,-241.68
4864.2649,461.709,38.735,901.031,-1452.5,-2931.25,-323.75,-65.36,-247.76,-244.72
4864.3149,466.711,28.792,902.617,-1995.0,-6133.75,-52.5,-50.16,-247.76,-231.04
4864.3649,479.887,28.67,909.327,-1601.25,-4943.75,700.0,-56.24,-234.08,-234.08
4864.4149,465.552,27.084,911.34,-840.0,-3823.75,875.0,-47.12,-241.68,-229.52
4864.4649,459.513,30.073,909.937,-1198.75,-4742.5,638.75,-62.32,-246.24,-244.72
4864.5149,462.38,31.964,904.813,-1312.5,-5845.0,-113.75,-48.64,-244.72,-229.52
4864.5649,469.029,33.123,909.327,-1610.0,-4690.0,-673.75,-56.24,-247.76,-253.84
4864.6149,465.979,32.33,907.253,-1811.25,-4882.5,122.5,-51.68,-243.2,-238.64
4864.6649,467.321,30.744,904.447,-1951.25,-5810.0,1067.5,-68.4,-246.24,-238.64
4864.7149,475.068,38.979,906.826,-1356.25,-5976.25,1583.75,-53.2,-243.2,-247.76
4864.7649,481.107,21.228,913.536,-953.75,-3955.0,446.25,-69.92,-238.64,-234.08
4864.8149,453.779,40.199,901.519,-1872.5,-3263.75,122.5,-48.64,-240.16,-244.72
4864.8651,458.11,31.72,900.726,-2826.25,-6265.0,1408.75,-57.76,-240.16,-228.0
4864.9149,475.922,25.498,912.072,-1636.25,-4576.25,1391.25,-57.76,-240.16,-231.04
4864.965,462.258,28.487,910.059,-1015.0,-3946.25,1050.0,-44.08,-229.52,-238.64
4865.0149,458.964,32.818,907.741,-1540.0,-5460.0,472.5,-39.52,-246.24,-238.64
4865.0649,468.968,30.378,904.508,-1496.25,-5862.5,-166.25,-56.24,-249.28,-240.16
4865.1149,472.14,29.585,909.327,-1671.25,-5372.5,420.0,-65.36,-231.04,-232.56
4865.1649,464.393,27.877,906.826,-1295.0,-4830.0,586.25,-62.32,-246.24,-229.52
4865.2149,462.868,31.11,904.325,-2345.0,-5670.0,936.25,-48.64,-247.76,-229.52
4865.2649,467.992,27.145,906.643,-1855.0,-5731.25,533.75,-45.6,-231.04,-247.76
4865.3149,476.593,17.08,909.388,-892.5,-3788.75,376.25,-59.28,-244.72,-232.56
4865.3649,459.33,36.356,907.009,-1557.5,-3885.0,411.25,-47.12,-249.28,-235.6
4865.4149,456.341,29.89,904.752,-2441.25,-5355.0,883.75,-66.88,-241.68,-241.68
4865.4649,473.177,22.875,912.072,-1496.25,-5355.0,988.75,-63.84,-231.04,-237.12
4865.5149,467.382,26.169,913.902,-1268.75,-4173.75,761.25,-54.72,-246.24,-249.28
4865.5649,454.206,34.282,907.558,-2117.5,-5328.75,490.0,-39.52,-237.12,-237.12
4865.6149,467.321,26.047,905.728,-2012.5,-6448.75,70.0,-53.2,-244.72,-246.24
4865.6649,474.702,25.925,906.338,-1671.25,-5556.25,52.5,-41.04,-228.0,-240.16
4865.7149,467.138,31.72,906.582,-1723.75,-4978.75,402.5,-59.28,-247.76,-234.08
4865.7649,470.249,29.829,905.301,-2012.5,-5005.0,857.5,-59.28,-226.48,-237.12
4865.8149,473.604,23.058,907.07,-1881.25,-5337.5,1470.0,-57.76,-247.76,-220.4
4865.8649,480.924,18.788,909.205,-1155.0,-3683.75,1365.0,-57.76,-238.64,-223.44
4865.9149,463.844,30.134,909.388,-901.25,-3036.25,306.25,-59.28,-241.68,-238.64
4865.9649,456.585,28.06,904.386,-2861.25,-4515.0,586.25,-42.56,-240.16,-246.24
4866.0149,467.077,17.019,907.924,-2668.75,-4961.25,1093.75,-62.32,-232.56,-228.0
4866.0649,468.297,17.812,912.926,-1487.5,-3587.5,1496.25,-57.76,-229.52,-243.2
4866.1149,456.341,25.376,913.719,-1426.25,-4795.0,1093.75,-54.72,-240.16,-241.68
