TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
621420.6457,523.319,10.492,878.888,-1767.5,-3508.75,691.25,-62.32,-237.12,-235.6
621420.6957,524.783,13.847,875.838,-1303.75,-4138.75,140.0,-71.44,-228.0,-249.28
621420.7457,523.014,13.603,876.753,-1968.75,-4952.5,595.0,-47.12,-231.04,-229.52
621420.7957,535.885,10.248,882.609,-953.75,-2196.25,-367.5,-71.44,-244.72,-237.12
621420.8457,514.23,22.082,877.363,-2030.0,-2493.75,-70.0,-57.76,-244.72,-231.04
621420.8957,518.439,9.028,880.169,-2380.0,-4296.25,796.25,-72.96,-237.12,-229.52
621420.9457,525.515,12.017,884.195,-1732.5,-3858.75,577.5,-63.84,-246.24,-221.92
621420.9957,519.72,13.115,886.635,-1986.25,-2668.75,813.75,-45.6,-226.48,-229.52
621421.0457,510.326,9.76,882.06,-1995.0,-3902.5,988.75,-74.48,-234.08,-231.04
621421.0957,509.533,8.418,883.219,-1601.25,-4690.0,936.25,-59.28,-224.96,-237.12
621421.1457,517.463,10.187,887.184,-1907.5,-4996.25,393.75,-50.16,-231.04,-223.44
621421.1957,508.74,7.137,885.049,-2170.0,-5355.0,332.5,-50.16,-224.96,-238.64
621421.2457,516.304,7.259,883.219,-1776.25,-6868.75,980.0,-77.52,-234.08,-238.64
621421.2957,519.537,3.477,881.328,-1767.5,-6728.75,1128.75,-71.44,-226.48,-243.2
621421.3457,523.868,8.113,879.803,-1487.5,-5897.5,656.25,-77.52,-221.92,-232.56
621421.3957,529.907,1.952,879.498,-665.0,-5171.25,-813.75,-59.28,-229.52,-224.96
621421.4457,522.77,18.056,880.23,-1575.0,-4042.5,-1260.0,-72.96,-244.72,-240.16
621421.4957,512.339,11.651,877.546,-2406.25,-4716.25,280.0,-60.8,-221.92,-221.92
621421.5457,523.807,6.466,882.853,-1365.0,-5162.5,358.75,-76.0,-234.08,-238.64
621421.5957,524.661,13.115,882.426,-1242.5,-4357.5,52.5,-48.64,-226.48,-255.36
621421.6457,518.988,16.531,878.156,-1828.75,-4287.5,-700.0,-66.88,-238.64,-250.8
621421.6957,522.282,12.871,879.864,-2546.25,-4217.5,-761.25,-66.88,-231.04,-237.12
621421.7457,519.842,11.773,883.097,-2336.25,-3823.75,-131.25,-76.0,-237.12,-261.44
621421.7957,518.134,9.76,884.622,-2117.5,-4602.5,323.75,-62.32,-228.0,-229.52
621421.8457,515.389,8.296,882.243,-2091.25,-4497.5,1190.0,-54.72,-243.2,-240.16
621421.8957,514.535,7.808,883.341,-1872.5,-4707.5,1155.0,-65.36,-232.56,-235.6
621421.9457,519.232,7.442,883.463,-1041.25,-4497.5,910.0,-44.08,-243.2,-234.08
621421.9957,520.269,8.479,886.025,-1610.0,-4445.0,603.75,-65.36,-238.64,-235.6
621422.0457,519.232,14.152,885.293,-1338.75,-3885.0,17.5,-65.36,-232.56,-232.56
621422.0957,514.352,5.673,880.962,-3176.25,-4733.75,1041.25,-54.72,-237.12,-232.56
621422.1457,515.816,-0.854,880.657,-2240.0,-4541.25,1032.5,-76.0,-224.96,-241.68
621422.1959,517.951,7.625,885.964,-1435.0,-4366.25,945.0,-68.4,-255.36,-252.32
621422.2457,517.28,4.087,886.94,-1680.0,-4217.5,805.0,-51.68,-243.2,-234.08
621422.2958,509.533,4.331,884.744,-1828.75,-5118.75,866.25,-71.44,-223.44,-246.24
621422.3457,513.437,2.806,883.463,-1461.25,-4961.25,341.25,-63.84,-229.52,-231.04
621422.3957,511.912,7.076,884.805,-1382.5,-4926.25,-122.5,-62.32,-238.64,-243.2
621422.4457,513.193,6.222,887.977,-1741.25,-4830.0,647.5,-60.8,-228.0,-241.68
621422.4957,513.254,4.575,883.646,-1566.25,-4996.25,1102.5,-47.12,-228.0,-235.6
621422.5457,511.668,3.233,883.341,-1286.25,-5425.0,866.25,-54.72,-231.04,-237.12
621422.5957,513.559,5.673,884.256,-1443.75,-5363.75,376.25,-54.72,-220.4,-240.16
621422.6457,517.646,8.174,883.768,-1837.5,-5285.0,428.75,-65.36,-247.76,-234.08
621422.6957,526.979,-2.806,887.123,-980.0,-4130.0,96.25,-65.36,-231.04,-238.64
621422.7457,512.339,15.433,880.596,-1610.0,-3613.75,446.25,-48.64,-241.68,-241.68
621422.7957,506.605,5.734,884.012,-2406.25,-4226.25,988.75,-44.08,-235.6,-235.6
621422.8457,515.633,4.514,887.184,-1741.25,-4060.0,1067.5,-56.24,-226.48,-228.0
621422.8957,508.496,3.843,890.356,-1732.5,-3596.25,1610.0,-56.24,-235.6,-237.12
621422.9457,508.191,6.161,887.916,-1137.5,-3920.0,1723.75,-62.32,-234.08,-240.16
621422.9957,505.202,5.612,887.001,-1417.5,-5153.75,1356.25,-54.72,-235.6,-240.16
621423.0457,517.28,-1.342,885.232,-1715.0,-4751.25,157.5,-60.8,-241.68,-253.84
621423.0957,509.96,-1.281,891.82,-262.5,-2371.25,-2222.5,-60.8,-232.56,-241.68
621423.1457,502.335,6.344,888.77,-1688.75,-3946.25,-568.75,-65.36,-215.84,-228.0
621423.1957,501.115,3.416,886.513,-1750.0,-4655.0,656.25,-54.72,-235.6,-246.24
621423.2457,507.764,1.403,885.659,-770.0,-5433.75,612.5,-54.72,-247.76,-238.64
621423.2957,507.093,10.431,889.624,-831.25,-5040.0,630.0,-34.96,-229.52,-241.68
621423.3457,509.289,8.906,888.526,-2275.0,-5696.25,236.25,-65.36,-234.08,-240.16
621423.3957,509.838,15.372,892.735,-542.5,-3815.0,-980.0,-56.24,-238.64,-246.24
621423.4457,504.409,17.019,884.5,-2520.0,-4366.25,595.0,-62.32,-249.28,-243.2
621423.4957,504.287,1.281,887.123,-1697.5,-5600.0,1820.0,-59.28,-228.0,-240.16
621423.5457,511.119,6.588,893.711,-945.0,-4576.25,1907.5,-69.92,-237.12,-221.92
621423.5957,506.971,4.575,892.186,-1426.25,-4558.75,1041.25,-63.84,-224.96,-237.12
621423.6457,501.847,6.527,888.16,-1933.75,-5591.25,577.5,-54.72,-228.0,-241.68
621423.6957,507.642,5.124,884.378,-1505.0,-5678.75,603.75,-62.32,-241.68,-244.72
621423.7457,511.424,5.429,886.33,-1330.0,-5153.75,428.75,-56.24,-238.64,-234.08
621423.7957,508.557,4.819,887.855,-1548.75,-4961.25,918.75,-59.28,-229.52,-232.56
621423.8457,510.265,3.965,891.088,-1583.75,-4716.25,428.75,-63.84,-234.08,-235.6
621423.8957,505.446,3.233,888.465,-1347.5,-4707.5,61.25,-62.32,-217.36,-238.64
621423.9457,510.326,8.357,885.354,-953.75,-5416.25,-26.25,-57.76,-249.28,-241.68
621423.9957,511.485,8.906,889.014,-1758.75,-5206.25,78.75,-63.84,-234.08,-238.64
621424.0457,512.217,5.612,888.648,-2651.25,-4935.0,962.5,-57.76,-246.24,-228.0
621424.0957,512.217,-0.61,893.345,-533.75,-3167.5,-105.0,-47.12,-241.68,-226.48
621424.1457,498.187,13.969,891.515,-2581.25,-3220.0,822.5,-65.36,-240.16,-240.16
621424.1957,498.065,2.867,888.465,-1881.25,-5477.5,1242.5,-31.92,-237.12,-238.64
621424.2459,508.13,3.904,893.284,-1662.5,-5127.5,1233.75,-59.28,-241.68,-234.08
621424.2957,503.921,-0.244,891.515,-1758.75,-4707.5,1050.0,-57.76,-235.6,-246.24
621424.3458,501.847,6.405,888.648,-1627.5,-5468.75,962.5,-59.28,-246.24,-246.24
621424.3957,507.825,4.148,884.866,-1601.25,-5915.0,682.5,-34.96,-244.72,-234.08
621424.4457,511.363,2.623,888.282,-1338.75,-5092.5,700.0,-60.8,-228.0,-237.12
621424.4957,511.302,2.989,886.635,-1443.75,-4908.75,875.0,-48.64,-238.64,-243.2
621424.5457,509.289,3.477,889.624,-1785.0,-4628.75,901.25,-54.72,-228.0,-241.68
621424.5957,507.947,0.427,885.659,-2047.5,-4523.75,1050.0,-68.4,-240.16,-238.64
621424.6457,512.339,-1.403,889.319,-892.5,-4147.5,551.25,-51.68,-229.52,-246.24
621424.6958,506.239,5.612,888.648,-1496.25,-4121.25,367.5,-56.24,-234.08,-235.6
621424.7457,505.507,9.882,885.72,-2082.5,-4620.0,280.0,-56.24,-221.92,-241.68
621424.7957,516.182,-5.368,894.809,-988.75,-2756.25,-131.25,-59.28,-224.96,-228.0
621424.8457,489.586,6.832,886.574,-1898.75,-2922.5,735.0,-42.56,-231.04,-226.48
621424.8957,496.296,-2.196,887.672,-1872.5,-4436.25,1811.25,-59.28,-238.64,-247.76
621424.9457,498.614,2.501,893.833,-1330.0,-4383.75,1286.25,-65.36,-237.12,-238.64
621424.9957,500.932,0.488,894.504,-1890.0,-4313.75,577.5,-62.32,-229.52,-247.76
621425.0457,494.161,4.27,891.942,-1470.0,-5005.0,-35.0,-41.04,-226.48,-243.2
621425.0957,496.723,0.122,891.576,-1627.5,-5425.0,61.25,-42.56,-226.48,-249.28
621425.1457,499.407,-0.732,890.722,-1190.0,-5503.75,691.25,-50.16,-232.56,-238.64
621425.1957,500.505,2.684,892.247,-1732.5,-5530.0,1242.5,-51.68,-244.72,-237.12
621425.2457,502.579,0.488,891.393,-1732.5,-5320.0,455.0,-69.92,-231.04,-250.8
621425.2957,500.932,0.122,890.234,-1575.0,-5740.0,367.5,-59.28,-237.12,-247.76
621425.3457,503.677,2.196,890.478,-1260.0,-5118.75,-96.25,-66.88,-215.84,-235.6
621425.3957,506.483,1.952,890.356,-1181.25,-5740.0,463.75,-59.28,-241.68,-238.64
621425.4457,512.4,0.244,890.966,-2336.25,-5783.75,1085.0,-39.52,-226.48,-235.6
621425.4957,509.838,6.161,890.783,-420.0,-4270.0,-17.5,-56.24,-218.88,-240.16
621425.5457,499.102,9.638,886.696,-2362.5,-4515.0,306.25,-60.8,-231.04,-238.64
621425.5957,503.067,-3.721,892.552,-1767.5,-5687.5,586.25,-47.12,-234.08,-235.6
621425.6457,511.79,-1.403,893.528,-918.75,-5731.25,743.75,-63.84,-224.96,-223.44
621425.6957,502.945,2.684,892.491,-1286.25,-5127.5,166.25,-62.32,-234.08,-232.56
621425.7457,499.163,3.965,888.343,-1741.25,-5591.25,-70.0,-71.44,-228.0,-229.52
621425.7957,503.372,0.061,891.027,-1461.25,-5652.5,-533.75,-60.8,-229.52,-232.56
621425.8457,503.799,1.525,892.43,-1172.5,-5783.75,-78.75,-63.84,-226.48,-238.64
621425.8957,502.274,3.477,891.271,-1452.5,-6151.25,472.5,-50.16,-229.52,-240.16
621425.9457,509.533,1.464,888.953,-1968.75,-7402.5,551.25,-48.64,-232.56,-234.08
621425.9957,511.424,0.915,886.086,-1636.25,-6702.5,-175.0,-54.72,-229.52,-241.68
621426.0457,509.899,3.782,885.476,-1435.0,-6195.0,-341.25,-54.72,-232.56,-250.8
621426.0957,512.766,3.599,885.598,-1522.5,-6597.5,-70.0,-59.28,-238.64,-237.12
621426.1457,518.134,-0.061,885.354,-2520.0,-6965.0,288.75,-57.76,-224.96,-234.08
621426.1957,515.877,6.588,888.648,-507.5,-6405.0,-1058.75,-65.36,-232.56,-247.76
621426.2457,512.4,3.05,882.304,-2607.5,-6361.25,-262.5,-56.24,-226.48,-237.12
621426.2957,512.766,-2.867,880.535,-1671.25,-6737.5,323.75,-65.36,-215.84,-232.56
621426.3457,527.528,1.891,886.513,-673.75,-5591.25,621.25,-60.8,-232.56,-238.64
621426.3958,516.975,7.137,883.402,-717.5,-4856.25,516.25,-57.76,-244.72,-237.12
