TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
621614.211,806.05,17578.89,9199.76,4334.26,-66.38,5055.86,-9102.01,9695.48
621614.215,799.8,17574.98,9187.13,4369.21,18.88,5072.31,-9046.32,9710.12
621614.219,807.0,17582.56,9209.82,4348.14,-138.71,5048.7,-9064.34,9694.39
621614.223,821.07,17598.2,9265.14,4265.26,-383.38,5018.19,-9140.25,9669.69
621614.227,810.81,17586.81,9242.35,4264.16,-278.23,5001.35,-9185.6,9646.13
621614.231,813.15,17591.05,9222.17,4325.1,-75.53,5046.18,-9117.89,9684.61
621614.235,810.0,17591.38,9210.21,4366.59,24.7,5069.64,-9053.42,9708.5
621614.239,814.49,17595.87,9230.33,4348.09,-128.03,5057.48,-9066.11,9702.87
621614.243,831.17,17611.79,9284.69,4267.12,-382.14,5033.59,-9138.06,9684.47
621614.247,820.83,17597.15,9253.93,4266.74,-272.46,5022.72,-9178.88,9668.59
621614.251,816.82,17595.48,9226.9,4327.82,-63.9,5065.35,-9112.41,9707.02
621614.255,811.29,17593.1,9210.78,4371.55,35.67,5088.23,-9049.27,9728.53
621614.259,818.82,17599.49,9234.95,4357.58,-117.64,5072.07,-9058.67,9717.61
621614.263,819.25,17600.92,9273.91,4270.89,-376.32,5039.22,-9136.58,9691.38
621614.267,793.5,17572.26,9229.61,4261.45,-274.61,5020.09,-9182.5,9666.78
621614.271,788.74,17568.16,9206.01,4317.95,-79.82,5051.99,-9122.56,9691.05
621614.2749,783.35,17564.49,9190.99,4356.58,9.78,5070.11,-9061.77,9707.12
621614.2789,793.22,17572.98,9212.11,4345.56,-133.99,5054.81,-9067.97,9700.2
621614.2829,803.85,17585.61,9259.75,4265.45,-389.62,5027.58,-9137.44,9680.56
621614.2869,792.98,17571.26,9235.57,4256.25,-296.26,5006.84,-9185.27,9654.43
621614.2909,784.68,17566.73,9205.15,4316.52,-86.02,5043.79,-9122.56,9683.51
621614.2949,782.49,17567.35,9189.03,4363.92,16.88,5065.39,-9054.9,9703.4
621614.2989,809.34,17593.43,9230.76,4363.2,-123.41,5058.86,-9055.33,9703.45
621614.3029,832.27,17615.03,9290.03,4291.06,-365.59,5040.17,-9119.56,9689.95
621614.3069,816.25,17597.2,9250.74,4282.9,-266.74,5018.0,-9167.53,9663.25
621614.3109,811.86,17595.1,9222.41,4341.27,-63.8,5058.0,-9106.26,9697.49
621614.3149,806.81,17590.19,9206.49,4376.56,26.42,5074.84,-9048.32,9712.27
621614.3189,823.59,17608.36,9236.0,4367.54,-110.34,5058.62,-9056.47,9701.3
621614.3229,846.15,17631.39,9294.46,4296.02,-349.81,5036.45,-9121.75,9687.09
621614.3269,826.12,17608.17,9251.74,4287.58,-265.41,5016.76,-9165.72,9663.11
621614.3309,817.73,17601.73,9217.69,4344.89,-56.7,5059.91,-9100.06,9701.21
621614.3349,807.48,17594.01,9202.91,4382.99,44.3,5078.84,-9039.26,9717.08
621614.3388,809.96,17594.96,9218.6,4362.25,-113.34,5051.95,-9057.24,9695.15
621614.3428,823.4,17607.31,9270.96,4278.47,-370.31,5035.5,-9124.28,9685.42
621614.3468,805.66,17585.71,9236.05,4271.6,-272.7,5020.86,-9170.87,9666.3
621614.3508,796.46,17577.84,9203.96,4329.35,-67.09,5054.57,-9109.83,9694.24
621614.3548,782.11,17565.44,9187.6,4362.35,18.6,5074.22,-9049.37,9712.65
621614.3588,789.55,17570.78,9210.49,4347.04,-126.7,5060.91,-9058.81,9706.5
621614.3628,810.62,17590.81,9268.0,4271.65,-378.23,5043.7,-9124.42,9696.53
621614.3668,803.66,17578.6,9244.87,4268.93,-283.34,5027.77,-9169.77,9673.64
621614.3708,785.11,17565.2,9201.38,4319.05,-88.55,5060.96,-9112.79,9702.73
621614.3748,773.62,17556.72,9175.11,4355.91,10.16,5082.56,-9051.47,9723.28
621614.3788,783.87,17564.2,9198.57,4345.56,-126.79,5055.43,-9065.1,9700.97
621614.3828,798.32,17577.17,9253.22,4262.02,-393.87,5022.72,-9137.11,9673.64
621614.3868,783.35,17559.44,9223.03,4253.29,-304.56,4999.92,-9187.08,9645.7
621614.3908,782.87,17561.72,9197.9,4319.62,-83.54,5044.17,-9117.27,9684.85
621614.3948,786.45,17568.02,9190.42,4365.3,19.12,5070.16,-9049.32,9707.55
621614.3988,806.28,17588.05,9221.46,4359.34,-118.68,5059.43,-9055.95,9701.92
