TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
621614.2457,407.968,-1.22,936.96,-1513.75,-3150.0,1321.25,-22.8,-229.52,-256.88
621614.2957,400.099,-3.904,932.629,-1470.0,-5818.75,1890.0,-22.8,-241.68,-243.2
621614.3457,418.338,-7.137,938.058,-1251.25,-5915.0,1487.5,-28.88,-235.6,-256.88
621614.3957,415.044,-5.49,939.156,-1015.0,-5092.5,210.0,-27.36,-223.44,-246.24
621614.4457,412.848,-0.793,931.958,-1627.5,-5617.5,-262.5,-15.2,-229.52,-262.96
621614.4957,415.105,-5.124,930.494,-1015.0,-6273.75,140.0,-16.72,-234.08,-259.92
621614.5457,423.828,-0.488,932.385,-691.25,-5127.5,280.0,-25.84,-217.36,-244.72
621614.5957,416.142,0.488,933.727,-1408.75,-5005.0,568.75,-25.84,-226.48,-255.36
621614.6457,418.338,1.891,932.568,-1855.0,-5670.0,288.75,-21.28,-241.68,-262.96
621614.6957,423.157,-5.063,932.568,-1575.0,-4961.25,437.5,-24.32,-243.2,-262.96
621614.7457,419.375,-4.087,931.836,-988.75,-4742.5,945.0,-18.24,-235.6,-252.32
621614.7957,417.057,5.307,930.738,-875.0,-5057.5,498.75,-38.0,-234.08,-235.6
621614.8457,421.998,0.854,936.533,-463.75,-3255.0,-980.0,-15.2,-238.64,-253.84
621614.8957,403.454,4.941,932.873,-2537.5,-3053.75,-428.75,-10.64,-224.96,-252.32
621614.9457,411.811,-5.185,935.374,-1531.25,-5915.0,568.75,-12.16,-234.08,-255.36
621614.9957,416.081,6.283,939.339,-1032.5,-4392.5,936.25,-22.8,-220.4,-252.32
621615.0457,411.323,0.488,935.191,-1085.0,-5206.25,752.5,-18.24,-234.08,-243.2
621615.0957,414.068,5.734,929.579,-1662.5,-5827.5,87.5,-27.36,-237.12,-255.36
621615.1457,411.445,-0.122,929.945,-1373.75,-5022.5,-586.25,-16.72,-226.48,-246.24
621615.1957,414.861,2.989,934.52,-1653.75,-5066.25,236.25,-24.32,-215.84,-255.36
621615.2457,414.739,1.159,935.069,-1706.25,-5678.75,1277.5,-18.24,-228.0,-259.92
621615.2957,418.826,-1.708,932.934,-1330.0,-6177.5,1548.75,-27.36,-237.12,-253.84
621615.3457,416.874,1.281,929.03,-1688.75,-5328.75,813.75,-18.24,-221.92,-259.92
621615.3957,418.277,2.074,929.884,-1680.0,-5241.25,61.25,-21.28,-224.96,-266.0
621615.4457,424.133,-7.381,936.838,-2170.0,-4375.0,175.0,-19.76,-229.52,-253.84
621615.4957,409.005,6.954,936.228,-2117.5,-3893.75,315.0,-24.32,-235.6,-243.2
621615.5459,403.759,-2.684,929.03,-2187.5,-5110.0,988.75,-22.8,-226.48,-256.88
621615.5957,422.608,-6.039,933.361,-1023.75,-6072.5,1540.0,-28.88,-231.04,-252.32
621615.6458,422.547,-1.891,935.313,-1487.5,-5215.0,953.75,-27.36,-232.56,-266.0
621615.6957,418.704,-0.183,929.884,-1242.5,-5460.0,376.25,-28.88,-232.56,-255.36
621615.7457,422.974,-3.782,927.81,-1723.75,-5565.0,-192.5,-15.2,-234.08,-241.68
621615.7957,423.767,-0.976,931.043,-1286.25,-4908.75,-647.5,-33.44,-243.2,-241.68
621615.8457,421.876,-1.891,931.47,-1251.25,-4086.25,96.25,-13.68,-215.84,-266.0
621615.8957,417.545,1.769,933.178,-1435.0,-4593.75,350.0,-21.28,-234.08,-241.68
621615.9457,419.375,1.891,932.385,-1750.0,-4865.0,691.25,-22.8,-209.76,-238.64
621615.9957,421.388,-4.026,932.202,-1513.75,-4270.0,332.5,-13.68,-232.56,-250.8
621616.0457,416.264,3.355,930.25,-2038.75,-4270.0,428.75,-16.72,-228.0,-253.84
621616.0957,412.848,3.355,932.873,-385.0,-2966.25,-533.75,-15.2,-224.96,-252.32
621616.1457,406.26,1.403,933.3,-2502.5,-4322.5,393.75,-13.68,-229.52,-255.36
