TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4860.8845,849.15,19341.42,8455.71,3090.72,-242.04,4977.56,-8232.21,10571.05
4860.8885,872.66,19369.65,8520.37,3037.07,-465.11,4981.52,-8249.71,10582.16
4860.8925,870.85,19370.89,8534.91,2989.1,-531.96,4981.57,-8278.66,10583.31
4860.8965,855.35,19350.58,8487.42,3017.43,-338.75,4988.38,-8273.55,10581.3
4860.9005,847.01,19337.8,8443.88,3084.14,-156.31,4990.01,-8239.89,10577.87
4860.9045,859.88,19352.49,8465.2,3096.72,-237.46,4994.3,-8220.24,10587.79
4860.9085,877.29,19376.33,8521.99,3043.46,-456.48,5001.12,-8236.03,10601.76
4860.9125,881.48,19381.91,8541.3,3001.5,-512.41,5005.31,-8260.78,10605.86
4860.9165,864.51,19359.4,8497.1,3024.67,-333.36,5004.6,-8256.96,10598.61
4860.9205,837.95,19329.98,8436.59,3075.79,-169.71,4997.3,-8232.93,10588.12
4860.9245,848.34,19340.8,8454.37,3084.61,-242.38,4993.63,-8221.1,10589.27
4860.9285,867.7,19365.03,8518.65,3030.92,-462.53,4993.39,-8243.18,10597.75
4860.9325,866.7,19366.41,8538.44,2980.85,-538.06,4992.63,-8277.46,10595.85
4860.9365,846.34,19341.66,8486.8,3003.03,-355.05,4998.64,-8276.18,10593.7
4860.9405,814.87,19307.23,8417.46,3052.24,-184.25,4977.51,-8263.21,10567.09
4860.9445,814.01,19305.99,8428.38,3054.05,-272.08,4953.38,-8260.73,10547.07
4860.9485,826.55,19323.64,8483.32,2994.35,-506.45,4950.57,-8283.81,10553.46
4860.9525,824.12,19323.88,8500.96,2946.14,-575.4,4950.38,-8316.95,10552.6
4860.9565,812.48,19309.48,8458.14,2977.28,-383.42,4953.58,-8312.51,10546.07
4860.9605,808.62,19303.51,8416.84,3043.99,-201.65,4955.77,-8279.28,10542.2
4860.9645,827.69,19324.69,8438.97,3067.64,-259.45,4967.93,-8252.43,10561.85
4860.9685,854.16,19356.11,8504.77,3021.24,-475.93,4965.45,-8269.79,10567.38
4860.9725,872.33,19374.8,8539.92,2984.48,-533.2,4971.93,-8292.29,10571.77
4860.9765,860.98,19361.93,8499.1,3015.42,-343.04,4985.14,-8279.75,10578.11
4860.9805,842.95,19341.14,8439.68,3076.55,-161.08,4993.73,-8242.75,10582.11
4860.9845,851.58,19348.43,8455.18,3088.05,-232.51,4983.57,-8229.35,10576.2
4860.9885,871.75,19371.65,8519.84,3033.59,-461.29,4980.23,-8252.34,10580.64
4860.9925,879.34,19382.86,8549.02,2993.49,-522.09,4990.1,-8277.42,10590.98
4860.9965,866.27,19369.03,8503.15,3025.87,-328.83,4996.97,-8269.6,10590.13
4861.0005,849.44,19349.77,8443.17,3084.14,-154.21,4997.16,-8237.89,10587.03
4861.0045,856.35,19354.15,8458.19,3093.77,-230.84,4995.54,-8220.29,10593.13
4861.0085,874.23,19376.09,8524.9,3041.79,-451.66,4998.4,-8239.94,10602.67
4861.0124,869.66,19375.28,8543.44,2987.67,-527.19,4992.87,-8276.85,10595.94
4861.0164,845.0,19348.1,8492.76,3000.64,-362.87,4987.15,-8284.43,10580.49
4861.0204,827.26,19326.31,8431.48,3059.44,-179.48,4986.33,-8255.67,10574.39
4861.0244,832.51,19330.79,8437.35,3073.74,-241.95,4984.9,-8238.84,10579.68
4861.0284,849.2,19347.91,8495.57,3018.05,-471.78,4979.8,-8261.06,10584.26
4861.0324,840.47,19341.76,8507.63,2966.21,-553.94,4973.6,-8297.3,10577.11
4861.0364,815.53,19312.91,8453.37,2985.86,-375.51,4960.16,-8302.55,10552.84
4861.0404,789.45,19285.3,8386.99,3043.46,-198.84,4955.72,-8276.51,10544.4
4861.0444,786.83,19285.25,8389.14,3049.56,-279.71,4950.19,-8265.93,10543.78
4861.0484,812.48,19313.58,8459.71,2995.54,-504.16,4941.18,-8289.05,10542.44
4861.0524,822.93,19326.74,8493.38,2955.15,-569.06,4947.66,-8313.51,10548.69
4861.0564,821.07,19320.44,8463.34,2986.91,-386.29,4959.25,-8300.59,10551.98
4861.0604,819.59,19316.58,8424.71,3057.53,-191.64,4971.79,-8257.68,10560.85
4861.0644,838.61,19337.61,8449.79,3081.08,-239.42,4972.17,-8233.6,10565.09
4861.0684,864.79,19368.79,8512.16,3037.74,-456.24,4978.85,-8244.9,10580.11
4861.0724,872.66,19377.76,8537.67,2991.63,-533.49,4984.38,-8274.03,10586.41
4861.0764,860.93,19361.4,8496.48,3020.33,-347.9,4988.96,-8269.12,10584.26
4861.0804,852.49,19347.62,8449.46,3088.62,-150.97,4995.97,-8233.12,10586.41
4861.0844,863.84,19359.11,8464.67,3103.02,-217.34,4995.82,-8214.81,10589.31
4861.0884,886.58,19386.1,8527.04,3055.86,-436.74,4997.44,-8229.69,10601.33
4861.0924,883.15,19384.53,8543.54,3006.22,-514.75,4992.63,-8262.35,10596.47
4861.0964,860.12,19357.49,8495.14,3022.24,-343.47,4991.87,-8262.97,10586.26
4861.1004,845.86,19339.13,8446.93,3080.32,-163.36,4991.39,-8232.26,10581.45
4861.1044,854.59,19347.0,8460.43,3095.39,-224.07,4988.86,-8214.57,10583.35
4861.1084,872.66,19368.41,8518.41,3045.08,-445.89,4988.0,-8234.26,10592.08
4861.1124,866.79,19366.22,8534.53,2988.43,-539.92,4982.38,-8271.31,10585.74
4861.1164,840.9,19338.42,8482.7,3004.22,-372.27,4972.51,-8279.04,10565.81
4861.1204,821.73,19315.67,8427.19,3064.06,-182.49,4964.83,-8253.29,10552.22
4861.1244,821.92,19317.3,8431.48,3075.65,-248.81,4958.39,-8241.51,10548.59
4861.1284,838.33,19337.08,8487.27,3021.62,-480.18,4953.19,-8265.4,10551.07
4861.1324,837.56,19338.23,8504.82,2970.84,-562.0,4947.33,-8300.4,10547.07
4861.1364,817.68,19317.1,8451.56,2993.15,-386.81,4947.57,-8301.07,10538.82
4861.1403,804.0,19300.56,8400.25,3054.38,-203.37,4941.27,-8272.79,10526.52
4861.1443,809.05,19306.66,8409.6,3073.07,-258.49,4948.86,-8248.95,10540.44
4861.1483,832.99,19332.55,8473.25,3028.06,-474.88,4955.91,-8259.3,10557.89
4861.1523,844.67,19345.86,8508.87,2984.24,-552.27,4958.2,-8282.23,10560.51
4861.1563,838.09,19337.32,8475.21,3013.66,-373.46,4972.12,-8273.32,10566.76
4861.1603,824.83,19321.01,8417.89,3080.42,-175.67,4984.05,-8235.69,10573.77
4861.1643,837.23,19332.46,8432.01,3098.87,-225.31,4986.53,-8214.52,10581.21
4861.1683,860.17,19358.26,8497.62,3046.89,-451.37,4984.86,-8233.74,10586.93
4861.1723,866.6,19367.79,8522.99,3001.36,-531.15,4991.01,-8260.92,10594.66
4861.1763,852.63,19353.34,8486.56,3025.72,-354.67,4996.73,-8257.68,10592.99
4861.1803,841.67,19338.75,8438.54,3090.76,-162.17,4998.4,-8226.44,10590.75
4861.1843,846.77,19344.43,8453.56,3102.45,-224.45,4992.44,-8212.66,10590.51
4861.1883,865.13,19365.22,8512.21,3047.56,-447.56,4986.33,-8235.41,10590.03
4861.1923,867.51,19369.03,8536.53,2995.97,-532.15,4980.14,-8270.22,10583.02
4861.1963,840.66,19338.51,8479.79,3004.93,-377.04,4971.7,-8281.28,10566.71
4861.2003,819.02,19313.86,8422.52,3062.39,-190.35,4969.5,-8256.05,10559.42
4861.2043,817.39,19314.01,8425.9,3075.55,-247.53,4961.73,-8239.37,10557.18
4861.2083,826.55,19325.5,8474.21,3015.33,-484.04,4949.52,-8266.55,10551.98
4861.2123,824.36,19324.59,8492.57,2958.97,-581.69,4939.51,-8306.17,10541.34
4861.2163,806.0,19303.75,8449.22,2977.99,-409.94,4938.75,-8307.08,10532.05
4861.2203,790.83,19285.49,8397.06,3041.08,-212.0,4941.85,-8276.18,10529.9
4861.2243,791.69,19286.44,8399.06,3052.62,-272.7,4939.03,-8258.87,10531.76
4861.2283,808.86,19308.52,8456.47,3000.93,-496.48,4939.94,-8275.37,10542.73
4861.2323,815.34,19314.67,8480.07,2951.29,-580.22,4937.79,-8304.17,10541.77
4861.2363,804.0,19298.65,8437.68,2974.32,-411.46,4944.66,-8299.78,10538.77
4861.2403,793.36,19285.06,8389.0,3039.17,-219.06,4951.38,-8264.97,10540.53
4861.2443,805.28,19297.27,8400.49,3063.01,-257.92,4956.15,-8239.79,10549.93
4861.2483,835.61,19330.46,8470.44,3019.95,-469.73,4962.83,-8251.52,10563.9
4861.2523,842.33,19340.18,8498.24,2972.98,-566.05,4964.64,-8282.14,10567.62
4861.2563,843.24,19336.8,8469.96,3005.31,-383.19,4978.09,-8272.98,10574.91
4861.2603,836.8,19329.22,8425.14,3076.6,-173.52,4988.81,-8232.4,10579.87
4861.2643,846.15,19340.47,8440.35,3097.92,-219.2,4986.67,-8211.95,10580.21
