TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
620435.6744,580.22,11782.93,12967.68,6118.92,-15.78,4746.63,-16026.07,6529.28
620435.6784,574.4,11777.69,13004.54,5986.41,-254.44,4699.47,-16142.42,6484.37
620435.6824,561.62,11761.33,12964.25,6015.35,-68.9,4686.64,-16183.9,6467.2
620435.6864,562.33,11763.86,12939.41,6101.04,134.71,4733.61,-16095.59,6510.64
620435.6904,562.43,11762.53,12922.72,6156.68,212.91,4753.49,-16016.49,6529.48
620435.6944,574.16,11776.11,12961.58,6105.33,-30.85,4727.89,-16044.05,6509.21
620435.6984,574.78,11778.31,13003.78,5979.16,-259.59,4682.88,-16161.16,6467.39
620435.7024,562.72,11764.67,12958.0,6018.26,-64.8,4680.59,-16192.96,6459.52
620435.7064,580.55,11784.27,12946.94,6118.01,147.44,4754.26,-16075.85,6529.81
620435.7104,590.23,11793.04,12941.12,6182.53,231.74,4782.63,-15988.64,6557.61
620435.7144,600.58,11802.96,12973.26,6139.37,-0.48,4757.55,-16006.9,6538.39
620435.7184,603.82,11807.11,13020.37,6015.59,-227.88,4722.79,-16115.57,6507.83
620435.7224,598.81,11799.38,12988.14,6050.78,-36.29,4721.55,-16147.42,6500.91
620435.7264,611.59,11813.69,12976.6,6141.14,169.66,4781.96,-16042.57,6558.75
620435.7304,609.78,11812.88,12961.2,6201.17,259.97,4800.37,-15968.66,6577.73
620435.7344,609.16,11812.74,12980.61,6153.01,19.98,4777.19,-15995.17,6560.18
620435.7384,600.77,11803.25,13016.7,6015.83,-228.02,4726.32,-16117.43,6512.74
620435.7424,579.98,11780.17,12969.4,6041.1,-45.59,4706.29,-16170.69,6486.32
620435.7464,580.64,11782.46,12948.75,6123.97,146.82,4758.22,-16071.04,6535.34
620435.7504,574.45,11777.35,12931.97,6173.56,220.39,4774.76,-15997.6,6551.46
620435.7544,580.02,11783.7,12960.82,6124.64,-10.92,4754.21,-16020.59,6536.1
620435.7584,576.26,11779.69,13001.68,5988.55,-255.11,4708.82,-16136.84,6493.95
620435.7624,566.05,11765.72,12964.87,6014.63,-78.01,4692.7,-16182.28,6471.83
620435.7664,572.54,11774.16,12947.61,6099.42,122.12,4746.1,-16084.05,6520.27
620435.7704,579.79,11782.17,12941.89,6164.12,215.44,4763.13,-16005.09,6537.34
620435.7744,592.61,11794.71,12976.98,6130.51,-0.24,4743.72,-16024.31,6523.75
620435.7784,595.62,11798.57,13027.24,6005.43,-241.95,4704.86,-16133.88,6488.56
620435.7824,580.22,11781.55,12983.66,6035.38,-50.5,4684.59,-16182.28,6462.67
620435.7864,590.8,11793.61,12967.73,6128.45,163.13,4745.44,-16079.28,6520.42
620435.7904,594.28,11796.19,12958.48,6183.43,245.9,4773.05,-15997.84,6548.98
620435.7944,598.14,11800.43,12987.09,6132.22,4.39,4736.81,-16030.65,6516.84
620435.7984,598.62,11800.91,13031.96,6004.52,-239.94,4696.27,-16137.6,6479.74
620435.8023,592.9,11792.95,12995.96,6044.2,-43.49,4699.85,-16168.45,6479.45
620435.8063,601.43,11804.01,12977.22,6132.37,158.74,4765.13,-16065.74,6543.02
620435.8103,598.67,11801.2,12963.73,6184.58,238.28,4782.25,-15983.25,6559.18
620435.8143,601.53,11805.96,12986.57,6138.04,9.2,4750.54,-16009.38,6531.62
620435.8183,597.86,11802.1,13026.1,6004.48,-245.14,4712.73,-16120.77,6497.24
620435.8223,586.46,11785.08,12988.95,6031.13,-61.99,4710.34,-16158.68,6490.09
620435.8263,593.28,11792.71,12970.69,6123.21,151.21,4770.42,-16059.26,6546.59
620435.8303,582.41,11784.51,12946.04,6177.24,229.07,4791.78,-15981.44,6569.1
620435.8343,573.78,11776.4,12959.48,6119.4,-19.26,4746.96,-16021.06,6529.81
620435.8383,565.24,11769.63,12997.58,5985.36,-265.17,4701.14,-16139.8,6486.27
620435.8423,543.69,11745.98,12951.33,6009.82,-82.25,4684.5,-16187.53,6464.77
620435.8463,545.55,11748.89,12926.39,6092.5,113.87,4734.99,-16092.64,6511.21
620435.8503,545.41,11750.41,12905.98,6148.29,193.74,4759.03,-16007.76,6535.53
620435.8543,552.08,11759.28,12933.07,6109.14,-23.94,4733.52,-16028.88,6516.51
620435.8583,561.09,11767.2,12983.37,5987.74,-266.5,4693.84,-16138.36,6479.69
620435.8623,566.24,11768.91,12963.06,6020.93,-77.44,4696.18,-16171.27,6477.07
620435.8662,582.12,11786.65,12952.38,6120.16,151.44,4752.4,-16073.04,6529.05
620435.8702,580.84,11786.27,12936.78,6183.34,236.61,4763.32,-15994.12,6539.73
620435.8742,587.94,11792.61,12967.92,6131.98,-1.48,4735.04,-16021.02,6517.17
620435.8782,589.13,11794.47,13019.28,5994.99,-253.53,4702.62,-16132.21,6488.66
620435.8822,574.49,11777.83,12980.27,6015.11,-77.53,4691.89,-16178.85,6473.69
620435.8862,578.31,11781.22,12956.0,6108.9,141.57,4740.86,-16087.49,6518.79
620435.8902,577.59,11783.03,12944.99,6168.41,224.07,4771.57,-15999.84,6549.98
620435.8942,594.09,11799.0,12982.99,6128.65,6.82,4761.17,-16013.34,6545.59
620435.8982,590.94,11797.29,13024.76,5998.42,-240.95,4716.64,-16127.3,6502.44
620435.9022,581.31,11784.98,12992.86,6022.41,-68.9,4706.72,-16169.84,6488.99
620435.9062,589.23,11794.0,12968.4,6120.01,158.17,4763.27,-16074.04,6541.54
620435.9102,589.28,11793.47,12950.95,6182.24,248.43,4786.21,-15989.73,6564.57
620435.9142,589.47,11793.81,12972.64,6133.94,15.93,4757.74,-16014.15,6541.78
620435.9182,585.37,11790.42,13015.13,5994.37,-250.1,4716.83,-16129.59,6504.01
620435.9222,570.77,11773.97,12979.65,6013.44,-75.67,4698.37,-16180.28,6480.84
620435.9262,570.58,11775.78,12947.99,6109.52,146.68,4745.72,-16086.77,6523.18
620435.9302,567.1,11772.82,12926.29,6169.42,228.5,4777.34,-15996.32,6555.46
620435.9342,573.68,11780.41,12954.62,6126.6,6.87,4756.59,-16015.39,6541.3
620435.9382,577.16,11783.55,13005.64,5998.99,-240.66,4725.65,-16120.63,6513.02
620435.9422,571.25,11772.59,12977.17,6020.55,-69.14,4717.21,-16162.49,6498.53
620435.9462,576.78,11779.45,12956.48,6108.71,134.52,4753.35,-16076.42,6530.24
620435.9502,563.57,11770.39,12926.58,6157.69,208.23,4761.79,-16002.42,6540.11
620435.9542,570.96,11777.55,12947.42,6120.68,-0.29,4747.58,-16018.39,6531.76
620435.9582,567.72,11775.92,12989.62,5984.69,-269.37,4703.09,-16134.65,6490.37
620435.9622,554.85,11759.04,12949.52,6006.62,-94.56,4683.3,-16189.15,6463.81
620435.9662,557.09,11763.62,12924.2,6092.64,115.39,4716.54,-16105.75,6491.8
620435.9702,557.57,11764.58,12913.56,6146.34,197.84,4731.08,-16023.92,6505.73
620435.9742,574.3,11779.5,12951.33,6114.1,-8.39,4726.22,-16029.79,6506.21
620435.9782,581.31,11787.7,13000.63,5990.79,-255.3,4699.04,-16131.5,6484.89
620435.9822,575.73,11779.26,12970.07,6017.11,-69.33,4693.99,-16174.03,6474.4
620435.9862,583.12,11788.99,12951.76,6112.96,148.44,4744.2,-16080.57,6520.84
620435.9902,588.85,11795.47,12949.28,6176.19,240.23,4775.43,-15990.93,6551.46
620435.9941,603.34,11809.87,12988.04,6141.23,31.19,4762.13,-16003.56,6544.5
620435.9981,604.3,11810.92,13036.54,6008.67,-232.89,4720.31,-16115.95,6505.63
620436.0021,590.94,11795.33,13001.25,6021.4,-70.91,4711.87,-16164.83,6493.24
620436.0061,594.76,11803.53,12977.08,6121.3,161.41,4770.23,-16068.56,6547.93
620436.0101,590.28,11801.91,12961.34,6184.82,249.05,4787.92,-15982.2,6563.43
620436.0141,585.79,11800.29,12983.09,6136.37,17.36,4761.6,-16000.37,6543.4
620436.0181,581.22,11796.38,13026.43,6000.57,-242.04,4724.46,-16110.23,6510.5
620436.0221,565.58,11778.31,12985.37,6021.07,-72.91,4707.05,-16162.3,6485.94
620436.0261,569.06,11783.08,12958.86,6115.44,145.24,4757.55,-16071.75,6532.91
620436.0301,567.48,11782.89,12941.65,6174.28,232.79,4779.48,-15986.25,6555.37
620436.0341,572.3,11787.99,12967.16,6135.13,18.79,4754.59,-16002.85,6535.82
620436.0381,570.25,11787.18,13011.74,6000.23,-247.48,4712.77,-16115.1,6499.15
620436.0421,551.51,11764.24,12965.49,6005.1,-96.61,4687.12,-16175.32,6467.01
620436.0461,560.9,11774.4,12944.27,6099.22,125.22,4725.84,-16089.78,6499.43
620436.0501,562.72,11778.36,12931.78,6166.03,222.87,4749.2,-16000.46,6522.99
620436.0541,569.01,11784.75,12960.48,6125.74,6.44,4732.8,-16015.1,6512.88
620436.0581,570.49,11785.6,13010.93,5988.74,-263.83,4693.7,-16126.92,6478.12
620436.0621,556.33,11770.54,12973.17,6003.86,-96.42,4676.63,-16180.56,6454.66
620436.0661,570.25,11784.22,12953.66,6106.09,136.8,4725.65,-16088.63,6498.62
620436.0701,575.26,11787.51,12941.17,6166.41,217.87,4744.34,-16004.28,6516.98
620436.0741,581.88,11793.85,12967.78,6129.41,8.25,4731.8,-16014.63,6511.12
