TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
620625.7049,696.71,12894.58,12177.61,5853.22,236.99,4793.88,-15557.0,7115.56
620625.7089,700.71,12901.5,12166.36,5924.37,402.21,4841.19,-15452.96,7160.9
620625.7129,705.19,12905.46,12165.21,5954.7,378.23,4842.33,-15410.38,7164.38
620625.7169,716.69,12917.38,12225.68,5857.09,49.21,4818.82,-15474.32,7147.69
620625.7209,706.39,12904.65,12227.87,5785.94,1.96,4781.68,-15572.36,7109.93
620625.7249,695.42,12892.58,12182.9,5860.71,254.06,4797.65,-15545.27,7119.94
620625.7289,691.56,12892.3,12163.78,5930.0,415.95,4846.19,-15440.66,7167.39
620625.7329,688.31,12888.86,12157.06,5950.36,370.55,4845.1,-15405.7,7168.48
620625.7369,697.85,12899.02,12211.51,5849.36,38.34,4816.96,-15473.8,7146.84
620625.7409,682.78,12881.66,12207.94,5773.69,-9.3,4775.72,-15577.18,7103.3
620625.7449,670.15,12869.65,12157.63,5840.21,224.83,4789.73,-15555.19,7110.41
620625.7489,668.19,12870.84,12139.04,5905.72,378.51,4832.55,-15453.53,7152.51
620625.7529,666.28,12866.31,12128.74,5932.0,353.57,4824.45,-15420.06,7147.36
620625.7569,685.26,12885.14,12191.49,5839.87,26.75,4799.7,-15485.15,7127.86
620625.7609,672.63,12870.74,12193.82,5760.96,-25.65,4758.79,-15592.67,7087.52
620625.7649,660.09,12860.78,12147.09,5831.19,217.34,4774.19,-15570.59,7096.91
620625.7688,658.8,12864.93,12128.26,5897.47,373.03,4820.78,-15468.93,7140.54
620625.7728,659.04,12862.11,12118.34,5922.75,344.9,4816.72,-15430.88,7139.64
620625.7768,678.06,12879.33,12182.05,5827.48,11.63,4797.41,-15490.44,7127.19
620625.7808,679.64,12878.85,12195.49,5762.77,-23.22,4765.32,-15585.66,7094.05
620625.7848,690.84,12888.91,12170.36,5851.75,241.9,4800.13,-15547.56,7122.37
620625.7888,697.23,12899.78,12164.02,5922.32,398.64,4853.06,-15440.08,7172.2
620625.7928,709.44,12911.42,12170.46,5958.61,391.05,4856.59,-15396.5,7176.92
620625.7968,732.47,12935.35,12237.36,5871.44,71.62,4832.55,-15455.01,7161.38
620625.8008,727.08,12927.2,12244.85,5799.15,17.5,4797.17,-15553.67,7125.28
620625.8048,729.27,12928.68,12210.42,5878.4,270.41,4822.54,-15525.1,7144.36
620625.8088,730.32,12935.4,12198.78,5951.31,438.17,4869.84,-15421.44,7188.51
620625.8128,731.04,12934.3,12190.63,5980.49,411.22,4857.73,-15388.2,7179.31
620625.8168,739.43,12944.13,12241.94,5877.69,70.48,4827.79,-15455.82,7156.75
620625.8208,723.74,12926.63,12242.46,5798.1,14.93,4788.11,-15560.96,7115.98
620625.8248,713.11,12913.66,12193.63,5870.68,265.07,4806.09,-15536.64,7127.33
620625.8288,711.73,12916.09,12177.18,5937.53,417.52,4851.25,-15434.12,7169.92
620625.8327,710.92,12912.8,12169.31,5963.42,390.58,4852.58,-15393.35,7174.3
620625.8367,719.98,12922.96,12223.05,5865.86,64.56,4821.54,-15457.49,7149.51
620625.8407,705.58,12907.65,12219.91,5791.86,7.96,4785.82,-15556.34,7112.6
