TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
620625.7457,494.832,44.591,896.639,-428.75,-3543.75,-210.0,-56.24,-240.16,-240.16
620625.7957,480.985,60.512,896.883,-1925.0,-4033.75,113.75,-48.64,-252.32,-252.32
620625.8457,482.754,43.066,894.016,-1828.75,-4497.5,1575.0,-41.04,-250.8,-234.08
620625.8957,489.464,44.225,899.018,-1557.5,-4200.0,1898.75,-45.6,-243.2,-246.24
620625.9457,484.645,47.397,900.665,-1566.25,-4480.0,1076.25,-50.16,-246.24,-237.12
620625.9957,483.181,47.824,895.724,-1977.5,-4952.5,306.25,-36.48,-256.88,-240.16
620626.0457,485.011,40.87,898.286,-1741.25,-4952.5,-52.5,-62.32,-241.68,-252.32
620626.0957,483.73,42.761,899.567,-1295.0,-4611.25,691.25,-36.48,-249.28,-237.12
620626.1457,484.401,46.116,897.188,-1435.0,-5311.25,1338.75,-57.76,-244.72,-240.16
620626.1957,485.804,46.787,898.042,-1400.0,-5565.0,630.0,-42.56,-252.32,-240.16
620626.2457,489.037,42.212,895.541,-2003.75,-5591.25,332.5,-39.52,-253.84,-258.4
620626.2957,489.22,45.75,897.615,-988.75,-4873.75,78.75,-45.6,-255.36,-234.08
620626.3457,488.915,47.885,896.395,-1277.5,-4882.5,612.5,-51.68,-237.12,-231.04
620626.3957,484.218,49.959,896.822,-1820.0,-5188.75,691.25,-36.48,-249.28,-238.64
620626.4457,485.56,46.97,895.419,-1855.0,-5573.75,315.0,-56.24,-235.6,-240.16
620626.4957,497.333,34.709,897.249,-1268.75,-4733.75,166.25,-44.08,-250.8,-228.0
620626.5457,475.556,51.179,891.271,-1653.75,-3780.0,341.25,-48.64,-231.04,-237.12
620626.5957,477.569,42.883,892.857,-1417.5,-6002.5,1382.5,-41.04,-255.36,-243.2
620626.6457,496.418,47.336,900.238,-1330.0,-5075.0,805.0,-39.52,-238.64,-243.2
620626.6957,485.804,45.872,898.164,-1863.75,-5748.75,385.0,-38.0,-231.04,-223.44
620626.7457,487.573,47.397,892.979,-1058.75,-6378.75,-306.25,-48.64,-238.64,-247.76
620626.7957,491.355,46.055,894.077,-2073.75,-4357.5,0.0,-42.56,-235.6,-232.56
620626.8457,485.987,45.14,897.676,-1330.0,-4602.5,630.0,-51.68,-244.72,-247.76
620626.8957,481.046,46.055,899.201,-1408.75,-5608.75,752.5,-54.72,-237.12,-241.68
620626.9457,488.366,43.981,895.602,-1540.0,-6746.25,385.0,-57.76,-232.56,-226.48
620626.9958,494.344,44.225,891.881,-1898.75,-6405.0,-61.25,-44.08,-241.68,-234.08
620627.0457,495.93,45.384,894.748,-1163.75,-5538.75,-297.5,-59.28,-234.08,-241.68
620627.0957,491.782,45.567,893.711,-1277.5,-5433.75,411.25,-51.68,-243.2,-237.12
620627.1457,489.037,49.166,892.125,-1015.0,-6308.75,218.75,-57.76,-244.72,-244.72
620627.1957,501.115,44.225,897.371,-341.25,-5643.75,-420.0,-42.56,-244.72,-246.24
620627.2457,495.137,57.584,891.027,-621.25,-4987.5,-1190.0,-51.68,-238.64,-232.56
620627.2957,485.438,49.715,889.136,-1820.0,-5836.25,-218.75,-45.6,-253.84,-237.12
620627.3457,500.566,42.883,899.201,-1041.25,-5433.75,166.25,-54.72,-253.84,-238.64
620627.3957,496.174,53.253,897.432,-796.25,-4541.25,245.0,-44.08,-250.8,-237.12
620627.4457,490.257,55.754,893.406,-568.75,-5626.25,-52.5,-50.16,-241.68,-238.64
620627.4957,492.697,56.73,889.807,-1785.0,-5678.75,-148.75,-54.72,-246.24,-237.12
620627.5457,497.821,53.68,892.857,-1750.0,-5460.0,-673.75,-47.12,-240.16,-231.04
620627.5957,480.314,45.567,888.526,-2187.5,-7673.75,-1461.25,-45.6,-249.28,-240.16
