TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6292.057,20539.72,6211.0,18121.72,27843.29,10122.11,15273.33,7438.95,29989.25
6292.061,20523.84,6178.19,18034.36,27838.66,10079.77,15251.3,7358.22,29976.37
6292.065,20510.87,6155.11,17962.51,27817.78,10046.67,15231.28,7314.87,29960.73
6292.069,20526.84,6180.76,18009.86,27828.94,10082.29,15249.78,7372.0,29967.74
6292.073,20545.77,6213.05,18101.98,27847.34,10127.4,15275.48,7442.67,29984.14
6292.077,20540.05,6204.8,18108.04,27843.48,10119.73,15270.52,7428.93,29979.61
6292.081,20517.64,6167.08,18014.05,27823.74,10068.27,15240.58,7344.29,29959.63
6292.085,20508.72,6150.1,17951.16,27816.2,10043.1,15225.56,7307.77,29946.76
6292.089,20517.02,6171.47,17998.79,27820.83,10068.7,15236.57,7357.46,29944.19
6292.093,20529.42,6197.83,18085.53,27830.99,10105.56,15254.36,7422.11,29953.48
6292.097,20521.98,6190.35,18095.35,27827.31,10100.99,15251.78,7410.24,29951.05
6292.101,20498.52,6150.77,17999.79,27805.33,10047.34,15221.84,7323.55,29930.4
6292.105,20485.93,6132.65,17928.65,27790.03,10019.49,15204.48,7281.07,29910.23
6292.109,20500.71,6156.83,17980.91,27797.85,10052.25,15220.93,7339.43,29915.62
6292.113,20519.88,6187.96,18067.93,27814.87,10097.22,15243.44,7403.66,29922.54
6292.117,20516.92,6182.0,18075.18,27814.44,10089.92,15235.47,7389.21,29925.11
6292.1208,20494.65,6145.05,17986.68,27793.79,10034.71,15208.01,7308.44,29915.86
6292.1248,20482.16,6127.41,17924.5,27779.44,10006.24,15191.94,7272.44,29904.66
6292.1288,20491.17,6149.58,17979.05,27783.83,10038.33,15208.58,7331.04,29917.15
6292.1328,20510.96,6185.44,18076.57,27799.47,10085.25,15239.62,7409.86,29942.56
6292.1368,20518.69,6191.92,18099.21,27808.48,10092.4,15247.49,7410.48,29952.05
6292.1408,20499.8,6159.59,18011.05,27793.27,10047.25,15226.99,7333.8,29942.09
6292.1448,20485.59,6138.61,17946.63,27778.53,10018.49,15211.82,7300.0,29934.6
6292.1488,20499.42,6161.4,18001.65,27791.74,10053.78,15230.42,7361.32,29950.77
6292.1528,20520.31,6193.35,18089.39,27815.63,10102.94,15256.6,7428.27,29964.88
6292.1568,20523.31,6191.45,18107.08,27820.97,10106.95,15260.36,7427.41,29966.88
6292.1608,20504.29,6150.96,18010.67,27806.57,10057.98,15231.99,7337.38,29946.95
6292.1648,20492.84,6131.7,17937.14,27795.41,10030.27,15212.35,7292.46,29927.3
6292.1688,20504.62,6154.82,17983.96,27804.38,10060.69,15226.32,7347.01,29931.69
6292.1728,20523.55,6188.63,18074.18,27825.03,10107.28,15252.88,7418.06,29944.85
6292.1768,20525.74,6189.35,18092.87,27829.46,10110.05,15254.36,7413.01,29947.52
6292.1808,20509.2,6154.16,18005.13,27814.68,10060.84,15226.41,7328.03,29927.64
