TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5696.7462,17566.64,7085.37,20905.45,29525.05,9889.22,18390.13,9666.06,30309.35
5696.7502,17547.66,7057.81,20855.72,29513.79,9845.11,18371.11,9590.29,30298.05
5696.7542,17514.8,7000.83,20717.96,29485.37,9775.35,18330.29,9456.3,30264.76
5696.7582,17514.42,7002.83,20699.84,29477.27,9780.07,18328.62,9466.7,30260.33
5696.7622,17543.99,7053.33,20814.47,29498.87,9844.3,18361.86,9591.25,30284.03
5696.7662,17561.58,7082.8,20906.4,29515.65,9879.88,18384.22,9661.15,30298.38
5696.7702,17546.94,7056.28,20859.2,29507.83,9841.87,18367.34,9590.15,30291.13
5696.7742,17516.57,7003.74,20724.06,29481.56,9774.35,18328.1,9461.79,30263.0
5696.7782,17518.05,7005.74,20706.23,29477.17,9783.22,18326.19,9470.89,30253.8
5696.7822,17542.17,7051.52,20818.52,29496.34,9845.07,18358.33,9595.4,30285.17
5696.7862,17558.1,7081.27,20911.31,29511.65,9879.3,18383.41,9665.87,30304.86
5696.7902,17547.56,7058.67,20865.16,29509.02,9844.11,18372.97,9594.87,30303.1
5696.7942,17524.77,7011.61,20733.5,29490.47,9781.7,18338.59,9468.51,30274.92
5696.7982,17526.2,7014.9,20711.23,29487.76,9794.38,18335.96,9476.9,30267.67
5696.8022,17545.8,7055.9,20813.56,29498.77,9852.36,18363.1,9589.67,30284.17
5696.8062,17558.39,7081.8,20901.63,29503.64,9879.21,18381.5,9659.82,30297.43
5696.8101,17540.65,7050.04,20847.94,29495.2,9835.63,18361.52,9584.62,30285.08
5696.8141,17509.37,6996.97,20713.38,29475.02,9767.87,18322.28,9453.49,30251.32
5696.8181,17510.56,6998.97,20693.5,29473.5,9777.74,18320.37,9461.36,30250.89
5696.8221,17539.79,7046.41,20801.21,29499.44,9842.44,18353.08,9578.28,30273.63
5696.8261,17561.96,7081.8,20900.06,29521.14,9883.07,18381.88,9663.11,30300.91
5696.8301,17548.23,7055.43,20855.91,29512.7,9845.93,18368.06,9592.11,30293.66
5696.8341,17516.42,6998.44,20716.0,29486.33,9776.64,18326.67,9455.59,30261.81
5696.8381,17521.34,7005.5,20702.27,29488.61,9789.66,18328.14,9471.89,30265.48
5696.8421,17544.94,7050.56,20807.27,29503.59,9846.02,18357.66,9584.71,30283.36
5696.8461,17560.63,7082.65,20899.58,29512.03,9879.54,18382.12,9658.53,30299.91
5696.8501,17545.23,7055.76,20853.95,29497.91,9837.49,18362.95,9585.81,30286.17
5696.8541,17515.47,7002.31,20718.77,29473.17,9771.44,18327.14,9454.68,30253.03
5696.8581,17518.05,7006.6,20701.36,29470.45,9782.36,18329.77,9468.13,30260.9
5696.8621,17543.65,7054.47,20810.75,29487.28,9839.97,18360.14,9586.72,30279.12
5696.8661,17561.91,7085.85,20903.07,29505.16,9875.73,18381.17,9657.48,30294.23
5696.8701,17552.71,7061.91,20858.67,29504.25,9841.87,18370.73,9589.29,30289.37
5696.8741,17527.15,7009.65,20726.73,29484.9,9782.65,18336.92,9464.46,30262.9
5696.8781,17522.05,7007.74,20702.65,29476.22,9786.18,18330.39,9470.37,30254.51
5696.8821,17548.23,7055.24,20812.08,29494.96,9846.31,18362.57,9588.15,30271.15
5696.8861,17569.35,7088.38,20905.93,29512.65,9884.64,18388.46,9662.44,30296.38
5696.8901,17552.38,7059.0,20855.57,29500.87,9841.25,18369.25,9589.2,30291.37
5696.8941,17521.91,7006.17,20720.2,29479.46,9774.73,18331.48,9459.31,30255.94
5696.8981,17519.43,7003.5,20700.84,29476.69,9780.12,18327.72,9468.18,30252.27
5696.9021,17542.22,7044.84,20804.93,29490.86,9837.15,18355.9,9580.9,30271.82
5696.9061,17561.72,7075.69,20900.06,29505.78,9872.72,18378.07,9658.24,30291.61
5696.9101,17545.99,7050.56,20863.25,29495.1,9833.96,18362.95,9591.77,30283.98
5696.9141,17517.09,7000.64,20729.88,29470.02,9765.96,18327.14,9461.79,30255.08
5696.9181,17518.95,7005.12,20706.08,29465.63,9773.35,18324.43,9467.6,30246.6
5696.9221,17549.09,7056.52,20815.9,29486.28,9840.78,18357.95,9587.19,30267.86
5696.9261,17571.88,7092.81,20914.22,29509.21,9882.02,18387.03,9664.16,30286.98
5696.9301,17560.15,7066.63,20869.21,29509.17,9845.93,18374.25,9596.54,30290.99
5696.9341,17531.97,7014.75,20733.55,29489.23,9781.08,18337.16,9467.56,30264.57
5696.938,17536.88,7018.95,20713.9,29493.38,9795.52,18340.11,9477.0,30261.81
5696.942,17566.73,7071.11,20826.15,29519.61,9865.67,18378.45,9602.79,30292.32
5696.946,17583.85,7101.01,20919.09,29535.58,9901.52,18401.34,9676.12,30309.59
5696.95,17567.78,7072.26,20873.6,29525.47,9860.23,18382.79,9602.98,30297.66
5696.954,17542.7,7022.57,20745.47,29506.73,9798.24,18350.08,9477.62,30272.44
5696.958,17538.03,7020.47,20715.57,29498.53,9796.24,18340.26,9475.14,30256.66
5696.962,17563.25,7068.49,20822.1,29512.08,9857.7,18372.49,9595.44,30277.83
5696.966,17582.08,7100.54,20916.04,29524.14,9896.18,18396.57,9672.02,30291.7
5696.97,17568.97,7071.78,20868.45,29519.99,9858.13,18381.79,9602.74,30289.56
5696.974,17535.35,7016.28,20730.93,29496.67,9787.8,18340.97,9468.75,30265.76
5696.978,17530.87,7015.04,20705.51,29487.09,9790.04,18335.68,9472.99,30259.14
5696.982,17555.81,7063.2,20818.28,29504.92,9851.17,18367.91,9595.06,30285.27
5696.986,17573.26,7094.81,20918.09,29522.23,9889.79,18393.61,9673.26,30305.29
5696.99,17560.15,7067.54,20874.65,29515.79,9852.98,18376.5,9599.21,30296.9
5696.994,17528.25,7012.65,20739.32,29490.14,9783.6,18336.54,9466.98,30269.2
5696.998,17524.91,7012.99,20712.04,29477.31,9783.89,18329.53,9471.7,30260.47
5697.0019,17552.04,7063.53,20821.1,29495.2,9848.07,18364.15,9594.35,30278.69
5697.0059,17571.17,7096.15,20913.89,29511.07,9884.12,18386.27,9667.78,30297.33
5697.0099,17561.44,7072.4,20871.78,29506.73,9847.45,18376.16,9603.45,30295.8
5697.0139,17528.97,7016.61,20734.93,29481.13,9777.5,18334.53,9470.42,30267.15
5697.0179,17525.82,7016.33,20707.37,29475.26,9781.74,18328.62,9471.89,30256.42
5697.0219,17551.0,7063.63,20815.95,29492.91,9843.3,18361.38,9590.29,30272.3
5697.0259,17566.64,7095.77,20911.12,29507.69,9880.21,18385.51,9666.35,30290.75
5697.0299,17556.62,7074.64,20868.73,29503.16,9848.55,18373.92,9599.4,30286.98
5697.0339,17524.05,7019.09,20732.12,29479.17,9779.55,18332.2,9467.22,30257.66
5697.0379,17522.53,7016.71,20707.9,29473.17,9782.27,18327.05,9469.99,30250.22
5697.0419,17547.32,7061.05,20811.46,29491.71,9840.16,18355.32,9580.85,30269.29
5697.0459,17564.54,7091.05,20907.83,29507.31,9878.35,18378.16,9660.01,30282.41
5697.0499,17551.66,7065.34,20868.97,29497.39,9840.87,18364.43,9592.96,30279.02
5697.0539,17521.48,7010.41,20729.35,29474.36,9770.68,18323.95,9455.59,30249.74
5697.0579,17520.0,7010.17,20704.22,29469.88,9776.64,18320.13,9461.45,30244.12
5697.0619,17547.66,7060.53,20811.7,29489.57,9840.3,18353.89,9577.42,30264.62
5697.0659,17567.4,7096.2,20910.55,29507.93,9880.35,18380.93,9660.67,30286.7
5697.0699,17561.58,7074.74,20877.75,29509.88,9853.46,18376.59,9602.55,30286.46
