TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
5916.0124,19417.72,6589.7,19606.54,28705.31,10062.84,16987.85,8866.22,29757.5
5916.0164,19414.09,6586.98,19613.89,28700.4,10049.3,16984.75,8844.52,29754.02
5916.0204,19386.25,6542.45,19488.15,28674.51,9974.39,16947.32,8716.54,29722.17
5916.0244,19366.41,6519.27,19401.17,28650.86,9935.33,16923.91,8660.75,29695.18
5916.0284,19377.76,6545.69,19467.5,28657.82,9980.39,16942.65,8742.67,29697.47
5916.0324,19395.07,6577.68,19580.08,28673.37,10033.7,16967.35,8837.27,29719.45
5916.0364,19386.34,6568.72,19592.48,28665.93,10013.96,16958.62,8819.58,29726.84
5916.0404,19355.3,6520.89,19470.17,28641.61,9934.95,16920.81,8691.65,29701.62
5916.0444,19338.28,6500.39,19388.96,28629.26,9905.53,16899.87,8642.25,29683.16
5916.0484,19349.72,6528.86,19464.02,28639.37,9953.69,16919.42,8730.6,29695.94
5916.0524,19372.37,6566.1,19582.32,28657.06,10010.1,16948.18,8830.98,29725.51
5916.0564,19376.04,6567.29,19606.74,28663.83,10010.58,16955.28,8828.83,29739.53
5916.0604,19358.35,6524.95,19491.82,28653.72,9946.63,16927.91,8713.01,29728.03
5916.0644,19353.39,6507.83,19417.29,28647.76,9922.6,16917.85,8670.28,29731.94
5916.0684,19379.76,6546.4,19496.68,28667.83,9980.73,16947.08,8765.13,29759.46
5916.0724,19413.33,6590.99,19619.75,28700.36,10053.83,16986.56,8871.99,29794.27
5916.0764,19421.15,6593.37,19636.92,28714.8,10057.26,16998.39,8864.26,29803.66
5916.0804,19398.69,6548.69,19515.71,28693.35,9981.73,16960.43,8741.14,29772.43
5916.0844,19389.06,6530.0,19435.79,28682.62,9954.79,16944.12,8691.74,29753.64
5916.0884,19402.79,6557.61,19505.93,28693.39,10010.05,16969.35,8777.48,29769.23
5916.0924,19423.87,6595.28,19624.47,28714.52,10073.28,17002.06,8879.28,29800.42
5916.0964,19420.82,6590.03,19634.2,28717.0,10062.84,16999.39,8862.35,29801.56
5916.1004,19398.83,6546.74,19512.13,28703.84,9995.32,16966.39,8739.33,29769.23
5916.1044,19383.58,6523.18,19423.53,28679.76,9953.5,16939.79,8682.01,29745.73
5916.1084,19398.98,6553.32,19488.29,28685.24,9998.85,16959.14,8763.6,29763.18
5916.1124,19416.57,6591.56,19599.11,28699.54,10051.78,16983.46,8855.87,29778.82
5916.1164,19420.15,6595.09,19619.99,28701.88,10050.44,16989.09,8851.82,29783.68
5916.1204,19392.02,6548.6,19496.87,28681.71,9975.29,16953.71,8726.93,29758.98
5916.1244,19374.75,6525.33,19409.71,28663.64,9937.86,16932.58,8670.38,29731.28
5916.1284,19386.44,6554.56,19480.28,28667.6,9985.16,16952.9,8756.11,29735.52
5916.1324,19398.98,6586.03,19595.53,28671.03,10029.22,16970.3,8848.67,29747.16
5916.1364,19399.12,6584.55,19611.17,28674.89,10024.07,16972.97,8835.27,29753.35
5916.1403,19379.38,6548.21,19501.74,28662.4,9957.7,16947.37,8725.31,29742.24
5916.1443,19371.42,6536.53,19431.64,28656.58,9932.66,16936.88,8685.21,29742.44
5916.1483,19386.34,6565.43,19502.26,28671.79,9988.45,16960.15,8772.14,29756.03
5916.1523,19404.46,6599.14,19619.13,28688.34,10044.62,16986.99,8873.56,29776.39
5916.1563,19402.41,6593.9,19633.01,28688.72,10033.85,16986.66,8862.54,29785.11
5916.1603,19382.0,6551.6,19516.85,28677.66,9969.81,16957.19,8747.15,29770.62
5916.1643,19371.65,6528.04,19434.17,28669.27,9941.05,16940.21,8695.08,29759.41
5916.1683,19390.49,6557.66,19504.55,28683.71,9993.27,16964.34,8782.34,29777.91
5916.1723,19415.43,6595.66,19623.23,28704.5,10054.16,16993.86,8883.05,29794.41
5916.1763,19421.48,6596.09,19634.87,28712.85,10055.21,16997.63,8868.98,29790.17
5916.1803,19402.22,6555.84,19519.43,28699.83,9990.6,16969.87,8753.21,29769.61
5916.1843,19389.68,6533.48,19435.84,28687.77,9956.74,16949.32,8697.56,29755.79
5916.1883,19405.27,6563.04,19501.88,28697.4,10004.52,16968.44,8780.43,29772.52
