TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
7688.5261,18215.13,2786.59,19001.53,33779.29,28981.83,15579.56,7522.54,29301.27
7688.5301,18220.47,2788.45,18971.78,33784.77,28985.79,15588.48,7521.77,29303.36
7688.5341,18254.23,2848.72,19075.11,33806.28,29018.5,15619.18,7600.69,29329.45
7688.5381,18281.84,2891.64,19180.35,33822.92,29047.44,15641.83,7664.25,29355.39
7688.5421,18276.98,2871.47,19159.94,33828.26,29049.59,15640.69,7639.46,29360.49
7688.5461,18244.46,2810.62,19029.81,33817.39,29022.27,15614.51,7551.1,29328.35
7688.5501,18236.78,2802.42,18988.28,33805.28,29008.44,15606.98,7538.99,29322.34
7688.5541,18265.63,2852.73,19082.45,33815.53,29031.47,15626.38,7604.27,29331.74
7688.5581,18289.14,2892.45,19180.54,33829.88,29053.98,15642.45,7660.29,29346.09
7688.5621,18273.55,2864.5,19152.12,33825.02,29042.87,15630.68,7628.01,29342.61
7688.5661,18236.35,2798.99,19020.13,33808.14,29010.11,15602.26,7544.28,29323.06
7688.5701,18230.49,2793.84,18985.56,33800.75,29000.24,15599.78,7535.27,29320.53
7688.5741,18256.95,2846.05,19080.5,33811.33,29027.08,15624.48,7605.41,29337.65
7688.5781,18281.51,2887.25,19182.97,33824.64,29052.4,15646.7,7668.45,29359.3
7688.5821,18262.53,2854.87,19145.54,33813.34,29030.99,15619.28,7616.95,29337.22
7688.5861,18228.44,2793.03,19010.59,33798.13,28997.28,15591.05,7525.3,29306.08
7688.59,18229.25,2794.89,18978.55,33796.89,28997.23,15595.25,7524.87,29308.37
7688.594,18253.09,2845.81,19072.53,33807.09,29021.31,15616.32,7593.63,29323.06
7688.598,18271.64,2881.05,19165.66,33817.39,29041.48,15629.48,7643.65,29331.83
7688.602,18255.81,2854.63,19138.91,33804.95,29024.94,15613.84,7607.32,29324.25
7688.606,18224.77,2796.51,19009.93,33797.08,29001.1,15593.67,7523.82,29305.65
7688.61,18215.47,2790.4,18970.21,33784.82,28986.74,15586.23,7513.14,29292.4
7688.614,18233.02,2835.08,19057.8,33774.9,28988.94,15590.43,7571.75,29298.45
7688.618,18258.81,2878.52,19161.61,33786.92,29016.64,15616.32,7639.31,29326.73
7688.622,18256.19,2861.45,19145.01,33799.03,29026.18,15622.52,7619.81,29330.07
7688.626,18221.29,2797.7,19020.37,33780.48,28990.27,15594.06,7540.18,29314.95
7688.63,18215.42,2788.78,18979.6,33774.38,28981.12,15586.38,7525.83,29309.42
7688.634,18244.65,2842.0,19074.59,33787.87,29010.78,15611.32,7596.21,29333.17
7688.638,18268.68,2883.24,19172.62,33806.14,29038.39,15630.06,7651.28,29342.99
7688.642,18270.83,2867.22,19157.6,33825.35,29057.27,15641.79,7636.98,29351.19
7688.646,18238.69,2805.52,19027.09,33816.25,29032.28,15616.7,7551.19,29331.4
7688.65,18217.57,2792.64,18979.98,33784.82,28989.41,15586.66,7523.49,29313.19
7688.654,18243.27,2847.58,19079.74,33791.59,29008.58,15609.03,7597.92,29336.27
7688.658,18269.11,2889.82,19180.49,33805.9,29036.86,15630.58,7655.53,29351.62
7688.662,18261.58,2862.98,19150.07,33809.57,29032.85,15623.76,7620.29,29341.13
7688.666,18229.68,2801.23,19020.89,33800.94,29006.68,15598.82,7537.22,29318.19
7688.67,18227.25,2796.51,18983.8,33798.51,29000.52,15597.77,7532.03,29314.66
7688.674,18250.61,2846.24,19075.11,33803.23,29016.16,15612.7,7596.54,29322.82
7688.678,18271.11,2883.1,19167.57,33814.43,29038.72,15627.1,7644.89,29330.3
7688.682,18262.96,2861.45,19142.44,33818.3,29038.58,15624.91,7618.95,29332.02
7688.686,18230.49,2800.46,19014.5,33806.47,29011.3,15603.88,7537.56,29308.27
7688.69,18213.08,2785.35,18965.29,33783.44,28983.64,15586.81,7518.44,29300.5
7688.694,18228.2,2825.45,19046.4,33782.87,28994.71,15595.1,7570.84,29299.21
7688.698,18252.52,2867.13,19143.73,33796.51,29018.88,15610.6,7621.43,29306.32
7688.702,18244.79,2847.15,19125.27,33795.74,29011.44,15601.83,7593.3,29303.94
7688.706,18216.28,2789.21,19000.44,33788.4,28987.94,15583.33,7515.72,29290.82
7688.71,18218.47,2790.55,18966.53,33793.26,28993.04,15590.34,7514.67,29293.25
