TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6637.4695,21310.24,5164.19,17528.44,27028.47,9986.16,13981.92,5272.77,29913.33
6637.4735,21314.81,5175.16,17551.38,27033.52,10002.76,13987.5,5302.14,29915.1
6637.4775,21331.03,5207.68,17642.93,27052.93,10049.34,14011.34,5371.0,29932.98
6637.4815,21337.03,5216.55,17674.83,27060.56,10061.27,14020.11,5384.16,29943.42
6637.4855,21322.92,5187.08,17598.54,27042.63,10018.25,13997.94,5321.17,29929.74
6637.4895,21311.81,5163.72,17516.62,27031.04,9987.36,13980.96,5272.29,29912.33
6637.4935,21325.02,5184.7,17552.76,27043.16,10013.39,13995.55,5311.16,29921.73
6637.4975,21344.76,5218.7,17650.65,27057.94,10055.45,14023.02,5381.87,29944.14
6637.5015,21351.96,5228.42,17689.61,27070.43,10070.85,14035.85,5398.99,29954.2
6637.5055,21332.17,5195.43,17616.61,27054.07,10027.46,14010.0,5334.43,29940.61
6637.5095,21317.29,5171.82,17538.84,27039.96,9997.89,13994.41,5287.79,29927.16
6637.5135,21321.63,5186.99,17571.26,27036.72,10015.68,14002.32,5324.22,29930.98
6637.5175,21330.55,5212.45,17656.19,27041.49,10049.73,14019.2,5382.59,29943.04
6637.5215,21330.6,5216.07,17688.28,27043.77,10055.35,14023.31,5393.65,29945.95
6637.5255,21308.62,5183.65,17611.55,27027.56,10008.48,13996.08,5325.6,29927.21
6637.5295,21289.26,5154.66,17524.67,27005.87,9965.95,13971.38,5270.15,29907.42
6637.5334,21296.93,5170.92,17555.72,27009.97,9991.89,13983.44,5306.05,29911.9
6637.5374,21313.0,5201.53,17642.55,27022.08,10031.65,14005.0,5367.38,29924.87
6637.5414,21320.49,5212.12,17682.08,27026.66,10039.95,14014.77,5385.4,29935.08
6637.5454,21297.51,5178.98,17609.46,27007.49,9993.98,13989.93,5319.64,29920.06
6637.5494,21278.19,5150.08,17522.62,26989.13,9953.88,13963.99,5263.66,29900.94
6637.5534,21284.25,5163.1,17541.94,26988.18,9970.52,13970.95,5291.61,29900.75
6637.5574,21303.75,5196.62,17633.87,27002.48,10014.11,13993.65,5358.74,29921.68
6637.5614,21314.1,5208.25,17675.12,27015.88,10030.84,14005.66,5378.77,29935.74
6637.5654,21304.09,5182.55,17606.07,27011.4,9995.08,13985.92,5320.03,29917.77
6637.5694,21298.08,5161.1,17527.49,27007.96,9968.14,13971.38,5275.77,29912.71
6637.5734,21309.28,5176.93,17552.47,27020.08,9990.79,13984.59,5309.77,29925.49
6637.5774,21333.03,5211.16,17642.55,27047.3,10042.05,14011.29,5373.96,29940.18
6637.5814,21348.77,5228.28,17686.8,27067.62,10064.41,14028.93,5396.13,29954.96
6637.5854,21336.8,5201.48,17620.52,27059.99,10029.89,14011.77,5338.91,29944.61
6637.5894,21321.54,5174.26,17538.03,27042.82,9993.7,13991.74,5287.55,29929.21
6637.5934,21321.16,5182.46,17559.01,27039.25,10003.71,13993.26,5314.78,29929.5
6637.5974,21334.89,5211.5,17651.37,27054.41,10046.86,14016.01,5379.01,29946.66
6637.6014,21337.94,5217.93,17691.28,27062.94,10060.07,14024.4,5395.41,29956.01
6637.6054,21318.1,5185.99,17619.95,27046.4,10015.87,13999.99,5334.14,29938.84
6637.6094,21294.26,5156.61,17531.16,27020.55,9969.24,13970.23,5276.16,29917.15
6637.6134,21293.64,5164.43,17547.56,27021.32,9984.54,13975.19,5300.9,29911.14
6637.6174,21307.38,5192.61,17633.44,27036.91,10029.84,13999.61,5364.08,29920.68
6637.6214,21303.47,5197.38,17666.96,27035.72,10031.84,14001.18,5373.76,29922.68
6637.6254,21279.62,5161.1,17590.29,27015.21,9982.54,13973.43,5305.48,29898.17
6637.6294,21257.55,5125.76,17496.02,26993.33,9939.1,13944.82,5243.21,29870.13
6637.6334,21256.97,5133.96,17512.04,26987.37,9949.88,13943.44,5263.14,29864.84
6637.6374,21277.48,5168.72,17602.06,27003.01,9996.27,13968.61,5328.23,29883.96
6637.6414,21290.73,5185.65,17646.08,27014.35,10013.72,13982.11,5349.35,29898.12
6637.6454,21289.45,5168.77,17585.8,27011.64,9985.4,13973.86,5297.66,29891.88
6637.6494,21283.06,5149.13,17503.55,26997.76,9951.21,13954.59,5246.83,29877.57
6637.6534,21293.79,5167.77,17532.78,26999.67,9970.24,13964.13,5282.07,29884.34
6637.6574,21313.96,5203.53,17629.86,27017.41,10019.97,13993.07,5355.02,29910.28
6637.6613,21324.11,5215.36,17671.97,27031.28,10038.47,14006.85,5376.01,29930.31
6637.6653,21314.43,5194.76,17612.6,27023.6,10002.8,13991.26,5325.7,29931.45
6637.6693,21306.09,5178.07,17538.31,27014.16,9973.72,13978.96,5284.69,29928.78
6637.6733,21317.77,5195.19,17569.07,27023.56,10001.09,13995.22,5324.79,29939.85
6637.6773,21333.03,5221.03,17657.04,27038.96,10043.81,14013.63,5387.21,29950.86
6637.6813,21340.94,5230.48,17695.62,27049.93,10057.02,14025.5,5401.52,29961.45
6637.6853,21326.35,5203.44,17626.1,27038.67,10016.44,14008.52,5345.25,29956.01
6637.6893,21306.09,5171.39,17533.45,27022.56,9976.2,13978.91,5284.02,29931.22
6637.6933,21308.47,5182.65,17555.29,27027.51,9992.89,13984.3,5315.35,29935.65
