TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2074.4065,-310.734,-67.222,956.48,-542.5,-4830.0,971.25,323.76,39.52,-165.68
2074.4565,-303.902,-68.442,952.82,-2012.5,-6457.5,682.5,290.32,41.04,-170.24
2074.5065,-290.421,-65.087,947.818,-787.5,-5250.0,1347.5,307.04,60.8,-162.64
2074.5565,-302.56,-63.928,958.615,-1548.75,-4462.5,1067.5,311.6,51.68,-155.04
2074.6065,-300.181,-64.294,953.125,-1303.75,-4550.0,971.25,316.16,38.0,-165.68
2074.6565,-298.961,-60.268,949.587,-1487.5,-4156.25,761.25,310.08,38.0,-176.32
2074.7066,-302.865,-64.66,952.393,-1872.5,-4217.5,306.25,320.72,51.68,-159.6
2074.7565,-302.316,-65.575,953.186,-1767.5,-4996.25,227.5,325.28,54.72,-164.16
2074.8065,-304.024,-65.331,951.722,-1890.0,-4340.0,210.0,311.6,30.4,-171.76
2074.8565,-304.512,-66.124,951.295,-1986.25,-4646.25,253.75,328.32,38.0,-171.76
2074.9065,-304.329,-69.235,952.454,-1662.5,-4996.25,332.5,316.16,33.44,-162.64
2074.9565,-302.804,-66.002,954.223,-1697.5,-5040.0,420.0,320.72,51.68,-162.64
2075.0065,-305.549,-68.503,953.796,-2038.75,-5040.0,-17.5,314.64,56.24,-152.0
2075.0565,-300.669,-70.089,950.136,-1452.5,-4917.5,87.5,329.84,44.08,-164.16
2075.1065,-303.475,-65.087,948.001,-1846.25,-5372.5,367.5,314.64,39.52,-170.24
2075.1565,-307.257,-62.098,957.212,-3211.25,-5363.75,-1260.0,320.72,34.96,-177.84
2075.2065,-293.837,-81.984,956.175,-2030.0,-5433.75,-1933.75,317.68,42.56,-171.76
2075.2565,-294.081,-69.967,952.454,-315.0,-4786.25,-1181.25,311.6,36.48,-173.28
2075.3065,-302.621,-62.037,955.016,-2056.25,-4270.0,218.75,334.4,45.6,-165.68
2075.3565,-301.34,-71.187,952.576,-2695.0,-5066.25,1128.75,294.88,42.56,-167.2
2075.4065,-296.399,-79.361,953.796,-1986.25,-4497.5,997.5,325.28,39.52,-161.12
2075.4565,-297.863,-78.751,950.441,-866.25,-3482.5,455.0,297.92,34.96,-165.68
2075.5065,-302.255,-70.089,950.624,-1190.0,-3727.5,402.5,332.88,57.76,-177.84
2075.5565,-307.318,-72.102,950.929,-1557.5,-4138.75,1723.75,323.76,34.96,-161.12
2075.6065,-304.634,-71.98,948.367,-1286.25,-5101.25,2266.25,317.68,39.52,-170.24
2075.6565,-305.244,-68.198,952.332,-700.0,-5013.75,2283.75,313.12,45.6,-158.08
2075.7065,-307.257,-67.466,949.099,-1032.5,-5276.25,1295.0,308.56,42.56,-173.28
2075.7565,-309.514,-68.076,948.184,-1233.75,-5591.25,306.25,325.28,50.16,-171.76
