TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1835.3292,12759.26,4356.05,14555.27,18416.55,-5887.37,21211.87,-1409.15,14722.87
1835.3332,12782.0,4448.61,14628.41,18463.18,-5733.11,21282.63,-1172.26,14789.54
1835.3372,12800.12,4529.62,14700.84,18524.08,-5605.32,21352.68,-1000.69,14871.31
1835.3412,12801.17,4494.1,14680.67,18529.89,-5669.4,21332.7,-1128.44,14866.16
1835.3452,12798.26,4391.77,14599.23,18488.46,-5829.86,21262.27,-1382.92,14778.57
1835.3492,12805.37,4373.69,14578.01,18476.25,-5836.77,21253.97,-1386.02,14751.29
1835.3532,12813.86,4457.28,14644.53,18504.14,-5699.35,21313.24,-1153.42,14816.91
1835.3572,12825.44,4538.25,14715.82,18550.92,-5581.62,21374.56,-986.29,14892.1
1835.3612,12819.1,4501.63,14692.69,18546.44,-5655.96,21347.67,-1118.33,14887.1
1835.3652,12804.56,4395.49,14602.9,18494.7,-5822.95,21269.47,-1376.53,14799.64
1835.3692,12801.46,4374.65,14576.48,18470.43,-5840.16,21250.2,-1384.93,14758.73
1835.3732,12812.09,4459.05,14642.62,18509.53,-5694.25,21313.05,-1154.52,14816.0
1835.3772,12817.1,4531.77,14704.85,18548.97,-5586.24,21367.22,-996.78,14883.9
1835.3812,12796.07,4480.65,14667.27,18524.79,-5679.89,21324.21,-1145.55,14855.43
1835.3852,12775.18,4366.88,14570.91,18464.71,-5856.37,21236.23,-1410.48,14761.16
1835.3892,12772.9,4346.18,14545.87,18438.63,-5877.3,21215.73,-1420.21,14721.4
1835.3932,12784.43,4430.91,14613.34,18474.72,-5733.68,21280.1,-1190.66,14778.04
1835.3972,12789.63,4505.68,14676.29,18517.31,-5620.77,21337.75,-1028.63,14845.04
1835.4012,12771.13,4461.15,14643.1,18495.18,-5712.99,21296.89,-1177.26,14823.77
1835.4052,12751.96,4350.52,14551.21,18428.52,-5898.91,21205.62,-1447.73,14727.4
1835.4092,12750.29,4340.46,14537.53,18407.01,-5901.39,21197.75,-1431.42,14696.84
1835.4132,12759.45,4424.76,14600.95,18443.87,-5761.0,21259.93,-1211.21,14739.99
1835.4172,12771.75,4504.92,14671.52,18492.65,-5643.56,21322.54,-1040.94,14822.58
1835.4212,12778.52,4477.02,14655.83,18501.71,-5703.35,21306.95,-1165.44,14829.64
1835.4252,12767.65,4367.02,14564.42,18446.54,-5877.11,21219.02,-1435.9,14738.94
1835.4292,12771.04,4355.57,14547.06,18423.51,-5886.08,21206.0,-1420.69,14708.9
1835.4332,12793.83,4448.94,14623.55,18474.77,-5731.82,21281.15,-1188.61,14775.28
1835.4372,12818.39,4537.01,14701.42,18538.38,-5598.16,21358.64,-1008.7,14864.73
1835.4412,12819.1,4502.82,14685.2,18538.67,-5663.11,21342.18,-1131.58,14869.64
1835.4452,12811.61,4394.91,14602.42,18487.22,-5832.2,21264.22,-1392.08,14793.54
1835.4492,12812.47,4382.42,14587.31,18465.47,-5838.49,21252.49,-1377.87,14764.6
1835.4532,12812.95,4459.1,14644.96,18488.36,-5705.83,21307.85,-1160.0,14809.04
1835.4571,12810.18,4527.24,14701.56,18520.93,-5605.41,21354.25,-1005.46,14881.28
1835.4611,12797.26,4484.37,14674.81,18511.2,-5679.08,21323.68,-1137.3,14868.4
1835.4651,12777.09,4371.31,14583.68,18453.31,-5855.99,21237.61,-1400.76,14778.9
1835.4691,12779.09,4351.19,14561.27,18433.81,-5873.49,21223.5,-1409.96,14746.33
1835.4731,12792.73,4439.31,14630.37,18474.96,-5725.43,21291.69,-1178.79,14805.75
1835.4771,12801.51,4517.37,14698.41,18521.12,-5610.61,21352.48,-1011.61,14876.22
1835.4811,12791.44,4480.03,14671.38,18511.49,-5684.14,21323.97,-1145.7,14856.01
1835.4851,12774.18,4372.26,14581.92,18454.74,-5857.18,21236.71,-1406.72,14768.51
1835.4891,12764.74,4347.04,14550.69,18419.84,-5894.95,21205.57,-1428.56,14720.87
1835.4931,12778.47,4434.49,14614.77,18459.51,-5747.75,21273.52,-1199.77,14775.95
1835.4971,12780.76,4504.4,14671.14,18497.23,-5642.75,21319.2,-1046.94,14828.21
1835.5011,12775.95,4465.58,14640.14,18498.47,-5712.61,21289.64,-1189.04,14793.3
1835.5051,12761.88,4355.48,14548.35,18442.78,-5884.03,21205.76,-1452.11,14715.01
1835.5091,12760.55,4341.22,14528.9,18414.79,-5901.67,21186.26,-1449.11,14687.49
1835.5131,12773.56,4426.72,14596.03,18453.22,-5760.05,21250.35,-1223.18,14745.24
1835.5171,12786.2,4508.31,14668.18,18509.63,-5635.64,21319.82,-1051.38,14824.34
1835.5211,12782.05,4474.45,14649.3,18508.53,-5699.4,21301.75,-1170.97,14823.92
1835.5251,12771.66,4369.78,14568.86,18456.27,-5865.48,21225.5,-1420.69,14753.49
1835.5291,12781.48,4358.58,14558.75,18446.26,-5873.39,21221.5,-1419.26,14732.65
1835.5331,12798.84,4448.84,14635.9,18485.64,-5726.81,21291.69,-1183.18,14804.08
1835.5371,12807.28,4525.95,14706.95,18533.04,-5610.04,21352.1,-1013.14,14881.99
1835.5411,12797.07,4488.85,14682.72,18527.13,-5679.13,21324.45,-1140.59,14870.6
1835.5451,12782.72,4381.85,14597.04,18472.82,-5848.74,21244.91,-1394.61,14794.54
1835.5491,12789.92,4365.49,14579.39,18457.65,-5861.47,21236.23,-1400.66,14764.36
1835.5531,12801.17,4449.94,14641.67,18492.18,-5722.14,21296.07,-1178.12,14809.32
1835.5571,12805.27,4524.33,14703.04,18534.33,-5606.51,21351.2,-1013.95,14878.42
1835.5611,12794.83,4486.99,14679.0,18529.56,-5675.89,21325.69,-1136.49,14880.42
1835.5651,12779.14,4378.46,14586.36,18475.63,-5849.93,21240.76,-1398.09,14790.92
1835.5691,12777.62,4358.24,14560.56,18453.12,-5873.73,21222.31,-1415.01,14749.96
1835.5731,12794.26,4445.6,14626.6,18489.36,-5732.44,21286.59,-1190.61,14802.7
1835.5771,12807.94,4528.0,14697.98,18536.14,-5610.75,21351.15,-1016.81,14875.7
1835.5811,12793.97,4487.04,14668.75,18528.13,-5684.9,21318.1,-1154.85,14851.24
1835.585,12770.18,4368.11,14565.8,18459.75,-5872.82,21222.16,-1432.51,14748.53
1835.589,12771.42,4352.19,14539.72,18438.39,-5886.41,21207.96,-1437.71,14710.14
1835.593,12788.82,4444.6,14607.77,18482.78,-5730.53,21279.24,-1203.73,14767.36
1835.597,12799.5,4520.66,14671.38,18532.85,-5613.28,21338.13,-1046.51,14834.88
1835.601,12792.78,4483.99,14650.78,18526.51,-5687.76,21312.72,-1176.17,14828.45
1835.605,12780.24,4376.98,14568.24,18475.87,-5859.14,21234.56,-1427.41,14752.15
1835.609,12792.78,4369.78,14563.56,18470.29,-5856.8,21235.09,-1410.53,14733.22
1835.613,12814.19,4462.53,14641.38,18511.82,-5710.55,21303.8,-1181.32,14796.69
1835.617,12831.26,4546.17,14717.63,18562.75,-5587.44,21370.22,-1006.98,14890.72
1835.621,12822.82,4508.45,14694.5,18553.02,-5655.81,21344.33,-1126.48,14878.37
1835.625,12813.09,4402.78,14610.91,18500.76,-5824.95,21265.18,-1381.73,14795.97
1835.629,12822.34,4387.67,14593.7,18485.98,-5842.59,21253.83,-1395.18,14764.22
1835.633,12842.75,4478.84,14665.56,18526.75,-5694.44,21324.11,-1164.58,14829.59
1835.637,12857.87,4563.14,14738.37,18576.96,-5567.65,21391.92,-991.77,14904.64
1835.641,12846.23,4529.52,14713.53,18566.18,-5635.88,21364.12,-1113.7,14890.72
1835.645,12821.01,4412.17,14616.59,18497.76,-5818.99,21272.57,-1378.15,14797.12
1835.6489,12814.24,4379.99,14581.83,18468.29,-5854.85,21244.67,-1407.19,14744.52
1835.6529,12824.11,4459.33,14642.91,18499.52,-5720.19,21303.23,-1190.23,14796.74
1835.6569,12828.97,4536.96,14711.1,18542.63,-5599.93,21365.84,-1015.81,14882.33
1835.6609,12810.18,4496.62,14682.87,18524.46,-5677.51,21330.93,-1140.31,14866.54
1835.6649,12783.86,4378.75,14583.54,18456.94,-5861.66,21237.76,-1410.77,14769.03
1835.6689,12779.14,4350.33,14551.59,18431.33,-5896.28,21211.53,-1436.38,14720.11
1835.6729,12790.73,4433.92,14612.87,18471.86,-5754.42,21272.71,-1219.7,14762.31
