TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1835.4065,-449.631,-86.62,884.5,-1767.5,-3666.25,1128.75,355.68,34.96,-124.64
1835.4565,-451.522,-89.975,887.428,-1732.5,-3578.75,1128.75,352.64,27.36,-135.28
1835.5065,-453.962,-87.718,879.803,-1216.25,-3158.75,1067.5,342.0,42.56,-141.36
1835.5565,-452.132,-88.572,879.315,-1198.75,-2773.75,1225.0,367.84,38.0,-118.56
1835.6065,-461.404,-75.518,884.805,-1811.25,-3438.75,1181.25,348.08,45.6,-127.68
1835.6565,-456.89,-87.779,881.999,-2677.5,-4506.25,1032.5,361.76,44.08,-120.08
1835.7065,-453.413,-87.047,876.631,-1120.0,-4383.75,1592.5,367.84,41.04,-114.0
1835.7565,-462.136,-80.459,881.572,-1295.0,-3430.0,1330.0,357.2,22.8,-120.08
1835.8065,-462.197,-83.387,880.23,-1968.75,-4051.25,1120.0,369.36,25.84,-115.52
1835.8565,-459.94,-81.191,876.265,-2327.5,-3858.75,533.75,355.68,30.4,-115.52
1835.9065,-463.356,-87.474,880.169,-1890.0,-3657.5,61.25,367.84,34.96,-121.6
1835.9565,-462.929,-81.313,878.888,-1671.25,-4130.0,140.0,346.56,45.6,-124.64
1836.0065,-466.589,-84.851,878.522,-2257.5,-4278.75,-122.5,378.48,38.0,-118.56
1836.0565,-463.112,-87.901,878.217,-2170.0,-4401.25,113.75,358.72,39.52,-114.0
1836.1065,-461.77,-89.304,876.082,-1925.0,-4305.0,-61.25,380.0,39.52,-117.04
1836.1567,-465.308,-84.851,878.522,-1820.0,-4121.25,26.25,369.36,51.68,-118.56
1836.2065,-464.027,-88.694,876.265,-2205.0,-4366.25,-341.25,364.8,44.08,-130.72
1836.2565,-465.796,-93.025,877.058,-1968.75,-4777.5,-315.0,358.72,34.96,-115.52
1836.3065,-463.905,-91.012,873.642,-1435.0,-4908.75,140.0,366.32,31.92,-130.72
1836.3565,-462.197,-89.731,874.313,-1548.75,-3727.5,498.75,364.8,47.12,-123.12
1836.4065,-474.092,-79.849,878.095,-2056.25,-4978.75,507.5,366.32,50.16,-115.52
1836.4565,-464.149,-95.709,877.18,-2301.25,-5521.25,-35.0,372.4,41.04,-127.68
1836.5065,-455.914,-90.524,872.605,-1478.75,-4620.0,551.25,369.36,39.52,-117.04
