TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
7915.7813,18332.91,1828.34,16905.02,33275.89,29164.13,14153.67,5531.45,28342.11
7915.7853,18354.13,1861.29,16948.37,33291.39,29186.44,14174.56,5576.52,28358.51
7915.7893,18390.99,1917.03,17075.87,33313.28,29218.44,14201.45,5654.29,28383.64
7915.7933,18410.64,1938.25,17131.33,33330.78,29237.42,14216.85,5680.13,28398.04
7915.7973,18401.91,1902.58,17043.45,33341.51,29235.89,14210.65,5623.72,28391.27
7915.8013,18390.75,1867.49,16933.63,33342.51,29227.88,14201.45,5570.84,28379.63
7915.8053,18402.24,1890.56,16962.53,33346.51,29237.89,14212.04,5601.84,28384.5
7915.8093,18430.47,1942.3,17086.6,33367.07,29269.27,14237.31,5677.27,28408.48
7915.8133,18432.14,1944.11,17128.04,33367.83,29268.7,14235.21,5687.62,28413.78
7915.8173,18404.39,1894.0,17028.0,33357.91,29245.09,14213.09,5619.91,28396.99
7915.8213,18382.41,1857.47,16921.05,33349.99,29227.93,14201.12,5569.12,28380.97
7915.8253,18390.71,1884.08,16964.87,33345.99,29234.27,14210.42,5607.37,28390.36
7915.8293,18405.15,1921.22,17072.82,33341.94,29244.33,14218.76,5664.02,28396.61
7915.8333,18406.54,1927.9,17116.6,33345.56,29249.24,14221.48,5673.6,28388.69
7915.8373,18380.79,1880.46,17020.8,33339.22,29232.22,14206.46,5610.9,28375.01
7915.8413,18353.23,1840.54,16909.51,33318.05,29201.18,14182.62,5553.77,28360.66
7915.8453,18364.24,1868.73,16947.03,33317.86,29210.67,14191.1,5584.34,28352.6
7915.8493,18384.13,1916.84,17064.76,33322.0,29227.12,14207.7,5648.18,28362.37
7915.8533,18389.99,1930.48,17118.65,33324.15,29233.75,14211.51,5665.45,28367.62
7915.8573,18372.25,1891.23,17031.62,33322.72,29219.06,14198.02,5607.61,28358.65
7915.8613,18350.22,1853.66,16919.14,33310.8,29196.79,14181.19,5549.38,28342.58
7915.8653,18363.19,1880.07,16952.18,33312.37,29205.52,14191.68,5582.95,28356.79
7915.8693,18398.33,1938.63,17084.74,33328.87,29236.94,14217.81,5661.11,28386.45
7915.8733,18411.69,1951.65,17136.0,33335.83,29248.05,14226.15,5677.84,28395.7
7915.8773,18396.0,1908.25,17042.97,33333.5,29233.51,14212.61,5617.62,28389.7
7915.8813,18382.03,1878.93,16940.55,33330.4,29220.06,14203.45,5572.42,28387.45
7915.8853,18397.62,1910.16,16982.27,33337.17,29233.46,14217.38,5611.23,28403.19
7915.8893,18425.61,1960.47,17100.81,33350.71,29259.78,14238.36,5679.99,28421.93
7915.8933,18440.68,1980.21,17157.46,33364.44,29274.51,14251.23,5704.26,28437.33
7915.8973,18422.27,1935.39,17065.48,33363.06,29262.4,14238.79,5643.13,28428.61
7915.9013,18402.24,1894.19,16952.47,33356.24,29246.24,14225.58,5588.63,28413.92
7915.9053,18411.59,1914.69,16986.37,33353.9,29251.53,14231.4,5620.96,28414.49
7915.9092,18441.11,1965.86,17112.21,33369.74,29281.86,14259.63,5698.68,28439.38
7915.9132,18452.03,1978.21,17162.23,33384.57,29296.07,14272.17,5721.52,28456.07
7915.9172,18428.85,1932.1,17066.53,33383.9,29282.48,14256.0,5659.77,28444.1
7915.9212,18397.86,1883.41,16942.07,33365.4,29253.25,14226.49,5586.05,28407.62
7915.9252,18406.3,1905.82,16976.6,33363.87,29259.16,14235.93,5620.91,28412.15
7915.9292,18431.81,1955.56,17100.96,33372.64,29282.14,14255.62,5694.06,28429.42
7915.9332,18441.25,1970.24,17151.64,33381.9,29290.11,14261.77,5711.37,28437.09
7915.9372,18423.23,1930.67,17062.28,33381.61,29273.99,14247.61,5652.81,28430.89
7915.9412,18401.29,1894.52,16952.33,33369.26,29252.48,14231.11,5598.21,28415.73
7915.9452,18413.93,1922.27,16991.05,33367.92,29259.83,14240.55,5633.45,28424.46
7915.9492,18439.58,1974.3,17115.5,33376.6,29281.43,14258.05,5702.97,28437.57
7915.9532,18445.92,1987.79,17167.9,33380.7,29290.68,14265.16,5722.24,28449.87
7915.9572,18425.61,1943.3,17077.11,33373.88,29272.7,14247.85,5660.58,28439.0
7915.9612,18408.54,1906.44,16972.69,33366.59,29256.54,14236.17,5611.23,28430.61
7915.9652,18430.95,1941.87,17019.18,33374.93,29272.46,14257.19,5659.96,28450.87
7915.9692,18457.94,1988.98,17138.01,33389.67,29298.83,14279.89,5729.39,28469.9
7915.9731,18467.81,1999.57,17185.88,33401.11,29312.57,14288.24,5747.03,28475.48
7915.9771,18456.6,1962.33,17103.82,33408.46,29307.51,14280.99,5695.06,28473.05
7915.9811,18440.3,1927.04,16995.24,33406.17,29296.45,14271.21,5644.7,28464.99
7915.9851,18443.97,1945.78,17018.22,33402.4,29297.64,14277.03,5673.08,28470.23
7915.9891,18470.72,1996.14,17139.01,33416.66,29325.63,14298.82,5741.64,28483.44
7915.9931,18488.65,2016.78,17201.85,33431.25,29342.32,14311.94,5768.01,28497.65
7915.9971,18470.1,1975.73,17113.59,33430.53,29324.77,14295.77,5706.41,28483.01
7916.0011,18445.45,1932.1,16994.81,33417.18,29302.08,14276.32,5644.37,28458.17
7916.0051,18461.42,1955.13,17022.75,33423.0,29313.62,14287.19,5675.46,28466.99
7916.0091,18499.76,2018.69,17152.6,33445.03,29349.14,14320.9,5756.95,28497.75
7916.0131,18505.53,2029.71,17205.29,33447.94,29353.77,14322.57,5772.97,28502.75
7916.0171,18472.2,1975.2,17101.91,33431.96,29323.25,14292.53,5696.54,28472.33
7916.0211,18450.55,1938.1,16990.57,33423.09,29302.7,14276.27,5638.17,28451.97
7916.0251,18466.47,1969.62,17032.05,33430.25,29319.34,14296.53,5680.56,28464.42
7916.0291,18494.04,2021.98,17156.46,33442.5,29345.8,14318.42,5751.85,28481.01
7916.0331,18502.76,2033.52,17207.62,33445.46,29348.09,14318.85,5766.2,28488.5
7916.0371,18491.56,1997.66,17125.94,33450.42,29339.36,14312.89,5712.27,28486.64
7916.0411,18472.39,1963.81,17020.32,33443.84,29321.39,14300.35,5663.44,28476.77
7916.0451,18477.63,1986.46,17053.89,33438.35,29324.01,14304.97,5696.35,28481.2
7916.0491,18493.89,2031.52,17171.43,33439.78,29338.89,14318.04,5762.48,28496.32
7916.0531,18500.71,2040.29,17221.26,33443.41,29347.42,14324.19,5778.36,28506.47
7916.0571,18482.16,1996.61,17131.14,33443.6,29337.6,14311.41,5717.8,28494.27
7916.0611,18456.46,1953.27,17012.88,33430.34,29314.57,14288.47,5656.43,28475.57
7916.0651,18462.95,1973.92,17036.49,33421.9,29311.18,14290.14,5683.8,28478.39
7916.0691,18499.47,2034.38,17164.18,33444.12,29349.52,14323.95,5763.44,28509.86
7916.0731,18512.58,2049.73,17224.27,33455.28,29362.59,14336.59,5793.38,28529.46
7916.0771,18494.51,2004.39,17136.05,33453.42,29346.85,14321.52,5735.21,28516.82
7916.0811,18480.02,1969.19,17024.33,33452.99,29338.08,14311.36,5675.13,28495.12
7916.0851,18491.65,1993.32,17048.98,33454.71,29345.09,14319.9,5700.26,28496.89
7916.0891,18522.17,2045.87,17170.0,33470.97,29372.41,14342.88,5769.83,28510.57
7916.0931,18539.62,2065.85,17231.28,33488.33,29394.73,14360.1,5797.29,28524.21
7916.0971,18523.5,2026.18,17144.97,33485.61,29378.32,14344.5,5740.4,28521.02
7916.101,18505.05,1989.03,17034.15,33474.07,29353.38,14324.86,5683.09,28506.47
7916.105,18515.54,2010.01,17061.86,33472.4,29359.44,14331.68,5707.55,28498.94
7916.109,18535.66,2054.88,17178.44,33477.98,29379.56,14347.32,5773.02,28510.81
7916.113,18543.63,2070.52,17234.66,33485.13,29389.58,14356.19,5797.48,28528.26
7916.117,18526.84,2031.52,17150.93,33484.8,29374.41,14342.64,5743.27,28526.45
7916.121,18500.95,1989.41,17035.2,33471.25,29350.9,14320.42,5680.9,28501.7
7916.125,18504.81,2007.63,17061.04,33469.35,29356.2,14324.71,5706.93,28500.7
7916.129,18529.47,2057.36,17186.12,33476.83,29375.18,14343.12,5776.45,28516.92
7916.133,18539.86,2073.43,17242.86,33487.18,29386.09,14353.23,5797.82,28526.12
7916.137,18517.35,2030.95,17152.12,33481.17,29365.02,14334.68,5737.02,28517.25
7916.141,18499.9,1993.94,17040.92,33472.11,29347.33,14322.38,5685.85,28506.71
7916.145,18511.2,2019.55,17074.49,33471.97,29355.58,14334.49,5719.23,28516.58
7916.149,18534.61,2068.42,17192.08,33482.94,29379.75,14354.66,5786.13,28533.41
7916.153,18546.25,2084.78,17249.63,33494.14,29396.59,14367.39,5811.98,28546.86
7916.157,18524.6,2039.1,17160.85,33486.61,29378.13,14345.89,5747.75,28533.56
7916.161,18499.0,1995.95,17044.26,33471.4,29354.15,14325.1,5685.0,28517.49
7916.165,18505.77,2016.21,17065.91,33468.73,29357.63,14332.2,5712.27,28526.26
7916.169,18537.19,2068.33,17187.55,33481.51,29384.43,14354.76,5784.8,28545.14
7916.173,18556.02,2089.17,17250.68,33495.81,29403.83,14368.11,5813.5,28557.16
7916.177,18538.24,2046.3,17168.86,33494.05,29389.19,14353.04,5754.52,28549.44
7916.181,18506.48,1994.09,17042.83,33471.06,29356.44,14324.24,5684.04,28518.63
7916.185,18505.48,2006.2,17055.8,33458.09,29350.0,14319.71,5700.54,28510.67
7916.189,18539.38,2064.23,17182.4,33477.6,29382.04,14346.17,5774.64,28532.94
7916.193,18555.93,2086.21,17249.11,33491.33,29400.5,14364.39,5807.73,28551.82
7916.197,18538.14,2042.48,17162.23,33493.28,29390.86,14354.9,5750.85,28542.67
7916.201,18507.67,1994.04,17036.92,33475.98,29358.44,14326.24,5681.94,28519.68
7916.205,18512.54,2012.49,17059.76,33471.02,29357.48,14324.95,5703.4,28520.25
7916.209,18541.05,2066.8,17184.07,33485.51,29387.57,14351.32,5778.6,28547.62
7916.213,18549.97,2083.3,17244.72,33495.33,29399.68,14363.48,5808.45,28569.42
7916.217,18522.12,2033.62,17153.22,33482.46,29373.27,14342.69,5744.79,28558.54
7916.221,18491.89,1984.55,17030.81,33463.86,29343.66,14314.94,5673.22,28529.6
7916.225,18494.66,2001.67,17054.7,33455.52,29340.08,14313.56,5695.53,28531.03
7916.2289,18521.93,2055.22,17180.49,33464.25,29363.02,14335.11,5768.97,28553.35
7916.2329,18537.52,2076.63,17242.82,33476.31,29378.47,14346.74,5797.39,28572.94
7916.2369,18517.4,2033.66,17156.65,33474.69,29363.78,14331.63,5738.83,28566.75
7916.2409,18497.9,1995.61,17044.59,33465.44,29347.42,14320.23,5685.23,28554.11
7916.2449,18511.25,2021.22,17075.21,33471.73,29362.49,14335.11,5722.62,28555.78
7916.2489,18534.52,2066.52,17192.99,33476.5,29381.23,14351.42,5788.99,28566.79
7916.2529,18544.25,2078.72,17246.44,33483.41,29390.0,14357.66,5811.22,28579.29
7916.2569,18524.41,2032.61,17152.03,33482.84,29377.03,14340.26,5747.75,28564.12
7916.2609,18502.81,1990.75,17035.06,33477.83,29359.73,14323.76,5687.29,28542.9
7916.2649,18512.3,2010.49,17058.85,33477.02,29364.02,14326.72,5711.6,28539.04
7916.2689,18537.0,2058.32,17177.68,33482.98,29383.71,14342.64,5778.93,28560.69
7916.2729,18546.73,2072.57,17234.38,33489.52,29395.39,14350.27,5800.44,28572.32
7916.2769,18527.46,2030.66,17147.83,33485.32,29379.42,14337.11,5742.79,28562.74
7916.2809,18496.71,1984.74,17028.0,33467.82,29349.62,14311.46,5675.51,28539.09
7916.2849,18498.76,1998.85,17043.07,33460.1,29345.8,14307.88,5690.53,28527.93
