TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
7915.8065,-289.994,-94.001,957.761,-2222.5,-5031.25,1785.0,322.24,39.52,-165.68
7915.8565,-284.504,-98.393,958.371,-1575.0,-5381.25,2021.25,320.72,39.52,-152.0
7915.9065,-283.955,-101.077,955.931,-1715.0,-4226.25,1198.75,319.2,51.68,-159.6
7915.9565,-289.567,-97.966,955.321,-1120.0,-4733.75,516.25,320.72,50.16,-177.84
7916.0065,-286.395,-92.476,959.347,-1373.75,-4672.5,735.0,326.8,47.12,-182.4
7916.0565,-284.809,-96.075,957.334,-2091.25,-3911.25,1023.75,329.84,47.12,-145.92
7916.1065,-291.641,-94.55,954.833,-2073.75,-3613.75,1365.0,316.16,41.04,-170.24
7916.1565,-291.214,-93.086,955.016,-1995.0,-4068.75,735.0,323.76,48.64,-158.08
7916.2065,-292.068,-95.709,953.369,-2310.0,-4217.5,17.5,331.36,44.08,-173.28
7916.2565,-292.312,-96.38,952.881,-2388.75,-4375.0,-446.25,314.64,54.72,-156.56
7916.3065,-291.58,-100.65,949.648,-2301.25,-4007.5,-446.25,326.8,42.56,-167.2
7916.3565,-300.608,-102.175,955.809,-901.25,-3858.75,498.75,337.44,54.72,-173.28
7916.4065,-292.129,-105.591,955.992,-2721.25,-6221.25,-315.0,326.8,53.2,-164.16
7916.4565,-282.796,-101.138,948.55,-857.5,-5066.25,498.75,322.24,50.16,-164.16
7916.5065,-293.593,-96.197,957.029,-1531.25,-4401.25,700.0,320.72,53.2,-170.24
7916.5565,-290.116,-101.016,956.297,-1627.5,-4943.75,796.25,317.68,50.16,-176.32
7916.6065,-284.687,-101.809,955.321,-1811.25,-4357.5,647.5,307.04,65.36,-173.28
7916.6567,-292.922,-98.149,951.173,-1207.5,-4243.75,673.75,323.76,48.64,-173.28
7916.7065,-289.079,-96.38,953.186,-1566.25,-4523.75,752.5,328.32,59.28,-159.6
7916.7566,-290.726,-98.637,954.833,-1855.0,-3780.0,1102.5,332.88,50.16,-173.28
7916.8065,-292.678,-102.297,951.966,-1295.0,-3500.0,1338.75,326.8,50.16,-176.32
7916.8565,-295.606,-98.027,951.722,-1120.0,-3500.0,1496.25,332.88,44.08,-171.76
7916.9065,-295.118,-97.173,953.43,-1365.0,-4051.25,1321.25,322.24,50.16,-173.28
7916.9565,-296.155,-101.077,951.051,-1723.75,-3928.75,1102.5,317.68,62.32,-174.8
7917.0065,-299.266,-99.369,950.624,-1618.75,-3508.75,1155.0,326.8,42.56,-168.72
7917.0565,-304.939,-97.783,955.565,-525.0,-3150.0,1776.25,317.68,56.24,-165.68
7917.1065,-299.388,-101.077,953.003,-1942.5,-4777.5,1172.5,342.0,41.04,-171.76
7917.1565,-289.933,-98.454,944.951,-533.75,-4200.0,1321.25,329.84,44.08,-156.56
7917.2065,-302.072,-94.123,955.382,-1373.75,-3351.25,936.25,319.2,56.24,-156.56
7917.2565,-302.499,-92.415,953.125,-1548.75,-4156.25,1006.25,305.52,57.76,-155.04
7917.3065,-297.253,-95.16,947.94,-2056.25,-3832.5,717.5,319.2,50.16,-147.44
7917.3565,-307.928,-96.441,951.6,-1645.0,-3815.0,770.0,325.28,48.64,-165.68
7917.4065,-307.318,-97.112,950.685,-1758.75,-4865.0,455.0,334.4,54.72,-171.76
7917.4565,-300.974,-94.611,950.624,-1890.0,-4497.5,560.0,329.84,50.16,-148.96
7917.5065,-301.645,-97.112,949.892,-1872.5,-4270.0,1015.0,317.68,51.68,-162.64
7917.5565,-307.745,-97.966,948.855,-1461.25,-5066.25,1076.25,329.84,48.64,-168.72
7917.6065,-305.0,-99.308,949.221,-1461.25,-5425.0,752.5,328.32,57.76,-162.64
7917.6565,-305.427,-99.857,949.343,-1050.0,-5320.0,227.5,311.6,34.96,-164.16
7917.7065,-303.902,-100.467,948.733,-743.75,-5250.0,17.5,342.0,38.0,-167.2
7917.7565,-306.952,-90.89,951.844,-1636.25,-6510.0,113.75,326.8,44.08,-155.04
7917.8065,-294.203,-100.223,950.319,-953.75,-6597.5,770.0,325.28,50.16,-161.12
7917.8565,-291.031,-91.988,949.404,-455.0,-5197.5,1382.5,325.28,33.44,-153.52
7917.9065,-298.412,-86.681,955.443,-1391.25,-5110.0,866.25,317.68,42.56,-158.08
7917.9565,-291.641,-90.951,951.051,-1680.0,-4611.25,332.5,349.6,50.16,-165.68
7918.0065,-296.887,-97.356,952.637,-2100.0,-3561.25,-52.5,323.76,38.0,-156.56
7918.0565,-299.144,-94.489,950.38,-1435.0,-4182.5,236.25,311.6,63.84,-168.72
7918.1065,-300.486,-93.574,951.173,-1916.25,-4348.75,568.75,320.72,47.12,-148.96
7918.1565,-300.669,-98.271,950.197,-1925.0,-4383.75,516.25,322.24,39.52,-171.76
7918.2065,-302.133,-97.661,951.051,-1610.0,-4060.0,647.5,343.52,47.12,-144.4
7918.2565,-299.693,-93.574,949.953,-1592.5,-4453.75,603.75,317.68,41.04,-177.84
7918.3065,-302.011,-97.112,949.526,-1995.0,-4952.5,542.5,332.88,50.16,-179.36
7918.3565,-296.826,-95.587,949.953,-1697.5,-4541.25,402.5,326.8,47.12,-177.84
