TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4459.2318,18001.61,8252.67,20286.37,29434.59,9149.6,18320.51,6405.07,28702.41
4459.2358,17962.17,8179.62,20156.86,29406.74,8789.54,18264.82,6265.83,28650.95
4459.2398,17965.13,8185.24,20154.62,29401.02,8900.93,18265.3,6295.59,28641.42
4459.2438,17993.02,8245.18,20258.48,29412.56,9277.25,18308.59,6426.96,28667.41
4459.2478,18003.28,8270.79,20323.14,29420.67,9426.17,18332.25,6480.74,28682.04
4459.2518,17975.38,8218.96,20250.13,29404.12,9128.0,18296.82,6367.64,28649.81
4459.2558,17937.9,8151.1,20124.82,29376.84,8767.8,18243.08,6232.31,28613.28
4459.2598,17934.61,8154.3,20117.19,29373.32,8866.03,18238.26,6258.3,28600.98
4459.2638,17959.88,8211.42,20217.85,29396.49,9228.66,18282.51,6385.95,28626.21
4459.2678,17969.32,8241.13,20285.85,29407.79,9394.07,18304.68,6447.17,28646.85
4459.2718,17938.43,8192.83,20218.42,29391.82,9100.87,18266.63,6338.41,28621.01
4459.2758,17896.42,8120.73,20090.11,29355.34,8719.02,18203.4,6197.07,28572.61
4459.2798,17901.9,8132.79,20101.98,29351.24,8832.03,18211.27,6241.37,28578.28
4459.2838,17927.7,8191.16,20211.56,29363.78,9188.22,18252.85,6374.88,28616.86
4459.2878,17941.0,8226.35,20291.38,29380.04,9363.7,18283.89,6444.79,28647.9
4459.2918,17914.82,8184.58,20237.97,29373.98,9083.46,18258.14,6352.76,28646.81
4459.2958,17885.02,8125.12,20126.3,29355.91,8716.92,18214.9,6228.59,28623.11
4459.2998,17898.04,8143.24,20135.45,29354.15,8827.02,18226.48,6273.79,28633.55
4459.3038,17934.66,8207.18,20246.32,29379.42,9206.87,18276.98,6412.94,28675.04
4459.3078,17961.79,8247.76,20325.81,29408.65,9394.12,18314.03,6483.56,28703.5
4459.3118,17957.02,8220.82,20274.07,29421.38,9139.92,18296.72,6392.96,28685.53
4459.3158,17940.0,8169.13,20161.06,29414.47,8791.73,18256.48,6269.55,28651.38
4459.3198,17951.44,8179.14,20154.14,29417.28,8870.89,18260.05,6292.01,28644.28
4459.3238,17988.92,8242.51,20261.53,29437.93,9247.83,18309.17,6426.86,28678.37
4459.3278,18012.95,8280.66,20339.78,29460.53,9436.94,18346.22,6499.2,28707.41
4459.3318,17995.22,8240.18,20278.98,29455.14,9165.62,18321.18,6401.35,28688.15
4459.3358,17964.17,8176.18,20153.24,29434.59,8799.22,18271.35,6264.88,28645.33
4459.3398,17959.5,8177.95,20144.89,29418.66,8884.81,18261.96,6286.76,28632.5
4459.3438,17979.96,8226.63,20238.45,29429.82,9240.77,18298.58,6402.92,28645.28
4459.3478,17989.78,8254.2,20304.78,29440.88,9415.39,18318.08,6460.33,28654.39
4459.3518,17960.17,8207.42,20244.84,29420.9,9130.62,18282.94,6361.87,28642.32
4459.3558,17919.97,8136.42,20120.0,29388.72,8744.86,18226.1,6222.39,28599.79
4459.3597,17917.78,8140.14,20109.99,29380.94,8840.04,18223.19,6242.09,28582.53
4459.3637,17942.62,8196.93,20212.22,29395.3,9216.6,18267.06,6373.84,28610.76
4459.3677,17956.78,8230.26,20289.28,29407.65,9383.01,18297.87,6443.55,28643.28
4459.3717,17934.04,8186.39,20227.39,29393.58,9103.97,18267.06,6342.36,28624.44
4459.3757,17898.04,8119.15,20101.5,29365.21,8737.95,18214.85,6206.47,28578.28
4459.3797,17901.61,8127.12,20102.55,29353.38,8825.4,18215.8,6237.65,28579.05
4459.3837,17935.33,8192.44,20219.71,29367.83,9202.43,18265.49,6382.13,28626.21
4459.3877,17959.26,8235.6,20306.4,29385.52,9377.77,18300.77,6460.19,28666.6
4459.3917,17947.63,8204.56,20258.33,29382.42,9117.8,18282.32,6375.12,28658.92
4459.3957,17919.4,8144.81,20142.7,29362.11,8764.51,18237.35,6242.94,28619.44
4459.3997,17925.5,8152.53,20134.98,29355.72,8828.83,18237.35,6263.92,28625.21
