TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2758.8565,-245.22,-64.294,969.107,-1995.0,-4725.0,-472.5,291.84,36.48,-180.88
2758.9065,-242.292,-61.244,970.632,-1268.75,-4760.0,-148.75,310.08,33.44,-183.92
2758.9565,-244.976,-56.974,971.669,-1820.0,-4270.0,612.5,308.56,39.52,-179.36
2759.0065,-245.22,-63.623,973.194,-2108.75,-4488.75,691.25,305.52,45.6,-176.32
2759.0565,-247.294,-64.355,971.425,-1960.0,-4576.25,122.5,302.48,44.08,-171.76
2759.1065,-246.989,-64.66,971.242,-1155.0,-4628.75,-175.0,317.68,60.8,-182.4
2759.1565,-247.782,-63.196,969.046,-1933.75,-4576.25,113.75,296.4,38.0,-170.24
2759.2065,-246.806,-64.843,970.51,-1540.0,-4418.75,840.0,300.96,33.44,-173.28
2759.2565,-247.904,-67.405,968.985,-1758.75,-4532.5,726.25,307.04,38.0,-205.2
2759.3065,-257.115,-61.61,971.059,-796.25,-4751.25,857.5,307.04,44.08,-185.44
2759.3565,-242.719,-70.211,972.645,-1951.25,-5915.0,201.25,296.4,42.56,-174.8
2759.4065,-240.95,-55.144,969.595,-787.5,-4821.25,1041.25,293.36,39.52,-170.24
2759.4565,-249.49,-55.144,972.462,-1645.0,-4585.0,1513.75,316.16,41.04,-180.88
2759.5065,-242.78,-64.233,972.706,-2030.0,-4952.5,673.75,304.0,56.24,-168.72
2759.5565,-244.976,-60.756,970.022,-1968.75,-4313.75,-236.25,311.6,62.32,-183.92
2759.6065,-246.379,-62.647,971.364,-1426.25,-5040.0,-525.0,305.52,30.4,-196.08
2759.6565,-246.562,-59.353,970.632,-1977.5,-4812.5,227.5,317.68,28.88,-162.64
2759.7065,-250.161,-64.294,970.693,-2205.0,-4803.75,490.0,302.48,45.6,-182.4
2759.7565,-245.708,-66.124,969.168,-1522.5,-5110.0,577.5,296.4,31.92,-164.16
2759.8065,-241.865,-64.843,971.669,-1513.75,-5031.25,131.25,304.0,47.12,-182.4
2759.8565,-245.586,-62.525,970.51,-1601.25,-4585.0,323.75,287.28,44.08,-183.92
2759.9065,-243.939,-65.087,971.73,-1338.75,-4558.75,761.25,319.2,41.04,-179.36
2759.9565,-245.891,-64.782,965.874,-1916.25,-4760.0,848.75,305.52,54.72,-182.4
2760.0065,-257.603,-57.889,976.549,-1085.0,-4777.5,787.5,299.44,54.72,-176.32
2760.0565,-237.778,-68.625,971.364,-1242.5,-5722.5,507.5,305.52,42.56,-174.8
2760.1065,-239.913,-57.34,968.131,-1006.25,-4541.25,1067.5,300.96,24.32,-182.4
2760.1567,-246.928,-58.255,976.305,-1540.0,-4760.0,1076.25,300.96,38.0,-190.0
2760.2065,-237.717,-60.939,971.364,-1872.5,-4068.75,393.75,294.88,28.88,-182.4
2760.2566,-255.59,-61.61,971.547,-2397.5,-3937.5,-533.75,319.2,47.12,-179.36
2760.3065,-248.636,-65.453,969.107,-1505.0,-5031.25,-420.0,285.76,34.96,-182.4
2760.3565,-247.233,-64.477,969.9,-1627.5,-4637.5,183.75,308.56,45.6,-168.72
2760.4065,-247.294,-66.368,971.852,-1592.5,-4873.75,735.0,284.24,50.16,-179.36
2760.4565,-245.403,-66.368,970.937,-1505.0,-4698.75,936.25,305.52,45.6,-180.88
2760.5065,-246.745,-65.392,969.29,-1461.25,-4646.25,402.5,297.92,48.64,-185.44
2760.5565,-244.183,-64.355,971.364,-1347.5,-4943.75,463.75,319.2,25.84,-177.84
2760.6065,-243.451,-61.488,969.29,-1382.5,-4296.25,1006.25,307.04,28.88,-179.36
2760.6565,-250.405,-66.673,970.937,-901.25,-3998.75,1417.5,299.44,41.04,-174.8
2760.7065,-252.174,-61.122,969.656,-2493.75,-5538.75,525.0,304.0,57.76,-183.92
2760.7565,-243.146,-69.784,968.924,-971.25,-5145.0,367.5,293.36,38.0,-171.76
2760.8065,-248.27,-56.669,970.144,-1137.5,-4550.0,770.0,307.04,33.44,-180.88
2760.8565,-250.161,-56.852,972.462,-1566.25,-5407.5,971.25,302.48,53.2,-168.72
2760.9065,-245.281,-60.695,969.595,-1662.5,-4550.0,831.25,293.36,34.96,-176.32
2760.9565,-248.148,-67.649,971.791,-1487.5,-4611.25,218.75,304.0,41.04,-179.36
2761.0065,-248.453,-61.549,970.693,-1505.0,-4952.5,-52.5,302.48,44.08,-176.32
2761.0565,-246.379,-61.915,973.682,-1785.0,-4348.75,367.5,313.12,39.52,-179.36
2761.1065,-248.88,-64.294,969.473,-1680.0,-4681.25,717.5,305.52,38.0,-180.88
2761.1565,-244.793,-65.148,970.144,-1356.25,-4593.75,691.25,294.88,44.08,-177.84
2761.2065,-248.026,-61.488,972.645,-1487.5,-4760.0,-376.25,296.4,38.0,-179.36
2761.2565,-248.331,-61.854,970.815,-1846.25,-4760.0,-490.0,291.84,36.48,-176.32
2761.3065,-247.172,-62.342,968.68,-1662.5,-4978.75,533.75,299.44,54.72,-171.76
2761.3565,-246.623,-69.052,966.85,-1627.5,-4620.0,1006.25,293.36,42.56,-180.88
2761.4065,-255.041,-59.048,970.937,-1470.0,-4908.75,638.75,305.52,48.64,-185.44
2761.4565,-239.059,-71.736,972.462,-1163.75,-5328.75,8.75,293.36,39.52,-174.8
2761.5065,-240.157,-60.268,969.412,-997.5,-4716.25,201.25,293.36,38.0,-183.92
2761.5565,-250.527,-59.78,973.865,-1750.0,-4602.5,1041.25,296.4,41.04,-167.2
2761.6065,-244.061,-66.917,969.412,-1793.75,-4532.5,892.5,294.88,47.12,-168.72
2761.6565,-250.71,-61.671,970.693,-1925.0,-4375.0,131.25,300.96,57.76,-194.56
2761.7065,-246.074,-62.525,969.717,-1373.75,-4716.25,-210.0,296.4,41.04,-164.16
2761.7565,-247.538,-60.756,970.571,-1767.5,-4086.25,35.0,307.04,48.64,-185.44
2761.8065,-247.904,-65.026,971.913,-2108.75,-4620.0,717.5,291.84,42.56,-171.76
2761.8565,-248.392,-67.1,966.972,-1487.5,-4742.5,691.25,313.12,47.12,-182.4
2761.9065,-249.49,-63.928,969.595,-1391.25,-4952.5,376.25,302.48,36.48,-179.36
2761.9565,-244.183,-64.721,970.327,-1583.75,-5057.5,175.0,310.08,42.56,-191.52
2762.0065,-247.172,-64.599,972.157,-1496.25,-4865.0,262.5,300.96,50.16,-182.4
2762.0565,-245.891,-61.305,969.473,-1531.25,-4541.25,831.25,320.72,42.56,-165.68
2762.1065,-252.845,-65.453,970.51,-918.75,-4497.5,1356.25,296.4,25.84,-185.44
2762.1565,-253.516,-58.377,972.401,-2170.0,-5923.75,236.25,308.56,31.92,-177.84
2762.2065,-239.364,-69.906,972.401,-743.75,-5136.25,96.25,300.96,50.16,-188.48
2762.2565,-245.525,-59.841,970.998,-1723.75,-4313.75,315.0,296.4,31.92,-168.72
2762.3065,-250.649,-63.257,969.839,-2038.75,-4830.0,446.25,305.52,38.0,-188.48
2762.3565,-244.305,-66.307,971.547,-1172.5,-4576.25,542.5,302.48,38.0,-176.32
2762.4067,-249.612,-64.843,970.205,-2091.25,-4865.0,-525.0,307.04,31.92,-171.76
2762.4565,-244.976,-62.525,968.253,-1732.5,-5355.0,-210.0,299.44,41.04,-176.32
2762.5066,-246.135,-66.185,973.011,-2047.5,-4646.25,-17.5,307.04,44.08,-177.84
2762.5565,-245.891,-67.832,969.351,-1575.0,-4847.5,673.75,302.48,48.64,-194.56
2762.6065,-243.329,-64.111,969.778,-1050.0,-5162.5,761.25,290.32,31.92,-180.88
2762.6565,-244.0,-65.148,970.937,-1846.25,-5005.0,673.75,302.48,42.56,-173.28
2762.7065,-241.133,-63.318,972.584,-1793.75,-4383.75,350.0,302.48,51.68,-164.16
2762.7565,-246.074,-66.856,969.717,-1443.75,-4663.75,341.25,299.44,30.4,-174.8
2762.8065,-246.196,-64.599,970.998,-1688.75,-4243.75,665.0,278.16,44.08,-182.4
2762.8565,-254.736,-64.843,973.926,-481.25,-4121.25,1391.25,307.04,41.04,-180.88
2762.9065,-246.44,-65.941,970.876,-2310.0,-6020.0,568.75,316.16,42.56,-171.76
2762.9565,-235.521,-67.222,968.192,-1120.0,-4366.25,612.5,299.44,45.6,-168.72
2763.0065,-251.686,-65.27,973.499,-1557.5,-4646.25,516.25,314.64,42.56,-190.0
2763.0565,-245.037,-63.684,970.388,-1566.25,-5197.5,691.25,300.96,31.92,-179.36
2763.1065,-249.795,-63.135,968.863,-1750.0,-4095.0,350.0,307.04,44.08,-186.96
2763.1565,-246.013,-69.723,970.754,-1312.5,-5635.0,210.0,294.88,44.08,-168.72
2763.2065,-238.449,-63.013,970.937,-1461.25,-5241.25,-113.75,300.96,48.64,-174.8
2763.2565,-245.647,-65.026,971.242,-1828.75,-4305.0,166.25,300.96,36.48,-182.4
2763.3065,-245.403,-65.27,969.473,-1583.75,-4646.25,691.25,302.48,39.52,-177.84
2763.3565,-245.586,-66.368,972.523,-1548.75,-4655.0,638.75,297.92,50.16,-183.92
2763.4065,-247.599,-63.928,972.462,-1566.25,-4961.25,437.5,290.32,44.08,-179.36
2763.4565,-245.464,-67.039,969.717,-1575.0,-5066.25,463.75,302.48,47.12,-176.32
2763.5065,-245.647,-63.257,973.133,-1382.5,-4917.5,988.75,300.96,45.6,-186.96
2763.5565,-241.804,-58.743,970.022,-1163.75,-4121.25,2756.25,305.52,56.24,-191.52
2763.6065,-249.429,-57.035,969.595,-3342.5,-4515.0,1295.0,296.4,42.56,-183.92
2763.6565,-237.778,-76.86,969.534,-883.75,-5390.0,-866.25,294.88,57.76,-182.4
2763.7065,-240.096,-65.27,967.765,-612.5,-4086.25,-1330.0,293.36,47.12,-183.92
2763.7565,-250.893,-59.78,974.719,-2231.25,-4453.75,-726.25,290.32,31.92,-182.4
2763.8065,-244.488,-68.686,968.009,-1662.5,-4383.75,210.0,296.4,54.72,-179.36
2763.8565,-248.209,-66.307,970.144,-2336.25,-4480.0,-70.0,299.44,44.08,-179.36
2763.9065,-243.634,-66.429,973.743,-1723.75,-4480.0,-8.75,307.04,50.16,-182.4
2763.9565,-241.682,-65.026,968.07,-1855.0,-4611.25,227.5,302.48,48.64,-188.48
2764.0065,-244.671,-67.527,970.266,-2143.75,-3745.0,280.0,299.44,44.08,-164.16
2764.0565,-248.209,-69.906,968.68,-1820.0,-3806.25,253.75,304.0,48.64,-186.96
2764.1065,-249.978,-70.516,970.449,-1618.75,-4007.5,17.5,299.44,34.96,-171.76
2764.1565,-249.185,-66.612,968.192,-2003.75,-3876.25,166.25,299.44,45.6,-173.28
2764.2065,-252.54,-71.004,968.741,-2266.25,-3990.0,-43.75,296.4,36.48,-179.36
2764.2565,-250.1,-74.237,967.155,-1680.0,-3998.75,332.5,293.36,39.52,-182.4
2764.3065,-253.76,-74.054,965.203,-1601.25,-4226.25,262.5,310.08,28.88,-179.36
2764.3565,-261.263,-65.88,970.449,-1111.25,-4576.25,131.25,291.84,60.8,-168.72
