TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
6861.6458,21516.99,5132.15,17195.04,26501.61,9970.0,12957.72,4736.81,29835.28
6861.6498,21528.44,5138.11,17209.58,26514.68,9981.06,12968.97,4742.19,29848.63
6861.6538,21517.8,5115.13,17137.82,26506.47,9946.97,12951.66,4688.88,29838.23
6861.6578,21513.66,5104.11,17084.51,26497.56,9927.61,12940.36,4662.8,29825.21
6861.6618,21526.15,5121.9,17126.99,26507.48,9955.69,12952.38,4700.66,29830.13
6861.6658,21549.8,5154.51,17211.82,26530.75,10002.14,12983.04,4759.07,29851.44
6861.6698,21557.43,5162.38,17230.89,26541.9,10011.39,12992.67,4762.27,29859.59
6861.6738,21539.93,5133.49,17153.93,26521.64,9963.94,12965.35,4699.42,29843.24
6861.6778,21522.43,5109.41,17088.89,26502.14,9932.33,12943.36,4661.99,29823.83
6861.6818,21528.44,5126.38,17133.52,26503.66,9959.79,12957.86,4705.24,29831.79
6861.6858,21544.84,5154.28,17211.11,26521.5,10000.33,12982.32,4758.93,29847.86
6861.6898,21538.07,5147.55,17215.54,26521.3,9995.6,12979.56,4746.72,29843.86
6861.6938,21517.23,5116.03,17134.62,26501.85,9951.54,12955.71,4684.93,29820.92
6861.6978,21503.59,5097.49,17076.54,26479.39,9921.27,12935.54,4653.36,29807.57
6861.7018,21506.98,5111.17,17114.88,26473.19,9938.15,12940.74,4687.12,29814.29
6861.7058,21518.19,5134.63,17188.5,26488.93,9970.48,12959.48,4734.18,29821.78
6861.7097,21518.52,5135.44,17201.85,26497.65,9968.95,12960.05,4730.13,29823.5
6861.7137,21509.13,5113.32,17135.67,26492.5,9937.1,12946.08,4682.11,29821.59
6861.7177,21497.54,5097.87,17084.08,26475.62,9910.11,12926.72,4652.88,29811.82
6861.7217,21506.46,5118.66,17133.05,26477.29,9936.62,12940.46,4696.7,29822.5
6861.7257,21517.8,5143.6,17212.44,26482.78,9965.56,12959.53,4750.11,29842.09
6861.7297,21523.81,5146.93,17223.88,26493.12,9971.14,12968.59,4750.35,29850.06
6861.7337,21514.47,5124.24,17150.07,26488.26,9938.53,12954.19,4698.18,29841.81
6861.7377,21512.61,5114.75,17101.0,26488.93,9928.66,12949.47,4679.87,29839.47
6861.7417,21523.38,5133.92,17147.26,26502.9,9960.94,12964.44,4722.5,29850.96
6861.7457,21536.4,5155.28,17219.26,26521.02,9997.51,12981.56,4769.14,29865.79
6861.7497,21546.7,5159.66,17237.62,26535.51,10007.81,12989.62,4770.95,29873.23
6861.7537,21540.41,5135.68,17167.14,26529.6,9975.39,12975.12,4718.26,29864.65
6861.7577,21538.4,5122.81,17115.64,26527.79,9962.56,12968.49,4694.18,29859.4
6861.7617,21553.47,5146.22,17163.37,26542.29,9998.89,12989.43,4740.76,29871.94
6861.7657,21568.92,5172.87,17242.96,26560.69,10036.8,13011.36,4792.31,29891.64
6861.7697,21566.68,5168.72,17248.54,26563.17,10030.8,13007.17,4780.63,29882.34
6861.7736,21548.66,5137.83,17167.52,26546.62,9988.36,12984.99,4720.55,29865.89
6861.7776,21536.78,5121.09,17111.11,26532.46,9965.37,12968.68,4689.5,29850.77
6861.7816,21544.17,5140.69,17153.69,26533.65,9992.41,12984.23,4729.27,29853.97
6861.7856,21547.08,5158.76,17220.21,26536.66,10014.54,12990.43,4768.32,29857.07
6861.7896,21549.32,5161.76,17238.91,26551.54,10022.21,12998.53,4774.05,29871.66
6861.7936,21529.44,5130.91,17160.8,26533.42,9974.96,12971.31,4707.96,29844.86
6861.7976,21514.8,5113.03,17100.48,26512.2,9937.67,12947.13,4670.05,29825.02
6861.8016,21523.91,5131.01,17143.2,26516.73,9962.8,12959.77,4709.53,29834.94
6861.8056,21535.11,5154.09,17220.26,26531.17,9997.32,12980.75,4760.65,29850.87
6861.8096,21537.5,5156.9,17233.52,26538.42,10001.61,12984.9,4758.74,29850.11
6861.8136,21521.71,5130.1,17158.46,26529.03,9962.27,12965.16,4700.33,29831.65
6861.8176,21504.12,5106.64,17095.95,26508.53,9925.8,12943.32,4666.85,29818.25
6861.8216,21505.5,5114.46,17131.0,26505.19,9941.58,12946.04,4700.42,29827.69
6861.8256,21520.43,5138.35,17206.67,26521.02,9981.68,12968.73,4751.73,29847.1
6861.8296,21527.58,5142.45,17223.69,26535.8,9990.65,12977.41,4756.02,29854.92
6861.8336,21516.71,5118.47,17155.79,26530.32,9952.98,12959.15,4705.86,29850.49
6861.8376,21506.22,5101.78,17097.19,26520.92,9925.41,12942.7,4671.19,29837.8
6861.8416,21521.48,5126.14,17142.73,26534.08,9960.89,12963.11,4717.06,29856.54
6861.8456,21543.74,5159.47,17230.18,26556.54,10005.86,12989.43,4777.62,29886.77
6861.8496,21547.46,5162.1,17246.87,26557.83,10007.24,12992.29,4774.67,29884.53
6861.8536,21534.35,5138.45,17176.25,26546.2,9972.29,12975.27,4720.4,29870.94
6861.8576,21532.49,5128.05,17122.41,26540.66,9956.17,12968.11,4695.42,29864.46
6861.8616,21543.17,5144.88,17162.47,26548.29,9982.35,12981.7,4737.0,29876.43
6861.8656,21555.95,5168.68,17239.05,26563.7,10021.26,13003.4,4790.93,29891.78
6861.8696,21554.0,5166.15,17246.53,26567.75,10018.68,13002.68,4785.2,29894.64
6861.8736,21535.73,5137.25,17169.86,26557.64,9976.91,12975.89,4723.5,29883.1
6861.8776,21523.05,5119.71,17112.4,26541.28,9949.59,12960.01,4689.69,29868.22
6861.8816,21526.63,5134.77,17151.26,26541.62,9967.71,12966.4,4723.74,29868.65
6861.8856,21546.84,5163.38,17234.28,26561.69,10009.1,12991.05,4778.81,29886.15
6861.8896,21554.62,5169.68,17253.02,26567.89,10009.91,12996.34,4779.53,29893.12
6861.8936,21540.84,5146.55,17182.4,26559.83,9972.1,12976.93,4725.31,29881.29
6861.8976,21522.29,5125.14,17113.78,26545.0,9944.39,12956.29,4685.07,29860.17
6861.9015,21524.86,5136.92,17146.78,26539.23,9956.79,12958.58,4714.82,29861.98
6861.9055,21540.02,5160.43,17222.84,26555.21,9992.51,12977.79,4765.08,29879.72
6861.9095,21545.03,5163.96,17237.57,26565.41,10000.47,12986.8,4765.37,29886.44
6861.9135,21520.81,5131.91,17160.32,26543.81,9947.97,12956.53,4702.47,29867.32
6861.9175,21501.73,5110.12,17095.47,26525.93,9916.5,12935.45,4665.28,29849.29
6861.9215,21504.83,5123.57,17132.19,26532.22,9942.63,12945.94,4700.33,29852.16
6861.9255,21520.19,5151.61,17214.35,26548.96,9980.97,12970.59,4757.79,29874.95
6861.9295,21526.96,5156.8,17235.28,26557.59,9984.16,12979.37,4764.46,29891.35
6861.9335,21516.71,5131.44,17165.09,26547.63,9950.31,12961.68,4712.53,29882.48
6861.9375,21516.95,5124.38,17115.64,26545.86,9940.1,12959.53,4690.41,29881.19
6861.9415,21536.73,5148.36,17164.09,26563.79,9976.67,12981.8,4737.19,29892.64
6861.9455,21560.67,5178.36,17249.2,26591.35,10027.41,13012.27,4798.79,29914.1
6861.9495,21569.25,5182.65,17266.9,26601.13,10036.18,13020.99,4800.89,29923.25
6861.9535,21554.14,5153.85,17191.6,26588.16,9996.94,12997.34,4740.67,29908.33
6861.9575,21546.08,5136.73,17131.0,26580.77,9975.48,12981.56,4707.86,29893.83
6861.9615,21554.76,5154.42,17171.77,26586.87,10001.57,12993.91,4746.06,29897.41
6861.9655,21560.29,5174.07,17244.72,26586.63,10024.21,13005.31,4792.83,29910.38
6861.9695,21562.67,5175.16,17256.17,26595.98,10027.7,13008.41,4790.69,29915.38
6861.9735,21545.84,5148.36,17178.97,26582.53,9986.93,12984.42,4731.94,29896.64
6861.9775,21535.35,5133.2,17119.17,26570.08,9964.32,12968.02,4698.9,29885.68
6861.9815,21545.37,5149.79,17161.28,26579.24,9991.55,12980.03,4737.09,29894.5
6861.9855,21556.33,5171.39,17235.71,26588.78,10021.16,12994.96,4783.68,29899.65
6861.9895,21554.42,5171.59,17247.01,26582.48,10017.78,12996.1,4781.58,29900.41
6861.9935,21540.12,5144.88,17174.82,26563.12,9978.1,12978.27,4724.79,29884.87
6861.9975,21524.62,5125.09,17112.54,26546.39,9948.78,12955.24,4683.07,29860.4
6862.0015,21530.44,5141.64,17152.31,26549.49,9972.95,12965.3,4718.45,29864.03
6862.0055,21541.79,5162.24,17226.27,26560.64,10007.19,12983.28,4766.51,29877.24
6862.0095,21535.59,5155.37,17230.7,26553.49,9996.94,12978.7,4759.22,29875.33
6862.0135,21517.14,5127.91,17158.41,26533.03,9952.45,12957.72,4705.19,29865.84
6862.0175,21506.65,5114.75,17103.44,26520.59,9928.66,12945.32,4677.11,29861.5
6862.0215,21516.37,5130.05,17140.53,26527.07,9953.21,12955.38,4712.73,29866.6
6862.0255,21538.69,5159.09,17222.6,26551.25,10000.56,12981.7,4767.66,29883.39
6862.0294,21551.28,5168.2,17246.73,26565.36,10011.91,12993.38,4778.0,29895.5
6862.0334,21548.37,5151.08,17186.55,26564.08,9984.4,12982.7,4734.71,29897.84
6862.0374,21545.46,5140.31,17131.62,26560.74,9970.24,12974.41,4705.95,29896.07
6862.0414,21556.67,5157.38,17170.19,26569.08,9998.42,12988.28,4742.15,29906.61
6862.0454,21575.07,5183.51,17253.59,26589.06,10042.33,13013.56,4796.79,29927.11
6862.0494,21578.46,5186.7,17268.33,26597.31,10047.48,13020.04,4796.46,29929.69
6862.0534,21567.35,5162.05,17193.46,26586.63,10013.39,13003.16,4741.57,29917.43
6862.0574,21554.66,5142.88,17130.09,26570.37,9988.45,12986.8,4706.53,29903.51
6862.0614,21558.72,5154.85,17165.23,26565.84,10005.67,12992.77,4741.14,29904.04
6862.0654,21573.69,5178.4,17241.58,26584.91,10042.91,13013.41,4794.26,29916.81
6862.0694,21575.98,5181.69,17253.69,26600.36,10046.39,13017.99,4793.64,29919.2
6862.0734,21560.62,5156.18,17181.54,26590.02,10005.38,12997.91,4739.09,29908.09
6862.0774,21547.61,5138.78,17118.46,26569.89,9978.2,12977.32,4701.23,29891.92
6862.0814,21553.81,5156.71,17157.56,26572.28,10000.52,12988.38,4736.57,29895.21
6862.0854,21567.78,5184.65,17239.72,26587.63,10037.28,13011.5,4790.64,29913.24
6862.0894,21566.39,5182.41,17251.3,26579.14,10033.56,13009.45,4784.16,29907.99
6862.0933,21549.08,5150.84,17171.81,26553.06,9990.88,12983.94,4721.83,29884.25
6862.0973,21534.16,5130.1,17105.3,26530.32,9958.46,12963.01,4683.97,29865.41
6862.1013,21541.12,5145.98,17140.68,26532.61,9981.68,12972.02,4718.92,29866.03
6862.1053,21554.23,5168.49,17214.25,26544.62,10014.34,12988.76,4767.18,29872.09
6862.1093,21557.05,5169.96,17226.51,26546.62,10013.3,12991.43,4767.42,29874.95
6862.1133,21543.46,5144.31,17154.89,26533.51,9976.72,12972.74,4711.68,29859.83
6862.1173,21531.25,5128.0,17099.24,26515.34,9947.59,12956.19,4679.2,29854.54
6862.1213,21540.02,5149.17,17140.06,26518.78,9970.24,12969.07,4719.45,29867.89
