TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
6861.7065,-175.985,-58.865,985.882,-2082.5,-4873.75,96.25,293.36,41.04,-194.56
6861.7565,-175.436,-64.965,988.139,-2056.25,-4637.5,770.0,285.76,30.4,-197.6
6861.8065,-178.791,-66.734,986.736,-1146.25,-4970.0,971.25,300.96,38.0,-197.6
6861.8565,-175.009,-60.634,988.932,-1190.0,-5118.75,770.0,285.76,33.44,-203.68
6861.9065,-171.593,-59.048,991.067,-1706.25,-4620.0,577.5,284.24,44.08,-199.12
6861.9565,-173.911,-64.355,989.969,-2100.0,-3920.0,595.0,281.2,30.4,-205.2
6862.0065,-178.242,-65.941,987.285,-1513.75,-4130.0,752.5,284.24,38.0,-185.44
6862.0565,-180.255,-68.991,985.943,-1601.25,-4068.75,437.5,281.2,33.44,-202.16
6862.1065,-184.83,-62.952,992.653,-2808.75,-6370.0,175.0,276.64,42.56,-197.6
6862.1565,-164.334,-67.466,981.673,-778.75,-5407.5,866.25,290.32,42.56,-203.68
6862.2065,-184.037,-63.623,993.019,-1093.75,-3692.5,1242.5,276.64,53.2,-197.6
6862.2565,-177.144,-58.621,991.25,-910.0,-5031.25,1452.5,296.4,51.68,-203.68
6862.3065,-170.861,-54.107,986.126,-2073.75,-4077.5,813.75,281.2,59.28,-199.12
6862.3565,-181.841,-62.708,986.736,-1592.5,-3876.25,516.25,281.2,42.56,-209.76
6862.4065,-180.072,-60.146,988.444,-1505.0,-4296.25,385.0,282.72,42.56,-197.6
6862.4565,-180.743,-64.477,987.346,-1618.75,-4383.75,332.5,302.48,62.32,-206.72
6862.5065,-174.765,-60.695,985.272,-1155.0,-4978.75,988.75,284.24,45.6,-188.48
6862.5565,-174.155,-59.841,984.54,-1277.5,-4130.0,1286.25,287.28,42.56,-182.4
6862.6065,-184.647,-60.634,985.333,-1750.0,-3683.75,1365.0,262.96,41.04,-200.64
6862.6565,-185.806,-57.523,987.59,-1802.5,-4156.25,700.0,276.64,39.52,-190.0
6862.7065,-182.939,-60.207,988.627,-1233.75,-4637.5,-271.25,288.8,48.64,-182.4
6862.7565,-192.15,-66.246,991.128,-533.75,-4016.25,446.25,293.36,48.64,-183.92
6862.8065,-186.599,-59.536,988.505,-2835.0,-5871.25,-358.75,297.92,36.48,-212.8
6862.8565,-169.519,-66.429,984.967,-901.25,-5696.25,323.75,276.64,34.96,-199.12
6862.9065,-179.645,-56.242,986.614,-682.5,-4252.5,1128.75,290.32,59.28,-194.56
6862.9565,-181.536,-55.51,991.067,-2187.5,-5328.75,997.5,284.24,42.56,-183.92
6863.0065,-176.412,-64.538,986.248,-2240.0,-4305.0,253.75,296.4,38.0,-185.44
6863.0566,-182.329,-63.684,987.712,-1286.25,-4191.25,-183.75,297.92,51.68,-188.48
6863.1065,-185.318,-57.096,986.126,-1986.25,-4497.5,87.5,290.32,45.6,-188.48
6863.1565,-182.024,-63.928,986.492,-2143.75,-4847.5,612.5,284.24,45.6,-199.12
6863.2065,-178.669,-63.989,987.346,-1426.25,-5110.0,1085.0,279.68,50.16,-199.12
6863.2565,-175.192,-60.085,987.712,-1312.5,-4427.5,831.25,284.24,51.68,-203.68
6863.3065,-178.791,-57.645,985.455,-1548.75,-4060.0,280.0,281.2,51.68,-208.24
6863.3565,-178.974,-63.135,986.919,-2275.0,-3683.75,-385.0,281.2,57.76,-190.0
6863.4065,-182.024,-63.806,985.516,-1408.75,-3508.75,-131.25,278.16,39.52,-191.52
6863.4565,-187.453,-65.575,984.967,-1767.5,-3823.75,490.0,294.88,48.64,-183.92
6863.5065,-191.174,-58.865,987.834,-2493.75,-5495.0,-271.25,275.12,53.2,-186.96
6863.5565,-177.632,-76.616,986.858,-1242.5,-4882.5,-621.25,297.92,36.48,-193.04
6863.6065,-180.316,-61.854,985.333,-297.5,-3535.0,297.5,270.56,25.84,-196.08
6863.6565,-188.978,-58.499,987.834,-1435.0,-4523.75,1111.25,272.08,39.52,-190.0
6863.7065,-183.183,-62.403,986.492,-1417.5,-4217.5,1111.25,287.28,42.56,-208.24
6863.7565,-189.039,-64.843,985.699,-866.25,-3543.75,253.75,288.8,51.68,-200.64
6863.8065,-192.882,-58.865,983.686,-1041.25,-4873.75,183.75,278.16,42.56,-190.0
6863.8565,-186.843,-60.146,985.15,-1470.0,-5048.75,210.0,302.48,33.44,-194.56
6863.9065,-185.745,-60.085,988.261,-1006.25,-4838.75,708.75,275.12,44.08,-196.08
6863.9565,-184.708,-60.451,987.224,-892.5,-5136.25,1076.25,311.6,34.96,-193.04
6864.0065,-182.695,-56.913,985.455,-1163.75,-4751.25,901.25,278.16,51.68,-177.84
6864.0565,-185.318,-56.913,985.455,-1601.25,-4462.5,490.0,287.28,48.64,-185.44
6864.1065,-186.477,-58.377,988.566,-1618.75,-4305.0,358.75,284.24,38.0,-203.68
6864.1565,-183.0,-58.743,984.967,-1365.0,-3316.25,420.0,293.36,42.56,-196.08
6864.2065,-189.344,-60.329,986.309,-1268.75,-3246.25,516.25,299.44,48.64,-193.04
6864.2565,-191.479,-51.484,985.455,-3001.25,-5171.25,-638.75,288.8,36.48,-200.64
6864.3065,-179.462,-62.098,981.368,-1120.0,-4655.0,-831.25,293.36,54.72,-190.0
6864.3565,-190.991,-53.924,987.773,-848.75,-4051.25,-665.0,276.64,44.08,-179.36
6864.4065,-191.357,-57.157,987.529,-2012.5,-4873.75,-8.75,294.88,54.72,-193.04
6864.4565,-188.002,-62.769,984.174,-2581.25,-4908.75,-647.5,291.84,41.04,-196.08
6864.5065,-189.527,-68.259,985.699,-1636.25,-4935.0,-1242.5,290.32,54.72,-196.08
6864.5565,-190.076,-64.965,984.418,-1207.5,-5477.5,-1400.0,284.24,45.6,-205.2
6864.6065,-187.697,-64.66,987.041,-787.5,-5643.75,-927.5,284.24,50.16,-182.4
6864.6565,-182.573,-65.27,984.052,-122.5,-5486.25,-393.75,293.36,41.04,-211.28
6864.7065,-182.756,-63.562,989.481,603.75,-5215.0,-918.75,281.2,45.6,-190.0
6864.7565,-181.475,-55.388,986.065,813.75,-4716.25,-1356.25,282.72,44.08,-194.56
6864.8065,-181.597,-48.312,985.699,385.0,-3981.25,-901.25,288.8,42.56,-199.12
6864.8565,-188.734,-47.58,990.03,-787.5,-4348.75,393.75,270.56,45.6,-196.08
6864.9065,-181.353,-53.558,982.527,-673.75,-4970.0,682.5,299.44,42.56,-214.32
6864.9565,-197.762,-47.824,989.969,227.5,-4812.5,560.0,278.16,42.56,-194.56
6865.0065,-189.527,-50.264,988.749,-1277.5,-6518.75,-1076.25,267.52,47.12,-194.56
6865.0565,-167.018,-50.63,980.148,-175.0,-4208.75,-2205.0,287.28,34.96,-196.08
6865.1065,-190.381,-50.203,992.897,332.5,-3115.0,-2257.5,296.4,41.04,-202.16
6865.1565,-185.989,-46.909,988.749,140.0,-4558.75,-3228.75,282.72,33.44,-215.84
6865.2066,-183.61,-46.848,984.235,-1207.5,-3491.25,-4086.25,291.84,56.24,-200.64
6865.2565,-187.636,-52.704,988.261,-446.25,-3412.5,-3841.25,293.36,42.56,-209.76
6865.3065,-192.333,-42.822,987.224,-892.5,-4541.25,-2170.0,278.16,48.64,-206.72
